molecula|n9FaHRing|n9FaRing|SaaNH|SRW09|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|n6aHRing|GATS1are|MATS8d|SIC2|RASA|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|RPCS|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA1|Mor01p|PPSA5|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lowest Unoccupied Molecular Orbital Energy|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50|pIC50
5a_a49|0|0|0.0|7.853604813|2|1.343848751|0.079751437|-0.009147269|5.777652323|2|0.034466231|1.878067786|0.007647515|-0.046327135|0.076610236|1|0.008623164|-0.1205081119999999|2|0.66494289|0.127914587|0.855876084|0.800090055|-0.0787216|0.6254267029999999|0.028578361|-42.1802818|-46.04810561|16.71687776|0.199909945|116.9370825|54.35929907|-24.67330519|61.89135559|-15.97587337|0.490453006|2797.737637|468.0117167|-782.8177953|1887.422375|0.393071247|11.91885068|0.962527525|6294.404170000001|229.9265537|0.0270848489999999|-125.09569170000002|592.5885712|15.84324998|1.0|0.0|3.37|2.93|0.22|-6.92|3.3|3.68|73.14|2.07|116.62|3.0|-3.84|-6.84|397.43|0.0|1.0|1.0|2.93|5.09e-05|0.0202|2.65|0.0|-0.05062|625.06|1082.25|795.0|236.42|443.78|0.31953|0.66225|-0.16176|5.6104|-0.21238|7.0102|7.3665|7.3665
20a_a10|0|0|0.0|7.535296702|1|1.343837243|-0.0774974029999999|-0.0034618129999999|5.4161004020000005|2|0.036415094|1.896409603|0.008214031|-0.010695558|0.011011878|1|0.008297595|-0.058994157|2|0.661219642|0.019448804|0.817646497|0.913681336|-0.072821454|0.591835899|0.013618456|-43.19189039|-47.37850712|8.860330345|0.086318664|56.1599532|47.01787447|-28.10115947|58.1398225|-18.22250274|0.452402751|2998.608651|594.4519837|-947.5701424|2021.669282|0.266548108|15.37476788|0.826159649|6729.996773999999|173.41938059999998|0.016540298|-303.7731758|719.5272609|10.76131538|1.0|0.0|3.48|3.63|0.11|-9.44|5.06|5.77|76.62|2.53|126.35|4.0|-5.68|-5.82|429.47|0.0|0.0|1.0|4.27|2.56e-06|0.0011|4.36|0.0|-0.06611|696.63|1200.92|0.2738|259.16|524.02|0.50193|0.6864600000000001|-0.1613099999999999|2.9429|-0.2274199999999999|3.2116|5.9208|5.9208
12y_a36|0|0|3.479963309|7.412764017000001|2|1.29704385|-0.061103469|-0.00707164|5.351858133|2|0.041767677|0.0|0.002782748|-0.049845887|-0.028440975|1|0.003724542|0.06152178|1|0.90500247|-0.0498101409999999|0.873588247|0.83704133|-0.098532865|0.424572485|0.019404665|-51.48548385|-66.24017399|13.04507243|0.16295867|109.55137340000002|14.40618351|-34.61187706|78.8341402|-24.53339777|0.487285656|2793.629988|562.7133986|-1324.80348|2304.463084|0.244264266|14.80236899|0.950403792|6082.16777|164.2102614|0.01873364|-343.8442493|698.847203|12.59396622|0.0|2.0|4.88|0.0|0.12|-7.01|3.62|2.42|69.2|2.38|133.84|6.0|-4.58|-6.34|407.47|0.0|1.0|0.0|2.37|2.82e-05|0.0115|3.45|0.0|-0.05002|702.38|1183.75|0.4358|319.6|532.91|0.66796|0.66796|-0.15671|6.1376|-0.20673|8249.0|7.9208|7.9208
12f_a40|0|0|0.0|7.515889085|0|0.604990261|-0.03356339|-0.006206277|5.4161004020000005|0|0.040501792|0.807254372|0.008525796|0.108909202|-0.172869148|2|0.006841832|0.115814835|0|0.679527138|-0.271493213|0.841769186|0.909993912|-0.082198664|3.43e-05|0.021549915|-37.02024147|-45.41519509|11.90644165|0.090006088|49.72883796|61.55859085|-20.45387851|56.53158029|-18.16607804|0.490421149|2383.68369|502.7764322|-635.8127312999999|628.5604981|0.268555948|16.49362536|0.962404834|5326.217734000001|148.3785764|0.0201199619999999|-255.7481174|384.1423925|11.1163852|0.0|0.0|3.24|3.61|0.06|-7.32|5.35|5.44|67.66|3.99|98.25|3.0|-6.58|-4.76|376.26|0.0|0.0|1.0|4.76|1.02e-06|0.0003819999999999|5.4|0.0|-0.07761|572.63|951.55|0.4348|286.25|487.85|0.6679999999999999|0.7029|-0.11765|3.2818|-0.19526|4.8562|6.4202|6.4202
9h_a24|0|0|2.916716427|7.153833802|0|1.428198245|-0.203768024|-0.002864393|5.209486153|2|0.023854167|0.0|0.013595277|-0.209618231|-0.002471577|2|0.012380829|0.144624936|2|0.687815726|-0.004960317|0.859720539|0.883775278|-0.0687348109999999|0.4016070679999999|0.018457687|-28.52000725|-32.48899638|8.724425117000001|0.1162247219999999|54.93613103|1.773520599|-13.48059881|47.51520531|-12.42226332|0.477589721|2062.34011|417.7355164|-422.3569529|768.1954692|0.427628742|11.11300329|0.914204295|4170.098082|202.1279819|0.031789952|-68.41568372|295.8603625|15.02620893|1.0|1.0|2.84|1.96|0.0|-6.05|2.42|2.72|72.28|1.07|82.17|3.0|-2.83|-6.85|288.31|0.0|1.0|1.0|1.97|0.000575|166.0|1.7|0.0|-0.0435399999999999|506.68|831.92|0.3844|239.63|363.48|0.54606|0.61928|-0.18239|5.6654|-0.22593|7.7741|7.1135|7.1135
12l_a30|0|0|0.0|7.412764017000001|2|0.60498366|0.157020295|-0.015371073|5.351858133|2|0.044036281|0.0|-0.00695299|0.154540315|-0.02588969|1|-0.004395528|-0.300262845|1|0.613786308|-0.0395239879999999|0.883029843|0.834279405|-0.109810463|0.37422435|0.0154211289999999|-63.31694493|-76.82494797|10.78883933|0.165720595|115.9404641|1.697908189|-44.29742723|88.64610824|-31.88960104|0.462727396|3306.001879|583.6736326|-1690.148855|2394.793539|0.178184921|17.23248653|0.861252543|7576.362669|124.6606826|0.016896687|-450.2927313999999|696.6414817000001|11.82116027|0.0|1.0|4.72|0.0|0.17|-7.18|4.43|4.78|90.88|2.82|133.96|7.0|-6.7|-5.66|482.48|0.0|0.0|0.0|3.42|1.2e-06|0.000579|5.05|0.0|-0.0545299999999999|729.17|1223.54|0.2294|245.74|574.72|0.39486|0.68488|-0.14944|2.5031|-0.20397|2.9851|7.2154|7.2154
14_a1|0|0|3.3674017380000003|7.423568444|1|1.430935835|0.043282217|-0.015636898|5.351858133|1|0.035620155|0.0|-0.011639964|-0.029658865|-0.0492229479999999|1|-0.008385698|0.164429684|1|0.838928085|-0.083341531|0.805877431|0.593170871|-0.122581374|0.206941175|0.033047776|-74.96297518|-72.59355177|19.5711254|0.406829129|240.9270705|104.2594419|-44.39360096|87.02320758|-27.42423067|0.47517581|2678.985809|351.2799603|-1234.09038|1876.042189|0.246642602|14.21658628|0.905399978|5748.712211|146.0634832|0.0243658979999999|-300.0800645|513.4628663999999|14.42965582|1.0|2.0|3.25|2.35|0.05|-7.69|4.04|3.63|103.12|1.54|106.85|4.0|-4.52|-6.73|384.39|0.0|0.0|1.0|2.85|5.660000000000001e-05|0.0218|2.7|0.0|-0.05962|621.08|1049.56|0.4442|323.35|464.08|0.6572600000000001|0.69894|-0.1336|4.1207|-0.19322|5.3099|7.0269|7.0269
12z_a30|0|0|0.0|7.412764017000001|2|0.604983642|-0.1155022219999999|-0.008819424|5.351858133|2|0.040566449|0.0|0.003529389|0.018796341|-0.045463448|1|0.005111479|0.05890953|1|0.8397577820000001|-0.077335468|0.855880335|0.832920077|-0.107776943|0.315493739|0.030875938|-49.68145417|-74.96232552|21.47520633|0.167079923|116.2094523|0.0|-34.55504699|95.20867045|-23.67231332|0.48740649|3112.622632|579.3226647000001|-1349.321859|2435.831516|0.3691601439999999|15.74641625|0.950863559|7074.004131999999|256.7627363|0.029109145|-182.00664430000003|792.3440337000001|20.24634493|1.0|1.0|4.86|0.0|0.21|-6.83|3.94|2.63|100.11|2.2|140.26|7.0|-5.61|-6.39|458.54|0.0|0.0|0.0|2.52|9.94e-06|0.00456|3.81|0.0|-0.04679|739.33|1266.9|0.1855|257.96|580.6|0.5513100000000001|0.6853199999999999|-146.0|7.0446|-0.19279|7.2113|7.3615|7.3615
1c_a5|0|0|2.955525321|6.605297921|0|1.424607938|-0.268536978|-0.001983746|4.59511985|2|0.0248765429999999|0.0|0.008031558|-0.228971551|-0.058823529|1|0.007357977|-0.133677441|2|0.71274658|-0.109439124|0.821309592|0.88631419|-0.070346332|0.436308619|0.008349498|-34.82350689|-35.99212225|4.27195187|0.11368581|58.16640976|0.0|-17.81716094|43.86175561|-14.3968489|0.476413155|2105.8969850000003|453.4753671|-575.8739559999999|873.709445|0.246972732|11.580409800000002|0.909902834|4387.398857|126.3615674|0.0153811389999999|-258.918642|409.0289917|7.869633359|1.0|1.0|2.78|2.09|0.05|-8.41|4.99|4.51|54.46|2.13|95.45|3.0|-4.25|-5.77|312.37|0.0|1.0|1.0|3.43|3.5600000000000005e-05|0.0111|3.43|0.0|-0.03965|556.84|929.31|271.0|254.15|410.52|0.4444899999999999|0.53838|-0.18719|1.7105|-0.22684|2.6801|5.4|5.4
8m_a46|0|0|0.0|7.727094485|1|1.160371261|-0.044830187|-0.00517896|5.533389489|1|0.047345679|0.0|0.0063680119999999|-0.120972269|-0.064176245|1|0.005865049|-0.206020062|1|0.783187801|-0.090247845|0.8142050040000001|0.876210355|-0.085204935|0.280198209|0.007059399|-48.32436573|-45.17474201|3.742817678|0.123789645|65.63194084|0.0|-25.62105988|48.72163155|-17.06601365|0.425802465|2045.330306|464.5573228999999|-767.9706141|1913.813025|0.114510313|9.899611044|0.7415609409999999|4439.758321|60.71213839999999|0.006689855|-408.7649869|463.1469765|3.546889545|1.0|1.0|3.24|2.92|0.3|-6.46|4.16|4.21|50.94|2.62|96.16|2.0|-4.48|-5.61|319.4|0.0|1.0|1.0|3.53|2.78e-05|0.0088799999999999|3.72|0.0|-0.01818|570.72|970.82|0.3905|233.66|489.57|0.43001|0.6997800000000001|-0.17897|2.0174|-0.19715|3.1675|6.6402|6.6402
