molecula|NaaNH|n9FaRing|SssssC|NaasN|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|GeomRadius|PPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
17_a12|0|0|0.0|0|1|1|0.132275232|-0.00864055|4.727387819|-0.058347964|-0.38018419|-0.072956553|10.31157659|-0.070249784|1|-0.000651751|-0.3748198379999999|-0.113649923|-0.202276514|-0.559137213|2|0.918713011|0.8198617429999999|-0.043392747|0.87653892|0.859088647|0|-0.069570363|-0.096209886|0.318309599|0.011226177|-36.25249721|-50.13411606|5.849860887999999|69.36398419|73.93273708|-0.035198739|-26.12444199|3.048310481|0.786701219|-1.443148294|57.97616997|0.466056241|447.1583691000001|1470.257187|-9.557722681|5.669161963|111.1480977|431.5987143|7.842053909|1.0|0.0|1.0|4.13|2.97|0.17|17.0|-7.16|78.41|2.47|0.0|0.0|1.0|-4.51|24.0|4.0|-6.07|0.0|1.0|1.0|-4.24|3.1e-05|5.7100000000000006e-05|0.0191|0.0|2.32e-05|-0.06322|4.4014|2.87|-1366.804178|-1366.776169|560.09|933.62|328.67|0.2213|281.69|0.39539|0.62783|148.0|-0.15459|-0.21781|0.02800938|-1366.689546|2.9806|16.0|7.7959|7.7959
19_a15|0|0|0.0|0|0|0|0.156105985|-0.009832375|0.0|-0.558905888|-0.4621216379999999|-0.04003124|10.31928434|-0.032407407|0|-0.00534669|0.060683674|-0.0283109839999999|-0.045543362|-0.571686169|1|0.7981860159999999|0.722297906|0.042424078|0.770451673|0.7358168620000001|0|-0.0946599869999999|-0.112106433|0.355677322|0.00527267|-54.70558911|-64.78818183|3.04716388|61.63983265|178.5363184|-0.042351319|-37.44217335|1.761006946|0.922135562|-1.905809364|68.10965742|0.405429114|399.3803987|1857.369806|-14.14482104|6.10227122|44.99916039|490.1808545|3.321475588|1.0|0.0|2.0|2.99|2.17|0.11|18.0|-7.14|102.69|1.64|1.0|0.0|1.0|-5.12|26.0|5.0|-6.22|0.0|0.0|1.0|-4.39|7.56e-06|4.1200000000000005e-05|0.0152|0.0|2.69e-05|-0.0372399999999999|4.1742|7.53|-1523.404372|-1523.361214|601.23|1030.77|297.03|0.4895|297.03|0.68945|0.68945|0.4895|-0.17018|-0.20742|0.04315771|-1523.254714|9326.0|72.0|7.1427|7.1427
47r_a18|0|0|0.0|0|1|1|0.029358241|-0.0058631659999999|4.844187086|-0.216996268|-0.40455848|-0.02952923|10.35082951|-0.030106257|0|-0.0001597829999999|0.0646283159999999|-0.233665901|-0.362261236|-0.360670551|0|0.806477847|0.7698681909999999|0.017110504|0.8075001|0.7554975009999999|0|-0.083915825|-0.087091542|0.26560995|0.0155038689999999|-62.75220741|-65.12700692|11.59378448|13.30156885|172.30927739999998|-0.031669652|-48.70193962|8.669825595|0.688074851|-2.090197013|81.99788849|0.49394971|575.4901675|1504.28892|-17.70979622|9.819988422|233.2574532|1005.982493|16.87088158|1.0|1.0|2.0|4.55|0.0|0.22|18.0|-7.46|111.03|2.23|3.0|1.0|1.0|-6.65|36.0|4.0|-6.12|0.0|0.0|0.0|-5.64|2.26e-07|2.31e-06|0.00117|0.0|1.76e-05|-0.0522799999999999|3.1705|9.2|-1964.841529|-1964.813473|790.57|1387.23|391.06|0.6007|391.06|0.69545|0.69545|0.6007|-0.13021|-0.18249|0.02805567|-1964.516246|3.2001|231.0|6.6364|6.6364
28_a20|0|0|0.0|1|0|0|-0.013841559|-0.006492092|4.727387819|-0.114439513|-0.363557127|0.0313932529999999|10.94963925|-0.039965901|1|0.002695258|0.155263557|-0.016955137|-0.028782305|-0.447096101|3|0.715067047|0.755701837|-0.104458316|0.812553182|0.690655217|1|-0.086299346|-0.091179288|0.3962228229999999|0.014682607|-57.59898971|-60.85602167|9.799649234|318.7453661|145.66665480000003|-0.035068957|-40.6172876|6.540604536|0.773641727|-1.823585765|71.98460956|0.468838001|521.7658603|2449.815677|-15.62203369|7.587188177000001|151.0788711|684.5377542|11.12858789|0.0|1.0|1.0|3.45|2.86|0.08|27.0|-8.8|99.58|1.73|1.0|0.0|1.0|-4.42|32.0|5.0|-6.96|0.0|0.0|1.0|-4.43|3.77e-05|3.72e-05|0.0156|0.0|6.590000000000001e-07|-0.06242|4.7905|4.64|-1368.363151|-1368.32781|704.42|1198.32|346.35|0.2354|258.81|0.50352|0.4701899999999999|0.0153|-0.15572|-0.21814|0.03534166|-1368.146882|4.7428|255.0|6.5935|6.5935
8b_a32|1|1|0.0|0|0|0|0.113639567|-0.009362305|5.733341277|-0.057200812|-0.458752924|-0.024375676|10.31100269|-0.0684566009999999|3|-0.001662219|-0.014634534|-0.0852122769999999|-0.1534110109999999|-0.577864293|0|0.788133615|0.845443342|0.060636167|0.8966299409999999|0.7507116140000001|1|-0.0850068559999999|-0.108971309|0.253018806|0.016711528|-53.36442734|-68.4085006|10.49093175|102.4297669|132.9495116|-0.03079624|-42.94454179|6.585851946|0.669149204|-1.4166270230000002|81.73293254|0.458155153|494.8166492|2275.886421|-12.13650094|8.10555784|207.6969342|557.1050635|13.32443194|1.0|1.0|2.0|3.46|3.04|0.26|19.0|-7.65|140.04|1.1|1.0|0.0|1.0|-5.83|27.0|4.0|-6.44|1.0|0.0|1.0|-4.39|1.47e-06|4.06e-05|0.0161|0.0|8.86e-06|-0.05404|3.5442|4.22|-1880.77142|-1880.735397|671.54|1114.24|349.82|0.2943|349.82|0.70285|0.70285|0.2943|-0.14717|-0.20121|0.03602276|-1880.602014|1.2797|12.0|7.9208|7.9208
17_a15|0|0|0.0|0|0|0|-0.046866421|-0.0071363569999999|0.0|-0.071708785|-0.442454151|-0.032903349|10.9544604|-0.0141953639999999|0|0.0032452509999999|-0.052628162|-0.170008473|-0.263401148|-0.461493931|2|0.769376831|0.721188086|0.001376853|0.76362781|0.740986227|0|-0.052869016|-0.079844675|0.605886597|0.012890299|-40.50376584|-61.17023228|9.875456386|34.35335309|91.58201681|-0.027065991|-46.86345493|7.56573889|0.653207369|-1.596893495|77.82445248|0.474165158|674.5333498|2104.883413|-15.88591693|7.967418828|265.6831633|822.8625688|16.654220199999997|1.0|1.0|1.0|3.63|3.99|0.15|24.0|-9.72|67.35|2.53|2.0|0.0|1.0|-5.93|33.0|4.0|-5.58|1.0|0.0|1.0|-5.65|1.19e-06|2.26e-06|0.00099|0.0|8.43e-08|-0.03936|4.1461|6.89|-1413.897695|-1413.857182|752.08|1298.37|326.22|0.7247|299.04|0.68787|0.7045100000000001|0.0377|-0.15573|-0.19509|0.04051306|-1413.624817|7.1743|12.0|7.9208|7.9208
15b_a10|0|0|0.0|1|1|1|-0.197213588|-0.002413027|5.4161004020000005|0.024214591|-0.149607679|-0.082365722|10.92966694|-0.058911857|1|0.011928706|-0.175869992|-0.174170642|-0.27395395|-0.195505087|2|0.744213612|0.791078367|-0.058258414|0.83320417|0.7199249390000001|1|-0.046334564|-0.07358373|0.697099355|0.015973068|-31.76194123|-50.44100799|10.94939968|43.96642219|53.52386591|-0.024105015|-34.57687319|7.505718446|0.670236374|-1.398090862|62.53159836|0.414077981|631.9674549|2603.829652|-11.32690674|6.6940006620000005|226.0501037|766.4127559|12.09059037|0.0|1.0|0.0|3.61|3.89|0.32|21.0|-8.18|56.07|2.14|1.0|0.0|1.0|-4.35|31.0|5.0|-6.34|0.0|1.0|0.0|-4.64|4.46e-05|2.28e-05|0.00943|0.0|2.73e-06|-0.04734|5.7620000000000005|2.74|-1317.766641|-1317.736865|721.17|1231.3|329.52|0.3575|215.17|0.46711|0.68906|0.1595|-0.15579|-0.20313|0.02977516|-1317.4913390000002|6.1384|85.0|7.0706|7.0706
5b_a50|0|1|0.0|2|1|1|-0.253064589|-0.00141071|5.82008293|-0.003549558|-0.062071259|-0.137595558|10.9325725|-0.113846154|2|0.012290091|-0.0873662269999999|-0.1052449509999999|-0.175158017|-0.140506919|1|0.693611382|0.791163321|0.019856551|0.855527513|0.6642694929999999|1|-0.041157676|-0.061164973|0.271653991|0.012204641|-20.90908698|-31.07327358|6.200250541|6.656963127999999|21.02890062|-0.02140774|-15.78596849|3.149876031|0.5887490470000001|-0.8563096170000001|42.76068675|0.4462435279999999|486.9950914|1452.442728|-5.525088972000001|5.543302677000001|208.925351|409.0289917|11.68741316|1.0|1.0|0.0|3.37|2.91|0.1|20.0|-5.86|35.64|2.4|0.0|0.0|2.0|-3.48|24.0|2.0|-6.03|0.0|1.0|1.0|-4.19|0.000335|6.47e-05|0.0202|0.0|0.0004269999999999|-0.0256899999999999|5.6332|2.81|-990.6114185|-990.5849031|547.35|922.49|308.25|0.2749|220.09|0.4270899999999999|0.66968|0.1094|-0.16683|-0.19252|0.02651535|-990.487545|6.1284|12.23|4.9126|4.9126
4_a3|0|0|0.0|0|0|0|0.2122551539999999|-0.008561428|4.727387819|-0.161259999|-0.325334256|0.057349653|10.31162267|0.0248526079999999|1|-0.007022144|-0.208888686|0.053425134|0.127253753|-0.607238634|1|0.640351067|0.721302096|-0.028924747|0.785381728|0.628171026|1|-0.110345083|-0.098695428|0.5842630360000001|0.008006786|-52.4583525|-46.9200748|3.806447632|235.6982345|123.350856|-0.039478171|-22.30593113|1.809595554|0.866976271|-1.381735991|51.71950126|0.415852758|352.05186289999995|1548.626215|-8.922372453|5.05182773|63.23984222|347.9532383|4.799426464|1.0|1.0|1.0|2.94|2.6|0.0|21.0|-7.53|80.04|3.07|1.0|0.0|1.0|-5.69|23.0|3.0|-5.21|0.0|0.0|1.0|-5.09|2.02e-06|8.22e-06|0.00264|0.0|9.48e-06|-0.0584299999999999|5.9341|3.53|-1355.332318|-1355.303098|504.29|858.45|356.58|0.1776|208.93|0.3809|0.6896|119.0|-0.14983|-0.20826|0.02921941|-1355.239905|3.1409|1259.0|5.9|5.9
14h_a23|0|1|0.0|2|0|0|0.043538466|-0.005921293|5.351858133|0.006191846|-0.307907256|-0.024318144|10.31321773|-0.034313725|2|0.009266617|0.060820238|-0.0686282459999999|-0.131709531|-0.4460845129999999|2|0.708395022|0.79263722|0.143102066|0.860920386|0.669357479|1|-0.063825076|-0.081058742|0.223157991|0.021982565|-43.02851162|-54.6468131|14.81983413|41.34207782|51.620282|-0.033774476|-36.84086528|9.990985411|0.753100584|-1.621174834|67.44368679|0.48032488|622.5428245|2371.16134|-15.35036053|7.833334036|166.45047749999998|646.2584547|12.79687369|0.0|1.0|1.0|3.47|3.2|0.04|26.0|-7.47|128.81|2.39|1.0|1.0|1.0|-5.68|32.0|5.0|-6.62|0.0|0.0|0.0|-4.9|2.09e-06|1.27e-05|0.00554|0.0|1.4800000000000002e-05|-0.08532|4.0506|3.29|-1722.1762399999998|-1722.148272|699.86|1190.62|337.93|0.3424|306.09|0.67365|0.69933|0.2727|-0.15209|-0.2374099999999999|0.02796857|-1721.99264|13.4823|5.0|8.3468|8.3468
