molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|nARing|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|MATS1i|AATSC1i|n6aHRing|MATS8s|MATS8d|SIC2|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
3c_a49|0.0|0|0|0|0.0|0.0|1|1|2.108416128|5.4161004020000005|-0.016347266|2|-0.04696024|-0.05815918|10.92976555|0.0127926339999999|1|1|-0.0612829229999999|-0.101919761|2|0.005559828|0.0211518929999999|0.8605470759999999|0.7963363840000001|-0.071786669|-0.074135885|0.501887054|0.0148240689999999|-42.3959176|89.34479838|0.203663616|116.4686425|-0.0252377479999999|-24.24485565|4.8479546860000005|-1.186174159|-23.47658531|49.52988301|0.4791465279999999|2521.794855|455.3990518|-8.253567879|0.362777444|12.60874968|0.919925763|5544.351498|207.4607002|0.021783913|-156.9462939|1064.517686|542.7276591|12.45751629|0.0|1.0|1.0|1.0|2.67|0.18|21.0|-7.54|3.63|72.7|1.84|1.0|109.43|4.0|-6.93|1.0|1.0|2.86|0.0003509999999999|0.13|0.000137|0.0505|2.29|0.0|2.89e-08|1.07e-05|-0.0606|5.1584|3842.0|-1198.668772|-1198.634822|613.33|1046.53|240.36|456.22|0.6692100000000001|-1198.430306|3.6122|-0.21913|0.03394942|87.0|7.0605|7.0605
3o_a32|0.0|1|1|1|3.644417045|0.0|1|1|0.0|5.733341277|-0.014299905|1|-0.064818511|-0.117781901|10.3110027|-0.090297882|3|3|-0.061774721|-0.11221537|0|-0.074509084|-0.154436834|0.872498916|0.8377808240000001|-0.073742105|-0.095457829|0.252703854|0.012519666|-55.03672286|62.67187821|0.162219176|93.52833522|-0.031819276|-31.73171751|4.161738248|-1.4318674340000002|-24.51306152|49.73468603|0.455089918|2488.133192|483.0270239|-10.57723917|0.214905181|11.73098001|0.835165165|5488.777096|123.9047338|0.0130649069999999|-328.7458915|1051.530112|541.0877621000001|7.532642302|1.0|1.0|1.0|2.0|3.06|0.32|19.0|-7.27|6.39|122.97|1.58|1.0|112.07|3.0|-6.17|0.0|1.0|3.74|1.89e-06|0.00072|1.87e-05|0.00714|3.46|0.0|5.35e-08|2.04e-05|-0.05413|3.5333|3.5333|-1805.504508|-1805.473626|620.56|1049.14|350.9|464.85|0.70216|-1805.277864|3.2729|-0.20065|0.03088166|0.24|6.6198|6.6198
19l_a38|0.0|1|0|0|3.280796643|0.0|2|2|0.0|5.351858133|-0.10490608|2|0.103904811|-0.02967593|10.94917392|-0.032264281|1|1|-0.091460175|-0.191751024|1|-0.032569307|-0.053823023|0.89459881|0.799611189|-0.079681862|-0.100870929|0.51306986|0.0219046379999999|-65.35669452|133.9992534|0.200388811|129.8367176|-0.037359603|-42.34617024|9.195687319|-2.017418574|-33.45088372|65.82033039|0.430111845|2921.048554|518.0872716|-15.68376675|0.262589769|11.52660233|0.754730276|6705.993411|170.13821069999997|0.021129331|-307.64756780000005|1772.6006989999998|696.3887025|13.69020024|1.0|1.0|1.0|3.0|2.7|0.12|17.0|-7.28|4.03|81.23|2.75|2.0|135.78|6.0|-6.39|0.0|1.0|3.22|1.15e-05|0.0049|1.89e-05|0.00807|3.55|0.0|5.27e-08|2.25e-05|-0.0603299999999999|3.6709|3354.0|-1409.5865199999998|-1409.557954|660.04|1164.34|337.75|502.31|0.7044|-1409.309206|6.5627|-0.2001|0.02856649|14.0|7.8633|7.8633
13a_a6|0.0|1|0|0|3.417162147|0.0|1|1|0.0|5.351858133|-0.0265090529999999|1|0.031837397|0.0015242189999999|10.95129557|-0.0525259259999999|1|1|-0.10896749|-0.180339002|1|0.090839165|-0.091892803|0.8299950709999999|0.77450544|-0.094081761|-0.113446379|0.22670695|0.031866842|-74.18628740000001|154.9639272|0.22549456|147.4582473|-0.040840697|-48.51283287|13.62714959|-2.042034827|-40.23198232|82.36189896|0.467070451|2820.31296|506.474367|-17.46461983|0.240087608|15.08351934|0.8764206290000001|6019.922535|157.0011174|0.02016134|-339.9303794|1757.246214|627.4287311|13.18415753|1.0|1.0|1.0|2.0|3.2|0.12|23.0|-9.01|4.98|95.85|1.29|2.0|116.79|5.0|-6.1|0.0|1.0|3.52|3.11e-06|0.0012699999999999|1.02e-05|0.00417|3.8|0.0|9.77e-10|4e-07|-0.05018|5.9934|3651.0|-1350.085889|-1350.057702|695.29|1166.79|206.87|571.9|0.70072|-1349.834826|7.7145|-0.19987|0.02818646|46.0|7.3372|7.3372
SB431542_a8|0.0|1|0|0|3.172627551|0.0|1|1|1.4114120369999998|5.4161004020000005|-0.1950388569999999|1|0.096884952|-0.029382296|10.94951956|-0.0453332859999999|1|1|0.055198015|0.089375589|1|0.229470029|-0.072891515|0.8220300859999999|0.5653298489999999|-0.128342313|-0.124595991|0.274152231|0.034730361|-74.57768059|170.1252996|0.434670151|260.1744351|-0.048754953|-44.6389196|12.44282236|-2.242727845|-45.98111161|97.60813043|0.476091179|2801.428659|338.38158389999995|-17.46740332|0.239171941|14.04829994|0.908729075|6203.505123|143.157805|0.025179219|-312.2404091|1764.391093|529.053307|15.07117296|0.0|1.0|0.0|2.0|2.75|0.05|23.0|-6.76|3.13|112.23|1.9|1.0|109.21|4.0|-7.04|0.0|0.0|2.58|3.99e-05|16.0|7.28e-05|0.0292|2.4|0.0|1.74e-07|6.96e-05|||||||||||||||79.08|4.1019|4.1019
3j_a32|0.0|1|1|1|3.564417045|0.0|0|1|0.0|6.3044488020000005|-0.017889768|0|-0.029763115|-0.086191775|10.31100276|-0.052622352|3|3|-0.052818794|-0.097980957|0|-0.020129489|-0.084553991|0.8884057059999999|0.865101945|-0.070289671|-0.095013178|0.27811778|0.013773753|-50.46105839|47.55031019|0.134898055|71.64373163|-0.030815085|-26.79963418|3.885056172|-1.140158136|-19.82606536|44.64569478|0.4482615029999999|2282.569698|459.4516326|-8.691773249|0.251226|10.69497519|0.812452828|4866.613493|133.42496409999998|0.015301673|-264.245436|808.6988876|398.2788055|8.126647477|1.0|1.0|1.0|1.0|3.0|0.24|19.0|-6.69|6.68|110.94|1.94|1.0|95.74|3.0|-5.6|0.0|1.0|4.09|1.21e-06|0.0004089999999999|1.58e-05|0.00533|3.89|0.0|2.03e-07|6.86e-05|-0.05361|3.4982|3.4982|-1671.507439|-1671.479105|564.55|934.19|354.42|405.19|0.7028|-1671.351322|3.6238|-0.19859|0.02833407|8.0|8.0969|8.0969
12au_a36|-3.3109381210000004|1|0|0|3.422314661|0.0|2|2|0.0|5.351858133|-0.351827031|2|0.075815782|-0.023640632|10.31810353|-0.03802163|1|1|-0.15024383|-0.261631709|1|-0.021932444|-0.058671909|0.877827228|0.698996981|-0.090166553|-0.110305773|0.284342092|0.021569487|-79.35600767|102.3999102|0.301003019|216.5471227|-0.038036474|-57.09017539|11.16356587|-2.206115469|-46.66686194|80.38496714|0.492871181|3484.987058|502.8713191000001|-19.68626738|0.283941389|17.67586495|0.97188557|7239.100414|204.2726719|0.023021031|-310.873098|2216.466823|805.2286932|16.56175445|0.0|0.0|0.0|3.0|0.0|0.17|17.0|-6.87|1.28|123.75|0.84|1.0|142.02|7.0|-8.03|0.0|0.0|1.18|0.0001409999999999|0.0668|0.0001889999999999|0.0897|1.64|0.0|1.36e-07|6.45e-05|-0.0570899999999999|5.1307|3.7105|-1876.207937|-1876.156196|752.27|1283.4|241.65|618.65|0.70395|-1875.89525|6.1367|-0.2087099999999999|0.05174058|47.0|7.3279|7.3279
3_a4|0.0|0|0|0|0.0|0.0|1|1|2.147369615|5.4161004020000005|0.03287721|2|-0.07806942|-0.010537082|10.92992985|0.050638298|1|1|-0.048796855|-0.08121207|2|-0.0862461019999999|0.0904255319999999|0.8367373309999999|0.919804716|-0.052578183|-0.06572153|0.462670692|0.010568144|-31.92506825|12.23442244|0.080195284|38.95587796|-0.024645574|-15.5080075|2.493716402|-0.985822953|-12.40663231|30.67413075|0.430553837|2159.04913|446.8068266|-5.815502811|0.280312336|8.486341272999999|0.7560922609999999|4677.30755|136.1652785|0.015358792|-213.4321476|665.3942366|409.0289917|7.460728516|1.0|0.0|1.0|0.0|2.86|0.15|21.0|-7.19|4.02|43.6|2.44|0.0|95.12|2.0|-5.99|1.0|1.0|3.31|0.000198|0.0617|5.520000000000001e-05|0.0173|3.12|0.0|6.49e-08|2.03e-05|-0.04964|4.9088|4.0639|-990.6395508|-990.6149055|535.44|905.23|252.57|350.36|0.58615|-990.467184|2681.0|-0.21969|0.024645265|104.0|6983.0|6983.0
8a_a50|0.0|1|1|1|3.139870661|0.0|1|1|2.03117465|5.777652323|-0.021959577|1|-0.0224366579999999|-0.150515325|10.94501357|-0.058014797|2|2|-0.065546446|-0.11385159|1|-0.188882361|-0.095292123|0.8718949979999999|0.860876738|-0.069208148|-0.08230347|0.278028663|0.018809422|-41.48493288|133.8183888|0.139123262|70.12485884|-0.031655181|-20.91041439|4.778811898|-1.234552044|-17.58335405|44.36511568|0.46183401|2206.356773|433.9235497|-8.042467074|0.248584287|10.69309012|0.858162757|4638.284496|125.2985144|0.017017336|-253.4513797|828.1354551|388.171611|8.577560914|1.0|0.0|1.0|1.0|2.01|0.11|20.0|-6.32|3.63|59.39|2.02|0.0|94.75|2.0|-6.12|1.0|1.0|2.87|0.000138|0.0433|7.48e-05|0.0234|2.95|0.0|4.82e-07|0.000151|-0.0280699999999999|5.622000000000001|4.1738|-1006.671867|-1006.637067|548.47|912.7|220.53|396.63|0.60625|-1006.508913|3.5509|-0.20051|0.03479985|47.0|7.3279|7.3279
32_a47|0.0|0|1|1|0.0|0.0|1|1|1.998170616|4.727387819|0.000921003|3|-0.013510009|-0.026022099|10.95005715|-0.044598914|1|1|-0.077485193|-0.157688306|2|-0.0094137619999999|-0.078006445|0.858292442|0.851627782|-0.05770007|-0.0726950079999999|0.266433793|0.019295804|-52.38450683|28.55112477|0.148372218|106.9180086|-0.026060474|-37.74862456|10.01980854|-1.381205148|-29.9621436|55.48373932|0.44289006|2808.210157|613.6886524|-13.53252578|0.35883878|15.53902041|0.794977846|6235.398576|258.5816152|0.022735861|-203.4434306|1552.348456|682.9868225|16.38361254|1.0|0.0|1.0|2.0|3.67|0.26|21.0|-8.82|4.18|67.66|3.11|2.0|125.17|5.0|-6.34|0.0|1.0|3.94|1.5399999999999998e-05|0.00674|8.89e-06|0.0038799999999999|3.7|0.0|1.5e-09|6.55e-07|-0.05682|4.9046|3.6829|-1778.127634|-1778.0970140000002|692.49|1184.76|252.79|548.86|0.68986|-1777.843462|4.8234|-0.20778|0.03062031|0.1|7.0|7.0
