molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nARing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|SaaaC|ATSC1c|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC1i|GATS1are|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA3|FNSA5|PNSA3|PPSA3|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
12v_a36|0.0|1|0|0|3.468871488|0.0|7.412764017000001|2|0.0|-0.077763989|-0.008411281|-0.04314418|2|0.0|-0.487854327|-0.086194201|10.96020642|1|0.003077071|-0.239932418|0.8913597320000001|0.828393514|0.024751559|-0.041914045|0.8792981679999999|0.802291339|-0.078158778|-0.105200486|-51.4172081|17.85767346|-0.033118671|-45.52806671|0.462992841|0.6276553979999999|-1.788408258|-21.78731129|69.27488156|0.461799225|-1176.51481|2328.221818|-14.33290989|0.372344602|15.71271745|0.8580426609999999|-773.9771341000001|34.71221847|0.02867403|-167.9576969|679.7230552999999|18.86337805|1.0|0.0|0.0|4.82|0.17|-6.69|2.77|1.89|78.43|130.24|0.0|1.0|6.0|-3.95|31.0|5.0|-6.93|0.0|0.0|1.81|-4.07|0.000113|0.0464|8.499999999999999e-05|2.65|0.0|0.0|8.340000000000001e-05|-0.05219|3.8847|2.65|3.7035|-1347.475543|-1347.442792|671.56|1150.38|334.77|0.4247|319.16|502.83|0.7016100000000001|0.0223|-0.15185|-0.20404|0.03275089|7.9237|7.8539
IN1233_a59|0.0|1|0|0|3.463603867|0.0|6.842683282|0|0.0|0.1160337319999999|-0.008841844|-0.12050413|2|1.983673343|-0.5039851160000001|-0.011236836|10.93301779|1|-0.004071701|0.003282792|0.809917509|0.74801464|-0.107446431|-0.090732503|0.80310139|0.7613246490000001|-0.092761756|-0.095213818|-61.73167061|7.208329477|-0.035929742|-42.16752524|83.1557517|0.810795898|-1.904276352|-23.91074854|68.94000009|0.483639625|-1267.269673|1822.396842|-15.91227368|0.1892041019999999|15.51626497|0.936631949|-843.3505049|29.49046561|0.0134658889999999|-413.6607749|712.1606951|8.961363774|1.0|1.0|1.0|3.48|0.08|-10.0|5.54|4.69|97.55|125.07|0.0|0.0|5.0|-5.59|32.0|4.0|-6.13|0.0|1.0|3.78|-5.16|2.54e-06|0.00107|6.91e-06|3.85|0.0|0.0|4.17e-08|-0.05605|5.2194|5.35|3.5355|-1352.351584|-1352.326849|703.47|1204.16|350.69|0.2623|237.54|531.14|0.6953699999999999|0.2011|-0.14684|-0.20289|0.02473496|7.6059|7.4685
18_a10|0.0|0|0|0|0.0|0.0|7.78113851|2|2.142254323|-0.182332901|-0.00309846|0.0307177839999999|2|2.026949641|-0.1859075939999999|-0.052165302|10.92966688|1|0.010573165|-0.143149563|0.7155022459999999|0.785539083|0.048377088|-0.0507442929999999|0.832812971|0.885552955|-0.0575419659999999|-0.076052353|-36.52271591|12.12013168|-0.024889861|-30.63863373|123.3621791|0.641615544|-1.368942347|-15.79795381|48.64284759|0.4670293179999999|-868.8874593|2137.914113|-10.02718922|0.358384456|13.51828833|0.876275815|-551.4954071000001|24.62214943|0.020666062|-179.7708584|713.2632062000001|13.11704755|0.0|1.0|1.0|4.07|0.32|-7.88|4.65|4.66|62.06|119.81|0.0|1.0|5.0|-4.48|31.0|5.0|-6.34|0.0|1.0|3.67|-4.77|3.34e-05|0.0138|1.7100000000000002e-05|3.49|0.0|0.0|5.44e-06|-0.0495699999999999|5.7687|2.65|3.7977|-1336.433782|-1336.404041|687.19|1181.5|326.47|0.2962|214.93|504.61|0.6866300000000001|0.1637|-0.15735|-0.20692|0.02974086|5.9029|6.8861
1_a1 (SKF-104365)|0.0|0|0|0|0.0|0.0|7.535296702|1|2.196347317|0.011230812|-0.006055958|-0.01959813|1|0.0|-0.218014497|-0.10236005|10.33812228|1|0.002250781|-0.300426726|0.57031697|0.7926983559999999|-0.015406451|0.194988905|0.857919181|0.8131557509999999|-0.067997692|-0.081192283|-31.45099608|6.18316314|-0.029524467|-17.369816|63.42504103|0.709744919|-0.9743074|-13.65596178|37.63415922|0.416807085|-450.6467387|1551.362941|-6.316296726|0.290255081|9.042613965|0.71469847|-208.4377919|19.24066156|0.018973797|-194.0267797|297.2783688|8.775956802|1.0|1.0|1.0|2.97|0.12|-6.0|3.93|4.28|56.01|81.72|0.0|1.0|2.0|-3.8|21.0|3.0|-6.01|0.0|1.0|3.27|-4.02|0.000159|0.0472|9.65e-05|2.96|0.0|0.0|0.000295|-0.03482|3.8901|3.45|3.8901|-1279.084677|-1279.060907|491.18|809.96|318.72|0.2178|318.72|358.09|0.70081|0.2178|-0.16142|-0.19624|0.02377006|6.9338|5.7959
12c_a36|0.0|1|0|0|3.447900368|0.0|7.412764017000001|2|0.0|-0.087096843|-0.007667703|-0.04162109|2|0.0|-0.414055975|-0.0621599059999999|10.95982545|1|0.0010871589999999|-0.177407665|0.8941919290000001|0.819222745|-0.033217921|-0.097861598|0.8741648479999999|0.840733512|-0.073370864|-0.105624703|-47.12722334|12.5779546|-0.038024893|-43.57746274|6.546878962999999|0.75500974|-1.901244658|-24.42396797|59.70517794|0.473610011|-1221.198398|2365.641348|-15.68788659|0.24499026|12.86584957|0.899732176|-784.3943293|32.34920911|0.019278991|-327.5932797|629.5017194000001|12.38318928|1.0|0.0|0.0|4.74|0.14|-7.18|3.35|2.54|69.2|128.76|0.0|1.0|5.0|-4.44|30.0|4.0|-6.49|0.0|1.0|2.34|-4.59|3.64e-05|0.0151|2.55e-05|3.31|0.0|0.0|2.77e-05|-0.04992|3.8436|3.79|3.8436|-1692.540795|-1692.511019|672.74|1137.55|322.58|0.3927|322.58|509.61|0.68913|0.3927|-0.15835|-0.2082699999999999|0.02977602|6.6973|8.0458
17c_a50|0.0|0|1|1|0.0|0.0|7.934155233999999|2|4.349159921|-0.212075666|-0.002676029|0.024219848|2|2.193763306|-0.1766179239999999|-0.144763835|10.94500663|2|0.012222674|-0.373205592|0.762883243|0.774994313|-0.139943634|-0.212611846|0.816442883|0.89719894|-0.051905615|-0.073693343|-35.70979598|14.91199042|-0.021745577|-34.87982686|94.15397246|0.569750429|-1.32648017|-14.96042594|50.6217864|0.49503436|-912.5859825|2014.72331|-10.29240792|0.430249571|16.45688922|0.98033276|-627.8368834|26.25785813|0.0232952879999999|-95.97318605|849.1345426000001|16.02658985|0.0|1.0|1.0|4.12|0.35|-6.79|3.59|3.53|61.0|134.28|0.0|1.0|6.0|-3.8|33.0|5.0|-6.96|0.0|0.0|3.1|-4.43|0.000158|0.0698|3.75e-05|2.86|0.0|0.0|7.08e-05|-0.03121|4.2397|2.74|4.0432|-1411.187392|-1411.157813|746.5|1289.05|306.65|0.1814|292.44|596.23|0.66213|0.1801|-0.16697|-0.19818|0.02957871|8.5146|7.1612
13f_a6|0.0|1|0|0|3.440154557|0.0|6.842683282|0|0.0|-0.088329567|-0.006930367|-0.008507023|2|1.651047524|-0.381170169|-0.071478789|10.95053349|1|-0.001446486|-0.223618825|0.841211811|0.77199166|-0.028317736|-0.088948538|0.834167942|0.863222493|-0.073352505|-0.092939631|-49.2635105|12.46087045|-0.032802223|-41.92004677|0.0|0.720711855|-1.672913351|-22.02995852|61.72438096|0.401838426|-1123.527884|3253.287533|-14.79531062|0.279288145|15.13042752|0.6717890999999999|-754.5608419|30.56694343|0.0196449239999999|-296.4599736|676.2770877|13.19352214|1.0|1.0|1.0|3.56|0.08|-10.18|5.01|4.53|103.17|123.82|0.0|0.0|5.0|-5.11|32.0|5.0|-6.52|0.0|1.0|3.19|-4.78|7.74e-06|0.00323|1.65e-05|3.27|0.0|0.0|2.75e-08|-0.07786|4.8413|3.36|3139.0|-1347.301285|-1347.266914|711.29|1202.78|394.98|901.0|256.1|568.41|0.70541|0.0048|-0.12805|-0.2059099999999999|0.03437105|13.9612|7.3768
14a_a23|0.0|0|1|1|0.0|0.0|7.423568444|0|3.39397765|0.050806184|-0.0056795759999999|-0.0246126279999999|2|0.757767133|-0.289658385|-0.0518554529999999|10.31321831|2|0.011363191|-0.137733142|0.72792508|0.7556436440000001|0.114693804|-0.123790952|0.816237166|0.918677038|-0.055677662|-0.08032517|-35.20994211|12.33442989|-0.0341809229999999|-32.12331106|80.54176247|0.7807587890000001|-1.606503401|-21.61564087|47.54437201|0.462434482|-1015.935121|2173.7139190000003|-13.66949407|0.219241211|14.2658736|0.8602383659999999|-642.4662212000001|27.68542751|0.016707951|-355.0975547|601.8533922|10.56592489|1.0|1.0|1.0|3.41|0.05|-7.41|3.36|4.02|105.02|120.28|0.0|1.0|5.0|-5.47|30.0|4.0|-6.27|0.0|0.0|3.37|-4.96|3.38e-06|0.00139|1.1e-05|3.58|0.0|0.0|1.6100000000000002e-05|-0.07379|3.7119|3.47|3.7119|-1629.928331|-1629.90669|665.5|1134.02|334.02|0.3764|334.02|516.58|0.6289100000000001|0.3764|-0.15002|-0.2238099999999999|0.0216412|8.3962|8.5498
12i_a36|0.0|1|0|0|3.27619957|-4.787087299|7.412764017000001|2|0.0|0.043792895|-0.016027043|-0.29543904|2|0.0|-0.929568494|0.128325344|10.96020192|1|-0.007897954|-0.3344729369999999|0.647732719|0.820041835|0.141564781|-0.01509434|0.87043328|0.830964232|-0.0850745409999999|-0.117424873|-54.81607619|12.71877085|-0.045665229|-48.75024044|0.52902639|0.7691298590000001|-2.46592234|-29.42347522|67.53484704|0.460246812|-1588.867662|2351.232652|-18.95842684|0.230870141|13.98728916|0.8526986440000001|-1023.755049|38.2555363|0.022430221|-346.8168661|672.4630346|14.45246358|1.0|1.0|0.0|4.8|0.17|-7.14|3.31|4.04|78.43|130.43|0.0|1.0|7.0|-5.2|34.0|8.0|-6.4|0.0|0.0|2.65|-5.07|6.26e-06|0.00291|8.6e-06|3.86|0.0|0.0|3.37e-05|-0.05065|5.2297|4.86|3.7496|-1645.2030949999998|-1645.171438|666.79|1172.5|330.66|0.5402|237.08|504.47|0.70134|0.1516|-0.1541|-0.20475|0.03165678|6.6124|7.9208
9_a10|0.0|0|0|0|0.0|0.0|7.535296702|1|1.998759814|-0.096384071|-0.004530817|-0.032199235|2|1.754798254|-0.285441469|-0.1189611519999999|10.92721632|1|0.007847998|-0.239634564|0.7141481129999999|0.791322552|-0.000865755|-0.169389445|0.837889476|0.8694452140000001|-0.057690053|-0.084348428|-40.90513782|9.815155744|-0.028592687|-42.40634438|59.95939417|0.73129178|-1.686968561|-20.27364785|50.72029356|0.45291714|-1196.145223|2284.568215|-14.37503199|0.26870822|16.02210901|0.827876677|-848.1268877|27.72306267|0.015893979|-327.9949188|816.3832816|11.26962754|1.0|1.0|1.0|4.0|0.23|-7.93|3.69|3.68|75.94|130.71|0.0|1.0|7.0|-4.23|33.0|5.0|-6.87|0.0|0.0|3.07|-4.44|5.920000000000001e-05|0.0259|3.64e-05|2.97|0.0|0.0|5.14e-06|-0.06118|5.5668|4.51|3.7309|-1410.041793|-1410.005954|740.24|1278.57|332.32|0.4138|222.72|631.5|0.68962|0.0041|-0.15045|-0.21163|0.03583924|4942.0|6.7144
