molecula|SddssS|NaaNH|n9FaHRing|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1c|GATS1are|BIC2|MATS8d|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
10_a1|0.0|1|0|0|0|1.435871163|0.0|0.0883621719999999|-0.014135827|4.727387819|-0.23385288|1|0.037578348|0.049971022|-0.621976404|10.94957578|0.010430299|-0.0106277489999999|0.107434253|-0.623957903|0.674381582|0.7227844929999999|0.017498337|0.669963758|-0.116648443|-0.10949971|0.126889306|0.014751098|-65.97424138|-61.93104798|8.34295348|212.8090837|186.6625065|64.49041745|0.8340962559999999|-37.31383317|70.6564636|74.31719486|0.459673515|378.9193385|-1052.827816|1768.2330920000002|-14.52342192|7.376231317999999|13.65143394|0.850732895|5192.858899|93.83214542|30.78628757|0.015427326|-377.9175542|1262.237791|433.2550452|8.725415617000001|1.0|0.0|0.0|2.18|0.0|4.86|5.06|78.87|2.78|0.0|99.61|0.0|1.0|-4.98|5.0|-5.91|359.35|0.0|-4.73|1.87e-05|0.00673|9.53e-09|3.42e-06|3.4067|5.81|3.4067|-1223.159954|-1223.125689|585.51|0.6754|363.94|464.77|0.70345|0.6754|5.3861|-1223.022387|7807.0|1.5|5.8239
14z_a23|0.0|0|1|0|0|1.197960872|3.305974434|0.08752343|-0.005892861|5.351858133|-0.024897956|2|0.04314059|0.038811869|-0.30053593|10.31321795|-0.0229244|0.007229683|0.0708381429999999|-0.46459002|0.719722236|0.802520527|-0.035965909|0.925301102|-0.0582387179999999|-0.079754981|0.228957475|0.018337664|-40.56245532|-55.54823244|12.77192721|40.18308023|52.02674091|79.960755|0.785604449|-28.25118461|66.77741935|53.33438253|0.474697407|644.4593172|-1110.964649|2692.627452|-16.46322104|7.834464959|14.91419434|0.903664694|7285.13008|149.3235124|30.08835522|0.01612263|-397.8390333|1414.152695|665.6233736|11.22918692|0.0|1.0|1.0|3.67|0.05|4.64|5.32|105.02|3.99|1.0|130.3|0.0|1.0|-6.77|4.0|-5.8|480.37|0.0|-6.13|7.37e-07|0.000354|2.6899999999999996e-09|1.29e-06|4032.0|4.73|3.6632|-2549.107748|-2549.0953670000004|715.41|0.3201|307.5|586.28|0.69913|0.2917|5.9301|-2548.957384|7.9877|5.0|8.2941
14b_a25|0.0|0|0|0|0|1.420015222|1.616664856|-0.091382738|-0.004720915|4.727387819|-0.0166120069999999|2|0.038137255|0.001683506|-0.273813082|10.93106299|0.0009956189999999|0.004892038|0.0028569959999999|-0.3691494039999999|0.6524261960000001|0.7723870909999999|0.001715854|0.859628015|-0.076156512|-0.084160084|0.329662946|0.016003559|-52.75064158|-58.29440389|11.08504021|112.49583529999998|97.23019209|57.85340824|0.772789587|-36.53830946|69.2012501|63.83568179|0.490638154|595.4307570000001|-1224.182482|2118.281186|-15.70265555|8.690235527|17.06102567|0.963240883|6760.594953|157.3797801|29.33534086|0.015746299|-377.9013888|1584.108407|760.3735147000001|10.90684621|1.0|1.0|1.0|3.21|0.07|4.48|4.79|96.49|1.8|0.0|130.97|0.0|1.0|-5.6|5.0|-6.26|444.49|0.0|-5.23|5.86e-06|0.00261|2.23e-10|9.93e-08|5.4239|5.61|4069.0|-1444.544749|-1444.505985|716.14|0.3614|228.59|603.27|0.64983|0.0006|2.7037|-1444.330251|3.2784|22.0|7.6576
5_a4|0.0|0|0|1|1|1.343864516|2.166832955|-0.196773454|-0.001215982|5.4161004020000005|0.02257929|2|0.035994832|0.012532807|-0.0607990979999999|10.92992834|-0.134215501|0.0111310589999999|0.0202481919999999|-0.164263889|0.655087104|0.767615203|-0.229773463|0.943148502|-0.050732198|-0.0681917309999999|0.431132276|0.008047242|-27.26045038|-36.64215945|4.324106888|13.96974087|30.54859623|46.53110402|0.807351587|-14.64813624|41.76764149|31.58455727|0.413773331|506.7916175|-622.9167106000001|1896.178084|-7.276482574|5.758733969|9.823391314|0.7058248159999999|5059.243919|103.5177395|16.77294978|0.009538616|-330.3047347|771.5556899000001|518.5792364|5.125482045|1.0|1.0|1.0|3.08|0.23|4.89|4.67|43.6|2.88|0.0|104.89|0.0|1.0|-4.57|3.0|-5.57|340.42|0.0|-4.84|1.4499999999999998e-05|0.0049299999999999|1.09e-08|3.71e-06|4.8582|3.71|4.0239|-1069.27374|-1069.251223|595.55|0.1106|255.2|421.24|0.6019899999999999|67.0|2.7859|-1069.102899|3.1619|71.0|7.1487
1c_a5|0.0|1|0|0|0|1.424607938|0.0|-0.268536978|-0.001983746|4.59511985|-0.006491037|2|0.0248765429999999|-0.080321049|-0.085301064|10.9433337|-0.058823529|0.007357977|-0.133677441|-0.20172074|0.71274658|0.7595197290000001|-0.109439124|0.88631419|-0.068062282|-0.070346332|0.436308619|0.008349498|-34.82350689|-35.99212225|4.27195187|160.5407184|58.16640976|0.0|0.753027268|-17.81716094|43.86175561|39.09545876|0.476413155|453.4753671|-575.8739559999999|873.709445|-7.366029352999999|6.063350238|11.580409800000002|0.909902834|4387.398857|126.3615674|19.11862892|0.0153811389999999|-258.918642|764.7451566000001|409.0289917|7.869633359|1.0|0.0|1.0|2.09|0.05|4.99|4.51|54.46|2.13|0.0|95.45|0.0|1.0|-4.25|3.0|-5.77|312.37|0.0|-4.45|3.5600000000000005e-05|0.0111|3.87e-09|1.21e-06|4.8783|3.17|4.5088|-990.6223073|-990.5931502|556.84|271.0|254.15|410.52|0.53838|0.1076|1.7105|-990.516371|2.6801|3981.0|5.4
1k_a5|0.0|1|0|0|0|1.427567903|0.0|-0.216088148|-0.0030192829999999|4.59511985|-0.064652321|2|0.026339869|-0.095857885|-0.120771321|10.9489659|-0.011848312|0.003708988|-0.220946861|-0.254495542|0.567806811|0.7824502320000001|-0.022280685|0.7836926809999999|-0.078995018|-0.074297856|0.425724957|0.010892351|-40.40908188|-38.00629774|5.571869083999999|165.11680719999998|110.6497654|0.498979532|0.724954458|-20.67084672|47.83775802|45.98095096|0.48165588|400.8898627|-570.0944662|824.0133397999999|-7.881781385|6.710535795|12.9461019|0.929220303|4479.484358|140.69669409999997|21.25369168|0.019219352|-230.14624|786.3865923|357.34245360000006|9.83146028|1.0|0.0|1.0|2.02|0.0|4.88|4.76|54.46|2.29|0.0|90.44|0.0|1.0|-3.97|4.0|-5.99|316.33|0.0|-4.3|4.970000000000001e-05|0.0157|4.99e-09|1.58e-06|4.7221|3.1|4.4063|-1050.548505|-1050.51717|533.8|0.6242|262.56|398.63|0.5282|0.1239|1.5911|-1050.468159|2.3036|48.0|7.3188
11b_a31|0.0|1|0|1|1|0.610137403|0.0|0.078614731|-0.01950528|5.733341277|-0.172248605|0|0.043380952|-0.078907688|-0.838727032|10.31169957|-0.046362952|-0.010716217|-0.129901143|-0.564706551|0.833717183|0.834596039|-0.074254978|0.545458754|-0.143839236|-0.148709304|0.26165445|0.037758271|-80.0942166|-82.80602396|21.02499452|286.7721447|253.1028809|87.78853803|0.669723835|-44.59898223|100.3071755|101.1192111|0.473305522|303.7286124|-993.6722875|1756.711832|-13.83270059|6.83089364|12.96936635|0.8986339170000001|5202.545866|183.9081702|37.09261324|0.0314298879999999|-189.0151528|1483.70453|397.3137532|17.50115151|1.0|1.0|1.0|2.29|0.24|4.67|3.25|125.57|0.79|0.0|92.51|0.0|2.0|-4.74|6.0|-6.73|357.38|0.0|-3.75|0.000178|0.0637|3.59e-06|0.00128|3.8437|4.07|3.8437|-1520.085181|-1520.0430279999998|589.56|0.2634|322.57|479.66|0.70073|0.2634|3.2104|-1519.967224|4.7518|0.53|6.2757
14_a15|0.0|0|0|0|0|1.43568901|0.0|-0.058775738|-0.006678826|0.0|-0.0455566929999999|2|0.037073171|-0.033982971|-0.374014235|10.9597359|-0.015736888|0.0034254209999999|-0.051908601|-0.3848940629999999|0.8310685940000001|0.719993769|-0.028227917|0.8870890459999999|-0.063809873|-0.0917424269999999|0.7461324029999999|0.014672137|-40.89540491|-58.79722871|9.403293601|92.51564418|72.36402409|2.923143027|0.770309725|-26.20964538|68.59458198|50.29869851|0.406717767|568.5306056|-1117.1473460000002|2731.841165|-13.50893838|6.040010666000001|10.18067005|0.685538423|5861.387612|147.2072638|27.36334635|0.015286995|-346.4801021|1450.257357|673.7288405|9.797353271|1.0|0.0|1.0|3.72|0.12|5.32|6.3|56.27|2.87|0.0|119.95|0.0|1.0|-6.22|4.0|-4.97|397.47|1.0|-5.83|1.47e-06|0.000584|1.51e-10|5.99e-08|4.4518|5.16|3.6209|-1281.105795|-1281.0669369999998|689.8|0.3131|278.5|584.18|0.7055899999999999|0.0054|3.3596|-1280.87015|5.0894|0.03|7.5229
7s_a46|0.0|0|0|1|1|1.160371307|2.117265684|-0.0778653109999999|-0.005351046|5.533389489|-0.076841616|1|0.044509804|-0.210750635|-0.240797051|10.94651358|-0.020953253|0.005577925|-0.327656845|-0.3638523629999999|0.778692012|0.770312275|-0.030371026|0.858788462|-0.096723151|-0.083011849|0.249893305|0.008871171|-48.61321955|-41.72189594|4.458665639|166.3052939|70.97315818|0.0|0.8198874559999999|-24.43308641|47.36217237|53.07188519|0.433822088|431.6285339|-667.5503351|1619.4591|-7.988379237|5.565371272|9.829721631|0.7662292690000001|4245.390306|90.5248694|19.38565529|0.01122216|-321.55195330000004|814.1975221|409.9543818|5.640276426000001|0.0|0.0|1.0|2.33|0.26|3.65|3.9|50.94|2.39|0.0|91.19|0.0|1.0|-4.07|3.0|-5.81|305.37|0.0|-4.24|5.76e-05|0.0176|8.39e-07|0.000256|5.2972|3.54|4293.0|-974.8067569|-974.7707066|539.99|0.4164|234.06|446.63|0.69976|0.1186|2.4286|-974.664103|3.6655|1985.0|5.7022
12b_a32|0.0|1|1|0|0|0.609420757|0.0|0.115940697|-0.009432679|5.733341277|-0.055500132|0|0.0388738739999999|-0.044307211|-0.462201267|10.31100269|-0.053480599|-0.001662219|-0.079768013|-0.584995111|0.788133615|0.838021287|-0.090027803|0.782593|-0.081450418|-0.097525366|0.2996018789999999|0.016282332|-50.88975159|-60.93328667|10.17310723|90.57560878|135.83463989999998|65.29222164|0.60420609|-31.79562339|76.65746734|61.06285882|0.430631506|488.9595947|-792.1327267000001|3148.185476|-10.75912958|7.076348793999999|12.42841652|0.756331814|5653.268811|247.2897528|28.50066715|0.025166975|-130.2147289|1311.0306890000002|557.1050635|15.72418067|1.0|1.0|1.0|2.9|0.26|6.49|4.19|140.04|1.1|0.0|110.47|1.0|1.0|-5.9|4.0|-6.4|397.52|1.0|-4.43|3.72e-05|0.0148|2.23e-08|8.86e-06|3.5703|4.12|3.5703|-1880.770588|-1880.732075|663.89|0.2865|347.27|541.49|0.70258|0.2865|3208.0|-1880.599158|4.1080000000000005|26.0|7585.0
