molecula|n9FaHRing|SssssC|SRW09|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aRing|AATSC7i|MATS1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|WNSA5|WPSA3|FNSA2|DPSA5|PNSA4|DPSA3|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
1n_a5|0|0.0|6.605297921|0|1.427557749|-0.1387762669999999|-0.007315978|4.59511985|2|0.024388889|0.002508727|-0.3365350029999999|0.004367323|10.94528897|-0.047910067|1|0.004115733|-0.00966135|2|0.77828693|-0.013686011|-0.087019366|0.8402078140000001|0.785210014|-0.082180848|-0.081950989|0.428980979|0.023129277|-47.04056285|13.27640087|-27.00168194|7.620766672|-1.311215832|63.57058627|-17.50346525|60.44890447|450.71720610000006|-752.6490056|889.4388375|-10.04713747|0.372248254|7.881746117|0.937489579|213.67365440000003|-432.02691110000006|27.88278228|0.028797525|-146.6611704|467.1194103|16.53002342|1.0|1.0|1.0|2.88|23.0|-8.07|80.76|1.72|1.0|0.0|101.77|5.0|27.0|5.0|-6.41|356.38|0.0|3.14|-4.18|6.56e-05|0.0234|0.0|8.43e-09|3.01e-06|4.3838|-1179.169527|607.15|282.82|282.82|481.06|0.44786|0.44786|0.3789|-0.23278|-1179.073189|27.0|7.5686|7.5686
3n_a32|1|0.0|7.773594467000001|1|0.609420754|-0.0376583329999999|-0.00615216|5.733341277|1|0.035643275|-0.056907012|-0.295303659|0.000609539|10.3110027|-0.0711168609999999|3|-0.100681119|-0.086764744|0|0.816774665|-0.018016496|-0.121627423|0.868826775|0.840041782|-0.074507943|-0.092745182|0.287402381|0.01889769|-53.32184118|10.86481886|-30.65624207|6.246493173999999|-1.205687365|65.41881458|-15.75418035|53.70155314|482.963897|-693.1839353999999|2426.73803|-9.057526067|0.351066886|6.369579712999999|0.840580248|201.8383309|-398.5311469|24.27704797|0.0210408339999999|-171.25176130000003|522.1674161999999|12.0969734|1.0|1.0|1.0|3.51|19.0|-6.96|120.17|1.58|2.0|0.0|106.44|3.0|26.0|4.0|-5.98|382.5|0.0|4.07|-4.91|1.23e-05|0.0047|0.0|1.1e-07|4.19e-05|3.5459|-1825.349557|614.67|349.65|349.65|464.67|0.7028399999999999|0.7028399999999999|0.2839|-0.20256|-1825.218291|21.0|7.6778|7.6778
12b_a36 (EW-7197)|0|0.0|7.412764017000001|2|1.2970445309999998|-0.104514139|-0.008137593|5.351858133|2|0.040899471|0.027495626|-0.439429998|-0.002526241|10.96052467|-0.056994595|1|0.059005046|-0.101303149|1|0.819222745|-0.001567914|-0.097861598|0.8741648479999999|0.7635183720000001|-0.081357853|-0.10866747|0.458627252|0.021439664|-67.98756422|13.41367899|-42.53627024|8.392238798|-1.956014468|80.95733534|-24.47552312|64.31504105|477.6935927|-1223.776156|2338.370858|-15.31305729|0.253252648|6.764872303|0.851455231|158.4469629|-765.6528642999999|32.77617664|0.020730147|-308.7538779|595.8790650000001|12.96977113|||||||||||||||||||||||||3.7725|-1332.147999|659.48|328.66|322.25|486.64|0.6824899999999999|0.69991|0.0197|-0.20546|-1332.005651|7.0|8.1549|8.1549
14z_a23|1|0.0|7.423568444|0|1.197960872|0.08752343|-0.005892861|5.351858133|2|0.04314059|0.038811869|-0.30053593|0.009174505|10.31321795|-0.0229244|2|0.0708381429999999|-0.069023218|2|0.802520527|0.10796308|-0.035965909|0.8668730109999999|0.925301102|-0.0582387179999999|-0.079754981|0.228957475|0.018337664|-55.54823244|12.77192721|-38.68856944|8.895469235|-1.595099623|66.77741935|-23.63754572|53.33438253|644.4593172|-1110.964649|2692.627452|-16.46322104|0.214395551|7.834464959|0.903664694|149.3235124|-773.7713888999999|30.08835522|0.01612263|-397.8390333|665.6233736|11.22918692|0.0|1.0|1.0|3.42|26.0|-8.57|105.02|3.99|2.0|1.0|130.3|5.0|32.0|4.0|-5.8|480.37|0.0|4.49|-6.13|7.37e-07|0.000354|0.0|2.6899999999999996e-09|1.29e-06|3.6632|-2549.0953670000004|715.41|338.46|307.5|586.28|0.66217|0.69913|0.2917|-0.23698|-2548.957384|5.0|8.2941|8.2941
3_a3|0|0.0|7.285506549|0|0.605000514|0.159413311|-0.010040064|5.283203728999999|1|0.034259259|-0.015653979|-0.3413621639999999|-0.007818326|10.31154314|0.069435247|2|-0.030486489|0.041786524|1|0.8083172479999999|-0.082619043|0.123113049|0.885339037|0.7538064790000001|-0.107269779|-0.098797066|0.583866845|0.012617742|-45.05306124|5.753894372|-20.54492513|2.623868963|-1.086767728|55.67251784|-15.98657012|54.67064981|343.74795510000007|-495.58367360000005|1349.6286710000002|-7.290134722999999|0.299996173|5.025797436|0.709760196|136.8031103|-225.9941764|22.83783244|0.023287455|-182.4099648|302.8386149|10.6194566|1.0|1.0|1.0|3.11|20.0|-6.15|121.17|1.41|0.0|0.0|88.36|2.0|21.0|3.0|-5.88|310.4|0.0|3.23|-4.39|4.06e-05|0.0126|0.0|7.009999999999999e-07|0.000218|3.3475|-1592.873593|491.26|370.38|212.09|316.65|0.29441|0.69206|0.0851|-0.20969|-1592.839065|1175.0|5.93|5.93
3b_a32|1|0.0|7.758333467000001|0|0.609420808|0.046791596|-0.007388108|5.733341277|0|0.042528736|-0.0411430079999999|-0.265971895|-0.001282231|10.31100281|0.10614163|3|-0.078754696|-0.0791178979999999|0|0.800396027|0.094335058|0.167519182|0.866250192|0.8407393809999999|-0.073068133|-0.100355499|0.2719741|0.014636992|-49.22963237|7.180211702|-24.14971513|3.522270202|-1.103910485|56.82775081|-16.40987746|43.023961|412.4267349|-541.5259561|1084.520517|-8.049905042|0.2358716619999999|5.765940603|0.854431185|115.707414|-265.6468664|21.47528975|0.0154889019999999|-259.1375886|323.0421997|7.59811844|1.0|1.0|1.0|3.11|19.0|-6.5|110.94|1.45|1.0|0.0|88.24|2.0|21.0|3.0|-5.57|312.41|0.0|3.68|-4.65|2.23e-05|0.00697|0.0|3.19e-07|9.97e-05|3.5545|-1594.095192|524.46|348.81|348.81|396.83|0.70257|0.70257|0.2905|-0.20137|-1594.049677|6.0|8.2366|8.2366
14ad_a23|1|0.0|7.423568444|0|1.197962774|-0.1101542319999999|-0.00790478|5.351858133|2|0.0444129979999999|0.118047355|-0.4663820279999999|0.008996289|10.31321689|-0.031279567|2|0.2086248289999999|-0.143336826|2|0.7830067820000001|0.165157698|-0.050707765|0.8356326820000001|0.887131635|-0.059168372|-0.085840335|0.224009311|0.033831691|-61.35364811|24.18091285|-43.85199724|17.28310144|-1.630966366|85.20135045|-21.19489662|66.47100256|634.0697778|-1165.7193140000002|2339.533586|-15.14887177|0.424119041|8.661363236|0.8866211979999999|303.1354708|-833.1879476|36.80430179|0.033365494|-108.4705382|770.8206617000001|23.84770234|0.0|1.0|1.0|3.73|26.0|-7.6|123.48|2.42|2.0|1.0|133.27|7.0|34.0|6.0|-6.68|471.53|0.0|3.39|-5.08|8.22e-06|0.0038799999999999|0.0|2.49e-08|1.17e-05|3.3867|-1858.942973|747.83|366.09|366.09|618.01|0.6956600000000001|0.6956600000000001|0.4106|-0.20659|-1858.733603|4.0|8.3595|8.3595
8f_a12|1|0.0|6.580639137|1|0.609895166|0.110310585|-0.008295703|4.59511985|2|0.038347953|-0.013400998|-0.3981937339999999|-0.002596875|10.31134658|-0.024023866|1|-0.023769395|-0.070713228|1|0.7475224290000001|-0.13747286|-0.042014638|0.80546986|0.869823177|-0.072634742|-0.098932601|0.285353468|0.013287637|-56.220383|7.550959323|-31.9483307|4.290980116|-1.6818542230000002|63.05721575|-21.72151161|48.82707007|494.2940092|-955.746511|1448.568734|-12.34367323|0.161876566|7.016225129|0.853035146|91.98952021|-543.1216218999999|25.9168408|0.012030968|-384.290491|524.0516742|6.836832748|1.0|1.0|1.0|4.09|21.0|-8.42|78.41|3.1|2.0|0.0|115.66|3.0|27.0|4.0|-5.47|369.44|1.0|3.82|-5.24|5.72e-06|0.00211|0.0|3.79e-09|1.4e-06|3.6536|-1481.115891|606.97|339.35|297.01|441.97|0.59107|0.65098|0.2466|-0.2124|-1481.008909|646.0|6.1898|6.1898
12ab_a36|0|0.0|7.412764017000001|2|1.297042596|-0.064515677|-0.007034881|5.351858133|2|0.039951691|0.035377607|-0.408023082|0.000939229|10.9540584|-0.029080933|1|0.0618552579999999|-0.096853381|1|0.831136366|-0.0852411419999999|-0.051707317|0.888163057|0.8410557559999999|-0.079202413|-0.095025338|0.452078227|0.024102201|-65.54680623|16.62527454|-45.21303385|11.46782191|-1.805481415|82.3666474|-23.06276515|71.2577056|580.1454645|-1245.389318|2390.849902|-15.90828969|0.320974676|7.821826146|0.941700118|221.4026852|-859.0476432|33.96451406|0.024384271|-246.9770378|708.5476357999999|16.81984117|1.0|0.0|2.0|4.86|17.0|-7.05|92.99|1.59|1.0|0.0|133.27|6.0|32.0|5.0|-7.21|420.47|0.0|1.8|-3.91|0.000122|0.0515|0.0|8.95e-08|3.76e-05|3.8845|-1364.468283|712.73|319.17|319.17|564.58|0.69294|0.69294|0.4451|-0.2093699999999999|-1364.300531|11.0|7.9586|7.9586
6f_a40|0|0.0|8.421342866|2|0.604893424|0.134099184|-0.01691341|6.401917197|0|0.038309179|-0.122783873|-0.8287570679999999|-0.009302776|10.30179966|-0.190617284|2|-0.233222505|0.048543494|0|0.836826225|-0.032826285|-0.268802228|0.896373207|0.655786513|-0.134203859|-0.130571562|0.363785804|0.015998475|-83.88605319|10.2782635|-53.89282175|6.6032981820000005|-2.350288117|92.77827871|-33.55442128|96.49789556|421.31181889999993|-1509.948957|3072.581297|-21.5571287|0.137191276|6.993991456|0.69723213|88.13890599|-970.0707913999998|38.88975659|0.013841059|-466.1748926|593.503189|8.892225517|1.0|1.0|2.0|4.05|14.0|-3.67|199.45|1.1|1.0|3.0|124.54|5.0|30.0|5.0|-6.9|457.55|0.0|2.61|-4.64|2.3e-05|0.0105|0.0|0.0002109999999999|0.0967|2.57|-2426.924155|668.95|482.43|346.89|507.64|0.66642|0.69911|0.0158|-203.0|-2426.787111|42.0|7.3768|7.3768
