molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|PPSA3|RPSA|FNSA4|WPSA3|RPCS|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|GRAV|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
4k_a46|0.0|0|0|0.0|0.173180233|1|1|1|1.134637098|-0.050636784|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|0.006550513|-0.1149361969999999|10.94631314|-0.1032662209999999|1|0.006050983|0.012963356|-0.3860697829999999|1|0.78837943|0.7477594870000001|-0.141706595|0.787615341|0|0.8789113709999999|-0.091943864|-0.086581945|0.260665072|3.801175594|0.121088629|-0.0306644389999999|2.052909907|0.0|0.8732380740000001|50.48291318|-16.56101615|53.45751583|0.417368922|2104.876032|474.67574630000007|1912.936687|0.126761926|5.726809252000001|0.7163519709999999|4685.0322320000005|0.006892404|-403.1511415|519.5743695|1.0|1.0|0.0|1.0|1.0|3.03|17.0|-6.61|4.26|4.77|50.94|2.84|1.0|100.96|0.0|1.0|2.0|25.0|3.0|-5.46|0.0|3.79|1.5e-05|5.0|1.4800000000000002e-05|0.0049299999999999|4.05|2.48e-07|-0.01712|5.4228|4.52|-1053.433249|-1053.396715|582.84|228.63|0.39943|0.68553|-1053.196897|0.1505|-0.18542|-1053.249847|5.7714|0.08|7.0969|7.0969
6b_a40|0.0|0|0|0.0|0.0|1|1|2|0.604892326|0.135693438|6.401917197|-0.069975812|0|0.039863946|-0.137534783|-0.003851208|0.0986825569999999|10.30179924|-0.226457281|2|-0.004728928|-0.033583055|-0.630957955|0|0.691778838|0.842573207|-0.307881994|0.90571269|1|0.753431574|-0.107699967|-0.118488624|0.417254814|9.771129787|0.246568426|-0.049599889|6.544506614|34.43877986|0.878140798|87.29061302|-33.22101012|81.90640622|0.442509019|3214.047452|504.6333458|4049.386572|0.1218592019999999|6.976123351|0.793750992|8482.600495|0.011838681|-506.5422338|618.8882797|1.0|0.0|1.0|0.0|1.0|3.36|14.0|-5.21|5.67|4.38|173.43|2.61|2.0|130.16|1.0|2.0|5.0|31.0|5.0|-5.85|1.0|4.21|3.86e-09|1.98e-06|6.55e-07|0.000335|5.03|6.21e-06|-0.09533|3.1026|8.98|-3290.775349|-3290.745084|687.2|399.62|0.69429|0.69429|-3290.583786|0.4962|-0.1237099999999999|-3290.648012|11.3203|0.03|7.5229|7.5229
14j_a23|0.0|1|1|0.0|0.0|2|0|0|1.197963927|0.074424082|5.351858133|-0.071396109|2|0.046283951|0.037350515|0.007671236|-0.026319216|10.31321824|-0.055708465|2|0.0075222369999999|-0.17267308|-0.463194548|2|0.616699629|0.800643488|-0.091426449|0.864845456|1|0.8454521620000001|-0.062203032|-0.082226482|0.226990358|13.28905737|0.154547838|-0.034989992|8.620784882999999|83.17168000000001|0.7739671709999999|64.88069411|-22.69846456|53.64097592|0.497137467|2943.385528|548.455847|2175.598042|0.226032829|7.83426417|0.988615047|6597.039681|0.017787992|-355.4521561|599.5697147999999|0.0|0.0|1.0|1.0|1.0|3.41|26.0|-7.67|3.78|4.58|105.02|3.4|2.0|120.24|0.0|1.0|5.0|31.0|5.0|-6.31|0.0|3.77|2.66e-06|0.00114|7.73e-06|0.00332|3.68|2.14e-08|-0.07581|3.6671|3.72|-1729.15999|-1729.1379190000002|670.6|338.1|0.65128|0.65128|-1728.9293280000002|0.3886|-0.14816|-1728.988797|8.3233|4.0|8.3883|8.3883
3b_a12|0.0|0|0|0.0|0.0|0|1|1|1.283824445|0.156777705|0.0|-0.043495794|2|0.0375|-0.1215705419999999|-0.004028952|-0.065558712|10.9540388|-0.003968827|0|-0.003019113|-0.116772665|-0.547002361|1|0.914614654|0.768772928|-0.007397776|0.82914101|0|0.903204699|-0.064393592|-0.088443201|0.073824142|5.401901357000001|0.096795301|-0.034016616|2.816328871|0.0|0.7688221909999999|54.77629766|-17.73486237|38.97406803|0.390744506|2186.64676|470.8937285|1935.211747|0.2311778089999999|6.6333156660000006|0.64134753|4665.346939|0.0166212889999999|-280.3056362|406.0361621|1.0|1.0|1.0|0.0|1.0|2.98|18.0|-8.1|4.05|3.14|37.28|3.99|1.0|102.53|0.0|1.0|3.0|24.0|3.0|-5.65|0.0|3.59|5.539999999999999e-05|0.0184|2.28e-05|0.00759|3.78|7.91e-09|-0.07091|4.2092|3.96|-1410.971864|-1410.947421|548.05|294.55|0.53738|0.6654800000000001|-1410.826913|0.2418|-0.15229|-1410.8759220000002|8.5678|49.0|7.3098|7.3098
12h_a40|0.0|0|0|0.0|0.0|1|0|0|0.60499064|0.104392974|5.4161004020000005|-0.107711573|0|0.041915709|0.208938531|-0.000134504|0.189869851|10.31197256|-0.21893421|2|-0.002126898|0.224167029|-0.556229094|0|0.809398262|0.7769829840000001|-0.335801908|0.845904643|1|0.839481749|-0.0954337969999999|-0.091448888|0.006997021|6.193088525|0.160518251|-0.038796498|3.274152035|59.68939644|0.844008584|54.9311782|-20.51086984|56.64687411|0.4958138139999999|2270.834041|443.8158546|603.6697997|0.155991416|7.989299324|0.983394285|5087.343024|0.012453938|-363.7398044|350.9435025|1.0|0.0|1.0|1.0|1.0|3.0|20.0|-6.84|4.59|5.02|84.45|3.76|2.0|96.16|0.0|1.0|2.0|23.0|2.0|-5.13|0.0|4.22|5.58e-07|0.0002009999999999|2.61e-06|0.000942|4.75|1.44e-07|-0.07512|4.1508|4.14|-2153.207198|-2153.186757|548.82|298.7|0.6503899999999999|0.7041|-2153.072091|0.3693|-0.1092|-2153.123274|3.5425|823.0|6.0846|6.0846
19_a34|0.0|0|0|0.0|0.0|1|1|1|1.438829424|-0.068004837|5.351858133|-0.169170251|1|0.044107744|-0.189862762|-0.00802652|-0.143343425|10.95957634|-0.014196676|1|-0.0042364759999999|-0.401414514|-0.469568766|1|0.866604574|0.8022000659999999|-0.0235903339999999|0.8582665429999999|0|0.6399024520000001|-0.112877411|-0.1255804019999999|0.308793959|19.74799697|0.360097548|-0.039656969|9.850795895|470.4453529|0.662289492|77.38527508|-19.78189027|76.05407906|0.467358389|2127.363207|319.1993829|1537.244187|0.3377105079999999|5.495780422|0.877434994|4496.516479|0.029554695|-161.90813300000002|337.9440349|0.0|1.0|0.0|1.0|1.0|2.77|17.0|-5.03|2.69|2.31|69.4|1.08|0.0|83.95|0.0|2.0|3.0|23.0|5.0|-7.01|0.0|2.1|0.00186|574.0|0.000704|218.0|1.66|9.42e-06|-0.02901|4.1721|2.7|-1046.606458|-1046.5747720000002|538.96|297.18|0.6897300000000001|0.6897300000000001|-1046.458335|0.2189|-0.1735|-1046.509891|5.0441|0.99|6.0044|6.0044
12bd_a36|0.0|0|0|3.497517322|0.0|0|2|2|1.297043358|-0.051990612|5.351858133|-0.045630197|2|0.04625323|0.025649557|0.003676818|-0.030990165|10.94639828|-0.0288761339999999|1|0.0045625|-0.169994208|-0.436345273|1|0.902377067|0.78699829|-0.047786573|0.833398429|0|0.832478093|-0.071083327|-0.099460046|0.279020022|11.7156452|0.167521907|-0.035521445|7.733288012999999|0.0|0.78244124|75.7932235|-23.44707102|58.63647911|0.475272043|2772.776922|549.5039111000001|2403.371086|0.21755876|8.050812711|0.905749421|5957.939097|0.015363883|-372.868829|729.1873176|1.0|0.0|0.0|1.0|2.0|0.0|17.0|-7.34|3.76|2.5|69.2|2.45|1.0|133.68|0.0|1.0|5.0|31.0|4.0|-6.38|0.0|2.42|2.8600000000000004e-05|0.0117|2.5e-05|0.0102|3.41|4.55e-08|-0.05236|3.8786|3.79|-1311.591775|-1311.560669|706.26|319.66|0.69411|0.7044100000000001|-1311.291779|0.0058|-0.1459|-1311.352257|7.6908|17.0|7.7696|7.7696
4S4k_a46|0.0|0|0|0.0|0.173180233|1|1|1|1.134637098|-0.050636784|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|0.006550513|-0.1149361969999999|10.94631314|-0.1032662209999999|1|0.006050983|0.012963356|-0.3860697829999999|1|0.78837943|0.7477594870000001|-0.141706595|0.787615341|0|0.891734458|-0.089589915|-0.0860536609999999|0.199356973|4.1078333030000005|0.1082655419999999|-0.030477338|2.177526049|0.0|0.8679099640000001|49.42345536|-16.15576699|51.59865384|0.461984953|2105.538282|472.7005375|1729.18312|0.132090036|5.523352655|0.858684076|4719.2906570000005|0.007182108|-390.0516264|519.5743695|1.0|1.0|0.0|1.0|1.0|3.03|17.0|-6.61|4.26|4.77|50.94|2.84|1.0|100.96|0.0|1.0|2.0|25.0|3.0|-5.46|0.0|3.79|1.5e-05|5.0|1.4800000000000002e-05|0.0049299999999999|4.05|2.48e-07|-0.02074|5.2854|4.52|-1053.441953|-1053.415665|566.82|234.58|0.5716|0.67893|-1053.202208|0.0654|-0.17396|-1053.255345|2.5693|197.0|6.7055|6.7055
20a_a10|0.0|0|0|0.0|0.0|1|1|1|1.343837243|-0.0774974029999999|5.4161004020000005|0.049376168|2|0.036415094|-0.035536682|0.008214031|-0.010695558|10.9296614|0.011011878|1|0.008297595|-0.081587712|-0.281099208|2|0.661219642|0.755429696|0.019448804|0.817646497|1|0.913681336|-0.066386563|-0.072821454|0.591835899|8.860330345|0.086318664|-0.028008251|5.764636687|47.01787447|0.733451892|58.1398225|-18.22250274|52.05222074|0.452402751|2998.608651|594.4519837|2021.669282|0.266548108|8.419180593|0.826159649|6729.996773999999|0.016540298|-303.7731758|719.5272609|1.0|0.0|1.0|1.0|0.0|3.63|27.0|-9.44|5.06|5.77|76.62|2.53|2.0|126.35|0.0|1.0|4.0|33.0|5.0|-5.82|0.0|4.27|2.07e-06|0.000888|2.56e-06|0.0011|4.36|3.61e-10|-0.06611|4.7841|3.98|-1389.164302|-1389.1321289999998|696.63|259.16|0.50193|0.6864600000000001|-1388.897416|107.0|-0.1613099999999999|-1388.957848|3.2116|1.2|5.9208|5.9208
19i_a38|0.0|0|0|3.169368622|0.0|0|2|2|1.297043925|-0.125335237|5.351858133|-0.115864198|2|0.043197531|0.08414367|-0.006877664|-0.074033381|10.96052467|-0.053762162|1|-0.004358975|-0.250781298|-0.430016467|1|0.653741315|0.836170906|-0.087904124|0.892249657|0|0.747158407|-0.08347616|-0.113250303|0.4748744179999999|13.83587388|0.252841593|-0.040770109|8.479305267|10.71501217|0.7419238420000001|82.98550237|-24.98593175|64.99417804|0.444551315|2896.470706|457.89548719999993|2335.0953870000003|0.258076158|6.690507557999999|0.800346329|6744.7785650000005|0.022159015|-296.5257022|593.6088758|1.0|1.0|1.0|1.0|3.0|2.88|17.0|-7.12|3.55|3.11|81.23|2.78|1.0|125.65|0.0|1.0|5.0|31.0|5.0|-6.81|0.0|3.04|5.68e-05|0.0238|4.67e-05|0.0196|2.88|7.599999999999999e-08|-0.0564799999999999|5.7041|3.66|-1431.415351|-1431.384243|641.31|217.36|0.4342|0.69267|-1431.181148|0.1886|-0.14872|-1431.239177|8.6365|13.0|7.9031|7.9031
12ab_a36|0.0|0|0|3.458948649|0.0|0|2|2|1.297042596|-0.064515677|5.351858133|0.000258844|2|0.039951691|0.035377607|0.000939229|-0.032623802|10.9540584|-0.029080933|1|0.002112069|-0.169341326|-0.4186639029999999|1|0.86559137|0.831136366|-0.051707317|0.888163057|0|0.8410557559999999|-0.079202413|-0.095025338|0.452078227|16.62527454|0.158944244|-0.033434841|11.46782191|15.55386871|0.679025324|82.3666474|-23.06276515|71.2577056|0.484987413|2902.39241|580.1454645|2390.849902|0.320974676|7.821826146|0.941700118|6314.697413|0.024384271|-246.9770378|708.5476357999999|1.0|0.0|0.0|1.0|2.0|0.0|17.0|-7.05|3.14|1.95|92.99|1.59|1.0|133.27|0.0|1.0|6.0|32.0|5.0|-7.21|0.0|1.8|0.0001199999999999|0.0503|0.000122|0.0515|2.33|8.95e-08|-0.0523799999999999|3.8845|3.23|-1364.509957|-1364.468283|712.73|319.17|0.69294|0.69294|-1364.236757|0.4451|-0.15699|-1364.300531|5.3228|11.0|7.9586|7.9586
8a_a50|0.0|1|1|3.139870661|0.0|1|1|1|1.39826105|-0.0737162059999999|5.777652323|-0.021959577|1|0.03904321|-0.0224366579999999|0.007671336|-0.150515325|10.94501357|-0.058014797|2|0.007801731|-0.11385159|-0.352654037|1|0.75162266|0.804535572|-0.095292123|0.8718949979999999|1|0.860876738|-0.069208148|-0.08230347|0.278028663|9.480859015|0.139123262|-0.031655181|4.778811898|0.0|0.751415713|50.06249379|-15.95574341|44.36511568|0.46183401|2206.356773|433.9235497|1503.563342|0.248584287|5.754657432|0.858162757|4638.284496|0.017017336|-253.4513797|388.171611|1.0|1.0|0.0|1.0|1.0|2.01|20.0|-6.32|3.63|3.71|59.39|2.02|0.0|94.75|0.0|1.0|2.0|24.0|3.0|-6.12|0.0|2.87|0.000138|0.0433|7.48e-05|0.0234|2.95|4.82e-07|-0.0280699999999999|5.622000000000001|2.69|-1006.671867|-1006.637067|548.47|220.53|0.3462199999999999|0.60625|-1006.508913|0.1217|-0.17244|-1006.557694|5.5319|47.0|7.3279|7.3279
5d_a40|0.0|0|0|0.0|0.0|1|0|1|0.6049133329999999|-0.071479892|6.167516491000001|0.0418378229999999|0|0.044526749|-0.1031436519999999|0.007200253|0.2078052269999999|10.31198333|0.029272031|2|0.006642869|-0.009744685|-0.399968083|0|0.496945486|0.8092726020000001|0.0451110059999999|0.877722972|1|0.754010052|-0.086193996|-0.094277694|0.049855551|10.10860823|0.245989948|-0.0377110779999999|4.638915105|53.85026982|0.8111805740000001|49.97858532|-17.30589257|49.66367051|0.479931934|1974.583878|346.0207917|511.3769101|0.188819426|6.288958592999999|0.922825231|4051.712713|0.014630084|-285.606135|243.4287716|1.0|0.0|1.0|0.0|0.0|2.56|14.0|-4.32|4.08|3.64|75.5|2.25|0.0|74.11|0.0|2.0|3.0|20.0|4.0|-5.94|0.0|3.1|5.9e-05|17.0|0.000152|0.0436|2.98|4.7600000000000005e-05|-0.06796|3.7374|4.61|-1276.833831|-1276.817151|473.48|331.74|0.69613|0.69613|-1276.751174|0.4493|-0.14851|-1276.797751|9.2439|19.0|7.7212|7.7212
