molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1s|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|RASA|FNSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|Mor01p|PPSA5|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
3c_a32|1|1|1|0.0|0|0|0.6094207970000001|0.0|0.025890116|-0.048337951|-0.0522536959999999|2.224112182|-0.270034997|-0.00017094|-0.113334836|-0.01180891|3|0.00124359|-0.097512832|-0.145525719|-0.5427297289999999|0|0.831186295|0.839409251|-0.019130435|0.901864778|0.774363061|0.888766719|-0.0679200029999999|-34.91603827|-48.52416391|7.772301225|59.72163595|0.1112332809999999|57.18235134|-24.94510426|3.995552912|0.0|-1.038301506|-17.94949454|-14.82682786|42.68833949|0.423167668|2152.627425|-533.7658031000001|-7.622115192000001|5.605165488|9.717148607|0.733606015|4598.027604999999|157.331845|-274.3961469|0.018316536|370.5811396|9.416090047|1.0|1.0|1.0|2.95|4.68|110.94|1.7|1.0|93.05|0.0|1.0|3.0|22.0|3.0|-5.35|4.02|-4.91|6.65e-07|0.000217|1.22e-05|0.00399|4.14|0.0|4.18e-05|-0.05487|3.5169|3.5169|-1633.443791|-1633.419633|903.81|352.54|0.7034600000000001|-1633.297494|-0.14219|-0.1970599999999999|9.0|8.0458|8.0458
19_a20|1|0|0|0.0|0|0|1.4009239059999998|0.0|0.071176085|-0.130949446|0.103271147|1.622562232|-0.539158264|-0.006620594|0.077469518|-0.063133522|1|-0.004654742|0.175308615|-0.083481481|-0.5838248970000001|3|0.811128636|0.7619768840000001|-0.105118869|0.8193003000000001|0.7741509329999999|0.754452534|-0.091725453|-60.26825633|-65.49811346|8.964643162|339.8339889|0.245547466|161.33709|-43.03556944|5.890223441|88.19441661|-1.993700989|-39.5992891|-25.1915821|69.23289949|0.483310517|2849.084477|-1309.962269|-16.55214209|7.950138729|15.38668579|0.935398401|6325.747732|133.9919257|-860.7113887|0.0159602|684.5377542|10.48665779|1.0|1.0|2.0|2.49|4.08|110.44|1.33|1.0|122.86|0.0|1.0|5.0|32.0|5.0|-6.8|3.16|-4.57|1.29e-05|0.00541|2.6600000000000003e-05|0.0112|2.91|0.0|9.86e-08|-0.06767|3.3616|3.3616|-1368.413151|-1368.378274|1190.68|368.83|0.6987399999999999|-1368.129074|-0.13903|-0.2067|2.6|5585.0|5585.0
12a_a5|1|0|0|0.0|0|1|1.338814635|0.0|-0.256282289|0.043132749|-0.0036987359999999|0.0|-0.09350376|0.00873078|-0.114419442|-0.032601907|1|0.008649556|-0.006024869|-0.093973419|-0.175245466|2|0.762866363|0.779533861|-0.063558439|0.829536345|0.741588813|0.894590896|-0.058605038|-36.01436435|-41.59124655|5.032443973|13.74268646|0.105409104|64.77671525|-25.55893402|3.0925714930000003|0.0|-1.353602454|-22.13179066|-15.99663329|41.04680832|0.457755771|2524.410428|-831.8249311000001|-9.830359239|8.741980056000001|16.12184989|0.844187448|5294.775577|155.6073368|-511.1786804|0.014342828|650.3600841|8.814051518|1.0|1.0|1.0|2.96|4.26|57.7|2.17|1.0|119.38|0.0|1.0|5.0|29.0|4.0|-6.23|3.58|-4.59|5.37e-05|0.0205|2.56e-05|0.00977|3.38|0.0|5.660000000000001e-07|-0.04076|4.6865|4.1610000000000005|-1202.02622|-1201.990542|1140.24|297.97|0.67169|-1201.750315|-0.17152|-0.21228|19.0|7.7212|7.7212
14_a15|0|0|0|0.0|0|0|1.43568901|0.0|-0.058775738|-0.0455566929999999|-0.033982971|0.0|-0.374014235|0.001740635|-0.053931584|-0.015736888|0|0.0034254209999999|-0.051908601|-0.184255041|-0.3848940629999999|2|0.8310685940000001|0.719993769|-0.028227917|0.7651878809999999|0.7933685340000001|0.8870890459999999|-0.063809873|-40.89540491|-58.79722871|9.403293601|92.51564418|0.112910954|72.36402409|-37.68282812|6.026520371|2.923143027|-1.743106111|-26.20964538|-21.0782518|50.29869851|0.406717767|2612.691478|-1117.1473460000002|-13.50893838|6.040010666000001|10.18067005|0.685538423|5861.387612|147.2072638|-715.9737342999999|0.015286995|673.7288405|9.797353271|1.0|1.0|1.0|3.72|6.3|56.27|2.87|2.0|119.95|0.0|1.0|6.0|30.0|4.0|-4.97|4.7|-5.83|5.99e-07|0.0002379999999999|1.47e-06|0.000584|5.29|0.0|5.99e-08|-0.0338199999999999|4.4518|3.6209|-1281.105795|-1281.0669369999998|1177.14|342.41|0.7055899999999999|-1280.809256|-0.14997|-0.18379|0.03|7.5229|7.5229
16_a4|0|0|0|0.0|1|1|1.398650725|1.843196334|-0.219944434|-0.095499301|0.007101649|0.0|-0.089168424|0.0067511459999999|-0.148022089|0.019290123|1|0.006466406|0.020218035|-0.0513920109999999|-0.214481956|1|0.490768328|0.774455255|0.0293772029999999|0.8366279120000001|0.482473457|0.7898461090000001|-0.073335635|-36.11951685|-39.44800181|6.761192037000001|13.51923899|0.210153891|103.5057102|-19.42906425|3.330045338|74.430775|-1.201404885|-17.789707500000002|-16.43666742|42.88070889|0.455802506|2101.6948030000003|-591.7200271|-8.095443438|5.548106463|10.19502391|0.837568182|4520.2597670000005|82.51653675|-291.4359638|0.0115138339999999|322.8922084|5.67083266|1.0|0.0|0.0|3.08|4.96|30.71|3.44|1.0|85.02|0.0|1.0|2.0|23.0|4.0|-5.64|3.91|-4.43|0.0001199999999999|0.0371|3.68e-05|0.0114|3.59|0.0|0.000134|-0.03965|4511.0|4.2257|-1057.494456|-1057.478071|856.55|293.41|0.54061|-1057.3808390000002|-0.17375|-0.2134|343.0|6.4647|6.4647
4R4l_a46|0|0|0|0.171853072|1|1|1.134637095|2.155247543|-0.058870177|-0.075241716|-0.067419714|0.0|-0.255755434|0.0066560469999999|-0.060895366|-0.161358058|1|0.006162668|-0.1012114369999999|0.010799648|-0.3888343979999999|1|0.7940662409999999|0.726535412|-0.229089688|0.762625193|0.7936534740000001|0.896653672|-0.090505744|-49.12015477|-45.96797819|3.844966512|177.33836430000002|0.103346328|56.0891211|-24.94818681|2.086777505|0.0|-1.524559305|-26.65896664|-16.223992300000003|52.96512128|0.4568839389999999|2165.83681|-827.4236073|-8.805242402000001|5.669819400000001|10.43942503|0.8412270820000001|4923.057044|66.05102684|-449.0673625|0.006401537|579.2365607|3.474304058|1.0|1.0|1.0|3.24|5.02|50.94|3.06|1.0|105.77|0.0|1.0|3.0|26.0|3.0|-5.23|4.09|-5.11|5.25e-06|0.00182|7.78e-06|0.0027|4.49|0.0|3.47e-05|-0.0212699999999999|4.6497|4.1152|-1092.75416|-1092.728268|1038.78|301.29|0.67823|-1092.4898449999998|-0.17475|-0.19602|137.0|6.8633|6.8633
14b_a3|0|0|0|0.0|0|0|0.605016869|0.0|0.143500839|-0.1160619169999999|-0.1551678719999999|1.7086790859999998|-0.356087317|-0.00603969|-0.008040839|-0.102362298|1|-0.004161699|-0.288944272|-0.094863591|-0.575695827|3|0.882394075|0.7809478329999999|-0.170297225|0.848135222|0.8255789570000001|0.786476513|-0.090994113|-44.49789848|-49.38772279|6.273415527999999|252.49572540000003|0.2135234869999999|104.4171556|-24.15156108|3.067822725|82.79166784|-1.312913604|-21.76034149|-17.83445545|50.77131401|0.487615651|2160.565755|-642.0403962|-8.721397057|4.989782639|9.738358819|0.951659927|4803.535505|113.9829058|-313.9702941|0.017348996|358.3503513|8.483998032|1.0|1.0|1.0|2.5|3.71|105.82|1.04|0.0|93.25|0.0|1.0|2.0|23.0|4.0|-6.42|2.82|-3.99|3.54e-05|0.0113|0.000103|0.0327|2.58|0.0|4.08e-05|-0.06676|3.0724|3.0724|-1327.514377|-1327.4859310000002|879.19|403.54|0.70123|-1327.349444|-0.12942|-0.19618|0.38|6.4202|6.4202
14c_a22|0|0|0|0.0|1|0|1.42291727|1.596256692|-0.134137693|-0.018518519|-0.026986769|1.568396937|-0.298463715|0.003784292|-0.023927419|0.006275578|1|0.004362505|-0.047249795|-0.160566657|-0.364626967|2|0.667111824|0.773044788|0.010828071|0.8353837409999999|0.639264982|0.866576459|-0.067475189|-48.57709197|-57.64986681|17.68831053|36.22825261|0.133423541|96.05497587|-41.50359456|12.73426132|78.22334636|-1.60155147|-34.9718749|-21.75466672|66.26540251|0.462147828|3079.4894480000003|-1152.997336|-15.66173379|8.626337592|16.03849168|0.8592469290000001|6882.45|243.5598613|-830.0718911|0.024813755|731.8178649|17.86404838|1.0|1.0|1.0|2.85|4.18|109.38|1.08|1.0|128.77|0.0|1.0|6.0|34.0|6.0|-6.96|2.98|-4.62|1.39e-05|0.00618|2.4e-05|0.0107|2.9|0.0|2.35e-07|-0.07399|5.7361|3.6741|-1460.602657|-1460.571156|1241.55|337.45|0.69113|-1460.324494|-0.15408|-0.22807|153.0|6.8153|6.8153
19j_a38|1|0|0|0.0|0|2|1.29704352|0.0|-0.089207643|-0.04575843|0.105682345|0.0|-0.438688445|-0.004442319|0.003554228|-0.036248822|1|-0.002443797|0.23209815|-0.20848518|-0.42133715|1|0.7163622890000001|0.846765471|-0.060360554|0.908721232|0.6885713729999999|0.8071763829999999|-0.0844479869999999|-57.80349365|-73.92901683|17.15233756|131.29876370000002|0.192823617|131.9851314|-50.60340201|11.74054073|29.18585028|-1.944118135|-39.565701700000005|-26.09259418|74.95583121|0.408533267|2969.234865|-1330.722303|-17.86002424|7.506210369|12.69084117|0.6907121629999999|6704.612831|195.5099392|-910.8612362|0.023555355|640.025745|16.123318700000002|1.0|1.0|3.0|2.34|2.42|105.02|1.76|1.0|130.41|0.0|1.0|5.0|32.0|5.0|-7.13|2.44|-4.12|4.46e-05|19.0|7.55e-05|0.0322|2.5|0.0|5.14e-05|-0.06447|6.0361|3.6886|-1424.426858|-1424.390074|1163.3|336.13|0.69435|-1424.183388|-0.15182|-0.21629|8.0|8.1146|8.1146
12c_a5|1|0|0|0.0|0|1|1.236775191|0.0|-0.212798523|0.020594766|-0.086795626|0.0|-0.16115723|0.0054189009999999|-0.096073591|0.0072946769999999|1|0.00586291|-0.1386392109999999|-0.020144382|-0.223631474|2|0.808899433|0.797601178|0.014673577|0.8446264459999999|0.782051277|0.841092921|-0.070873852|-46.62294305|-43.47195613|10.77147171|143.44655559999998|0.158907079|104.5338363|-28.59715492|7.085796743|13.26856229|-1.25559373|-30.6699685|-14.74941369|57.39441476|0.4609383929999999|2697.345008|-825.9671665|-9.702606135|7.293547043999999|13.53008071|0.855075538|5877.765289|273.9296719|-543.3459436|0.024214085|735.3048881|15.92875034|1.0|1.0|2.0|2.78|4.32|75.72|1.57|1.0|121.26|0.0|1.0|6.0|31.0|5.0|-6.79|3.31|-4.33|8.159999999999999e-05|0.0336|4.64e-05|0.0191|2.84|0.0|2.03e-07|-0.04565|4.6671|4.0116|-1316.542713|-1316.5202869999998|1200.02|309.06|0.6893600000000001|-1316.244961|-0.16563|-0.21128|47.0|7.3279|7.3279
