molecula|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|FNSA4|RPCS|WNSA3|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
14h_a23|0|1|0.0|2|7.423568444|0|1.197963488|3.309480899|0.043538466|-0.005921293|0.006191846|0.04255787|-0.024318144|10.31321773|2|2|0.009266617|0.060820238|-0.0686282459999999|-0.4460845129999999|2|0.79263722|0.143102066|-0.05745554|0.669357479|1|0.923430574|-0.063825076|0.223157991|0.021982565|-43.02851162|-54.6468131|14.81983413|-0.033774476|86.83095818|-29.00823506|67.44368679|0.48032488|622.5428245|2371.16134|-15.35036053|0.246899416|7.833334036|15.0735214|6722.809649|166.45047749999998|30.23434844|1451.248725|0.0|1.0|1.0|1.0|3.47|3.2|0.04|-7.47|3.89|128.81|1.0|0.0|1.0|5.0|-5.68|32.0|5.0|-6.62|436.49|0.0|0.0|2.09e-06|1.27e-05|0.00554|3.3|0.0|3.39e-08|1.4800000000000002e-05|-0.08532|4.0506|3.6689|-1722.1762399999998|699.86|1190.62|0.3424|306.09|569.53|0.69933|-1721.9314420000003|-0.2374099999999999|13.4823|5.0|8.3468|8.3468
12n_a36|1|0|0.0|0|7.412764017000001|2|0.299253841|0.0|0.039596635|-0.0099988159999999|-0.350034917|0.0438779959999999|-0.035989956|10.31810354|1|1|-0.001160331|0.048110172|-0.15024383|-0.5181211520000001|1|0.81793955|0.162338703|-0.000421339|0.750657639|0|0.720111143|-0.089275906|0.239018516|0.0211044289999999|-60.42525197|-78.42650015|14.28426215|-0.039955874|26.74179417|-40.89805687|92.79755725|0.454498749|487.397992|3465.537153|-18.30412788|0.258248547|6.863551112000001|12.58209967|7657.057548000001|174.79221719999998|36.45914091|2114.630173|0.0|0.0|1.0|0.0|5.03|0.0|0.17|-6.87|2.15|123.75|0.0|0.0|1.0|7.0|-3.85|34.0|6.0|-8.03|474.54|0.0|0.0|0.0001409999999999|0.0001889999999999|0.0897|1.64|0.0|1.36e-07|6.45e-05|-0.05056|5.3573|3.6382|-1876.201464|714.14|1256.83|0.3921|231.43|566.87|0.7046600000000001|-1875.89723|-0.19984|14.3562|15.0|7.8239|7.8239
14a_a22|0|0|0.0|1|6.842683282|0|1.4229176680000002|1.646649187|-0.136588366|-0.0050042229999999|-0.052476637|0.038167849|-0.057308195|10.9464374|1|1|0.005757758|0.036467904|-0.097476465|-0.360663314|2|0.7392451729999999|-0.09744639|-0.027029438|0.655865336|1|0.864077619|-0.062215607|0.490491034|0.021268761|-42.39063895|-55.51601021|14.49148204|-0.031338217|60.38977977|-28.88288575|70.33046351|0.446584227|588.739773|2169.870866|-14.54840956|0.299209593|8.052850876|14.55117701|6348.976909|203.8666248|30.46889826|1584.38271|1.0|1.0|1.0|1.0|3.42|2.86|0.08|-9.21|4.31|85.59|0.0|0.0|1.0|6.0|-4.65|32.0|5.0|-6.61|420.47|0.0|1.0|2.25e-05|2.1e-05|0.00881|3.18|0.0|6.1e-10|2.56e-07|-0.06145|5.0653|3.5707|-1368.35698|695.62|1191.81|0.3051|244.77|534.87|0.63156|-1368.075682|-0.21174|6603.0|38.0|7.4202|7.4202
12r_a30|0|0|0.0|0|7.412764017000001|2|0.604984545|0.0|-0.015167821|-0.007553813|-0.093024002|0.043383838|-0.0682882559999999|10.31162892|1|1|-0.001131023|-0.247439715|-0.0546637159999999|-0.44083509|1|0.83236194|-0.007140234|-0.105767484|0.591758164|0|0.72072745|-0.090229387|0.451652492|0.019137908|-58.32042638|-71.0931422|12.36992712|-0.040404659|0.0|-37.69583567|82.06195604|0.464481911|465.8474777|2433.580273|-16.88017015|0.209934663|7.467190577999999|13.94386247|6735.090739|135.6928105|33.05530181|1619.709789|0.0|1.0|1.0|0.0|4.66|0.0|0.14|-7.16|3.74|81.65|0.0|0.0|1.0|5.0|-5.49|31.0|6.0|-6.06|434.46|0.0|0.0|3.24e-06|6.71e-06|0.00291|4.07|0.0|6.900000000000002e-08|3e-05|-0.05244|5067.0|3.5111|-1774.236548|679.64|1141.54|0.1908|244.69|516.03|0.68476|-1774.009422|-0.20138|6.5511|29.0|7.5317|7.5317
9g_a40|0|0|0.0|1|7.515889085|0|0.604992427|1.849105962|-0.058811055|-0.0054957819999999|-0.0220464379999999|0.043730159|0.139758613|10.31197177|2|2|0.0115573539999999|0.133954053|-0.037217966|-0.383703998|0|0.764275277|-0.384131901|-0.242405063|0.665414608|1|0.90454157|-0.063539055|0.002717414|0.021367335|-33.47455057|-41.63731423|11.25704374|-0.031197254|64.08637519|-17.63553984|51.16627179|0.476386801|476.5434822|349.4421673|-8.658932892000001|0.259759794|8.180261533|15.62271835|4435.743087|136.8503571|22.20330888|843.7257374|1.0|0.0|1.0|1.0|2.8|1.78|0.06|-6.43|2.93|72.28|0.0|0.0|1.0|3.0|-2.49|23.0|4.0|-7.17|302.33|1.0|0.0|0.00323|0.0008179999999999|247.0|1.37|0.0|3.720000000000001e-07|0.000113|-0.0624|3.0778|3.0778|-1332.487689|559.04|923.42|0.3563|402.84|469.6|0.70233|-1332.31775|-0.19005|5063.0|3548.0|5.45|5.45
5b_a40|0|0|0.0|1|8.149890544|1|0.604912077|1.616656116|-0.067567502|-0.0049439079999999|0.064329005|0.044946237|0.179058252|10.31198309|2|2|0.006372485|-0.164084255|0.007986879|-0.389789991|0|0.817071232|-0.400500595|0.029485257|0.503365018|1|0.881264402|-0.077031845|0.313503463|0.019116586|-38.64461938|-45.78637031|9.59023102|-0.036507111|49.25022097|-19.38687321|52.08187888|0.477304896|442.1045286|764.9528181|-9.187872156|0.1709818139999999|6.521443259|12.47657231|4813.179854|85.77656597|22.09185326|662.7555978999999|0.0|1.0|0.0|0.0|3.13|2.82|0.21|-5.25|4.39|75.5|1.0|0.0|2.0|3.0|-5.43|21.0|3.0|-5.42|338.21|0.0|1.0|3.69e-06|1.44e-05|0.00488|4.14|0.0|5.65e-06|0.00191|-0.07069|3.9759|3.9759|-2096.782087|515.23|847.01|0.3005|311.84|411.1|0.59928|-2096.707754|-0.23068|9.3069|64.0|7.1938|7.1938
19i_a38|1|0|0.0|0|7.412764017000001|2|1.297043925|0.0|-0.125335237|-0.008447598|-0.115864198|0.043197531|-0.074033381|10.96052467|1|1|-0.004358975|0.215263198|-0.098027247|-0.430016467|1|0.836170906|-0.040954326|-0.087904124|0.632625562|0|0.747158407|-0.08347616|0.4748744179999999|0.022576308|-51.15830416|-69.40536597|13.83587388|-0.040770109|10.71501217|-31.35232957|82.98550237|0.444551315|457.89548719999993|2335.0953870000003|-15.31261014|0.258076158|6.690507557999999|12.04523072|6744.7785650000005|158.161786|33.67721904|1683.860952|1.0|1.0|1.0|1.0|4.8|2.88|0.14|-7.12|3.11|81.23|0.0|0.0|1.0|5.0|-4.25|31.0|5.0|-6.81|419.43|0.0|1.0|5.68e-05|4.67e-05|0.0196|2.88|0.0|7.599999999999999e-08|3.19e-05|-0.0564799999999999|5.7041|3.6129|-1431.415351|641.31|1101.03|0.2156|217.36|457.26|0.69267|-1431.181148|-0.2052|8.6365|13.0|7.9031|7.9031
12e_a40|0|0|0.0|1|7.515889085|0|0.604990524|1.6315143930000002|0.061944605|-0.015461694|-0.262526337|0.04020202|0.130516751|10.31197242|2|2|-0.014780739|0.292184471|0.103406816|-0.520457262|0|0.788800541|0.047011204|-0.279310345|0.8096582170000001|1|0.7798787840000001|-0.132226452|0.284429447|0.015096495|-71.78145688|-66.68049019|8.195398107|-0.048387621|0.0|-38.96782748|78.14505956|0.491465612|423.3709264|694.2415706|-14.26008524|0.209181178|8.014314957|15.75963228|5478.52313|113.5576846|33.21629575|1096.13776|0.0|1.0|0.0|0.0|3.27|3.05|0.0|-6.04|4.84|98.89|0.0|0.0|1.0|2.0|-6.53|24.0|4.0|-5.26|378.23|0.0|1.0|2.98e-07|2.27e-06|0.00086|4.72|0.0|9.14e-07|0.000346|-0.07296|4.3236|3.0253|-2248.276958|552.91|918.38|0.4494|286.76|445.12|0.70157|-2248.154966|-0.19912|3.7268|1.17|5.9318|5.9318
6f_a40|0|0|0.0|1|8.421342866|2|0.604893424|1.750582483|0.134099184|-0.01691341|-0.156988665|0.038309179|0.075227997|10.30179966|2|2|-0.008368734|-0.233222505|0.048543494|-0.628934821|0|0.836826225|-0.032826285|-0.268802228|0.742681934|1|0.655786513|-0.134203859|0.363785804|0.015998475|-86.21963207|-83.88605319|10.2782635|-0.052228625|40.01876255|-55.39203581|92.77827871|0.410805404|421.31181889999993|3072.581297|-21.5571287|0.137191276|6.993991456|11.87042702|7328.308886|88.13890599|38.88975659|1750.039046|0.0|1.0|0.0|1.0|4.05|2.53|0.21|-3.67|2.66|199.45|3.0|1.0|3.0|5.0|-6.95|30.0|5.0|-6.9|457.55|0.0|0.0|1.13e-07|2.3e-05|0.0105|3.09|0.0|0.0002109999999999|0.0967|-0.08982|3.5741|2.57|-2426.972609|668.95|1139.55|0.2362|346.89|507.64|0.69911|-2426.725129|-203.0|8.7269|42.0|7.3768|7.3768
14b_a50|0|1|0.0|2|7.934155233999999|2|1.267593742|4.240438135|-0.092558007|-0.003935732|0.0228205129999999|0.030219907|0.037777505|10.94501788|2|2|0.011249462|-0.106938404|-0.1786649189999999|-0.306633966|1|0.7887047979999999|0.030057537|-0.076752616|0.71456262|1|0.904076348|-0.050362464|0.7031402240000001|0.022423099|-33.02344264|-50.27694576|14.70317076|-0.025558317|192.8987555|-21.65397937|64.58491917|0.445384689|592.81677|2984.248708|-10.98912227|0.362718946|6.3538844910000005|11.45638132|6737.145102|237.8403928|26.29763086|1577.857852|1.0|1.0|1.0|1.0|4.64|3.64|0.35|-6.86|4.81|66.99|0.0|0.0|1.0|7.0|-4.6|33.0|5.0|-6.5|441.52|1.0|0.0|2.51e-05|1.6800000000000002e-05|0.0074099999999999|3.51|0.0|1.3900000000000001e-07|6.12e-05|-0.02486|5.2834|4.0775|-1431.068494|718.64|1253.87|0.1637|234.67|533.25|0.64303|-1430.72987|-0.1936|6.7927|6.58|5.1818|5.1818
