molecula|SddssS|NaaNH|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Heavy atom count|Egan filter|BBB|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|pIC50
13m_a6|0.0|1|0|0|6.842683282|0|0|1.429020166|0.0|0.031719435|-0.010840005|-0.135152403|0.0446875|1.617900191|-0.628720289|-0.0093684169999999|0.054340057|-0.018628955|1|1|-0.00687003|0.037052986|-0.118693789|2|0.7767360059999999|0.156982046|0.832753533|1|0.715612461|-0.0989137669999999|-0.107644789|0.429009107|0.01858251|-75.05944278|12.95736535|91.22689385|0.2843875389999999|198.3000783|9.035018118|95.67846949|0.7362989999999999|-2.045251|89.65257305|-26.40980394|81.92876874|0.48094941|498.9881336|-1426.129413|0.263701|6412.592679|183.8755989|-994.4232282|35.8683143|0.020928405|-329.5370141|724.3873672999999|14.59313027|1.0|1.0|1.0|1.0|3.59|0.08|27.0|3.76|0.81|1.0|127.2|0.0|33.0|0.0|0.0|5.24e-05|2.43|0.0|0.0|-0.07137|3.3359|-1423.762467|371.67|275.0|316.88|0.66475|0.64753|-1423.448957|-1423.511471|6.5243|8.0
3g_a32|0.0|1|1|0|7.78113851|0|0|0.60942078|0.0|0.015803466|-0.006258272|-0.072619634|0.05052381|2.2144733530000003|-0.2816222539999999|0.001276735|-0.1154223269999999|-0.125170068|3|3|0.002565215|-0.105402305|-0.133675401|0|0.755211939|-0.1015732219999999|0.802214256|1|0.887695945|-0.070213101|-0.098311343|0.273439311|0.0119962889999999|-54.47722347|6.647498326|42.56199385|0.112304055|62.23099889|3.683575459|0.0|0.8007401590000001|-1.278047464|60.55421302|-16.86199774|45.55465473|0.447358137|491.89858160000006|-708.2039051|0.199259841|5058.622432|110.4157723|-392.4367329|21.05801434|0.01096673|-333.29803589999995|475.3634141|6.076989555|0.0|1.0|1.0|1.0|3.43|0.28|19.0|5.42|2.18|2.0|102.55|0.0|24.0|0.0|0.0|2.58e-06|5.02|0.0|0.0|-0.0535|3.5456|-1712.060085|349.68|0.2859|349.68|0.70275|0.70275|-1711.865318|-1711.919273|5.5816|7.8539
12ao_a36|0.0|1|0|0|7.412764017000001|2|2|1.297043885|0.0|-0.058597382|-0.007081548|-0.065314765|0.042739018|0.0|-0.410729809|0.002782748|-0.113963585|-0.033032344|1|1|0.003724542|0.1523047569999999|-0.1619981409999999|1|0.82626942|0.040831815|0.8800240009999999|0|0.832582759|-0.077866573|-0.1019516769999999|0.264688501|0.017784426|-67.45579866|11.76697353|85.17634667|0.167417241|110.7707502|7.785557064|0.0|0.7820981779999999|-2.039033535|78.51108393|-24.98362913|63.28698809|0.462968912|550.8740683|-1349.115973|0.217901822|5943.227395|144.1736112|-892.6355932|31.9443643|0.016708791|-373.2975961|698.847203|11.05528527|0.0|0.0|1.0|0.0|4.87|0.12|17.0|2.42|2.38|1.0|133.84|0.0|31.0|0.0|1.0|2.82e-05|3.45|0.0|0.0|-0.05455|3.4743|-1310.361099|356.86|0.6249|266.08|0.4962|0.7045|-1310.077853|-1310.138396|7.447999999999999|7.5229
8f_a12|0.0|0|1|0|6.580639137|1|1|0.609895166|0.0|0.110310585|-0.008295703|-0.062406088|0.038347953|2.177023629|-0.3981937339999999|-0.002596875|0.028505422|-0.024023866|1|1|-0.00094279|-0.023769395|-0.125424286|1|0.7475224290000001|-0.13747286|0.80546986|1|0.869823177|-0.072634742|-0.098932601|0.285353468|0.013287637|-56.220383|7.550959323|83.13642146|0.130176823|73.97552223|4.290980116|0.0|0.8381234340000001|-1.6818542230000002|63.05721575|-21.72151161|48.82707007|0.460344828|494.2940092|-955.746511|0.161876566|5481.952981|91.98952021|-543.1216218999999|25.9168408|0.012030968|-384.290491|524.0516742|6.836832748|1.0|1.0|1.0|1.0|4.09|0.1|21.0|3.41|3.1|2.0|115.66|0.0|27.0|0.0|1.0|5.72e-06|4.34|0.0|0.0|-0.06179|3.6536|-1481.146454|339.35|312.0|297.01|0.59107|0.65098|-1480.955408|-1481.008909|1.4701|6.1898
6g_a40|0.0|0|0|1|8.421342866|1|2|0.604893315|1.628664494|0.102683335|-0.022381557|-0.261952754|0.039863946|0.607999575|-1.09669629|-0.019683422|0.07194868|-0.251161616|2|2|-0.018182514|-0.221674172|0.05728593|0|0.832499949|0.075283207|0.8917390820000001|1|0.605346707|-0.164941808|-0.156296046|0.400587529|0.017750905|-101.5916383|11.53799852|328.78166810000005|0.3946532929999999|256.5226419|7.499640603|47.36081569|0.824204189|-2.657032782|114.7475987|-38.37906336|118.7493383|0.425569146|393.4722933000001|-1727.0578510000005|0.175795811|7822.892656|114.2663866|-1122.578856|46.56499428|0.020240097|-421.4621621|590.1686672000001|13.1559604|0.0|1.0|0.0|1.0|4.06|0.21|14.0|2.48|0.59|1.0|124.18|1.0|31.0|1.0|0.0|1.93e-05|3.06|1.0|0.0|-0.08622|2.8135|-2522.023752|440.68|0.4971|373.48|0.58454|0.5794199999999999|-2521.8114530000003|-2521.87499|8.9454|7.3279
12l_a36|0.0|1|0|0|7.412764017000001|2|2|1.297044247|0.0|-0.0944961519999999|-0.0076430169999999|-0.008712073|0.039061728|0.0|-0.4203659179999999|-0.000143196|-0.05158636|-0.0452558729999999|1|1|0.001194592|0.228884463|-0.175397741|1|0.8174432229999999|-0.041707369|0.8772535459999999|0|0.84381923|-0.079972189|-0.107815735|0.3827446779999999|0.0220227089999999|-70.17688229|14.33450402|39.27257375|0.15618077|101.6575135|9.330278191|1.281955437|0.7379583590000001|-1.940683231|83.76912404|-24.7683114|66.38812034|0.4619814279999999|549.2389652|-1263.1838810000002|0.262041641|6121.6555530000005|170.5619816|-822.2019402000001|33.56329135|0.02088234|-309.7725155|642.3830552000001|13.59224175|0.0|1.0|1.0|0.0|4.78|0.13|17.0|1.76|1.38|1.0|128.47|0.0|31.0|0.0|0.0|5.08e-05|2.95|0.0|0.0|-0.0510399999999999|3.8619|-1325.194654|321.05|0.4524|321.05|0.6925|0.6925|-1324.954011|-1325.0137550000002|7.2021|7699.0
19k_a38|0.0|1|0|0|7.412764017000001|2|2|1.297042875|0.0|0.0100827|-0.011877064|-0.17467835|0.0445691609999999|0.0|-0.6888696990000001|-0.011156837|0.016990252|-0.0184136539999999|1|1|-0.00835812|0.208892195|-0.128079012|1|0.853092207|0.04833864|0.908591797|0|0.658700057|-0.112748779|-0.126936513|0.389096157|0.0232707939999999|-80.54577161|14.76615358|157.4834779|0.341299943|216.567059|9.369654226|116.0039747|0.75964689|-2.411793744|94.38036132|-28.3401789|86.30929885|0.4769127179999999|417.968819|-1530.369661|0.24035311|7091.215492|152.51267140000002|-971.0744563|37.3070426|0.021802691|-329.5105352|686.8472757999999|13.8345897|0.0|0.0|1.0|0.0|4.89|0.13|17.0|1.65|1.65|1.0|133.79|0.0|33.0|0.0|0.0|0.0002399999999999|1.65|0.0|0.0|-0.05534|3.5378|-1500.8984380000002|350.45|0.2038|239.03|0.38269|0.70327|-1500.618667|-1500.680373|12.5022|7.9666
1d_a5|0.0|1|0|0|6.605297921|0|0|1.217311475|0.0|-0.133500214|-0.006252818|-0.308010841|0.030074074|0.0|-0.2688711589999999|-0.0012491689999999|-0.2261588939999999|-0.010183824|1|1|-0.000700145|-0.389011185|0.004923698|2|0.7595197290000001|-0.058872605|0.821309592|0|0.8965037640000001|-0.088396743|-0.086213657|0.6271150670000001|0.007937625|-46.58221594|4.288788702|204.4506579|0.1034962359999999|55.92018945|2.317281143|0.0|0.770504115|-1.465632167|56.83734591|-19.79744178|52.05055075|0.471074204|484.3911442|-791.897671|0.229495885|5717.438103|123.9992274|-427.8712868|25.69414151|0.018980039|-292.3128788|403.396385|10.25512997|1.0|0.0|1.0|1.0|2.92|0.05|23.0|6.37|2.73|2.0|95.49|0.0|27.0|1.0|0.0|1.0800000000000002e-05|3.95|0.0|0.0|-0.04528|4.6112|-1288.340378|268.88|0.2805|254.46|0.41781|0.5764600000000001|-1288.201219|-1288.253849|5.3765|5.03
14a_a23|0.0|0|1|2|7.423568444|0|0|1.197964042|3.39397765|0.050806184|-0.0056795759999999|-0.0246126279999999|0.042992424|0.757767133|-0.289658385|0.012219066|-0.0518554529999999|-0.071842463|2|2|0.011363191|0.083206288|-0.137733142|2|0.7556436440000001|0.114693804|0.816237166|1|0.918677038|-0.055677662|-0.08032517|0.225448915|0.019504497|-50.79675604|12.33442989|38.57988954|0.081322962|51.42774883|7.800158102999999|80.54176247|0.7807587890000001|-1.606503401|61.36268093|-21.61564087|47.54437201|0.462434482|580.9612768999999|-1015.935121|0.219241211|6269.28943|138.6457355|-642.4662212000001|27.68542751|0.016707951|-355.0975547|601.8533922|10.56592489|0.0|1.0|1.0|1.0|3.41|0.05|26.0|4.02|3.03|2.0|120.28|0.0|30.0|0.0|0.0|1.1e-05|3.58|0.0|0.0|-0.07379|3.7119|-1629.928331|334.02|0.3764|334.02|0.6289100000000001|0.6289100000000001|-1629.690316|-1629.748476|8.3962|8.5498
47k_a18|0.0|0|0|0|7.03438793|1|1|1.25117623|0.0|0.029145635|-0.0067578909999999|-0.0605329409999999|0.033777778|0.0|-0.5135996820000001|0.003047962|-0.02822032|-0.008576013|0|0|0.00493127|-0.026672956|-0.421027889|0|0.721697829|0.022512501|0.753132457|0|0.8309354040000001|-0.065324278|-0.088346874|0.3533268229999999|0.015080484|-69.77479556|11.91029894|20.66242736|0.169064596|133.5242222|9.406543039|58.77865447|0.7153044209999999|-2.208671853|84.23875372|-23.89547793|63.50225571|0.467246896|656.2580564|-1744.369889|0.284695579|7575.637462000001|224.8475227|-1377.672426|33.40602576|0.018313855|-340.0872332|1167.054827|14.46395816|1.0|1.0|1.0|1.0|4.66|0.3|18.0|3.17|2.82|3.0|154.86|1.0|38.0|0.0|0.0|4.65e-06|4.26|1.0|1.0|-0.04359|3.0948|-1664.756029|400.63|0.5920000000000001|400.63|0.69823|0.69823|-1664.2657390000002|-1664.341238|5.2253|7.5376
