molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|SaasN|AATSC1c|SRW07|n6HRing|JGI4|SaaaC|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|RASA|FNSA5|PNSA3|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomRadius|GeomShapeIndex|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
12y_a30|0|0|0|0.0|0.0|0|7.412764017000001|2|0.0|-0.005996863|5.351858133|2|0.044197531|0.0|0.00604028|10.31162818|-0.058184644|0.006346396|-0.153680104|-0.053700437|-0.4579359229999999|1|0.842068099|0.768409873|0.8146529229999999|0.8489185109999999|-0.091248521|-47.598277|85.17057711|101.4221952|-0.034840345|6.751850651|0.0|0.820108145|-1.91621895|-31.95309886|69.55490151|57.65603256|0.445723724|2847.362782|569.8856940000001|-1286.372898|0.179891855|8.067590558|0.804154433|28.51891948|0.012362508|1568.540572|754.3941655|8.299049218|1.0|0.0|0.0|1.0|0.0|0.21|17.0|-7.38|4.87|0.0|137.21|0.0|5.0|4.0|0.0|0.0|9.14e-07|0.00039|3.48e-06|4.6|0.0|0.0|4.12e-08|1.76e-05|4.45|-1654.382468|728.75|1227.82|357.11|0.2173|238.56|0.30617|-1654.125015|-0.1475|4.7043|-0.19815|0.0311422|-1654.190369|5.1209|7.6576
3k_a32|1|1|1|3.644417045|0.0|0|7.97831097|0|0.0|-0.005745086|5.973809612|0|0.0381981979999999|2.256213388|0.001221534|10.31100271|-0.077097565|0.002509816|-0.084055305|-0.050938823|-0.5265375529999999|0|0.816196288|0.779649252|0.8306695270000001|0.8777482409999999|-0.090839907|-40.10830541|80.0971996|68.92687468|-0.029575784|3.930238317|0.0|0.78057227|-1.271758703|-22.61349991|58.16707081|47.07915023|0.472646737|2392.3436100000004|494.8840288|-717.0314235000001|0.21942773|6.153598893|0.89626209|21.36272325|0.012327787|918.5970998|506.658189|6.9505405620000005|1.0|1.0|1.0|1.0|3.48|0.32|19.0|-7.23|7.12|0.0|105.36|0.0|3.0|3.0|0.0|1.0|9.16e-08|3.3600000000000004e-05|2.47e-06|4.97|0.0|0.0|5.86e-08|2.15e-05|3.81|-1750.1383649999998|611.65|1022.89|350.6|0.3082|350.6|0.70268|-1749.957584|-0.14667|3.2233|-0.19988|0.02654958|-1750.0122420000002|5689.0|8.0605
4m_a46|0|0|0|0.0|0.16407746|1|7.825245291|1|2.12888511|-0.000686578|5.587248657999999|1|0.041865079|0.0|0.011122528|10.94319657|0.007901235|0.010359417|-0.487230027|-0.017992096|-0.098201489|1|0.615482006|0.747676221|0.7975218959999999|0.948973877|-0.0672468|-35.4774406|6.161736337000001|26.89046601|-0.0224155999999999|3.028720082|35.77391986|0.733236381|-1.008702005|-18.69640205|41.88525631|41.22460182|0.463006576|2133.331634|500.1036387|-531.5800101|0.266763619|5.329061873000001|0.8622201970000001|16.11061509|0.012232753|724.9776792|486.9589609|6.446588969|1.0|0.0|1.0|0.0|2.9|0.29|17.0|-6.88|4.25|0.0|98.69|0.0|2.0|3.0|1.0|1.0|2.99e-05|0.00981|2.68e-05|3.69|0.0|0.0|1.31e-07|4.31e-05|3.45|-1031.109224|558.63|975.72|285.18|0.2465|205.21|0.38389|-1030.929791|-0.18308|3.9226|-0.23116|0.02920209|-1030.980844|5.2326|5.8901
5_a18 (BIBF0775)|0|0|0|0.0|0.0|0|7.03438793|2|0.0|-0.005220163|4.844187086|1|0.035478927|0.0|0.002526619|10.94702058|-0.022817602|0.0036739159999999|-0.054916741|-0.144352593|-0.453086741|0|0.7140745620000001|0.7395978390000001|0.774859029|0.8432358679999999|-0.078246932|-52.09190866|10.36586529|118.3671077|-0.029755876|4.846666751|50.25564119|0.8159410579999999|-2.112667176|-39.33277643|67.25977848|58.5107823|0.483962172|3115.979466|636.6978809999999|-1595.201018|0.184058942|9.798677372|0.937842434|27.535837|0.010831199|1955.044427|1140.896548|8.178259299999999|0.0|1.0|1.0|2.0|0.0|0.32|18.0|-9.21|4.09|1.0|155.95|0.0|8.0|3.0|1.0|0.0|8.590000000000001e-07|0.000425|1.91e-06|4.73|0.0|0.0|6.18e-10|3.06e-07|8.45|-1572.290174|817.02|1446.02|378.13|0.4825|378.13|0.69298|-1571.843719|-0.13154|2.3389|-0.18092|0.02305362|-1571.914419|2.8009|7.4685
15c_a10|0|0|0|0.0|0.0|1|7.535296702|2|2.154210861|-0.002218445|5.4161004020000005|3|0.034807692|2.063253638|0.01143745|10.92970798|0.0123939039999999|0.012271987|-0.101214571|-0.226679901|-0.1742732839999999|2|0.7655272009999999|0.7351096359999999|0.772328328|0.904458517|-0.072537853|-32.5870313|65.41494073|66.28884934|-0.019267867|7.077912953999999|136.2098503|0.528228415|-1.233143495|-22.60962187|66.5866765|42.7883594|0.449308156|3012.018586|627.5338454|-855.5829431|0.471771585|8.639636218|0.8158976029999999|25.30814911|0.023432886|1619.721543|924.9341455|16.25826809|0.0|1.0|1.0|0.0|4.09|0.37|21.0|-7.79|3.77|0.0|141.96|0.0|6.0|6.0|1.0|0.0|0.0001419999999999|0.0646|2.68e-05|2.94|0.0|0.0|1.6100000000000002e-08|7.3e-06|2.2|-1450.500669|762.21|1318.35|337.75|0.3939999999999999|221.75|-0.26999|-1450.139335|-0.14739|2.4256|-0.19463|-0.25919486|-1450.201574|4.8283|7.0
7b_a8|1|0|0|3.213855584|0.0|1|7.535296702|1|1.4628217119999998|-0.009659873|5.4161004020000005|1|0.040873016|0.0|0.002074537|10.9465091|-0.0254956129999999|0.003191529|-0.039357491|-0.021509048|-0.415894017|1|0.710658316|0.7812177770000001|0.8453887859999999|0.7223476129999999|-0.1000685009999999|-60.75943432|145.0783004|166.30684230000003|-0.041332642|11.89970852|75.93423425|0.753935657|-1.901301524|-36.39338307|73.70461365|80.62622045|0.4787988|2776.185773|432.6681725|-1138.832108|0.246064343|7.698000901|0.918644854|32.83731114|0.022982731|1510.516312|545.9267515|13.76608164|0.0|0.0|1.0|1.0|3.37|0.09|23.0|-7.65|4.48|0.0|110.8|0.0|3.0|5.0|0.0|1.0|5.64e-06|0.00224|1.14e-05|3.61|0.0|0.0|2.25e-08|8.94e-06|5.51|-1330.595067|621.4|1067.73|380.32|0.2517|269.85|0.44725|-1330.392289|-0.13639|9.9463|-0.20472|0.0273745|-1330.448193|12.7344|4.8687
8_a1 (SB-202620)|1|0|0|3.296085365|0.0|0|6.86171134|0|0.0|-0.013785521|4.727387819|1|0.037578348|0.0|-0.012672753|10.94957568|0.037553634|-0.0106277489999999|-0.095271547|-0.019835038|-0.612004804|1|0.674381582|0.743088715|0.805476065|0.648967503|-0.105271458|-66.76765693|208.2071465|199.1596945|-0.041081545|4.997944864|64.70432539|0.7742395870000001|-1.684343335|-37.88089785|70.8721358|75.57687443|0.4564697679999999|2431.842132|368.1943149|-955.6189441|0.225760413|7.432247389|0.839824062|30.104091200000003|0.019645498|1234.267739|433.2550452|11.1459518|1.0|1.0|0.0|2.0|2.21|0.0|23.0|-8.02|4.86|0.0|99.61|0.0|4.0|5.0|0.0|1.0|1.14e-05|0.0041|1.98e-05|3.6|0.0|0.0|9.53e-09|3.42e-06|5.32|-1223.117248|586.27|977.87|364.11|0.5339|364.11|0.7026600000000001|-1222.9606720000002|-0.13683|3.4563|-0.2105199999999999|0.16177304|-1223.014114|5.5005|6.3979
17_a47|1|1|1|3.011740664|0.0|0|6.605297921|0|0.0|-0.003764469|4.59511985|3|0.031802469|1.699575434|0.0042378929999999|10.9385382|-0.006331624|0.004477366|-0.180898239|-0.0184347939999999|-0.3004189439999999|3|0.8007970640000001|0.75807704|0.814790949|0.852282407|-0.082994667|-43.82821253|68.64478326|90.10552332|-0.02987808|4.806157636|0.0|0.7457517659999999|-1.493904005|-26.73455447|60.33408274|51.70735256|0.46147021|2672.497352|519.8795281|-911.2591113|0.2542482339999999|7.055517075|0.8569074879999999|24.43867122|0.0159160889999999|1221.9335609999998|630.8611986000001|9.708576558|1.0|1.0|1.0|2.0|2.39|0.08|27.0|-10.1|5.12|0.0|119.83|0.0|4.0|4.0|0.0|1.0|3.98e-06|0.00156|6.11e-06|4.03|0.0|0.0|7.96e-11|3.12e-08|3.07|-1254.943823|656.78|1127.7|289.79|0.4308|289.79|0.6844100000000001|-1254.737546|-0.17606|3.4454|-0.22479|0.04130125|-1254.795084|5.6949|8.3
14h_a23|0|1|1|0.0|0.0|2|7.423568444|0|3.309480899|-0.005921293|5.351858133|2|0.04255787|0.7290938920000001|0.009895793|10.31321773|-0.034313725|0.009266617|0.060820238|-0.0686282459999999|-0.4460845129999999|2|0.708395022|0.79263722|0.860920386|0.923430574|-0.081058742|-43.02851162|41.34207782|51.620282|-0.033774476|9.990985411|86.83095818|0.753100584|-1.621174834|-29.00823506|67.44368679|57.84834575|0.48032488|3010.418229|622.5428245|-1092.936262|0.246899416|7.833334036|0.924279155|30.23434844|0.018981866|1451.248725|646.2584547|12.79687369|0.0|0.0|1.0|1.0|3.2|0.04|26.0|-7.47|3.4|1.0|125.0|0.0|5.0|5.0|0.0|0.0|2.09e-06|0.0009109999999999|1.27e-05|3.3|0.0|0.0|3.39e-08|1.4800000000000002e-05|3.29|-1722.148272|699.86|1190.62|337.93|0.3424|306.09|0.67365|-1721.9314420000003|-0.15209|9.7146|-0.2374099999999999|0.02796857|-1721.99264|13.4823|8.3468
12ax_a36|1|0|0|3.429529478|0.0|0|7.412764017000001|2|0.0|-0.007681676|5.351858133|2|0.043383838|0.0|-0.001012333|10.958822|-0.034663063|-0.00097037|0.128253871|-0.101451485|-0.440372791|1|0.884841888|0.836170906|0.892249657|0.846837721|-0.107815607|-49.32384393|36.17982162|102.4490387|-0.038813619|8.558226304|1.236876307|0.7648530440000001|-1.940680931|-32.99232962|84.58859134|62.11847297|0.488501696|2926.929456|566.4430628|-1298.106146|0.235146956|7.563197245|0.955040697|33.94393618|0.018645135|1697.196809|661.6709012|12.47158322|1.0|0.0|0.0|2.0|0.0|0.14|17.0|-7.76|3.99|0.0|133.77|0.0|5.0|4.0|1.0|1.0|8.27e-06|0.00372|6.55e-06|3.93|0.0|0.0|1.74e-08|7.83e-06|4.42|-2152.100515|699.67|1182.31|318.82|0.5236|236.74|0.39564|-2151.910753|-0.15728|4.5001|-0.21324|0.03044421|-2151.971761|6.0402|7.9208
