molecula|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|n5aRing|AATSC1pe|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Leadlikeness|Brenk|Veber filter|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
47i_a18|0|0.0|0.0|0|7.03438793|1|1|0.053794607|-0.006882626|4.844187086|-0.066917145|0|-0.037689885|0.0|-0.440488042|0.073977454|0|0.000427479|0.744472118|-0.068524374|0.7842882870000001|0|0.8030751740000001|-0.0780255879999999|-0.089609068|0.279553995|0.009745543|-62.41153158|0.196924826|137.1555392|-43.46880696|4.727502734|82.81385171|61.13143233|0.487446923|2795.907966|1333.332089|-17.10248143|0.139131409|0.951017454|96.90318745|-1043.251367|28.52393145|0.009393984|855.7438937000001|6.542785417999999|1.0|1.0|1.0|0.0|0.22|18.0|-8.98|3.0|1.0|0.0|33.0|3.0|-6.36|440.54|0.0|0.0|-4.78|6.58e-06|1.67e-05|0.00735|3.7|0.0|4.6e-07|7.37|-1416.260696|-1416.233978|744.95|1297.7|0.5085|383.61|664.78|0.69175|0.69175|0.5085|-0.13237|2.7749|-0.18299|0.02671774|-1415.944522|19.0|7.7212|7.7212
21b_a23|1|0.0|0.0|2|7.525639975|0|0|0.094654108|-0.005936474|5.4161004020000005|-0.008526338|2|0.057405955|0.745297595|-0.326506055|-0.103470358|2|0.009872313|0.7717839409999999|-0.078097375|0.8339434929999999|1|0.930728719|-0.0596425779999999|-0.083105261|0.224930782|0.014481931|-58.25915868|0.0692712809999999|48.56114386|-40.84133198|7.117014296|86.65837165|51.9633947|0.458461834|3074.083057|2531.041828|-16.81701905|0.187665282|0.846591917|131.5587155|-857.6679716|29.53101081|0.013439264|712.6737861|9.421307298|0.0|0.0|1.0|3.42|0.08|26.0|-7.84|2.0|1.0|0.0|33.0|5.0|-6.42|450.52|0.0|0.0|-5.22|8.02e-07|6.06e-06|0.00273|3.7|0.0|6.45e-06|3.57|-1761.498874|-1761.4722969999998|735.65|1247.38|0.2607|309.79|611.6|0.57848|0.70139|0.2333|-0.15033|9.5312|-0.23434|0.02657688|-1761.294175|85.0|7.0691|7.0691
8b_a12|0|0.0|0.0|0|0.0|1|1|0.190292199|-0.012630509|0.0|-0.1676879319999999|2|0.028584223|0.0|-0.618894925|-0.036536396|0|-0.007926474|0.7407532059999999|-0.183648492|0.792160599|0|0.740926309|-0.1053827859999999|-0.116554734|0.4384536329999999|0.011257065|-67.44287685|0.259073691|149.9096134|-39.02494133|3.769098814|76.80174559999999|67.49212879999999|0.480938153|2388.888334|1437.536303|-15.27062922|0.111063646|0.926552694|64.26553043|-702.4489440000001|29.68794201|0.009361504|510.3677388|5.416912474|0.0|1.0|1.0|2.57|0.1|18.0|-7.45|1.0|0.0|0.0|27.0|4.0|-6.51|355.39|0.0|0.0|-4.01|7.890000000000001e-05|9.74e-05|0.0346|2.76|0.0|1.26e-05|5.11|-1159.405202|-1159.365835|611.93|1020.47|0.3179|293.37|460.08|0.53425|0.57773|127.0|-0.15294|4.2554|-0.21184|0.03936706|-1159.2425119999998|263.0|6.58|6.58
15a_a50|1|0.0|0.0|2|7.934155233999999|1|1|-0.113976703|-0.004429392|5.82008293|-0.06317118|1|-0.0446629609999999|2.020652006|-0.234757789|-0.15010386|2|0.005828749|0.821868651|-0.207610131|0.8749408470000001|1|0.837789896|-0.0783960279999999|-0.084501726|0.4349386739999999|0.018014615|-50.56454577|0.162210104|97.06405493|-30.25705388|6.450390922|0.0|57.69065967|0.4476230879999999|2503.770258|1754.903963|-10.49734522|0.294589405|0.8103580690000001|176.277812|-514.369916|24.86892274|0.018747341|569.5267957000001|11.21812301|0.0|1.0|1.0|2.63|0.23|20.0|-6.09|1.0|0.0|0.0|28.0|4.0|-6.78|371.44|0.0|1.0|-3.92|0.000251|0.0001189999999999|0.0444|2.51|0.0|0.0003|2.66|-1199.818129|-1199.784983|644.4|1091.64|0.1767|306.83|519.38|0.66132|0.66132|0.1767|-0.16693|6.6307|-0.19948|0.03314629|-1199.629702|41.0|7.3872|7.3872
47f_a18|0|0.0|0.0|0|7.03438793|1|1|-0.005500039|-0.005817448|4.844187086|-0.034211867|0|-0.048472184|0.0|-0.477030713|0.033759227|0|0.00531392|0.750610215|-0.014370598|0.780474694|0|0.838156881|-0.063824969|-0.084851044|0.375218907|0.0138461289999999|-72.03501774|0.161843119|137.3980967|-61.15474298|9.979328976|58.84834254|65.93954138|0.483843526|3367.7324700000004|2343.062749|-20.90098811|0.273449343|0.937396993|232.14715330000004|-1651.17806|33.88554232|0.016581683|1347.416568|14.07716085|1.0|1.0|1.0|0.0|0.34|18.0|-9.22|3.0|2.0|1.0|40.0|4.0|-6.4|541.68|0.0|0.0|-5.52|7.76e-07|3.01e-06|0.00163|4.52|1.0|3.27e-07|8.13|-1743.375413|-1743.346389|908.66|1602.99|0.5741|400.42|874.24|0.6984600000000001|0.6984600000000001|0.5741|-0.12802|3.8532|-0.1724099999999999|0.02902413|-1741.802171|9.0|8.0458|8.0458
3i_a32|1|2.417426304|-4.547725143|0|7.78113851|0|0|-0.157360524|-0.012358668|5.733341277|-0.363243817|0|-0.21362765|1.711001131|-0.4449120629999999|-0.26785886|3|-0.0106761939999999|0.833699527|0.030060554|0.902293804|1|0.893827987|-0.093279684|-0.1132851459999999|0.259644227|0.015296821|-59.72706743|0.106172013|55.97682661|-31.48976464|4.252042736|0.201037767|57.24454122|0.422644726|2471.4299920000003|2141.3084710000003|-12.4050588|0.22927653|0.732035793|120.8809386|-409.3669403|30.52825775|0.021905206|318.0257595|11.54903146|1.0|0.0|1.0|2.49|0.13|19.0|-6.96|2.0|0.0|0.0|24.0|6.0|-5.53|366.38|1.0|0.0|-5.16|5.37e-07|6.85e-06|0.00251|4.23|0.0|4.01e-05|3.38|-1891.833327|-1891.811327|530.5|876.0|0.4765|340.43|418.24|0.70322|0.70322|0.4765|-0.1476|2494.0|-0.21278|0.02199999|-1891.790935|6.0|8.2366|8.2366
41_a47|1|0.0|0.0|1|6.842683282|0|0|-0.225923786|-0.004083905|4.727387819|-0.072088843|3|-0.080388467|1.601942802|-0.187859623|0.024881402|1|0.0047106|0.8417952740000001|0.123676975|0.900915114|1|0.823168463|-0.061101947|-0.0899793719999999|0.245948366|0.018348892|-50.81597048|0.1768315369999999|99.86584673|-28.69838714|5.852270304|0.0|44.86996758|0.447046066|2374.594252|1073.170368|-9.34366093|0.346852185|0.8084689140000001|195.8852341|-401.77742|25.33076615|0.023067788|439.9906467|13.02756406|1.0|1.0|1.0|3.18|0.16|21.0|-7.47|0.0|0.0|0.0|26.0|5.0|-6.66|348.38|0.0|1.0|-3.9|0.000267|0.000125|0.0436|2.49|0.0|1.17e-05|2.41|-1162.492089|-1162.462261|603.1|995.43|0.2849|308.67|471.9|0.6779|0.68638|0.2504|-0.15208|4.9162|-0.2026099999999999|0.02982752|-1162.342476|0.01|8.0|8.0
14y_a23|1|0.0|0.0|2|7.423568444|0|0|0.0600764409999999|-0.005875443|5.351858133|-0.022719307|2|0.041892637|0.731397292|-0.2996475999999999|-0.051539811|2|0.007229683|0.802520527|-0.049318182|0.8668730109999999|1|0.925252932|-0.057809342|-0.080613242|0.2271539169999999|0.018804822|-55.74067298|0.074747068|51.68445972|-38.54233552|8.990852582999999|82.29531392|52.97547894|0.486730407|3096.562257|2336.815247|-16.40099384|0.21677451|0.948293868|149.890474|-770.8467102999999|30.28429949|0.016527|665.6233736|11.42772654|0.0|0.0|1.0|3.49|0.05|26.0|-8.57|2.0|1.0|0.0|32.0|4.0|-5.8|480.37|0.0|0.0|-6.13|1.7e-07|7.37e-07|0.000354|4.83|0.0|1.29e-06|4.73|-2549.104894|-2549.091817|713.1|1217.48|444.0|340.49|585.2|0.61338|0.61338|444.0|-0.14942|4.8799|-0.2331599999999999|0.01307741|-2548.953933|4.0|8.4225|8.4225
9i_a24|0|2.9199957480000003|0.0|1|7.153833802|0|0|-0.113620183|-0.005148312|5.209486153|2.01e-05|2|-0.076024544|0.0|-0.190487553|-0.087363979|2|0.005891639|0.822658951|-0.0106944439999999|0.898194715|0|0.8260893640000001|-0.064657333|-0.069812876|0.379687415|0.025118046|-33.00219474|0.173910636|82.21166337|-15.60091656|5.613069697999999|1.634015079|42.43894111|0.468272544|2061.729154|761.9885477000001|-5.506205845|0.500761711|0.8806627109999999|236.7218826|-187.2109987|23.33121014|0.038195951|295.8603625|18.05612763|1.0|1.0|1.0|1.36|0.0|22.0|-6.05|0.0|0.0|0.0|22.0|4.0|-7.01|288.31|0.0|1.0|-3.1|0.00248|0.000791|228.0|1.48|0.0|0.000258|1.13|-945.286637|-945.2626532|501.48|825.7|0.2373|268.3|363.15|0.58977|0.6755800000000001|0.0029|-0.17204|7.1135|-0.21943|0.0239838|-945.222448|88.0|7.0555|7.0555
5a_a40|0|0.0|0.0|1|8.149890544|0|1|-0.116583806|-0.004609716|6.167516491000001|0.059258947|0|-0.108428634|0.808197279|-0.152120625|0.180125135|2|0.010425818|0.756882266|-0.0395444479999999|0.820901326|1|0.8531783270000001|-0.078132307|-0.090991462|0.04987082|0.020641204|-40.27003217|0.146821673|64.97877226|-17.82228195|4.042943749|52.43850484|43.71412865|0.4889874279999999|1847.672595|508.8362301|-7.128912782|0.177534728|0.956899016|78.57142892|-213.8673835|19.58503709|0.0130940839999999|244.8873477|5.795040371|1.0|0.0|1.0|2.49|0.21|14.0|-4.05|0.0|1.0|0.0|19.0|3.0|-5.9|269.32|0.0|1.0|-3.67|7.49e-05|0.000213|0.0574|2.88|0.0|0.0241|4.36|-1177.598691|-1177.5835470000002|466.79|757.45|0.4461|326.96|353.51|0.69499|0.69499|0.4461|-0.15066|5.7163|-0.21644|0.01514427|-1177.555706|81.0|7.0915|7.0915
