molecula|NaaNH|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8s|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|P-gp substrate|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
11a_a31|1|2.856083711|0.0|0|7.773594467000001|1|0.610138462|0.0|5.733341277|-0.259732443|0|-0.087576474|-0.022093578|-0.1217573119999999|-0.019865299|2|-0.017433557|-0.149933348|-0.1068420919999999|-0.1829166189999999|-0.563537536|0.861302755|0.022073976|0.819138461|0|-0.151872243|-0.161027639|0.271818874|0.041435152|-76.64827023|20.91187076|258.8577775|0.513245044|259.0291941|-0.056833284|-41.01552988|10.55399384|0.735254945|-1.932331673|97.23036756|-28.68314085|97.560141|0.451795285|2288.9694010000003|245.6599349|-975.2267888|0.264745055|5.791411901|10.5643234|4940.657452|133.6139513|-492.1863586|39.01114987|0.031626337|1326.379096|302.14325319999995|0.0|0.0|16.0|-4.65|0.57|0.0|0.0|83.12|0.0|2.0|6.0|-6.51|329.33|0.0|1.5399999999999998e-05|0.00506|0.000161|0.0531|2.53|0.0|0.00731|3.97|-1441.452616|-1441.411622|529.63|325.92|407.76|0.69222|-1441.327731|0.2797|-0.15515|-0.20589|0.04099365|-1441.37897|8.9667|6.7212|6.7212
10_a4|0|0.0|0.0|1|7.535296702|1|1.343863662|2.146166934|5.4161004020000005|0.005483539|2|0.00941601|0.01107733|-0.122141977|-0.090413559|1|0.011142889|0.014917047|-0.083887216|-0.132895939|-0.241683916|0.6990620390000001|-0.120059574|0.6799081490000001|1|-0.051015897|-0.079432495|0.43000216|0.014582852|-29.52653193|8.440134933|39.48408698|0.078346981|45.34497624|-0.027007048|-26.60798798|4.884907049|0.744529685|-1.350352423|54.09964719|-15.63090193|37.96666686|0.4858700179999999|2480.063587|533.4262268|-781.5450965|0.255470315|5.759414166|11.20225306|5598.949417|147.85886159999998|-452.3357957|20.99433004|0.014040792|1049.716502|594.7358385|1.0|1.0|21.0|-8.07|2.53|2.0|0.0|111.38|0.0|1.0|4.0|-5.83|370.45|1.0|2.21e-05|0.00818|1.4e-05|0.00519|3.85|0.0|3.15e-06|3.34|-1183.812875|-1183.790554|619.99|340.01|470.02|0.7038399999999999|-1183.54701|0.0176|-0.15561|-0.2025|0.02232068|-1183.602045|2.2386|7.0555|7.0555
3l_a32|1|3.672194822|0.0|0|7.773594467000001|0|0.609420748|0.0|5.733341277|0.0043645509999999|0|-0.039331295|0.0016954029999999|-0.09393062|-0.107818594|3|0.002942329|-0.068876714|-0.04980249|-0.087213805|-0.524711546|0.820540279|-0.136589369|0.776480242|1|-0.069304303|-0.088417589|0.270668623|0.012244965|-40.30321333|7.120934925|61.72183119|0.114441512|66.55229892|-0.028831823|-29.90181954|4.141107366|0.788236719|-1.326263838|58.10243176|-16.76685351|47.42414825|0.453630671|2453.759435|514.9875423000001|-771.2752615|0.211763281|6.414825717|11.74082324|5429.531532999999|123.148785|-448.5272931|21.27134288|0.011493763|978.4817724|565.7000781|0.0|1.0|19.0|-7.5|2.64|2.0|0.0|110.16|0.0|1.0|3.0|-4.71|380.53|0.0|2.52e-08|9.59e-06|9.7e-07|0.0003689999999999|5.51|0.0|1.2e-05|4.21|-1789.475625|-1789.4501510000002|629.26|351.04|468.81|0.70282|-1789.242839|0.2876|-0.14664|-0.19962|0.02547484|-1789.298086|5.7721|7.9208|7.9208
12v_a36|1|3.468871488|0.0|0|7.412764017000001|2|1.297043692|0.0|5.351858133|-0.04314418|2|0.073329354|0.00127667|-0.086194201|-0.023932402|1|0.003077071|0.123026459|-0.1430106119999999|-0.239932418|-0.401336708|0.8913597320000001|0.024751559|0.84179881|0|-0.078158778|-0.105200486|0.334379501|0.027145269|-51.4172081|17.85767346|113.7463918|0.197708661|130.0637965|-0.033118671|-45.52806671|11.74777471|0.6276553979999999|-1.788408258|88.07013157|-21.78731129|69.27488156|0.461799225|2846.057239|527.7920397|-1176.51481|0.372344602|8.456596706000001|15.71271745|6065.593390999999|244.9490697|-773.9771341000001|34.71221847|0.02867403|1874.459798|679.7230552999999|0.0|1.0|17.0|-6.69|1.72|1.0|0.0|130.24|0.0|1.0|5.0|-6.93|411.46|0.0|0.000113|0.0464|8.499999999999999e-05|35.0|2.65|0.0|8.340000000000001e-05|2.65|-1347.475543|-1347.442792|671.56|334.77|502.83|0.7016100000000001|-1347.2000369999998|0.0223|-0.15185|-0.20404|0.03275089|-1347.260743|7.9237|7.8539|7.8539
21_a34|0|0.0|0.0|1|8.002694162000001|2|1.425532331|1.88614418|5.860786223|-0.091664226|1|-0.125881566|-0.001643445|-0.004734657|-0.009996155|1|0.00130996|-0.201539853|-0.254686357|-0.407759867|-0.514364527|0.702772307|0.116926272|0.660871869|0|-0.09533089|-0.117789944|0.527371706|0.034163186|-63.96857813|22.9240533|168.9671187|0.323609157|217.1470086|-0.041572921|-53.03643341|15.38241267|0.728260094|-2.120218984|95.12565978|-27.89610644|86.89263143|0.4688149339999999|3115.110331|453.8692584|-1422.701428|0.271739906|7.253455092999999|13.65523159|7048.305909000001|182.341897|-954.6558014|38.30514214|0.023973624|1953.562249|659.7484451|0.0|1.0|23.0|-7.68|1.72|1.0|1.0|122.59|0.0|1.0|6.0|-6.83|438.43|0.0|3.14e-05|0.0138|1.94e-05|0.0085|3.02|0.0|9.06e-06|7.78|-1483.3359380000002|-1483.305698|698.17|401.11|530.93|0.69292|-1483.057743|0.0002|-0.13338|-0.20872|0.03023936|-1483.12009|7.9399|5.4737|5.4737
10_a15|0|0.0|0.0|0|0.0|0|1.4356889780000002|0.0|0.0|-0.0435725659999999|2|-0.0869138469999999|0.001740635|-0.077096984|0.010152859|0|0.0034254209999999|-0.132759909|-0.120626133|-0.184255041|-0.391156537|0.8310685940000001|0.0107135269999999|0.7933685340000001|0|-0.052826735|-0.101494566|0.640780603|0.010485777|-30.73805622|6.101312009|6.497096666|0.066863055|38.90530741|-0.036384844|-34.36276159|3.550143186|0.8301726490000001|-1.928396745|65.80736417|-21.17108692|36.83936823|0.449323734|2605.82709|542.9602292000001|-1122.067607|0.169827351|5.555044294|10.08767698|6204.37804|98.81668286|-652.8924702|25.50202895|0.0116026369999999|1351.607534|673.7288405|1.0|1.0|24.0|-9.82|2.87|2.0|0.0|119.95|0.0|1.0|4.0|-4.97|397.47|0.0|5.99e-07|0.0002379999999999|1.47e-06|0.000584|5.29|0.0|5.99e-08|5.16|-1281.088565|-1281.061184|631.2|340.17|487.16|0.70313|-1280.804272|0.0042|-0.15377|-0.18958|0.02738146|-1280.862627|3.1460000000000004|8.1549|8.1549
30_a47|0|0.0|0.0|1|6.842683282|0|1.304327883|1.435022468|4.727387819|-0.184735553|2|0.013114301|-0.0098410169999999|-0.008774855|0.0467853809999999|1|-0.008325552|0.029343834|-0.035472095|-0.079370393|-0.4370608039999999|0.6850994429999999|-0.1340278869999999|0.651797437|1|-0.108232368|-0.107296835|0.384732322|0.022747897|-64.94243028|13.64937081|350.5257774|0.32103267|192.6285289|-0.0383202979999999|-38.63044093|8.190002019|0.679447569|-1.609452527|81.25550675|-22.9932445|78.59180109|0.4680850139999999|2626.927627|407.3992771|-965.7162688|0.320552431|6.886726437999999|12.94704346|5852.817155|192.3403721|-579.456614|33.84108731|0.028122734|1421.325667|457.1122177|1.0|1.0|21.0|-7.24|1.78|1.0|0.0|104.25|0.0|1.0|5.0|-6.95|396.81|0.0|6.05e-05|24.0|7.94e-05|0.0315|2.5|0.0|2.28e-05|3.89|-1696.12008|-1696.078047|615.85|333.66|478.04|0.6944899999999999|-1695.931037|0.3566|-0.1517|-0.20813|0.0420327|-1695.9887|3.6487|7.9|7.9
12n_a30|0|0.0|0.0|0|7.412764017000001|2|0.604984682|0.0|5.351858133|-0.064217094|2|-0.1144447669999999|0.001139238|-0.037209579|-0.087019298|1|0.002064369|-0.254279374|-0.0541804029999999|-0.120380857|-0.464204099|0.669561738|-0.015189554|0.64876559|0|-0.083120674|-0.10528124|0.390449649|0.017064818|-52.4873066|10.77573511|85.87072848|0.221849786|140.0890685|-0.038674741|-41.97990569|6.804436105|0.799403208|-1.895062322|76.16725916|-24.42151771|63.2630417|0.4701566479999999|2848.910641|491.3700419|-1196.654368|0.200596792|7.385790169|13.93957316|6353.890039|126.6686716|-755.6383024|30.54968688|0.0153398069999999|1496.934657|618.6004214|0.0|1.0|17.0|-6.9|3.2|2.0|0.0|127.24|0.0|1.0|5.0|-6.02|416.47|0.0|4.12e-06|0.00171|9.71e-06|0.00405|3.97|0.0|5.260000000000001e-05|4.07|-1675.011418|-1674.978015|669.57|355.67|506.94|0.6854|-1674.777231|0.1489|-148.0|-0.19876|0.0334036|-1674.83759|6.32|7983.0|7983.0
13_a12|0|0.0|0.0|0|0.0|0|1.508548782|0.0|0.0|-0.0619247109999999|2|-0.21832579|0.000830398|-0.083760082|0.021322992|0|0.002279068|-0.362308767|-0.169387652|-0.281096572|-0.595629719|0.845823047|-0.226526433|0.804066411|0|-0.058167326|-0.092483398|0.122164874|0.008188151|-28.51381164|4.01385817|64.74666684|0.09993609|48.98899535|-0.034993718|-22.2236882|1.96760628|0.8829921740000001|-1.2947675790000002|48.99243638|-17.15403411|32.52766981|0.466560112|1812.788134|441.2142447|-634.6992622|0.117007826|6.06407675|11.36787272|3647.657976|57.35761558|-311.13163480000003|19.42716439|0.0074597119999999|718.8050825|327.9594923|1.0|0.0|18.0|-7.14|2.42|1.0|0.0|84.74|0.0|1.0|3.0|-5.49|276.34|1.0|5.520000000000001e-05|0.0152|6.3e-05|0.0174|3.51|0.0|2.01e-05|3.83|-876.3661620999999|-876.3370809|532.86|315.25|437.91|0.64974|-876.209109|0.0155|-0.16458|-0.20903|0.0290811829999999|-876.258343|1.5686|7.0315|7.0315
2_a4|0|0.0|0.0|0|6.605297921|1|1.189716144|0.0|4.59511985|-0.103346554|1|0.08246129|-0.001386521|0.090707854|0.076479666|0|-0.0016168089999999|0.127695325|0.147657684|0.228655117|-0.3881618|0.930871261|0.11821091|0.912872667|0|-0.117395215|-0.105102755|0.442778552|0.006330673|-49.45826819|2.667094277|166.102249|0.257481153|108.4760726|-0.0379537729999999|-18.65482233|1.123639184|0.843107708|-1.366335816|48.93681624|-15.98981578|52.12536246|0.3961813179999999|1623.668791|312.82106489999995|-575.6333682|0.156892292|4.710383035|7.800989232999999|3396.86527|66.09827364|-242.5126903|18.96532986|0.011054731|682.7518749|284.26458360000004|1.0|1.0|12.0|-4.83|1.63|0.0|0.0|79.59|0.0|2.0|4.0|-6.69|253.3|1.0|0.0066|1.67|0.00171|434.0|1.62|0.0|0.00374|2.46|-819.9326497000001|-819.8996124|458.73|384.69|333.36|0.6885600000000001|-819.771754|0.0008|-0.14614|-0.16226|0.033037353|-819.8174190000001|3.0946|7.5086|7.5086
