molecula|NaaNH|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC8d|n5aHRing|AATSC1pe|MATS1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
3d_a12|0|0.0|0.0|1|1|1.28383852|0.0|0.092417272|0.0|-0.053022041|3|0.038787879|-0.166233441|0.0|-0.360215148|-0.058191686|0|-0.000643935|-0.1394967999999999|-0.532019854|2|0.91670178|-0.097468573|-0.108208213|0.82682708|0|0.8547246829999999|-0.066850425|-0.0958414059999999|0.2443206489999999|0.011128076|-49.24083018|5.717316796|74.39425719|0.145275317|74.63869204|2.9374091630000003|0.0|0.77428353|57.52228251|40.06333231|0.472404561|439.1353855|-9.255608086|0.22571647|5.786006004|10.96674758|0.89539167|-379.4799315|23.26659057|-281.8395348|8.281452338|1.0|1.0|0.0|1.0|3.98|18.0|2.26|0.0|100.28|0.0|1.0|3.0|-3.52|24.0|313.36|1.0|1.0|-3.91|0.000302|0.0945|0.000123|2.81|3.08e-08|4.2114|3.1|-1006.727999|-1006.704001|548.21|918.3|0.3336|294.4|411.35|0.53114|-0.15387|-0.22229|0.02399772|-1006.606666|25.0|7.6021|7.6021
12a_a40|0|0.0|7.515889085|0|0|0.604990853|1.784989449|0.021610099|5.4161004020000005|-0.012791297|0|0.036587302|0.17758258|0.8332127109999999|-0.14667395|-0.226763788|2|0.007890601|0.018655637|-0.4764003679999999|0|0.58630452|0.023863832|-0.375724138|0.7867243829999999|1|0.940879765|-0.064340227|-0.074840643|0.000279043|0.011766311|-38.17175304|6.001293955|107.5277007|0.059120235|30.15370934|3.060902482|49.24750281|0.85136964|43.65970865|38.81741016|0.476055146|479.8867095|-8.792513441|0.14863036|7.563170499|14.43505064|0.908597808|-272.5679167|20.24838026|-358.4254366|5.487955617999999|1.0|0.0|0.0|0.0|3.2|20.0|4.34|0.0|91.76|0.0|1.0|2.0|-6.41|22.0|346.23|1.0|1.0|-5.95|3.86e-07|0.000134|1.13e-06|5.43|6.15e-08|3.0966|5.01|-2097.826771|-2097.8163050000003|530.55|875.15|0.3701|400.39|429.21|0.6998800000000001|-0.12895|-0.2091|0.0104658999999999|-2097.779499|1778.0|5.7501|5.7501
12b_a36 (EW-7197)|1|3.3685352889999995|7.412764017000001|2|2|1.2970445309999998|0.0|-0.104514139|5.351858133|-0.082283951|2|0.040899471|0.027495626|0.0|-0.439429998|-0.056994595|1|-0.000673716|-0.101303149|-0.442656599|1|0.724208473|-0.001567914|-0.097861598|0.8741648479999999|0|0.7635183720000001|-0.081357853|-0.10866747|0.458627252|0.021439664|-67.98756422|13.41367899|81.63796416|0.236481628|147.9542111|8.392238798|5.958751634|0.746747352|80.95733534|64.31504105|0.45988432|477.6935927|-15.31305729|0.253252648|6.764872303|12.52485821|0.851455231|-765.6528642999999|32.77617664|-308.7538779|12.96977113||||||||||||||||||||||||3.8475|3.41|-1332.180029|-1332.147999|659.48|1104.61|0.4491|322.25|486.64|0.6824899999999999|-0.15571|-0.20546|0.03202977|-1332.005651|7.0|8.1549|8.1549
20b_a10|0|0.0|7.535296702|1|1|1.343837209|2.103422978|0.048567614|5.4161004020000005|-0.073703704|2|0.035818182|-0.030238422|1.854149459|-0.447804373|-0.013623188|1|0.002637529|0.019531637|-0.450145946|2|0.725009545|0.052265135|-0.022843761|0.817426568|1|0.75259177|-0.094975935|-0.088479815|0.6741049840000001|0.013038163|-56.53849503|8.331370518|81.39248686|0.24740823|158.09355980000004|5.323735696|91.02309592|0.7616213270000001|67.46831286|69.02087825|0.454087415|480.905232|-13.79433873|0.238378673|7.554743755|13.838742600000002|0.8317951020000001|-758.6886304|28.34404003|-334.3514234|10.92981783|1.0|1.0|1.0|1.0|3.54|27.0|2.41|0.0|129.73|0.0|1.0|5.0|-5.22|34.0|447.49|0.0|1.0|-5.09|6.05e-06|0.00271|8.13e-06|3.52|1.1699999999999999e-09|5.9354|4.88|-1465.62724|-1465.587932|687.84|1218.74|0.2782|208.89|482.93|0.3246|-0.16388|-0.2217199999999999|0.03930765|-1465.395231|1.1|5.9586|5.9586
18a_a25|0|0.0|6.842683282|0|0|1.194229606|1.875390684|-0.151473962|4.727387819|-0.019008377|2|0.038167849|0.062229409|2.050257213|-0.170732995|-0.019985937|1|0.007325341|-0.037072518|-0.2936794219999999|2|0.761417363|-0.039007784|-0.035531959|0.792935475|1|0.931628386|-0.055926422|-0.078181889|0.341320954|0.0095281269999999|-51.83514755|6.317215793|75.74077952|0.068371614|45.33086513|4.188358905|0.0|0.817072039|59.45091020000001|43.39683067|0.493301255|617.676232|-13.61714122|0.182927961|7.39539242|14.59524518|0.973559258|-721.7084848|25.136651|-420.4420243|7.615762647|1.0|1.0|1.0|1.0|3.5|27.0|2.88|1.0|133.85|0.0|1.0|6.0|-6.33|32.0|435.54|0.0|1.0|-5.77|4.65e-07|0.000202|1.71e-06|4.76|1.67e-10|5.4965|4.51|-1675.274716|-1675.2501519999998|694.17|1229.09|0.3234|225.57|556.26|0.2834|-0.15732|-0.21323|0.02456497|-1675.04368|94.0|7.0269|7.0269
8c_a32|1|3.46252244|7.765993078999999|0|0|0.609420757|0.0|0.080016722|5.733341277|-0.04699673|0|0.036711712|-0.026467635|2.143746338|-0.459589251|-0.0682721729999999|3|-0.001662219|-0.0852122769999999|-0.578242111|0|0.788133615|-0.024032462|-0.11492754|0.8966299409999999|1|0.801747512|-0.076876481|-0.097480366|0.263222951|0.016240436|-58.93213925|9.818219446|126.6561213|0.198252488|119.85432240000002|5.935643221|78.19443734|0.600684883|74.36515033|56.29419869|0.447542891|484.6996147|-10.06868562|0.399315117|7.079719717000001|12.81496717|0.8100952690000001|-463.1595384|27.72624296|-121.7388847|15.43301109|1.0|1.0|1.0|1.0|3.46|19.0|1.1|0.0|110.47|1.0|1.0|7.0|-5.82|27.0|397.52|0.0|1.0|-4.39|1.5e-06|0.000597|4.11e-05|3.21|2.23e-08|3.5673|4.28|-1880.764533|-1880.733377|646.97|1090.0|0.3272|347.56|516.78|0.70135|-0.14712|-0.18873|0.03115673|-1880.597039|37.0|7.4318|7.4318
6a_a40|0|0.0|8.421342866|1|2|0.604893625|1.78213955|0.117890918|6.401917197|-0.077397672|0|0.035707071|-0.146542353|0.775942224|-0.68730803|-0.230955427|2|-0.001171195|-0.021759541|-0.620787469|0|0.682273668|-0.012261923|-0.340539542|0.861720535|1|0.733750993|-0.109047987|-0.117413572|0.360858579|0.016399125|-73.33687786|10.24294396|185.06174|0.266249007|166.2999483|6.397774285|36.84483305|0.8678518190000001|81.37714586|78.35465194|0.41480944|458.303126|-19.17478857|0.132148181|6.945713476|11.8691482|0.708845065|-824.5159087000001|35.37373259|-459.522754|8.040268001|1.0|0.0|0.0|1.0|3.99|14.0|1.62|2.0|120.14|1.0|2.0|5.0|-7.11|29.0|442.53|0.0|1.0|-4.99|7.85e-08|3.47e-05|1.03e-05|3.77|8.950000000000001e-05|2.9836|7.73|-2371.579899|-2371.560378|649.48|1103.4|0.4015|415.55|497.78|0.6782699999999999|-0.11995|-0.21255|0.01952089|-2371.443161|0.04|7.3979|7.3979
9_a4|0|0.0|7.535296702|1|1|1.300485838|2.130445484|-0.211556011|5.4161004020000005|0.016639331|2|0.040449735|-0.019160308|2.137757657|-0.064266379|-0.0454860859999999|1|0.009731833|-0.0475186259999999|-0.172904817|2|0.625717993|-0.151437311|-0.072130166|0.861113198|1|0.937102792|-0.052625548|-0.069566741|0.472497372|0.009037784|-37.85762102|4.918284148|13.6577411|0.062897208|34.22811902|2.676487872|45.21212204|0.792890434|43.71760622|33.55665428|0.43745176|509.9632679|-7.665782805|0.207109566|5.744374392999999|10.21134541|0.777625327|-329.6286606|17.76608225|-318.7769026|5.859985199|1.0|0.0|1.0|1.0|3.18|21.0|3.15|0.0|105.09|0.0|1.0|2.0|-4.76|26.0|360.84|1.0|1.0|-5.15|1.73e-05|0.0062299999999999|7.06e-06|4.14|6.9e-09|4.7284|3.87|-1489.554198|-1489.533032|586.24|999.93|0.1217|262.21|430.12|0.5182100000000001|-0.16948|-0.22204|0.02116575|-1489.41872|48.0|7.3188|7.3188
26_a20|0|0.0|6.842683282|0|0|1.4165417530000002|1.877209467|-0.000846851|4.727387819|-0.104520106|2|0.0396875|0.1516835819999999|2.01129617|-0.3297182369999999|-0.033102079|1|0.003149352|0.0346782989999999|-0.446730587|2|0.7071284179999999|-0.070815554|-0.055150498|0.8096894440000001|1|0.79337253|-0.0862808009999999|-0.082729415|0.423153994|0.012753218|-55.81998701|8.604974082|299.8332395|0.20662747|139.417676|5.806030949|80.47551422|0.7848887259999999|65.85953426|66.82118688|0.472355054|535.3119506|-14.92323356|0.215111274|7.598632688999999|14.40103379|0.8952138340000001|-790.9313788|28.17896678|-384.4457279|10.03954725|1.0|1.0|1.0|1.0|3.42|27.0|2.47|0.0|125.0|0.0|1.0|5.0|-5.14|32.0|419.48|0.0|1.0|-5.02|7.27e-06|0.00305|9.51e-06|3.63|6.64e-10|4.8421|4.97|-1352.315376|-1352.277633|715.27|1211.34|0.2081|256.05|543.96|0.50878|-0.16129|-0.21226|0.03774288|-1352.098465|131.0|6.8827|6.8827
14t_a23|0|0.0|7.423568444|0|0|1.197962538|3.410065804|0.04919958|5.351858133|-0.024472753|2|0.045277778|0.073534004|0.758345646|-0.290708696|-0.093434862|2|0.01180744|-0.074441567|-0.4515027279999999|2|0.725800261|0.113493155|-0.152771194|0.820002545|1|0.920956836|-0.0553915009999999|-0.079253435|0.361071229|0.017433037|-51.65035498|11.36130649|36.6149406|0.079043164|51.51331913|7.404291213|42.20767549|0.799945841|61.0040156|47.46057034|0.465981891|600.1979272000001|-14.13766923|0.2000541589999999|7.55064865|14.13931199|0.872595673|-706.8834616|27.11827225|-390.9561553|9.353660614|0.0|0.0|1.0|1.0|3.52|26.0|3.24|1.0|125.25|0.0|1.0|5.0|-5.85|31.0|425.51|0.0|0.0|-5.25|1.43e-06|0.000608|5.61e-06|3.94|1.65e-08|3.9855|3.79|-1669.240512|-1669.21916|692.08|1184.43|0.2061|311.09|534.86|0.5824199999999999|-0.15625|-0.22291|0.02135191|-1669.040656|4.0|8.3979|8.3979
