molecula|SddssS|NaaNH|n9FaHRing|SssssC|nARing|SaasN|AATSC1c|AATSC1s|n6HRing|MATS7i|ATSC1c|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
15c_a10|0.0|0|0|0.0|2|2.154210861|-0.002218445|0.040869377|3|-0.06400528|-0.153072705|-0.1036030219999999|0.0123939039999999|1|1|0.012271987|-0.101214571|-0.226679901|-0.35845963|-0.1742732839999999|2|0.7655272009999999|0.7351096359999999|-0.03167553|0.022187689|0.772328328|0.733973277|1|-0.072537853|0.418835517|-32.5870313|-50.32840842|10.2013281|0.095541483|66.28884934|-34.91899195|7.077912953999999|136.2098503|-22.60962187|66.5866765|0.449308156|3012.018586|1817.047455|-9.275357237|8.639636218|15.6886947|6673.826433|-39.17102961|16.25826809|0.0|1.0|1.0|4.09|21.0|2.97|59.31|141.96|1.0|34.0|6.0|-6.99|454.57|0.0|1.0|0.0|3.1|-4.57|0.0646|2.68e-05|0.0122|2.94|0.0|0.0|1.6100000000000002e-08|7.3e-06|-0.04724|5.5913|2.2|-1450.241475|-1450.500669|1318.35|337.75|0.3939999999999999|-0.26999|0.70511|0.0|-0.14739|2.4256|-1450.201574|4.8283|0.1|7.0
8e_a8|0.0|1|0|0.0|0|1.311619189|-0.010579355|-0.205927741|0|-0.000766016|-0.539547088|-0.102167262|-0.051339286|1|1|-0.004224671|-0.0015448089999999|0.090898585|0.183313231|-0.475941912|0|0.650073857|0.7233950809999999|0.02023118|-0.079493088|0.7742101929999999|0.636205913|0|-0.105450888|0.280304418|-70.49962428|-64.32539698|12.87136047|0.338509724|206.4920729|-39.238709|7.851573274|76.40535608|-43.00500847|75.57562034|0.483244415|2692.975753|2080.07805|-16.34946208|7.50719734|14.52755918|6095.6213210000005|-370.0368722|11.25022336|0.0|0.0|0.0|2.98|23.0|4.17|90.11|111.81|1.0|30.0|4.0|-6.14|403.41|0.0|0.0|0.0|3.71|-4.9|0.00215|1.25e-05|0.00504|3.69|0.0|0.0|1.6399999999999998e-08|6.63e-06|-0.06253|4.6303|7.22|-1376.957298|-1376.924308|1090.07|378.73|0.3731|0.50055|0.7013|0.1671|-0.13719|6.1505|-1376.766245|7.7951|19.89|4.7014
3b_a49|0.0|0|0|0.0|1|2.104186262|-0.0057605869999999|-0.055724324|2|-0.090939066|-0.322592863|-0.010613212|0.00361222|1|1|0.001356445|-0.151131362|0.000511959|0.000850823|-0.405529602|2|0.7745859279999999|0.794997634|0.021506499|0.006213385|0.845992028|0.749565191|1|-0.0846496|0.482434361|-54.04959517|-51.77986692|8.304484449|0.250895642|153.4719941|-31.67356498|5.07982433|81.60358988|-33.06194987|64.91785551|0.477583842|2660.339607|1796.6760370000002|-10.35481932|7.236413572000001|13.85181805|5934.158315|-191.9087104|13.13798859|1.0|1.0|1.0|2.43|21.0|3.2|98.72|116.94|1.0|30.0|5.0|-7.42|398.46|0.0|0.0|1.0|2.38|-3.59|0.1169999999999999|0.000256|102.0|1.84|0.0|0.0|2.64e-08|1.05e-05|-0.06115|4.6669|3.4|-1293.3286859999998|-1293.291817|1132.92|322.72|0.1978|0.5798|0.6632|0.0759|-0.1587|3.0055|-1293.106236|3.1637|25.0|7.6021
12s_a30|0.0|0|0|0.0|2|0.0|-0.007621736|-0.095120438|2|-0.0601024909999999|-0.403952011|-0.035768573|-0.04950715|1|1|-0.001131023|-0.1597740919999999|-0.0546637159999999|-0.145315868|-0.446807335|1|0.609043558|0.83236194|0.006789196|-0.080971844|0.889479916|0.591758164|0|-0.103647048|0.404041243|-58.75255278|-67.11451776|12.51292194|0.2932862089999999|189.9114627|-43.45862792|8.102485674|0.0|-38.04400919|78.38074776|0.467381416|2977.11642|2368.4646620000003|-16.8513047|8.066744794|15.14544373|6639.7334200000005|-376.1910929|11.26623|1.0|0.0|1.0|0.0|17.0|3.74|81.65|127.19|1.0|31.0|6.0|-6.06|434.46|0.0|0.0|0.0|3.21|-5.17|0.00141|6.71e-06|0.00291|4.07|0.0|0.0|6.900000000000002e-08|3e-05|-0.0551|5.0438|4.32|-1774.236634|-1774.202623|1140.1|350.75|0.2148|0.43338|0.68458|0.1576|-0.14985|3.0335|-1774.072418|3.9579|7.0|8129.0
26_a20|0.0|0|0|0.0|0|1.877209467|-0.00578453|-0.104520106|2|0.1516835819999999|-0.3297182369999999|-0.054222344|-0.033102079|1|1|0.003149352|0.249416844|0.0346782989999999|0.057022334|-0.446730587|2|0.7071284179999999|0.7541508029999999|-0.070815554|-0.055150498|0.8096894440000001|0.690530489|1|-0.082729415|0.423153994|-58.21621279|-55.81998701|8.604974082|0.20662747|139.417676|-37.66339899|5.806030949|80.47551422|-39.28020352|65.85953426|0.472355054|2825.254798|2534.075607|-14.92323356|7.598632688999999|14.40103379|6221.067002000001|-384.4457279|10.03954725|1.0|1.0|1.0|3.07|27.0|4.62|86.69|125.0|1.0|32.0|4.0|-6.28|419.48|0.0|0.0|1.0|3.66|-5.02|0.00305|9.51e-06|0.00399|3.63|0.0|0.0|6.64e-10|2.780000000000001e-07|-0.05097|4.8421|4.97|-1352.315376|-1352.277633|1211.34|318.77|0.2081|0.50878|0.68167|0.0814|-0.16129|3.8173|-1352.098465|4.8742|131.0|6.8827
11_a3|0.0|0|0|0.0|0|0.0|-0.01008647|-0.127546771|3|-0.101436441|-0.363112913|0.044912659|-0.023103765|1|1|-0.005959152|-0.194041982|-0.0495219879999999|-0.0947326669999999|-0.577616902|3|0.8947911009999999|0.724492061|0.132535663|-0.04179402|0.793311683|0.834020779|1|-0.099420732|0.175996916|-45.19136777|-47.02715152|6.800350988|0.222196952|105.101718|-22.2443844|3.216644354|80.34769756|-21.37603754|57.08178682|0.4680759679999999|2097.896727|1105.41974|-8.76293931|5.475372235|10.29352296|4487.967272999999|-238.8563772|10.0546353|0.0|1.0|1.0|2.07|21.0|3.41|105.82|88.28|1.0|22.0|4.0|-6.59|305.36|0.0|0.0|1.0|2.46|-3.71|0.0256|0.000197|0.0601|2.22|0.0|0.0|3.06e-07|9.35e-05|-69.0|3.2232|2.12|-1288.195105|-1288.165162|834.82|384.66|0.4441|0.6966600000000001|0.6966600000000001|0.4441|-0.13118|3.3694|-1288.10577|4.4522|0.04|7.3979
2_a27|0.0|0|0|0.0|0|3.250529415|-0.0065894809999999|-0.0609613559999999|2|-0.196529806|-0.276758209|0.11675125|0.017751479|1|1|0.00988756|-0.337316432|-0.21066171|-0.361571905|-0.475677812|2|0.639024713|0.796022385|0.137868605|0.027777778|0.8585302370000001|0.60904903|1|-0.081513931|0.408120957|-29.42169804|-41.03489597|9.972342226|0.153130039|77.08713259|-20.65736087|5.020172886|53.58106492|-14.81116546|52.43208086|0.4424192289999999|2210.487938|1270.627585|-7.415462877|5.312170441|9.527176544|4774.521748|-169.6109632|11.39718489|0.0|0.0|0.0|3.06|21.0|2.49|65.6|92.58|2.0|24.0|4.0|-6.69|317.34|0.0|1.0|1.0|2.52|-3.7|204.0|0.0002009999999999|0.0638|2.18|0.0|0.0|1.45e-06|0.0004599999999999|-0.04933|4.1624|4.32|-1043.821085|-1043.7984|906.48|297.87|0.3217|0.55857|0.55857|0.3217|-0.16769|4.7049|-1043.715364|6.8854|13.0|7.8861
1g_a5|0.0|1|0|0.0|0|0.0|-0.003919036|-0.010620031|2|-0.011534568|-0.172437603|-0.132678208|-0.0353243789999999|1|1|0.006957291|-0.019057802|-0.010807075|-0.0178558139999999|-0.242737126|2|0.74740095|0.7778380309999999|0.030722968|-0.067172264|0.8393686990000001|0.717355058|0|-0.074361785|0.39389953|-37.59983870000001|-39.8807456|10.9506874|0.134079034|71.90752413|-21.388323|5.8729303|0.589719781|-20.16505667|54.34919851|0.4713154089999999|2243.103668|832.7655896000001|-7.824996219|7.312498266|13.83149499|4639.260975|-122.2065919|14.46845291|1.0|1.0|1.0|2.12|23.0|4.21|63.69|96.98|1.0|25.0|4.0|-6.15|328.37|0.0|1.0|1.0|3.09|-4.2|0.0304|6.29e-05|0.0206|3.03|0.0|0.0|7.190000000000001e-09|2.36e-06|-0.0393|4.7822|2.61|-1065.846194|-1065.818889|961.17|297.09|0.1769|0.4386899999999999|0.66164|0.0504|-0.17042|3.4883|-1065.727193|5.2707|115.0|6.9393
19_a4|-3.21497177|0|0|0.0|1|1.943606348|-0.0023503029999999|-0.3929802189999999|1|-0.052325802|-0.105763614|-0.211341677|-0.136621315|1|1|0.009687676|-0.086166959|-0.0255403279999999|-0.042058265|-0.245630631|1|0.55269662|0.774746438|0.152550043|-0.190513834|0.834377354|0.514505012|0|-0.0759826109999999|0.285282038|-38.9063534|-41.82665583|7.168604362000001|0.1792349369999999|98.66465411|-23.02459887|3.946149569|13.25878373|-21.41704046|49.73882261|0.460486754|2558.336814|1697.595595|-8.771275759|5.9448291|11.01887515|5232.561157|-291.6208078|7.912166787999999|1.0|0.0|0.0|2.52|17.0|4.32|73.23|98.19|1.0|25.0|4.0|-6.58|351.42|0.0|1.0|1.0|2.92|-3.97|0.0547|0.000106|0.0373|2.62|0.0|0.0|8.070000000000001e-07|0.0002839999999999|-0.05294|4.1858|6.67|-1446.939719|-1446.909868|983.4|296.2|0.3806|0.67535|0.67535|0.3806|-0.17004|5.8295|-1446.813896|7.1079|19.5|4.71
7h_a8|0.0|1|0|0.0|0|1.2793830309999998|-0.00534208|-0.073219554|0|-0.016074683|-0.23505152|-0.0873792009999999|0.0260356679999999|1|1|0.00084936|-0.043606497|0.052081992|0.141285105|-0.382578949|0|0.515235986|0.7051689170000001|0.095758228|0.041366689|0.7677336090000001|0.507325475|0|-0.0934764819999999|0.314190914|-53.71230941|-53.88211443|6.71377223|0.228988973|131.9948047|-31.05895923|3.86998135|47.81104825|-30.96107949|58.94376531|0.4346108389999999|2534.324886|1919.19991|-13.63564064|7.589672923999999|13.42380338|5657.402114|-452.8739011|5.061650885|1.0|0.0|0.0|3.2|23.0|5.49|61.58|101.89|1.0|28.0|4.0|-5.27|373.35|0.0|0.0|1.0|4.63|-5.5|0.00078|3.16e-06|0.00118|4.66|0.0|1.0|3.5e-09|1.31e-06|-0.06799|3.9282|6.81|-1285.182226|-1285.151298|999.62|315.62|0.3885|0.6963199999999999|0.6963199999999999|0.3885|-0.16076|7.0847|-1285.0707960000002|9.1188|10.5|4.9788
