molecula|n9FaHRing|n9FaRing|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8d|SIC2|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RPSA|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
24_a20|0|0|6.842683282|0|0|1.40648755|1.959359883|-0.217098257|4.727387819|0.029711934|2|-0.083539572|0.009265667|10.93106245|-0.04104|1|0.008780074|0.1468474119999999|-0.060582944|-0.188335708|2|0.74131936|-0.07179846|0.802353442|1|-0.061437722|-0.067869875|0.531656762|0.012814211|-38.76683848|8.085691548|0.047972705|-27.02262995|406.1522673|0.771032243|-1.357397496|-24.46164548|51.30386873|-17.13019562|2736.601949|600.7235847000001|-856.5097809|-10.80905198|0.228967757|12.63879297|0.844319927|6109.1040920000005|144.47729840000002|-540.4525990000001|22.21722343|0.013436544|1110.861171|664.4562602999999|8.478379683|1.0|1.0|1.0|1.0|0.0|0.08|27.0|4.76|4.78|80.28|1.86|2.0|119.42|1.0|4.0|5.0|-6.26|0.0|0.0|1.0|-4.93|1.29e-05|0.00519|1.17e-05|3.52|0.0|4.82e-10|1.94e-07|-0.06748|3.74|3.5876|-1291.896802|-1291.867578|345.59|0.2495|-1291.647083|0.0108|-0.22435|0.02922392|-1291.706729|4.3906|318.0|6.4976
20_a31|1|1|7.765993078999999|0|0|0.609420757|0.0|0.0469387759999999|5.733341277|-0.057200812|0|-0.476400874|-0.003484915|10.31100269|-0.078213611|3|-0.001662219|-0.023477148|-0.1534110109999999|-0.594513619|0|0.8602874540000001|-0.131662689|0.912372776|1|-0.085849869|-0.110195543|0.246878555|0.019334605|-53.79798102|12.1160662|0.2045729339999999|-43.27297051|75.10345696|0.710707042|-1.542737604|-33.71260536|81.35171021|-21.01650877|2576.1287230000003|498.4558574|-966.7594033|-13.1700345|0.289292958|15.48343758|0.86775525|5678.167489|181.2859728|-605.8215871|29.5712685|0.019624081|1360.278351|557.1050635|12.29746712|1.0|1.0|1.0|1.0|2.0|0.26|19.0|6.49|4.38|140.04|1.1|1.0|110.47|1.0|7.0|4.0|-6.39|1.0|0.0|1.0|-4.44|1.24e-06|0.000493|3.66e-05|3.29|0.0|2.23e-08|8.86e-06|-0.06065|4.78|3.5381|-1880.768349|-1880.734655|350.43|0.2011|-1880.538664|0.2011|-0.20895|0.0336943|-1880.599777|4.9218|8.0|8.0862
21_a10|0|0|7.535296702|1|1|1.343837211|2.093218896|0.036507898|5.4161004020000005|-0.085463279|2|-0.549176498|0.001533145|10.92966143|-0.003554514|1|0.002099681|-0.051564917|-0.03765494|-0.4636733179999999|2|0.7620337359999999|-0.005970601|0.81962595|1|-0.091053776|-0.084654798|0.8663152820000001|0.018892889|-64.32920271|13.34776629|0.225214587|-42.25440548|74.3822498|0.704106635|-1.777750751|-45.44837698|75.80259699|-23.25880088|3104.255496|547.3834282|-1255.975247|-16.4322688|0.295893365|13.78215169|0.643072426|7048.414464|209.0477207|-887.342515|33.03306591|0.022638817|1783.785559|746.5727327999999|15.99425187|1.0|1.0|1.0|0.0|1.0|0.11|27.0|4.47|5.6|90.13|2.81|2.0|128.59|1.0|5.0|6.0|-6.07|0.0|0.0|0.0|-5.51|1.69e-06|0.0007599999999999|3.12e-06|4.17|0.0|1.94e-09|8.68e-07|-0.06082|5.57|3.8599|-1485.499561|-1485.461532|321.21|0.2574|-1485.216871|0.1489|-0.2226|0.03802869|-1485.278495|1.1872|4.8|5.3188
18_a3|0|0|6.605297921|0|0|1.43179288|0.0|-0.256375952|4.59511985|-0.021283637|3|-0.122072724|0.0057881999999999|10.96965878|-0.025890816|1|0.005799063|0.150826737|-0.064953613|-0.2495754869999999|3|0.714658751|-0.051083228|0.784960175|1|-0.069839069|-0.0846755|0.217881538|0.013796397|-31.07331853|6.1383958|0.158042379|-16.76239841|0.0|0.682492203|-1.016105994|-13.82537222|48.19055867|-14.12792012|1938.093995|374.610053|-452.0934439|-6.285899403999999|0.317507797|10.24658906|0.935646099|3928.183499|141.2679329|-201.1487809|20.70048575|0.02363555|662.4155441|270.539096|10.51610501|0.0|1.0|1.0|1.0|1.0|0.0|21.0|3.42|3.08|67.35|0.93|0.0|80.35|1.0|2.0|4.0|-6.7|0.0|1.0|1.0|-3.27|0.0015|411.0|0.000537|1.79|0.0|1.49e-07|4.07e-05|-0.05769|1.85|3.9765|-889.9619321|-889.9402005000001|311.79|0.3326|-889.850598|0.3326|-0.2218|0.02173162|-889.894728|3.3664|0.03|7.5229
7_a15|0|0|0.0|0|0|1.419941457|0.0|-0.2269896539999999|0.0|-0.038088878|1|-0.494898891|-0.0013239329999999|10.95880715|0.0019353679999999|0|0.002150323|0.213947987|-0.310081401|-0.335491052|1|0.70084115|0.00364345|0.740089344|0|-0.074406877|-0.110819329|0.403524276|0.036600739|-41.29775265|20.31436245|0.158599673|-34.13832456|56.30310755|0.448664402|-1.2190126140000002|-22.92132733|85.26222186|-14.70834175|2330.667514|466.9990754|-676.5837204|-8.163512395|0.551335598|9.971755103|0.657158418|5097.868552|306.0056033|-375.5215702|32.78250222|0.042799094|1507.995102|474.9756287|23.75461091|1.0|1.0|0.0|1.0|1.0|0.15|18.0|3.38|4.64|61.84|1.74|2.0|99.77|1.0|7.0|5.0|-5.72|0.0|1.0|1.0|-4.49|1.46e-05|0.00516|3.2e-05|3.84|0.0|6.41e-08|2.26e-05|-0.0284899999999999|2.78|3.7495|-1184.385377|-1184.367098|330.67|0.3463|-1184.168094|0.0169|-0.18454|0.01827873|-1184.224637|1631.0|227.0|6644.0
12ba_a36|0|0|7.412764017000001|2|2|1.297043659|0.0|-0.090865777|5.351858133|0.026411489|2|-0.423472625|-0.002123045|10.9478512|-0.011949092|1|-0.000621302|0.159880159|-0.168084618|-0.410941182|1|0.8256014690000001|-0.0202572689999999|0.890675195|0|-0.083210415|-0.108410153|0.330220757|0.0246090489999999|-56.0578808|16.57882744|0.150261874|-49.20258616|16.1479891|0.7068957840000001|-1.951382748|-37.76553687|89.06670390000001|-25.28122447|3035.390784|572.4586103999999|-1314.6236720000002|-17.03166444|0.293104216|14.59456478|0.969665341|6722.60947|197.4608731|-885.6465508|35.76372225|0.023797439|1859.713557|688.1986357999999|16.03205543|1.0|0.0|1.0|0.0|2.0|0.12|17.0|2.79|1.63|116.78|0.74|1.0|133.18|1.0|5.0|6.0|-7.04|0.0|0.0|0.0|-4.25|1.6800000000000002e-05|0.0072599999999999|5.65e-05|2.67|0.0|1.91e-07|8.240000000000001e-05|-0.08446|2.79|3.0114|-1417.454721|-1417.426327|411.71|0.7436|-1417.187763|0.0009|-0.21033|0.02839417|-1417.249741|4.5448|21.0|7.6778
4f_a49|0|0|7.535296702|1|1|1.343848013|2.066693174|0.010266272|5.4161004020000005|-0.087045007|2|-0.418450768|0.001532832|10.92775957|0.0705130559999999|1|0.001714014|-0.14414265|-0.025995042|-0.46436755|2|0.7927086309999999|0.114367229|0.8557769120000001|1|-0.102926696|-0.089955514|0.480786546|0.016591015|-55.88123394|9.007637695|0.262938196|-26.51573683|59.72286429999999|0.718306291|-1.439288231|-30.33918719|60.18871783|-18.1726086|2458.261097|400.1675422|-781.4221699|-9.866320682|0.2816937089999999|11.20071713|0.7773206840000001|5422.650822|152.9378926|-424.2517893|25.29924744|0.020905063|1087.86764|467.1194103|11.34983222|0.0|1.0|1.0|0.0|1.0|0.14|21.0|3.42|3.8|80.9|2.03|1.0|102.08|1.0|3.0|5.0|-6.6|0.0|0.0|1.0|-4.09|0.000102|0.0365|8.120000000000001e-05|2.64|0.0|2.92e-07|0.000104|-0.06954|4.07|3.7098|-1179.23587|-1179.201105|334.21|0.2368|-1179.029099|0.0579999999999999|-0.22471|0.03476467|-1179.080799|1.8254|0.04|7.3979
12t_a30|0|0|7.412764017000001|2|2|0.60498454|0.0|0.073057637|5.351858133|-0.097216874|2|-0.411045472|-0.002544958|10.31162892|-0.04950715|1|-0.001131023|-0.158448053|-0.145315868|-0.464720444|1|0.83236194|-0.080971844|0.889479916|0|-0.090535776|-0.1011561919999999|0.408290036|0.018862708|-58.89093185|12.26965165|0.303586418|-42.80050261|0.0|0.745705883|-1.82081145|-38.30686627|78.8278828|-24.17113783|2976.648597|452.99711|-1184.385754|-15.72263361|0.254294117|14.358001500000002|0.804273481|6617.834146|165.4110479|-770.409047|32.41376848|0.020029588|1588.274656|616.2856203|13.02867425|1.0|0.0|1.0|0.0|1.0|0.14|17.0|4.67|3.74|81.65|3.58|2.0|127.19|1.0|5.0|6.0|-6.06|0.0|0.0|0.0|-5.17|3.24e-06|0.00141|6.71e-06|4.07|0.0|6.900000000000002e-08|3e-05|-0.05542|4.32|3.5457|-1774.2421780000002|-1774.208418|349.67|0.2094|-1774.0165149999998|0.1561|-0.20571|0.0337599|-1774.077985|3.2145|9.0|8.0496
12b_a30|0|0|7.412764017000001|2|2|0.604984682|0.0|0.047132642|5.351858133|-0.06631353|2|-0.3897233479999999|0.001139238|10.31162898|-0.072247675|1|0.002064369|-0.165287712|-0.120380857|-0.468842459|1|0.824373792|-0.1240820219999999|0.880943609|0|-0.08354129|-0.09915679|0.383979687|0.017341789|-53.05077947|11.01246349|0.235262423|-39.98560202|0.0|0.798520682|-1.883979001|-33.68855323|73.02913136|-24.41577808|2849.095245|485.6272203|-1196.373126|-15.50462119|0.201479318|13.88809428|0.878381889|6275.380072|127.9443353|-759.7264385|30.57626261|0.01584525|1498.236868|618.6004214|10.06212472|1.0|0.0|1.0|0.0|1.0|0.14|17.0|4.25|3.18|81.65|3.2|2.0|127.24|1.0|5.0|5.0|-6.02|0.0|0.0|0.0|-5.01|4.12e-06|0.00171|9.71e-06|3.97|0.0|1.26e-07|5.260000000000001e-05|-0.05351|4.07|3.5207|-1675.0107779999998|-1674.977262|352.16|0.2079|-1674.7778119999998|0.1525|-0.20289|0.03351603|-1674.838225|4.5545|7.0|8.1543
6d_a40|0|0|8.421342866|1|2|0.604893491|1.695192271|0.12627602|6.401917197|-0.091548968|0|-0.722057579|-0.005066797|10.30179973|-0.205140551|2|-0.00448098|-0.249967637|-0.0603134|-0.624951805|0|0.8361555479999999|-0.289988439|0.8988141140000001|1|-0.115007564|-0.119563634|0.372705643|0.017359149|-73.59650182|11.10859664|0.336329628|-48.96216855|38.04267542|0.86005241|-2.15214542|-47.09642482|85.47607798|-32.02830281|3063.227702|424.7009165|-1377.2170210000002|-20.49579149|0.13994759|12.08146906|0.7486635420000001|7436.576348|89.55631|-881.3190339|37.23994308|0.01400787|1601.317552|555.2010623|8.964021265|1.0|0.0|0.0|1.0|1.0|0.21|14.0|4.8|3.63|173.43|2.01|2.0|120.09|2.0|5.0|6.0|-6.36|1.0|0.0|1.0|-5.15|6.18e-08|2.85e-05|7.1e-06|3.87|1.0|4.9e-05|0.0226|-0.09462|7.98|2.9559|-2470.82949|-2470.793925|419.45|0.3518|-2470.62267|0.3518|-214.0|0.03556489|-2470.684323|10.9021|1.0|8.9208
