molecula|SddssS|n9FaHRing|SssssC|NaasN|nARing|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA3|RNCS|FNSA4|WPSA3|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
12ak_a36|0.0|0|0.0|0|2|1.270373882|0.0|-0.052930979|5.351858133|-0.0407717229999999|0.041728395|0.0|0.0042553209999999|-0.116440196|10.95268014|-0.015708652|1|-0.099596099|-0.439326642|1|0.901715152|0.815627016|0.860939187|0.860667615|0|0.848705143|-0.091761476|0.537460657|0.019931266|-49.87483724|113.186508|-0.032660864|10.36054668|-1.926990997|-35.95881638|79.17567486|64.24490364|0.423822657|-1389.324141|2735.7986920000003|-16.97756755|0.262560805|7.98672125|13.86156772|6240.396899|189.3013851|31.93194362|0.018055095|-342.3783571000001|1883.984673|13.01738243|1.0|1.0|2.0|5.05|0.0|-7.38|3.01|69.2|0.0|138.33|1.0|6.0|-4.95|32.0|4.0|423.51|-4.86|1.39e-05|3.8|0.0|-0.04929|3.8734|4.21|3.6895|-1350.900117|-1350.865407|336.05|584.05|0.69463|-1350.57563|0.0001|-0.15275|-0.20204|0.03471045|-1350.637958|46.0|7.3372
8d_a32|0.0|1|0.0|0|0|0.609420756|0.0|0.143684876|5.733341277|-0.089662873|0.0388738739999999|2.146260246|-0.006974711|-0.044765977|10.31100269|-0.0682721729999999|3|0.001558357|-0.629535754|0|0.825020753|0.825978584|0.875986707|0.789198712|1|0.7107041559999999|-0.109968322|0.261692269|0.01593079|-68.88621406|321.2496412|-0.03346862|6.291941176|-1.539556512|-43.2918338|81.54594837|78.89798692|0.47012654|-967.5408291|2371.595484|-13.21859008|0.2914328639999999|8.106843676|15.29958432|5523.492436|183.1522214|29.684549600000004|0.019788058|-262.14980440000005|1365.489282|12.43588915|1.0|1.0|2.0|3.5|2.84|-7.26|4.32|154.03|0.0|110.38|1.0|7.0|-6.08|27.0|4.0|397.52|-4.36|4.36e-05|3.17|0.0|-0.0535|3.5588|4.26|3.5588|-1880.773727|-1880.733071|348.39|540.98|0.7026100000000001|-1880.540067|0.3018|-0.14765|-0.20115|0.04065536|-1880.602038|8.0|8.0809
13_a1|0.0|0|0.0|0|1|1.430073963|0.0|-0.046530797|5.351858133|-0.144782061|0.036382114|0.0|-0.008672236|-0.0594321759999999|10.94989555|-0.084271845|1|-0.07665159|-0.485427571|1|0.87703849|0.76714213|0.825117597|0.833702788|0|0.6794604670000001|-0.10668313|0.207843387|0.033737733|-64.94184903|148.7311076|-0.040302516|11.41059871|-1.813613202|-37.76773325|77.55889436|84.56244352|0.477212829|-1054.729126|1786.445642|-13.63090514|0.291737016|7.493979856|14.33466671|5456.353212|169.6632599|33.09282789|0.026679865|-242.2358135|1489.177255|15.51600461|1.0|1.0|2.0|3.35|2.83|-7.94|3.87|80.26|0.0|104.88|1.0|4.0|-4.29|28.0|5.0|371.39|-4.34|4.58e-05|2.94|0.0|-0.04962|4.0783|3.17|3.4483|-1238.395767|-1238.367298|359.55|472.52|0.65363|-1238.174491|0.3535|-0.13921|-0.18883|0.0284695999999999|-1238.22919|0.26|6585.0
8_a4|0.0|0|0.0|1|1|1.304250488|2.126514848|-0.208165266|5.4161004020000005|0.03148225|0.038726287|1.987684188|0.010647563|-0.011835327|10.9295757|0.05775266|1|-0.048133994|-0.150276481|2|0.619844116|0.813333185|0.879500982|0.576540652|1|0.925132446|-0.065595042|0.546157592|0.0103751219999999|-27.90231822|11.02158946|-0.024598141|2.772101712|-0.983925625|-14.42275611|41.57817329|33.26523662|0.428884426|-508.5928419|1737.932042|-6.572312789|0.273845898|5.695730546|9.972991122|5162.482272|141.55141369999998|17.50981094|0.0148422489999999|-233.7988862|700.3924376|7.671983829|1.0|1.0|0.0|2.99|3.19|-7.78|4.76|43.6|0.0|100.13|1.0|2.0|-4.35|25.0|3.0|346.81|-4.84|1.46e-05|3.74|0.0|-0.05864|5.3544|3.29|3.9863|-1450.239105|-1450.21384|311.03|391.01|0.30471|-1450.071352|0.0642|-0.16821|-0.22685|0.0252645|-1450.121028|54.0|7.2676
7f_a8|0.0|0|0.0|1|0|1.394802504|1.2793830309999998|-0.139912829|4.844187086|-0.073219554|0.044814815|0.0|0.00112124|-0.087673259|10.94343485|0.0260356679999999|1|0.052081992|-0.381574707|0|0.515235986|0.7051689170000001|0.7677336090000001|0.507325475|0|0.770229267|-0.08790841|0.3155671539999999|0.0138113419999999|-52.28313554|53.09327646|-0.040738044|4.471132824|-1.670259798|-29.74763659|55.85651025|60.14140162|0.4513917389999999|-950.3309426|1854.738581|-13.18808857|0.119077775|7.704280774|14.04331892|5662.145174|67.75191165|26.31197491|0.010262531|-433.4681077|1078.790971|5.839092213|1.0|0.0|1.0|3.14|3.23|-8.46|5.49|61.58|0.0|101.89|1.0|3.0|-5.68|28.0|4.0|373.35|-5.5|3.16e-06|4.66|1.0|-0.07492|3.8187|6.81|3.4810000000000003|-1285.196168|-1285.168078|356.17|495.55|0.7024199999999999|-1285.017838|0.1502|-0.14506|-0.21998|0.02809022|-1285.071664|35.65|4.4479
A8301_a51|0.0|0|0.0|1|0|1.197963627|1.700610355|0.0245770529999999|4.727387819|-0.028789626|0.039058957|1.987294898|0.00740124|-0.012770742|10.31321735|-0.1227504419999999|1|-0.0357324579999999|-0.4354420879999999|2|0.7595189840000001|0.6959300979999999|0.750630149|0.7234449559999999|1|0.934739895|-0.0780376929999999|0.339244706|0.008152073|-35.90764428|36.55933899|-0.032775831|3.437697042|-1.6387915469999998|-23.3177516|56.90163721|41.20144811|0.4799553379999999|-1064.200534|2461.663545|-13.82143785|0.145040365|6.890532887999999|13.24988678|6401.6494600000005|94.18649643|24.89475504|0.009586697|-461.0082758|1244.737752|6.225421319|1.0|1.0|1.0|3.49|3.5|-9.38|5.52|87.72|1.0|129.04|1.0|5.0|-6.6|31.0|3.0|421.52|-5.93|1.17e-06|5.02|0.0||||||||||||||||12.0|7.9208
15a_a50|0.0|1|0.0|2|1|1.3530592819999998|4.126145086|-0.113976703|5.82008293|-0.06317118|0.035694444|2.020652006|0.005366038|-0.15010386|10.94500663|-0.125205943|2|-0.128070491|-0.325638639|1|0.797917311|0.821868651|0.8749408470000001|0.76745052|1|0.837789896|-0.084501726|0.4349386739999999|0.018014615|-46.91098865|275.287923|-0.029316925|6.450390922|-1.436529349|-28.07082095|61.78266878|57.69065967|0.4476230879999999|-859.5972780999999|1754.903963|-10.49734522|0.294589405|8.095541483|14.65582885|5401.219537|176.277812|24.86892274|0.018747341|-245.8291419|1218.577214|11.21812301|1.0|1.0|1.0|3.7|2.63|-6.09|3.57|68.76|0.0|110.43|1.0|5.0|-3.6|28.0|4.0|371.44|-3.92|0.0001189999999999|2.51|0.0|-0.03255|4.0408|2.66|4.0408|-1199.818129|-1199.784983|306.83|519.38|0.66132|-1199.572081|0.1767|-0.16693|-0.19948|0.03314629|-1199.629702|41.0|7.3872
12a_a30|0.0|0|0.0|0|2|0.604984824|0.0|0.033691224|5.351858133|-0.02919335|0.040166667|0.0|0.005050384|0.009586623|10.31162903|-0.094932667|1|-0.053309522|-0.454270252|1|0.8421237309999999|0.7885597609999999|0.842671963|0.7961424690000001|0|0.836214716|-0.097138462|0.337975309|0.016292604|-47.73588073|85.47365107|-0.037665934|6.263330101|-1.845630786|-29.59731695|69.45678454|57.83766054|0.469799116|-1144.332492|2256.680391|-14.47983299|0.194809798|7.362386058999999|13.88603128|5936.682602000001|120.786445|29.00398472|0.014884556|-378.4495438|1421.195251|9.228758655|1.0|0.0|1.0|4.65|0.0|-6.64|2.62|81.65|0.0|127.28|1.0|5.0|-5.28|29.0|4.0|398.48|-4.85|1.4e-05|3.87|0.0|-0.05184|5045.0|3.82|3.4885|-1575.7783980000002|-1575.745502|355.41|507.17|0.35338|-1575.538241|0.1511|-0.1481|-0.19994|0.03289568|-1575.597759|11.0|7.9469
12aa_a36|0.0|0|0.0|0|2|1.297043479|0.0|0.033952382|5.351858133|-0.135770278|0.042560386|0.0|-0.006653538|0.010538281|10.95446449|-0.013898809|1|-0.052743904|-0.53315493|1|0.892815402|0.833911317|0.888163057|0.849217847|0|0.688945241|-0.117270578|0.4679233379999999|0.023617545|-72.94175494|132.3194611|-0.04126187|11.04423694|-2.228140982|-49.88002793|96.18613736|89.09222754|0.44829258|-1523.677823|2418.848273|-19.29522587|0.2686642589999999|8.05947774|14.60824604|6438.603019|183.7216658|38.58180913|0.023386634|-316.3903377|2083.417693|15.99256772|0.0|0.0|3.0|4.83|0.0|-6.14|0.98|112.29|0.0|131.85|1.0|6.0|-3.52|32.0|5.0|424.46|-3.45|0.000359|1.55|0.0|-0.05111|3.8899|3.88|3.8899|-1401.662677|-1401.617177|318.73|520.19|0.6931|-1401.389257|0.4446|-0.15718|-0.20829|0.04550032|-1401.45065|9.0|8.0458
47c_a18|0.0|0|0.0|0|1|1.251176227|0.0|0.02368001|4.844187086|-0.048726885|0.032688172|0.0|0.0007979619999999|-0.058748345|10.94702285|0.028947131|0|-0.212991596|-0.455055055|0|0.784328127|0.758269842|0.7912974190000001|0.7601847759999999|0|0.8128616409999999|-0.094000037|0.246894346|0.015864085|-57.54296759|67.68084951|-0.0321917939999999|10.25333491|-2.350000928|-46.26124419|88.76073429|70.29678191|0.489290189|-1889.265906|2027.892739|-20.80632033|0.251001849|9.566965871|18.73268473|7527.530240999999|201.7910841|34.55329606|0.016406766|-400.3604527|2522.390613|13.19009806|0.0|1.0|3.0|4.61|0.0|-9.18|2.87|97.76|2.0|154.77|1.0|12.0|-5.73|38.0|4.0|513.63|-5.09|8.12e-06|3.98|1.0|-0.0449|3.1096|7.72|3.1096|-1664.753129|-1664.721977|398.71|790.07|0.6983199999999999|-1664.201034|0.5869|-0.12841|-0.17331|0.03115159|-1664.277127|3.0|8.5229
