molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|nARing|MATS2c|AATSC1s|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC7i|MATS1c|GATS1are|MATS8d|GATS1pe|RASA|FNSA5|FPSA3|PNSA3|RNCS|FNSA4|WNSA5|FNSA1|WNSA3|GRAVp|TASA|PNSA2|WNSA4|GeomRadius|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
17_a15|0|0|0|0.0|0|-0.046866421|-0.071708785|0.036595745|-0.033968088|0.0016674189999999|-0.032903349|10.9544604|0|0|-0.052628162|-0.461493931|0.769376831|-0.023779626|0.740986227|0.880459235|-0.079844675|0.012890299|-40.50376584|34.35335309|-0.027065991|-46.86345493|0.653207369|-31.03055741|2852.085573|674.5333498|-1223.4046460000002|-15.88591693|7.967418828|6352.266784|265.6831633|31.74439379|0.0217385279999999|-234.74904|1872.919233|822.8625688|1.0|1.0|1.0|1.0|3.63|3.99|0.15|4.89|6.0|67.35|2.53|2.0|0.0|131.36|0.0|1.0|7.0|33.0|-5.58|0.0|-5.65|1.19e-06|0.00052|2.26e-06|0.00099|0.0|0.0|1.9199999999999998e-10|-0.03936|4.1461|6.89|3.8006|-1413.897695|-1413.857182|326.22|0.7247|299.04|663.81|0.68787|0.7045100000000001|-0.15573|5.1268|-0.19509|0.04051306|7.1743|7.9208|7.9208
1g_a5|1|0|0|2.942391606|0|-0.203595168|-0.010620031|0.027447447|-0.011534568|0.00683534|-0.132678208|10.94875199|1|1|-0.019057802|-0.242737126|0.74740095|-0.067172264|0.717355058|0.8659209659999999|-0.074361785|0.020418692|-37.59983870000001|74.51397212|-0.027205531|-21.388323|0.61393343|-20.16505667|2243.103668|464.3994751|-598.211184|-7.824996219|7.312498266|4639.260975|207.0502037|23.76563316|0.02697793|-122.2065919|974.3909596|422.96706330000006|1.0|1.0|1.0|1.0|2.79|2.12|0.05|4.5|4.21|63.69|1.57|0.0|0.0|96.98|0.0|1.0|4.0|25.0|-6.15|1.0|-4.2|9.27e-05|0.0304|6.29e-05|0.0206|0.0|0.0|7.190000000000001e-09|-0.0393|4.7822|2.61|4.1733|-1065.846194|-1065.818889|297.09|0.1769|259.26|448.93|0.4386899999999999|0.66164|-0.17042|3.4883|-0.20972|0.02730461|5.2707|6.9393|6.9393
4b_a49|0|0|0|0.0|1|-0.109946885|-0.077626337|0.036555556|-0.064060521|0.001769804|-0.033486358|10.92776533|1|1|-0.10158752|-0.390006034|0.720824193|0.049923437|0.6967593559999999|0.7581492670000001|-0.090284437|0.0241270029999999|-56.45224362|41.97072627|-0.030696709|-34.19753462|0.645330839|-34.74338731|2708.998101|466.6010051|-944.6104994|-11.62716177|7.588962922|6025.790417|218.2802175|29.27523192|0.02556165|-178.8869784|1463.761596|600.3287567000001|1.0|1.0|1.0|1.0|3.37|3.1|0.22|3.71|3.26|90.13|1.66|1.0|0.0|112.36|0.0|1.0|6.0|30.0|-7.12|0.0|-3.88|0.000155|62.0|0.000132|0.0527|0.0|0.0|8.91e-08|-0.06731|4.6422|3.56|3.7413|-1333.063439|-1333.026419|331.39|0.2856|267.08|509.78|0.4151899999999999|0.68242|-0.15635|1.8265|-0.22366|0.03702033|2.2306|7.1024|7.1024
12h_a36|1|0|0|3.468184524|2|-0.128701804|-0.041228471|0.039061728|0.059920602|0.00127667|-0.003014954|10.96020037|1|1|0.100530266|-0.410826531|0.8913597320000001|-0.089459459|0.84179881|0.819614525|-0.10720355|0.027905055|-48.17643878|82.11195464|-0.035734517|-45.96672487|0.665254541|-31.5465515|2845.467486|536.6941285|-1263.568727|-15.32224162|7.428908584|6159.17335|219.1956304|35.1736357|0.026971557|-216.42159590000003|1899.376328|679.7230552999999|1.0|0.0|1.0|2.0|4.8|0.0|0.17|2.77|1.89|78.43|1.72|1.0|0.0|130.24|0.0|1.0|6.0|31.0|-6.93|0.0|-4.07|0.000113|0.0464|8.499999999999999e-05|35.0|1.0|0.0|2.03e-07|-0.05013|5.1998|2.92|3.4554|-1347.481013|-1347.451759|358.81|0.5756|238.44|535.67|0.34589|0.7014600000000001|-0.14247|6754.0|-0.1926|0.02925492|8.7377|7.8539|7.8539
9_a15|0|0|0|0.0|0|-0.217598467|-0.042227775|0.04022792|0.096418279|1.7800000000000002e-05|0.05688176|10.95880687|0|0|0.140072812|-0.344978312|0.85357243|0.010183805|0.8105478740000001|0.846156316|-0.11668349|0.032464905|-41.10356167|105.5304352|-0.028575549|-36.29225274|0.51257747|-22.92354152|2392.3164920000004|471.903131|-780.8954896|-8.88789863|5.485176331|5375.400861|271.83655510000006|31.09118831|0.03598612|-14.02896218|1523.4682269999998|532.0914339999999|1.0|1.0|0.0|1.0|3.16|3.37|0.19|3.9|4.95|61.84|1.96|2.0|0.0|104.74|0.0|1.0|7.0|27.0|-5.52|1.0|-4.81|5.63e-06|0.00206|1.53e-05|0.00562|0.0|0.0|2.69e-08|-0.0258899999999999|4.3447|3.36|3.7487|-1223.705126|-1223.687392|330.74|0.2693|285.37|507.33|0.6512399999999999|0.70552|-0.1565099999999999|1.4625|-0.1824|0.01773342|2188.0|6.9706|6.9706
9i_a24|1|0|0|2.9199957480000003|0|-0.113620183|2.01e-05|0.023854167|-0.076024544|0.004814196|-0.087363979|10.96661275|2|2|-0.140841749|-0.32068769|0.783500303|-0.0106944439999999|0.73094562|0.8260893640000001|-0.069812876|0.025118046|-30.56504777|10.13249376|-0.024639839|-15.60091656|0.499238289|-14.44881966|2061.729154|390.5119445|-396.0263368|-5.506205845|5.946747117|4155.922671|236.7218826|23.33121014|0.038195951|0.720157264|793.2611447|295.8603625|1.0|1.0|1.0|1.0|2.76|1.36|0.0|2.42|2.72|72.28|0.67|0.0|0.0|82.17|0.0|1.0|3.0|22.0|-7.01|1.0|-3.1|0.00248|716.0|0.000791|228.0|0.0|0.0|8.95e-07|-0.0473899999999999|4.6212|1.13|4.1459|-945.286637|-945.2626532|299.06|0.2373|268.3|363.15|0.58977|0.6755800000000001|-0.17204|7.1135|-0.21943|0.0239838|9.2818|7.0555|7.0555
12z_a36|1|0|0|3.435113772|2|-0.065211069|-0.010732275|0.041767677|0.037307819|-0.000143196|-0.010881947|10.95429182|1|1|0.066366917|-0.433580807|0.8707354620000001|-0.0533649729999999|0.8212311840000001|0.834790405|-0.102674964|0.023371488|-54.11489962|114.3931487|-0.036238222|-45.16471514|0.712682362|-35.89088901|2841.692299|553.6621150000001|-1225.757112|-15.940487699999998|8.016303367999999|6146.834385|190.5590792|33.72393432|0.0225782039999999|-282.1167226|1719.920651|642.3830552000001|1.0|0.0|1.0|2.0|4.76|0.0|0.13|2.75|1.76|92.99|1.38|1.0|0.0|128.47|0.0|1.0|5.0|31.0|-7.08|0.0|-3.95|0.000101|0.0412|0.000113|0.0458|0.0|0.0|2.21e-07|-0.05642|3.8969|2.98|3.8969|-1325.195958|-1325.157504|318.16|0.4423|318.16|539.36|0.69397|0.69397|-0.1575|4814.0|-0.2139199999999999|0.03845474|6.5892|8301.0|8301.0
2_a1|0|0|0|0.0|1|-0.049975995|-0.014296455|0.0409444439999999|-0.1056298369999999|0.001576763|-0.0619710709999999|10.9520472|1|1|-0.237981258|-0.422863867|0.571324013|0.1766333219999999|0.5574897879999999|0.808210065|-0.077270452|0.011282631|-28.32386891|6.281701359|-0.026492726|-16.00805425|0.6944040029999999|-12.89184641|1884.85038|367.8635872|-422.0435297|-5.488475744|5.2823820260000005|3920.383175|139.0945801|17.36508791|0.017741989|-176.9692239|607.7780769999999|299.6692382|1.0|1.0|1.0|0.0|2.91|2.69|0.18|4.0|4.12|30.71|2.49|0.0|0.0|79.77|0.0|1.0|2.0|21.0|-6.04|1.0|-3.78|0.000871|243.0|0.000167|0.0466|0.0|0.0|6.64e-07|-0.02966|4.0877|3.31|4.0877|-920.2093796|-920.184721|303.31|0.2991|303.31|355.79|0.7007899999999999|0.7007899999999999|-0.1686|3.5853|-0.19826|0.024658671|5.2754|5.2366|5.2366
13_a47|1|1|1|2.920663104|0|-0.174238791|-0.0777650159999999|0.036632997|-0.047120094|-0.00105415|0.003874205|10.9452934|1|1|-0.108780879|-0.316563793|0.6427334020000001|0.065869272|0.626280497|0.781675563|-0.088128939|0.017736598|-41.79730418|63.12660940000001|-0.032468557|-23.38063458|0.688261242|-21.52866736|2190.316257|402.6200617|-635.4998528|-8.613918003|7.038683428|4542.479565|160.5682509|24.29844849|0.023284817|-193.936606|923.3410426|359.12161539999994|1.0|1.0|1.0|2.0|2.9|1.75|0.06|4.06|4.63|66.49|2.34|0.0|0.0|91.59|0.0|1.0|3.0|24.0|-6.0|1.0|-4.27|5.79e-05|0.0185|5.41e-05|0.0173|0.0|0.0|1.26e-08|-0.05465|4.0302|2.7|4.0302|-1067.820961|-1067.78457|307.63|0.3382|307.63|404.73|0.67466|0.67466|-166.0|3.5455|-0.22065|0.03639189|4.8308|7.8|7.8
12ay_a36|1|0|0|3.50559949|2|-0.05976542|-0.043778345|0.043383838|0.1012005419999999|0.003676818|0.012286423|10.9463292|1|1|0.1689021819999999|-0.438622276|0.902377067|-0.111814717|0.857993338|0.829406408|-0.098945129|0.018016934|-48.12939044|126.7858133|-0.035337546|-41.57269314|0.778164805|-31.1973159|2766.899844|537.618563|-1282.718286|-14.84739041|6.466730436000001|6204.216872999999|143.79285900000002|29.43551742|0.015670425|-360.6110621|1648.388976|729.1873176|1.0|0.0|1.0|2.0|4.96|0.0|0.21|3.76|2.5|69.2|2.45|1.0|0.0|133.68|0.0|1.0|5.0|31.0|-6.38|1.0|-4.6|2.8600000000000004e-05|0.0117|2.5e-05|0.0102|0.0|0.0|4.55e-08|-0.0526|3.9348|3.79|3.6561|-1311.576473|-1311.547668|339.12|0.2939|315.09|532.22|0.6727|0.6914|-0.15056|6.2579|-0.2031599999999999|0.02880431|9.1844|7.7447|7.7447
