molecula|SddssS|n9FaRing|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|WPSA3|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|pIC50
16a_a32|0.0|1|0.0|0|7.765993078999999|0|0.6094207620000001|0.0|0.205693867|-0.014399612|5.733341277|-0.0848387459999999|0|0.03995614|10.31100271|-0.058518519|3|3|-0.005552127|-0.0999399409999999|-0.107321286|-0.199563743|-0.707456102|0.039965071|0.909908319|0.81143469|1|0.756542831|-0.090389538|-0.119471489|0.283324612|-56.2527503|-74.35152328|12.86051026|151.5123947|-0.037168908|8.003570876|-1.6726008419999998|-35.00816569|-23.13158502|69.11326055|0.450892763|2615.514164|2992.60858|7.183246604|13.08168264|0.8211379000000001|188.6800971|-647.803815|33.19592405|0.023475264|-244.9767673|1493.816582|532.685565|1.0|0.0|3.0|3.53|2.66|0.22|19.0|-7.3|3.79|152.07|0.88|0.0|108.86|1.0|1.0|7.0|27.0|4.0|1.0|1.0|3.06|0.00128|9.14e-05|0.0364|0.0|0.0|2.01e-05|3.6314|3.9|3.6314|-1896.770883|0.70245|-1896.589348|0.2859|-0.15045|-0.20718|7.9586
15_a31|0.0|0|0.0|0|7.765993078999999|1|0.610137926|0.0|0.1893807519999999|-0.018913735|5.733341277|-0.134784483|0|0.038809524|10.31169996|-0.074455342|2|2|-0.007631228|-0.052339921|-0.157560864|-0.272545088|-0.6215974160000001|-0.0869591359999999|0.8582665429999999|0.782925607|0|0.567108776|-0.116196194|-0.131697567|0.287991212|-61.76522754|-70.00513464|20.47825449|230.1075793|-0.041588706|10.88541717|-1.58037081|-32.83191294|-22.10688462|82.24348203|0.466164359|2351.566145|1675.977147|6.148947296|11.51842782|0.873235738|190.5463457|-446.5429972|34.45943505|0.03396368|-150.46712390000002|1309.458532|363.593507|0.0|1.0|2.0|3.31|1.64|0.19|16.0|-5.66|3.0|117.37|0.41|0.0|90.47|0.0|2.0|4.0|24.0|5.0|0.0|1.0|2.27|18.0|0.000272|0.0931|0.0|0.0|0.000749|4569.0|3.9|4569.0|-1460.861851|0.5241899999999999|-1460.736142|348.0|-0.15202|-0.19394|5.9586
2_a4|0.0|0|0.0|0|6.605297921|1|1.189716144|0.0|-0.072708147|-0.00708265|4.59511985|-0.103346554|1|0.037777778|10.95268469|0.076479666|0|0|-0.0016168089999999|0.127695325|0.147657684|0.228655117|-0.3881618|0.11821091|0.847373823|0.912872667|0|0.742518847|-0.117395215|-0.105102755|0.442778552|-49.45826819|-44.27948986|2.667094277|108.4760726|-0.0379537729999999|1.123639184|-1.366335816|-20.83662681|-15.98981578|52.12536246|0.3961813179999999|1623.668791|910.3327882|4.710383035|7.800989232999999|0.656126301|66.09827364|-242.5126903|18.96532986|0.011054731|-289.1005902|682.7518749|284.26458360000004|0.0|1.0|2.0|3.33|0.0|0.27|12.0|-4.83|0.83|45.15|1.63|0.0|79.59|0.0|2.0|2.0|19.0|4.0|0.0|0.0|1.24|1.67|0.00171|434.0|0.0|0.0|0.00374|5.8961|2.46|3.2230000000000003|-819.8996124|0.6885600000000001|-819.771754|0.0008|-0.14614|-0.16226|7.5086
3a_a12|0.0|0|0.0|0|0.0|1|1.28383802|0.0|0.13714555|-0.007671441|0.0|-0.042445446|2|0.032544803|10.95455336|-0.0161799839999999|0|0|-0.001011111|-0.205054123|-0.072889493|-0.1213636769999999|-0.5274624179999999|-0.021522321|0.759068438|0.8847197109999999|0|0.871985494|-0.07121814|-0.090803706|0.241900756|-34.84701355|-44.430225|4.615711776|62.63745781|-0.034924502|2.258466332|-1.362055589|-17.05063286|-17.08854808|39.46272532|0.462077145|2045.857684|1050.730179|5.924949067000001|11.01449587|0.859002624|107.1321197|-326.0954285|21.87893986|0.015909241|-275.0354486|853.2786545|381.0058252|1.0|1.0|1.0|3.84|2.74|0.05|18.0|-7.5|2.49|37.28|3.09|0.0|97.52|0.0|1.0|3.0|23.0|3.0|0.0|1.0|2.98|0.0745|8.8e-05|0.0263|0.0|0.0|9.33e-06|4.2336|3.33|3.7304|-951.3480023|0.66895|-951.217594|128.0|-0.15328|-0.22157|6.7122
5_a15|0.0|0|0.0|0|0.0|0|1.419941043|0.0|-0.222657379|-0.008878343|0.0|-0.044921287|2|0.035982906|10.95880662|0.0118220069999999|0|0|0.003194793|0.1093187759999999|-0.187421793|-0.28098676|-0.340979744|0.092692253|0.74438723|0.7950674740000001|0|0.8740541479999999|-0.06128567|-0.0989946469999999|0.743577162|-45.57134103|-73.61131563|24.25353664|93.65193084|-0.0273088679999999|18.03465935|-1.583914356|-33.88634094|-20.30656983|69.82487767|0.486150431|2940.77098|2179.757502|7.795174584|15.1701491|0.946094849|365.1095806|-875.7848531999999|39.89581513|0.036380071|-13.36968593|2313.9572780000003|779.0599798999999|1.0|1.0|1.0|3.79|3.68|0.15|24.0|-9.65|6.01|74.73|2.0|0.0|127.97|0.0|1.0|8.0|33.0|6.0|1.0|1.0|4.29|0.000304|2.18e-06|0.000967|0.0|0.0|9.970000000000001e-08|4.3299|4.36|3.6257|-1470.779775|0.70244|-1470.487858|0.0199|-0.14839|-0.18553|7.8861
1n_a5|0.0|0|0.0|0|6.605297921|0|1.427557749|0.0|-0.1387762669999999|-0.007315978|4.59511985|-0.0533837329999999|2|0.024388889|10.94528897|-0.047910067|1|1|0.004754079|0.004115733|-0.00966135|-0.015850084|-0.393928416|-0.013686011|0.8402078140000001|0.656280207|0|0.785210014|-0.082180848|-0.081950989|0.428980979|-47.1725036|-47.04056285|13.27640087|123.2912732|-0.030493391|7.620766672|-1.311215832|-27.07741706|-17.50346525|60.44890447|0.483868192|2437.279452|889.4388375|7.881746117|15.27080096|0.937489579|213.67365440000003|-432.02691110000006|27.88278228|0.028797525|-146.6611704|1198.959638|467.1194103|1.0|1.0|1.0|2.88|2.67|0.05|23.0|-8.07|3.99|80.76|1.72|0.0|101.77|0.0|1.0|5.0|27.0|5.0|0.0|1.0|3.14|0.0193|6.56e-05|0.0234|0.0|0.0|3.01e-06|4.3838|4.19|4.3838|-1179.169527|0.44786|-1179.018429|0.3789|-0.17092|-0.23278|7.5686
26_a47|0.0|1|0.0|1|6.86171134|0|1.304328272|1.06819297|0.11828578|-0.012090143|4.727387819|-0.200192886|2|0.045681818|10.94972213|0.0081426509999999|1|1|-0.008325552|-0.24731748|-0.035472095|-0.079370393|-0.5899218279999999|-0.11288313|0.910081385|0.651797437|1|0.7104381999999999|-0.098127284|-0.101679756|0.549740398|-57.01987795|-59.08415114|12.13564316|168.2587945|-0.038735145|7.0517889060000005|-1.626876095|-33.13315474|-22.50824805|69.15552111|0.474969855|2625.572598|1341.904566|6.945070057000001|13.22794532|0.90465254|164.0744453|-549.3226272|31.36429668|0.024619511|-252.9318822|1317.300461|457.1122177|0.0|1.0|2.0|3.13|2.66|0.05|21.0|-7.22|4.68|98.72|2.59|0.0|104.8|0.0|1.0|4.0|28.0|5.0|0.0|1.0|3.18|0.00545|2.77e-05|11.0|0.0|0.0|2.37e-05|4.7963|4.37|3992.0|-1696.075481|0.68707|-1695.9387359999998|77.0|-0.16642|-0.22921|7.9
4b_a49|0.0|0|0.0|1|7.535296702|1|1.343847828|2.075628989|-0.109946885|-0.0074627159999999|5.4161004020000005|-0.077626337|2|0.036555556|10.92776533|0.02907541|1|1|0.002557204|-0.10158752|-0.0563571629999999|-0.089371493|-0.390006034|0.005818676|0.852400617|0.6967593559999999|1|0.7581492670000001|-0.091725536|-0.090284437|0.438784865|-56.45224362|-55.5653235|14.84890147|148.84640819999998|-0.030696709|9.138717999|-1.534835437|-34.74338731|-18.89220999|71.30114509|0.477868186|2708.998101|1701.832352|7.588962922|14.53457293|0.915225186|218.2802175|-581.3580885|29.27523192|0.02556165|-178.8869784|1463.761596|600.3287567000001|1.0|1.0|1.0|3.37|3.1|0.22|21.0|-7.05|3.26|90.13|1.66|0.0|112.36|0.0|1.0|6.0|30.0|6.0|0.0|1.0|2.8|62.0|0.000132|0.0527|0.0|0.0|3.570000000000001e-05|4.6422|3.56|3.7413|-1333.026419|0.68242|-1332.800229|0.0615|-0.15635|-0.22366|7.1024
3d_a49|0.0|0|0.0|1|7.535296702|1|0.406515615|2.089548665|-0.0960135969999999|-0.003398408|5.4161004020000005|-0.3456333889999999|2|0.036335697|10.35020259|0.017871379|1|1|-0.004253844|-0.149675594|-0.075636705|-0.129666234|-0.202380888|0.01450704|0.863438637|0.846953747|1|0.733071652|-0.099295364|-0.094384452|0.464410121|-57.52001036|-54.67520803|5.561916586000001|154.6267696|-0.036147237|3.221917789|-1.698920144|-33.32030276|-20.93944137|63.08192694|0.486368221|2809.9605100000003|1660.7054380000002|6.612715522999999|12.87442833|0.946920034|140.9844521|-570.1024832|27.67490257|0.018844179|-297.31302830000004|1300.720421|549.3593871|1.0|0.0|3.0|3.29|0.0|0.15|21.0|-6.15|4.46|121.39|1.07|0.0|111.41|0.0|1.0|4.0|28.0|5.0|0.0|1.0|1.85|0.00252|3.6200000000000006e-05|0.0142|0.0|0.0|0.000278|5.1844|4.02|3.8907|-1594.552258|0.67215|-1594.380348|0.0931|-0.16147|-0.21913|5.6308
12ba_a36|0.0|0|0.0|0|7.412764017000001|2|1.297043659|0.0|-0.090865777|-0.0075620109999999|5.351858133|0.026411489|2|0.040566449|10.9478512|-0.011949092|1|1|-0.000621302|0.159880159|-0.091676619|-0.168084618|-0.410941182|0.041478447|0.890675195|0.796093405|0|0.849738126|-0.083210415|-0.108410153|0.330220757|-56.0578808|-73.03464847|16.57882744|101.229662|-0.037526591|11.16896162|-1.951382748|-37.76553687|-25.28122447|72.63670824|0.49229954|3035.390784|2492.5731100000003|7.409667253999999|14.59456478|0.969665341|197.4608731|-885.6465508|35.76372225|0.023797439|-278.7665262|1859.713557|688.1986357999999|1.0|0.0|2.0|4.8|0.0|0.12|17.0|-6.72|1.63|116.78|0.74|0.0|133.18|0.0|1.0|5.0|33.0|6.0|0.0|0.0|1.57|0.0072599999999999|5.65e-05|0.0244|0.0|0.0|8.240000000000001e-05|5.2506|2.79|3.0114|-1417.426327|0.70432|-1417.187763|0.0009|-0.12587|-0.21033|7.6778
