molecula|SddssS|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
9r_a24|0.0|0|0.0|0|0|0|1.353642494|0.0|-0.004640179|4.59511985|0.013567512|-0.264490176|0.007861194|0.064425793|10.96129392|-0.043274854|1|-0.29065818|-0.179075526|-0.3018627239999999|3|0.786430472|0.7958149290000001|-0.120617935|-0.083458647|0.841805128|0.7526889940000001|0|0.8417158379999999|-0.0618978309999999|-0.082022572|0.015557618|-41.49802275|-54.99020696|10.4302588|0.158284162|-0.025821921|-36.86695997|-27.82142546|70.79264457|-17.31173182|0.473403843|564.3096436000001|-934.8335183|958.7578093|-11.60626518|0.384785172|18.36822555|5501.824326|-626.7383196000001|0.02357068|-154.486433|1519.52371|670.2247423|1.0|1.0|1.0|3.53|0.22|-8.66|4.23|1.02|0.0|116.9|0.0|8.0|30.0|-6.83|400.48|0.0|-4.06|9.58e-05|0.0383|8.77e-05|0.0|2.21e-09|8.84e-07|-0.04313|4.4722|1.82|4.2877|-1294.486221|-1294.451958|713.25|289.16|277.23|0.3398|0.6204|0.0029|1.9698|-0.21074|0.03426339|-1294.263358|3.0322|11.0|7.9586|7.9586
5g_a40|0.0|0|0.0|1|0|1|0.604913142|1.534673091|-0.016033575|6.167516491000001|-0.190406197|-0.5611751220000001|-0.012794054|0.122088541|10.31198315|-0.091116241|2|-0.104356485|0.07917206|-0.4748772539999999|0|0.795454476|0.818555255|0.006643696|-0.1312278909999999|0.882781953|0.7733200179999999|1|0.67772744|-0.153687065|-0.14338431|0.024937196|-72.93994279|-68.05025116|11.83520323|0.32227256|-0.049288357|-32.29667648|-34.61732609|80.22859145|-23.39227384|0.488538966|321.64971460000004|-748.5527627|593.8133184|-11.10198254|0.254650681|12.10939827|4358.890754999999|-355.2634413|0.025660198|-232.8857705|1004.297909|266.8102663|0.0|0.0|0.0|3.13|0.21|-2.89|2.69|0.74|1.0|78.2|0.0|3.0|21.0|-6.6|301.32|1.0|-3.37|5.78e-05|0.0174|0.000426|0.0|0.0013|391.0|-0.0540299999999999|3.48|4.02|3.48|-1328.055803|-1328.015099|489.04|356.27|356.27|0.6563|0.6563|261.0|4.9132|-0.19908|0.04070345|-1327.982732|6.7957|123.0|6.9101|6.9101
13a_a6|0.0|0|0.0|0|1|1|1.430639975|0.0|-0.01115741|5.351858133|-0.0265090529999999|-0.602500119|-0.00460563|0.0015242189999999|10.95129557|-0.0525259259999999|1|0.05269025|-0.10896749|-0.488098052|1|0.850080948|0.7722228729999999|0.090839165|-0.091892803|0.8299950709999999|0.8013954109999999|0|0.77450544|-0.094081761|-0.113446379|0.031866842|-61.52313164|-74.18628740000001|20.83876732|0.22549456|-0.040840697|-48.51283287|-40.23198232|87.37044493|-26.70706346|0.467070451|506.474367|-1335.353173|2626.396685|-17.46461983|0.240087608|15.08351934|6019.922535|-873.2309916000002|0.02016134|-339.9303794|1757.246214|627.4287311|1.0|1.0|1.0|3.53|0.12|-9.01|4.98|1.29|0.0|116.79|0.0|5.0|31.0|-6.1|409.44|1.0|-4.99|3.11e-06|0.0012699999999999|1.02e-05|0.0|9.77e-10|4e-07|-0.05018|5.9934|4.04|3651.0|-1350.085889|-1350.057702|695.29|339.59|206.87|0.4816|0.70072|0.2697|7.7145|-0.19987|0.02818646|-1349.895534|9.2157|46.0|7.3372|7.3372
12y_a30|0.0|0|0.0|0|2|2|0.604984019|0.0|-0.005996863|5.351858133|-0.037335306|-0.353814891|0.00604028|0.061944378|10.31162818|-0.058184644|1|-0.153680104|-0.053700437|-0.4579359229999999|1|0.842068099|0.768409873|-0.05346283|-0.095969764|0.8146529229999999|0.803183654|0|0.8489185109999999|-0.070903795|-0.091248521|0.0149823289999999|-47.598277|-61.25585229|10.05775555|0.151081489|-0.034840345|-41.1215369|-31.95309886|69.55490151|-23.38859815|0.445723724|569.8856940000001|-1286.372898|2411.415644|-15.70095045|0.179891855|14.55517927|6301.067405|-863.552275|0.012362508|-429.782246|1568.540572|754.3941655|1.0|0.0|0.0|4.86|0.21|-7.38|4.87|3.25|0.0|137.21|0.0|5.0|31.0|-5.64|426.54|0.0|-5.46|9.14e-07|0.00039|3.48e-06|0.0|4.12e-08|1.76e-05|-0.05065|5.1973|4.45|3.4718|-1654.41361|-1654.382468|728.75|357.11|238.56|0.30617|0.6864399999999999|0.1489|4.7043|-0.19815|0.0311422|-1654.190369|5.1209|22.0|7.6576|7.6576
12d_a31|0.0|0|0.0|0|1|1|0.61013528|0.0|-0.012448252|5.733341277|-0.043220149|-0.697102094|-0.002456634|-0.085780934|10.31169788|-0.032270224|2|-0.067477864|-0.134504227|-0.550805937|0|0.8066174070000001|0.8343242820000001|-0.00658148|-0.057226679|0.873955169|0.771222772|0|0.7054497479999999|-0.0938723509999999|-0.11498416|0.0296918329999999|-66.58534562|-81.56033123|21.06095035|0.294550252|-0.032542687|-57.85220856|-47.23018217|99.79879739|-23.08311261|0.389382761|500.3881827|-1223.404968|2434.226776|-16.37326657|0.361635149|15.46841054|5753.290126|-867.7831284|0.02571268|-196.2893506|1916.466682|647.1500428999999|1.0|1.0|1.0|3.76|0.38|-7.63|6.04|1.31|0.0|112.97|0.0|9.0|29.0|-6.36|412.51|1.0|-4.39|2.48e-06|0.0010199999999999|4.06e-05|0.0|2.3500000000000002e-08|9.69e-06|-0.03128|3.8477|5.0|3.8477|-1657.471849|-1657.428467|730.86|322.23|322.23|0.7006600000000001|0.7006600000000001|0.2566|2.4186|-0.19096|0.04338158|-1657.245177|3.3585|0.51|6.2924|6.2924
18_a34|0.0|0|0.0|1|1|1|1.4547811819999998|1.801574074|-0.014733513|5.351858133|-0.101546926|-0.677741618|-0.001615187|-0.141332289|10.9595763|-0.136990511|1|-0.155197864|-0.3102088839999999|-0.493450778|1|0.759292258|0.805756513|0.0468829359999999|-0.224951558|0.8584852479999999|0.713979177|0|0.68981472|-0.090328365|-0.129784908|0.040845819|-49.86847383|-71.65163761|22.55015528|0.31018528|-0.0422555509999999|-39.55742812|-27.53138148|86.77082535|-23.32844015|0.441058733|380.8328339|-1003.122927|1774.550004|-12.87916264|0.304150055|11.23989749|5296.289007|-553.8039936|0.027385869|-216.2496321|1441.579371|428.6241319|1.0|1.0|1.0|3.28|0.21|-5.65|3.13|1.49|0.0|93.91|0.0|5.0|26.0|-6.26|351.36|1.0|-4.11|4.77e-05|0.0167|7.829999999999999e-05|0.0|2.22e-06|0.000781|-0.03925|4.4335|5.07|4.1234|-1199.288654|-1199.259634|592.04|300.68|279.66|0.56101|0.60488|0.0303|5.0935|-0.21474|0.02902032|-1199.158044|6.7806|2.43|5.6144|5.6144
15a_a50|0.0|1|0.0|2|1|1|1.3530592819999998|4.126145086|-0.004429392|5.82008293|-0.06317118|-0.234757789|0.005366038|-0.15010386|10.94500663|-0.125205943|2|-0.072976638|-0.128070491|-0.325638639|1|0.797917311|0.821868651|-0.051676609|-0.207610131|0.8749408470000001|0.76745052|1|0.837789896|-0.0783960279999999|-0.084501726|0.018014615|-46.91098865|-50.56454577|10.77967103|0.162210104|-0.029316925|-30.25705388|-28.07082095|61.78266878|-17.54280159|0.4476230879999999|501.3207109|-859.5972780999999|1754.903963|-10.49734522|0.294589405|14.65582885|5401.219537|-514.369916|0.018747341|-245.8291419|1218.577214|569.5267957000001|0.0|1.0|1.0|3.7|0.23|-6.09|3.23|1.87|0.0|110.43|0.0|5.0|28.0|-6.78|371.44|1.0|-3.92|0.000251|0.0933|0.0001189999999999|0.0|8.070000000000001e-07|0.0003|-0.03255|4.0408|2.66|4.0408|-1199.818129|-1199.784983|644.4|306.83|306.83|0.66132|0.66132|0.1767|6.6307|-0.19948|0.03314629|-1199.629702|9.0948|41.0|7.3872|7.3872
12e_a40|0.0|0|0.0|1|0|0|0.604990524|1.6315143930000002|-0.015461694|5.4161004020000005|-0.262526337|-0.556620974|-0.013162335|0.130516751|10.31197242|-0.192362496|2|0.292184471|0.103406816|-0.520457262|0|0.889386453|0.788800541|0.047011204|-0.279310345|0.858770467|0.8096582170000001|1|0.7798787840000001|-0.132226452|-0.122830115|0.015096495|-71.78145688|-66.68049019|8.195398107|0.220121216|-0.048387621|-36.19867792|-38.96782748|78.14505956|-26.26807189|0.491465612|423.3709264|-866.8463724999999|694.2415706|-14.26008524|0.209181178|15.75963228|5478.52313|-470.5828129|0.021118537|-315.75223450000004|1096.13776|348.3847394|1.0|0.0|0.0|3.27|0.0|-6.04|4.34|2.93|0.0|95.8|0.0|2.0|24.0|-5.26|378.23|1.0|-5.64|2.98e-07|0.000113|2.27e-06|0.0|9.14e-07|0.000346|-0.07296|4.3236|4.66|3.0253|-2248.276958|-2248.244231|552.91|409.82|286.76|0.6826|0.70157|284.0|2.5946|-0.19912|0.03272669|-2248.206714|3.7268|1.17|5.9318|5.9318
10_a15|0.0|0|0.0|0|0|0|1.4356889780000002|0.0|-0.006872984|0.0|-0.0435725659999999|-0.384887119|0.001740635|-0.077096984|10.95972828|0.010152859|0|-0.132759909|-0.120626133|-0.391156537|2|0.8310685940000001|0.713794823|0.0107135269999999|0.018211609|0.7585998270000001|0.7933685340000001|0|0.933136945|-0.052826735|-0.101494566|0.010485777|-30.73805622|-59.05618983|6.101312009|0.066863055|-0.036384844|-34.36276159|-17.88541558|65.80736417|-21.17108692|0.449323734|542.9602292000001|-1122.067607|2305.991259|-12.31872585|0.169827351|10.08767698|6204.37804|-652.8924702|0.0116026369999999|-384.2321709|1351.607534|673.7288405|1.0|1.0|1.0|3.58|0.12|-9.82|5.32|2.87|0.0|119.95|0.0|6.0|30.0|-4.97|397.47|1.0|-5.83|5.99e-07|0.0002379999999999|1.47e-06|0.0|1.51e-10|5.99e-08|-0.03581|4.4682|5.16|3.6448|-1281.088565|-1281.061184|631.2|340.17|277.48|0.66799|0.70313|0.0042|1.6654|-0.18958|0.02738146|-1280.862627|3.1460000000000004|7.0|8.1549|8.1549
5_a15|0.0|0|0.0|0|0|0|1.419941043|0.0|-0.008878343|0.0|-0.044921287|-0.54157893|0.000420839|-0.0156037999999999|10.95880662|0.0118220069999999|0|0.1093187759999999|-0.187421793|-0.340979744|2|0.8384601770000001|0.704479781|0.092692253|0.020920163|0.74438723|0.7950674740000001|0|0.8740541479999999|-0.06128567|-0.0989946469999999|0.032616864|-45.57134103|-73.61131563|24.25353664|0.125945852|-0.0273088679999999|-54.73655332|-33.88634094|100.6631306|-20.30656983|0.486150431|649.9369163|-1177.78105|2179.757502|-15.09973885|0.491010028|15.1701491|6656.720346|-875.7848531999999|0.036380071|-13.36968593|2313.9572780000003|779.0599798999999|1.0|1.0|1.0|3.79|0.15|-9.65|4.92|2.0|0.0|127.97|0.0|8.0|33.0|-5.55|443.49|1.0|-5.66|6.86e-07|0.000304|2.18e-06|0.0|2.25e-10|9.970000000000001e-08|-0.03714|4.3299|4.36|3.6257|-1470.816175|-1470.779775|737.16|341.96|286.35|0.62664|0.70244|0.0199|4.3576|-0.18553|0.03640044|-1470.55517|6.35|13.0|7.8861|7.8861
