molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC7i|AATSC1i|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PPSA3|RNCS|FNSA4|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
13c_a6|0.0|1|0|0|3.441255118|0.0|0|7.412764017000001|1|1|1.424213869|0.0|-0.046663393|-0.010619065|1|0.049627353|0.0|-0.605286688|-0.003346018|0.054910284|-0.0942387559999999|0.081059709|-0.174259072|0.845481322|0.085414885|-0.167542194|0.8353837409999999|0.7995080809999999|0|0.786809832|-0.093635525|-0.111231609|20.79409503|157.60887419999997|-0.039875482|0.772032541|-2.11340057|-43.38886312|-27.1440571|84.53371376|2880.850692|535.5975578|-1438.635026|-18.47751526|0.2279674589999999|8.038175951|15.07660437|0.875625075|6204.855629|155.1821156|-979.308309|1.0|1.0|1.0|2.0|3.61|2.53|5.38|0.0|121.6|0.0|-5.95|5.0|0.0|0.0|1.0|-5.27|0.000471|4.23|0.0|0.0|3.96e-10|-0.05015|4.5|3.6519|-1389.39897|719.8|1217.77|0.5471|206.92|0.7008800000000001|-1389.122252|0.28|-0.14975|7.7129|-0.1999|-1389.184603|9.2467|73.0|7.1367
6_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1|1.271761557|2.170234316|-0.19701009|-0.001221193|2|0.042096749|2.186806868|-0.064723237|0.011457667|0.0032928379999999|-0.208689928|0.0671397079999999|-0.073630392|0.664591856|-0.169533683|-0.340860215|0.810030118|0.664247086|1|0.945545838|-0.052396457|-0.0670158929999999|4.324187697|14.1731579|-0.024618083|0.814470803|-1.206286076|-16.25991695|-13.71394596|33.5125766|2342.371538|526.7333132|-671.9833521|-7.639600225|0.1855291969999999|5.758624844|9.981741408|0.733355042|5256.215815|103.3523757|-374.340411|1.0|1.0|1.0|0.0|3.38|3.45|5.1|0.0|109.7|0.0|-4.91|3.0|0.0|1.0|1.0|-5.11|0.0043799999999999|4.28|0.0|0.0|1.04e-08|-0.04867|4.11|4.0354|-1108.585859|613.83|1057.7|0.1235|254.51|0.5877|-1108.338577|0.0772|-0.16959|2.8026|-0.2182599999999999|-1108.392115|3.2192|1.3|5.8861
14h_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|0|1.197963488|3.309480899|0.043538466|-0.005921293|2|0.0316908439999999|0.7290938920000001|-0.307907256|0.009895793|-0.024318144|-0.034313725|0.060820238|-0.131709531|0.708395022|0.143102066|-0.05745554|0.860920386|0.669357479|1|0.923430574|-0.063825076|-0.081058742|14.81983413|41.34207782|-0.033774476|0.753100584|-1.621174834|-29.00823506|-22.76950546|57.84834575|3010.418229|622.5428245|-1092.936262|-15.35036053|0.246899416|7.833334036|15.0735214|0.924279155|6722.809649|166.45047749999998|-736.8173055999999|1.0|1.0|1.0|1.0|3.47|3.2|3.4|1.0|125.0|0.0|-5.68|5.0|0.0|0.0|0.0|-4.9|0.0009109999999999|3.3|0.0|0.0|3.39e-08|-0.08532|3.29|3.6689|-1722.1762399999998|699.86|1190.62|0.3424|306.09|0.69933|-1721.9314420000003|0.2727|-0.15209|9.7146|-0.2374099999999999|-1721.99264|13.4823|5.0|8.3468
2_a47|0.0|0|0|0|0.0|0.0|0|0.0|0|0|1.381899691|0.0|-0.002024001|-0.008527649|2|-0.004557357|1.454085483|-0.3581612489999999|-0.007479445|0.107297513|-0.013580367|-0.007299676|-0.0274111779999999|0.916092248|0.115527282|-0.0253134039999999|0.728066943|0.875463345|1|0.847324011|-0.083455669|-0.095655954|4.240150185|99.5619537|-0.036790752|0.784978115|-1.4348393119999998|-20.71307621|-18.32875817|45.81686991|2105.761386|422.1277419|-714.8215685|-9.131190896|0.215021885|5.308758149|9.369924133|0.764993595|4559.060763|107.1215986|-356.116445|0.0|1.0|1.0|2.0|2.58|2.54|3.7|0.0|96.54|0.0|-5.46|3.0|0.0|1.0|1.0|-5.11|0.00109|4.52|0.0|0.0|1.51e-08|-0.05285|3.49|3.7181|-1010.540464|536.13|902.07|0.2143|333.46|0.69102|-1010.364507|0.2143|-0.15446|2.1266|-0.20731|-1010.412694|3.1004|631.0|6.2
13a_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.604984129|0.0|0.113424769|-0.011002918|2|-0.036541822|0.0|-0.627166322|-0.003436924|0.0317047379999999|-0.0351777|-0.065043716|0.006103754|0.841060094|0.019603815|-0.058608635|0.885516463|0.802578397|0|0.6963945559999999|-0.109682335|-0.113507021|12.53013554|381.9643801|-0.042832838|0.799862466|-2.27014041|-49.96348386|-28.90911938|86.55791128|3002.811441|470.0167988|-1532.183327|-19.5115996|0.2001375339999999|8.066980235|15.1104742|0.873126469|6675.344631|135.07860209999998|-1034.114779|0.0|1.0|0.0|2.0|4.76|0.0|3.04|0.0|135.37|0.0|-5.01|5.0|0.0|0.0|0.0|-4.3|0.00427|2.74|0.0|0.0|6.520000000000001e-07|-0.0555|4.54|3.5288|-1744.491614|721.66|1211.54|0.1788|245.34|0.6845600000000001|-1744.217986|0.1603|-0.14953|0.7158|-0.20503|-1744.281248|1.4855|14.0|7.8665
2_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0|0|0.605017347|0.0|0.176032668|-0.008422099|2|-0.103423993|2.058239271|-0.311617665|-0.006049098|0.09933632|0.036301827|-0.18746945|0.032450556|0.899733837|-0.192034735|0.065162907|0.8401405609999999|0.841871246|1|0.750206578|-0.104577702|-0.09392632|5.601853871|228.178656|-0.033150466|0.727984269|-1.127115845|-23.02532673|-15.55510657|54.67257594|2056.399995|352.0174726|-528.8736235|-7.298882022000001|0.272015731|4.88513521|9.016533738|0.845708123|4446.904467|127.637231|-248.1619888|1.0|1.0|1.0|1.0|2.97|2.22|4.34|0.0|90.49|0.0|-4.75|3.0|0.0|0.0|1.0|-4.27|0.0054|3.13|0.0|0.0|1.3e-07|-0.06423|1.97|3.3354|-1272.143337|503.34|841.85|0.1824|227.92|0.69543|-1272.001389|0.0962|-0.14605|4.0121|-0.21028|-1272.04778|5.4999|3981.0|5.4
AKLKII_a46|0.0|1|0|0|2.917217813|0.0|0|6.605297921|0|0|1.4316666480000002|0.0|-0.206312209|-0.003417504|3|-0.008897473|1.744747103|-0.129865138|0.006821053|0.156485495|0.036226415|-0.015805561|-0.066245471|0.718266758|-0.0150769919999999|0.064690027|0.8264237520000001|0.687139108|1|0.837641394|-0.071827497|-0.089369278|4.924591245|160.85204040000002|-0.033194303|0.7721395329999999|-1.161800612|-16.15213359|-15.74102977|38.98582025|2000.353437|397.2168972|-550.9360419|-7.464534402999999|0.2278604669999999|5.83938898|11.22955511|0.92307023|4110.764451|108.05343229999998|-261.2587041|0.0|1.0|1.0|1.0|2.81|1.6|3.9|0.0|85.32|0.0|-3.24|4.0|0.0|1.0|1.0|-3.58|166.0|2.19|0.0|0.0|6.18e-08|||||||||||||||||181.0|6.7423
4_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0|0|0.60501714|0.0|0.2122551539999999|-0.008561428|1|-0.08769805|1.882124381|-0.325334256|-0.008407895|0.057349653|0.0248526079999999|-0.208888686|0.127253753|0.640351067|-0.028924747|0.041477445|0.785381728|0.628171026|1|0.74053397|-0.110345083|-0.098695428|3.806447632|235.6982345|-0.039478171|0.866976271|-1.381735991|-24.93884341|-18.76802992|56.26480013|2142.972568|352.05186289999995|-656.8810472|-8.922372453|0.133023729|5.05182773|8.648209506|0.711897153|4885.093366|63.23984222|-312.2830359|0.0|1.0|1.0|1.0|2.94|2.6|5.3|0.0|92.65|0.0|-5.69|3.0|0.0|0.0|1.0|-5.09|0.00065|4.3|0.0|0.0|2.950000000000001e-08|-0.0584299999999999|3.53|3.4771|-1355.332318|504.29|858.45|0.1776|208.93|0.6896|-1355.192416|119.0|-0.14983|2.3542|-0.20826|-1355.239905|3.1409|1259.0|5.9
15a_a10|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1|1.34383719|2.141907675|-0.214195114|-0.00244937|2|-0.125297206|2.038992189|-0.144512841|0.011418154|-0.060539141|-0.062038567|-0.19937094|-0.285973309|0.7408341359999999|-0.0232534929999999|-0.1074837719999999|0.820233357|0.713078124|1|0.915137224|-0.0458501609999999|-0.076864276|10.10411407|42.41151044|-0.025155581|0.676473201|-1.3835569680000002|-18.99256188|-16.19032994|39.61363829|2656.305166|588.9895149|-890.4681466|-10.42022369|0.323526799|6.71451044|11.33516398|0.68815941|5929.563906|208.2243923|-573.1123029|1.0|1.0|1.0|0.0|3.5|3.58|3.95|0.0|118.92|0.0|-3.97|5.0|0.0|1.0|1.0|-4.4|0.0432|3.12|0.0|0.0|1.63e-08|-0.04742|2.4|3.7639|-1278.452284|687.57|1179.28|0.3558|215.08|0.68863|-1278.141052|0.1583|-0.1559299999999999|4.7512|-0.20335|-1278.200428|6.1108|24.0|7.6198
12x_a36|0.0|1|0|0|3.494913155|0.0|0|7.412764017000001|2|2|0.629399587|0.0|-0.058295476|-0.007008724|2|0.021670322|0.0|-0.40650598|0.00285431|-0.054184069|-0.023932402|0.038200407|-0.133106642|0.906423012|0.056034339|-0.041914045|0.8792981679999999|0.855081905|0|0.836402835|-0.0737521679999999|-0.104368092|11.85578416|81.81168174|-0.036722107|0.7768535409999999|-1.982993755|-33.36962015|-24.70107324|61.46507585|2884.428214|562.6051882|-1333.8579550000002|-16.61514211|0.223146459|8.770758009|16.20591229|0.847720832|6193.10485|150.09915149999998|-897.2176739|1.0|1.0|1.0|2.0|4.87|0.0|3.33|0.0|135.47|0.0|-4.85|4.0|0.0|0.0|0.0|-4.51|0.0061|3.19|0.0|0.0|8.95e-08|-0.05311|3.37|3.7364|-1670.452834|719.63|1209.23|0.3901|319.74|0.68112|-1670.182026|0.0199|-0.1517099999999999|5.6653|-0.2048199999999999|-1670.244307|7.2812|7.0|8.1549
