molecula|SddssS|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|AATSC7i|AATSC1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|FNSA4|WPSA3|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|GeomRadius|PPSA1|DPSA4|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|pIC50|pIC50
19a_a22|0.0|0|0.0|1|6.842683282|0|0|1.422917238|1.572240489|-0.009145283|4.727387819|2|-0.020553065|-0.548716971|-0.011513343|10.9464374|0.016501913|-0.03516233|-0.0611158559999999|2|0.777600172|-0.155892259|0.0271939039999999|0.834033833|0.699744887|1|0.744354735|-0.090145161|-0.09370213|0.51561501|0.024839714|-69.91748544|18.53458775|373.8201781|-0.035138299|13.82990734|-1.967744721|-50.18975739|89.23486638|-26.21905704|85.79797858|0.4347718229999999|555.4133255|-1468.267194|8.648671382|235.2620007|38.29242013|-275.6435167|19.31738094|1.0|1.0|1.0|1.0|1.0|2.0|0.08|27.0|-8.76|3.08|0.98|0.0|132.15|0.0|7.0|-4.38|35.0|-7.67|463.49|0.0|0.0|-4.11|4.16e-05|0.0193|7.69e-05|0.0356|0.0|0.0|1.73e-09|-0.06398|5.0397|740.07|1277.14|346.24|0.2218|246.01|0.34556|0.66605|-1536.756515|0.0623|-0.21478|-1536.823574|7.3188|7.3188
1d_a5|0.0|0|-4.455320158|0|6.605297921|0|0|1.217311475|0.0|-0.006252818|4.59511985|2|-0.118028278|-0.2688711589999999|-0.2261588939999999|10.94437658|-0.010183824|-0.389011185|0.004923698|2|0.7595197290000001|-0.058872605|-0.015804188|0.821309592|0.513260607|0|0.8965037640000001|-0.088396743|-0.086213657|0.6271150670000001|0.007937625|-46.58221594|4.288788702|204.4506579|-0.036640804|2.317281143|-1.465632167|-25.80622135|56.83734591|-19.79744178|52.05055075|0.471074204|484.3911442|-791.897671|6.116537519|123.9992274|25.69414151|-292.3128788|10.25512997|1.0|1.0|0.0|1.0|1.0|1.0|0.05|23.0|-8.88|5.48|2.73|0.0|95.49|0.0|4.0|-4.79|27.0|-5.73|366.34|1.0|1.0|-4.97|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|0.00396|0.0|0.0|1.3300000000000002e-09|-0.04528|4.8725|567.04|951.63|268.88|0.2805|254.46|0.41781|0.5764600000000001|-1288.201219|0.0982|-0.23519|-1288.253849|5.03|5.03
6b_a31|0.0|0|0.0|0|7.773594467000001|1|1|0.610136262|0.0|-0.016070861|5.733341277|0|0.11647286|-0.787472195|-0.032090772|10.31169819|-0.053655833|0.1978523089999999|-0.004825446|0|0.78240875|-0.068433069|-0.084489161|0.841537966|0.795570315|0|0.627853074|-0.12081047|-0.1284626569999999|0.146652651|0.032992761|-78.37648097|20.12924648|159.79549319999998|-0.045675611|12.28107483|-2.055402513|-44.96993859|93.1058799|-27.86719323|93.83704414|0.4807018779999999|383.0600707|-1254.023695|7.513612533|155.0167518|37.35947255|-300.0775025|14.72939894|1.0|1.0|1.0|1.0|1.0|2.0|0.1|22.0|-7.33|5.19|1.36|0.0|109.69|0.0|4.0|-5.63|29.0|-6.5|404.44|0.0|1.0|-4.66|2.34e-06|0.000947|2.18e-05|0.00883|0.0|0.0|4.67e-08|-0.05835|3.2949|637.06|1077.19|376.29|0.4967|376.29|0.7013199999999999|0.7013199999999999|-1652.44739|0.4967|-0.1918|-1652.505041|7.2676|7.2676
18a_a30|0.0|0|0.0|0|7.412764017000001|2|2|0.604987543|0.0|-0.006673169|5.351858133|2|-0.041327798|-0.353677943|-0.01286191|10.31163887|-0.094932667|-0.073280844|-0.094526372|1|0.7885597609999999|0.003991162|-0.171895425|0.842671963|0.7961424690000001|0|0.85918121|-0.072474599|-0.095397479|0.294303776|0.017060045|-59.38972262|10.62073502|79.18861306|-0.036990859|6.611941026|-1.812552105|-28.08889239|69.35818061|-23.02866795|55.73981304|0.445995681|534.88346|-1128.40473|7.050626413|130.4247923|29.1318055|-361.7006453|9.968457988|1.0|0.0|1.0|1.0|0.0|1.0|0.14|17.0|-6.64|3.84|2.82|0.0|127.28|0.0|5.0|-5.28|29.0|-5.98|398.48|0.0|0.0|-4.85|5.23e-06|0.00208|1.4e-05|0.0056|0.0|0.0|2.3100000000000002e-07|-0.05605|3.4712|665.12|1120.46|357.18|0.3781|357.18|0.69033|0.69033|-1575.54671|0.3781|-0.19785|-1575.604922|7.6108|7.6108
18d_a30|0.0|0|0.0|0|7.412764017000001|2|2|0.6049874|0.0|-0.0072724869999999|5.351858133|2|-0.071608958|-0.385441836|-0.053728319|10.31163881|-0.087019298|-0.159104532|-0.120380857|1|0.815003426|-0.001699165|-0.149451598|0.870930234|0.64876559|0|0.803280262|-0.07812727|-0.103191184|0.346980269|0.017843227|-65.3088221|11.29282624|78.23108693|-0.037906966|7.147133584|-1.85744132|-31.29400567|75.80070349|-23.99099587|60.73891035|0.443774287|508.389239|-1175.558798|7.063141946|137.15746130000002|30.62871675|-358.5765637|10.49188139|1.0|0.0|1.0|1.0|0.0|1.0|0.14|17.0|-6.9|4.25|3.2|0.0|127.24|0.0|5.0|-5.39|30.0|-6.02|416.47|0.0|0.0|-5.01|4.12e-06|0.00171|9.71e-06|0.00405|0.0|0.0|1.26e-07|-0.05506|5.0125|669.66|1129.46|357.49|0.3856|247.35|0.4325|0.69017|-1674.785879|0.3788|-0.19673|-1674.8453470000002|7.6737|7.6737
19_a47|0.0|1|0.0|1|6.842683282|0|0|1.402889494|1.445775615|-0.00973456|4.727387819|2|0.027033021|-0.4380552029999999|-0.064557784|10.95058274|0.0604168609999999|0.074201869|-0.126992366|2|0.823945134|-0.024256505|0.095841135|0.8873627890000001|0.614975047|1|0.639642891|-0.105205489|-0.104459947|0.270767873|0.026805875|-57.87554797|14.85167037|335.10989930000005|-0.037307124|8.228498913|-1.566899206|-32.2945343|76.13237258|-20.66983856|73.14028211|0.463378097|354.3911695|-868.1332196000001|7.06969105|200.6571609|32.40636867|-152.7310283|18.25682461|0.0|1.0|1.0|1.0|1.0|2.0|0.05|21.0|-6.92|2.49|1.67|0.0|99.2|0.0|5.0|-3.67|28.0|-7.22|380.35|0.0|1.0|-3.66|0.000214|0.0816|0.000217|0.0824|0.0|0.0|1.2099999999999998e-07|-0.05326|3.8423|571.23|974.59|322.68|0.3243|322.68|0.68924|0.68924|-1335.580357|0.3243|-0.2117099999999999|-1335.634976|7.3|7.3
11d_a5|0.0|0|0.0|0|6.605297921|0|0|1.388848584|0.0|-0.003373937|4.59511985|2|-0.125546291|-0.185566552|-0.138265707|10.94877952|0.01948342|-0.202307745|-0.200646773|2|0.783891527|-0.018747485|0.036918829|0.831190148|0.755793189|0|0.87090286|-0.063028408|-0.0847408619999999|0.359644732|0.012828514|-53.84338206|8.151092424|61.45330587|-0.029333375|5.179111638|-1.525335513|-25.44574968|65.35645739|-18.63809379|48.19862797|0.49396568|553.3617954|-969.1808771|8.920296087|182.7978704|26.16587381|-269.7929124|11.51307533|1.0|1.0|1.0|1.0|1.0|1.0|0.17|23.0|-8.64|4.41|1.42|0.0|114.29|0.0|7.0|-4.14|29.0|-6.47|385.46|0.0|1.0|-4.29|7.2e-05|0.0278|5.14e-05|0.0198|0.0|0.0|2.31e-09|-0.03767|4.4175|682.09|1154.67|301.89|507.0|280.66|0.66686|0.6533399999999999|-1238.855022|0.2068|-0.20529|-1238.914819|7.8239|7.8239
14_a15|0.0|0|0.0|0|0.0|0|0|1.43568901|0.0|-0.006678826|0.0|2|-0.033982971|-0.374014235|-0.053931584|10.9597359|-0.015736888|-0.051908601|-0.184255041|2|0.719993769|-0.021648026|-0.028227917|0.7651878809999999|0.7933685340000001|0|0.8870890459999999|-0.063809873|-0.0917424269999999|0.7461324029999999|0.014672137|-58.79722871|9.403293601|92.51564418|-0.032888795|6.026520371|-1.743106111|-26.20964538|68.59458198|-21.0782518|50.29869851|0.406717767|568.5306056|-1117.1473460000002|6.040010666000001|147.2072638|27.36334635|-346.4801021|9.797353271|1.0|1.0|0.0|1.0|1.0|1.0|0.12|24.0|-9.82|5.32|2.87|0.0|119.95|0.0|6.0|-6.22|30.0|-4.97|397.47|1.0|1.0|-5.83|5.99e-07|0.0002379999999999|1.47e-06|0.000584|0.0|0.0|1.51e-10|-0.0338199999999999|4.4518|689.8|1177.14|342.41|0.3131|278.5|0.65079|0.7055899999999999|-1280.809256|0.0054|-0.18379|-1280.87015|7.5229|7.5229
3d_a32|0.0|1|0.0|0|7.765993078999999|0|0|0.609420786|0.0|-0.006420365|5.733341277|0|-0.0620110029999999|-0.269655316|-0.113314811|10.31100276|-0.0602430179999999|-0.1131110759999999|-0.1395294259999999|0|0.8444218509999999|-0.069007775|-0.100251236|0.90169022|0.77923808|1|0.892845502|-0.06869526|-0.093187219|0.2214902789999999|0.014419776|-50.45435743|7.807299836|62.43434632|-0.02867299|4.22710649|-1.118246623|-20.13777259|59.15151032|-15.52441767|45.000975700000005|0.427813496|483.4133562|-605.4522892000001|6.15119195|151.30787800000002|21.54552351|-238.8142619|8.697152881000001|1.0|1.0|1.0|1.0|1.0|1.0|0.24|19.0|-7.29|6.97|1.94|0.0|97.86|0.0|4.0|-6.55|23.0|-5.18|340.47|0.0|1.0|-5.13|2.81e-07|9.58e-05|7.36e-06|0.00251|0.0|0.0|5.13e-08|-0.05482|3.5105|569.29|959.11|353.18|0.5031|353.18|0.7035100000000001|0.7035100000000001|-1672.585902|0.5031|-0.19671|-1672.638515|8.0915|8.0915
6c_a31|0.0|0|0.0|0|7.78113851|1|1|0.6101347220000001|0.0|-0.015192833|5.733341277|0|0.137523742|-0.790027307|-0.00219333|10.31169965|-0.107687565|0.2301743489999999|-0.009333123|0|0.790900932|-0.078059285|-0.172780048|0.846458013|0.7905201209999999|0|0.641197273|-0.120905075|-0.126324613|0.138124296|0.03173578|-79.97295595|20.09112958|163.6316745|-0.044739967|12.71919216|-2.147518413|-48.45681657|93.4208388|-28.32375523|96.63311186|0.4463376229999999|405.9259734|-1359.540251|8.102804662|148.5675636|37.00884624|-335.9398876|13.44788285|1.0|1.0|1.0|1.0|1.0|2.0|0.14|22.0|-7.72|5.58|1.58|0.0|114.5|0.0|5.0|-6.09|30.0|-6.27|418.47|0.0|1.0|-4.94|8.179999999999999e-07|0.000343|1.15e-05|0.0048|0.0|0.0|1.89e-08|-0.0581799999999999|3.2974|667.01|1125.85|376.01|0.5028|376.01|0.7014699999999999|0.7014699999999999|-1691.734564|0.5028|-0.19169|-1691.794585|6.4685|6.4685
