molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|MATS1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA5|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|PPSA1|DPSA4|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
3t_a32|1|1|1|0.0|0|0.609420752|0.0|0.028840888|5.733341277|-0.0338714389999999|0|0.03995614|0.028527045|9.83e-05|0.012069208|10.31100267|3|0.00139283|0.049606573|-0.070331512|0|0.822076702|0.0466380209999999|-0.146047869|0.870628579|0.687253845|1|0.828676243|-0.0974995|0.217914628|-61.58101978|97.01046154|108.2086749|-0.026967947|-38.89478416|0.0|0.684474482|-1.267493496|72.43498782|0.481726305|2530.60497|-800.5532571|2241.507646|-10.75813179|0.315525518|0.929482453|199.2870037|24.88485469|1169.58817|1.0|1.0|1.0|1.0|1.0|3.58|3.41|19.0|-8.01|7.65|5.42|128.01|1.74|112.48|0.0|1.0|7.0|-6.48|27.0|4.0|0.0|-4.93|3.28e-07|1.16e-05|0.0|0.0|3.91e-06|-0.05507|3.5487|3.5487|-1864.708995|1129.24|349.38|0.2906|349.38|575.45|0.70286|0.70286|-1864.472646|0.2906|0.03020622|-1864.534478|8.0458
4R4k_a46|0|0|0|0.173180233|1|1.134637098|2.145043462|-0.050636784|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|0.006550513|-0.1149361969999999|10.94631314|1|0.006050983|-0.158788415|0.008544799|1|0.7477594870000001|-0.003017362|-0.141706595|0.787615341|0.784722915|0|0.890625164|-0.085931818|0.237621572|-45.72566346|173.3171354|58.20005971|-0.030434186|-24.33134018|0.0|0.866681099|-1.4608409080000002|49.58292992|0.465590034|2105.035168|-777.3362788|1767.850427|-8.617349646000001|0.133318901|0.871222588|70.94107067|18.68565706|896.9115391|1.0|0.0|1.0|1.0|1.0|3.8|3.12|17.0|-6.61|4.26|4.77|50.94|2.84|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|0.0|-4.83|1.5e-05|1.4800000000000002e-05|0.0|0.0|8.28e-05|-0.02045|5.2965|4.1392|-1053.439174|994.13|299.53|0.2896|234.09|490.83|0.54119|0.68404|-1053.202129|0.1008|0.0257622|-1053.254911|7.0132
9s_a24|1|0|0|0.0|0|1.4275963180000002|0.0|-0.222173285|4.59511985|-0.00570386|4|0.023585859|-0.050919714|0.006748865|-0.060407836|10.96129902|1|0.007695726|-0.0897306019999999|-0.204128966|3|0.773544454|0.030228027|0.0256742079999999|0.8327425070000001|0.748077475|0|0.8833498320000001|-0.063587778|0.483170382|-39.48555839|33.24649431|72.43525688|-0.019465646|-24.51900941|0.695462853|0.445160769|-0.953816666|61.19761205|0.47085169|2747.809842|-592.2833757999999|969.5210193|-7.505819207999999|0.554839231|0.889829339|344.5337711|27.15292246|1330.4932|0.0|1.0|1.0|1.0|1.0|3.43|2.78|29.0|-8.11|3.15|4.29|77.21|0.81|115.67|0.0|1.0|4.0|-3.36|30.0|4.0|0.0|-4.06|0.000434|8.71e-05|0.0|0.0|3.04e-06|-0.03597|3.0726|2.6707|-1271.031372|1121.42|464.24|0.5112|403.51|521.4|0.69475|0.6907300000000001|-1270.738032|0.0839|0.03640642|-1270.796154|7.4949
12_a3|0|0|0|0.0|0|0.605020506|0.0|0.167987916|4.727387819|-0.118456941|2|0.042795699|-0.120694579|-0.006049098|-0.045382017|10.31163031|1|-0.0045709459999999|-0.218774634|0.017902469|2|0.718481325|-0.039834906|-0.125395523|0.784451598|0.841871246|1|0.829399708|-0.096133903|0.101891875|-45.63945658|239.2266101|80.99228663|-0.039584548|-21.667278|76.23910943|0.830418645|-1.345874639|52.16354015|0.463780604|2056.502939|-638.9523922000001|1064.221958|-8.921820355|0.169581355|0.864908294|80.50854774|22.63041363|769.4340634|1.0|1.0|1.0|1.0|1.0|3.2|2.17|21.0|-6.89|4.34|4.01|92.93|1.6|90.49|0.0|1.0|2.0|-5.68|22.0|3.0|0.0|-4.84|2.07e-06|1.44e-05|0.0|0.0|3.9500000000000005e-05|-0.06361|3263.0|3263.0|-1272.152002|847.25|379.97|0.5056|379.97|361.95|0.69784|0.69784|-1272.010995|0.5056|0.02620998|-1272.058487|5.45
3o_a32|1|1|1|0.0|0|0.609420753|0.0|-0.022603806|5.733341277|-0.014299905|1|0.035643275|-0.064818511|-0.001411347|-0.117781901|10.3110027|3|0.000243592|-0.117744493|-0.061774721|0|0.8214857240000001|-0.074509084|-0.154436834|0.872498916|0.840991936|1|0.8377808240000001|-0.095457829|0.252703854|-55.03672286|62.67187821|93.52833522|-0.031819276|-31.73171751|0.0|0.7850948190000001|-1.4318674340000002|62.56936516|0.455089918|2488.133192|-825.5508427999999|2469.87467|-10.57723917|0.214905181|0.835165165|123.9047338|23.36733582|1051.530112|1.0|1.0|1.0|1.0|2.0|3.47|3.06|19.0|-7.27|6.39|4.2|122.97|1.58|112.07|0.0|1.0|3.0|-5.72|26.0|4.0|0.0|-4.73|1.89e-06|1.87e-05|0.0|0.0|2.04e-05|-0.05413|3.5333|3.5333|-1805.504508|1049.14|350.9|0.2851|350.9|464.85|0.70216|0.70216|-1805.277864|0.2851|0.03088166|-1805.333039|6.6198
5e_a40|0|0|0|0.0|1|0.604912776|1.661964758|-0.091305805|6.167516491000001|0.0601021459999999|0|0.044526749|-0.106497535|0.009890343|0.158430496|10.31198323|2|0.008306061|-0.184667138|0.005996234|0|0.8092726020000001|-0.402340487|0.0451110059999999|0.877722972|0.5087199929999999|1|0.864422751|-0.089724264|0.0499188609999999|-42.66853738|170.7311133|64.47400829|-0.035889706|-20.29110082|51.7148695|0.8223594679999999|-1.076691165|48.81318333|0.47779156|1986.384601|-512.0224486000001|512.5703164|-8.116440327000001|0.177640532|0.914944155|84.47727896|20.75420252|622.6260756|1.0|1.0|0.0|0.0|0.0|3.03|2.73|14.0|-4.65|4.3|3.74|75.5|2.37|79.16|0.0|2.0|3.0|-4.78|20.0|3.0|0.0|-4.25|1.66e-05|5.56e-05|0.0|0.0|0.00678|-0.07231|3.7138|3.7138|-1637.197299|802.38|333.85|0.5262|333.85|390.33|0.69675|0.69675|-1637.115238|0.5262|0.01659566|-1637.162552|7.6021
9g_a24|1|0|0|0.0|1|1.427608366|1.7647373919999998|-0.318471716|5.283203728999999|0.001126633|2|0.0279797979999999|-0.162313932|0.0144065739999999|0.070915465|10.96318169|2|0.013119312|-0.292600863|-0.0273623029999999|2|0.7931626959999999|0.13372961|-0.045107345|0.859302479|0.657503038|0|0.8671367529999999|-0.065668047|0.383340003|-32.49188065|174.88817269999998|65.73938109|-0.021297745|-16.07665151|0.0|0.4819264479999999|-0.788016565|49.25777584|0.427531635|2123.257348|-389.9025677|1196.910121|-5.214049137|0.518073552|0.746821416|256.3375151|21.8662148|809.0499476|0.0|0.0|1.0|1.0|1.0|2.8|1.78|22.0|-6.43|2.91|2.93|72.28|0.64|87.53|0.0|1.0|3.0|-2.49|23.0|4.0|0.0|-3.09|0.00323|0.0008179999999999|0.0|0.0|0.000113|-0.03585|5.2521|4.2802|-984.5891383|879.99|289.67|0.2444|236.07|400.47|0.4227399999999999|0.64993|-984.447764|0.1023|0.032630457|-984.497752|7.1675
16_a31|1|0|0|0.0|0|0.61013894|0.0|0.152128735|5.733341277|-0.186617888|0|0.042528736|-0.050076586|-0.017017891|-0.00795845|10.31170095|2|-0.0125582419999999|-0.0897217219999999|-0.053194463|0|0.8318419909999999|-0.038841601|0.0980869569999999|0.8948140790000001|0.8944757390000001|0|0.546450126|-0.150315165|0.29485045|-70.82239128|130.369865|213.694252|-0.050105055|-33.36862997|467.7901274|0.73080436|-1.653466811|83.86629191|0.427771627|2071.962924|-779.0463041|1212.615438|-11.12287666|0.26919564|0.747554032|126.8340354|32.30339751|1066.012118|0.0|0.0|1.0|1.0|2.0|3.2|1.93|16.0|-4.94|3.8|2.83|114.29|0.78|80.57|0.0|2.0|2.0|-4.36|21.0|4.0|0.0|-3.6|4.38e-05|0.000254|0.0|0.0|0.00347|-0.0318899999999999|3.6596|3.6596|-1308.242314|818.1|338.79|0.2534|338.79|369.73|0.70108|0.70108|-1308.113026|0.2534|0.03948619|-1308.161433|7.0458
13c_a5|1|0|0|0.0|0|1.377702625|0.0|-0.2071929139999999|4.59511985|-0.0090268969999999|3|0.024822695|-0.010689086|0.005288472|-0.098760742|10.94530327|1|0.006110714|-0.017427549|-0.092592608|2|0.770478689|0.003545487|-0.033833834|0.822789227|0.6775573359999999|0|0.80019672|-0.076591149|0.4148662979999999|-50.50012762|158.67712230000004|131.7396496|-0.025039414|-33.29709668|51.93687546|0.551328235|-1.302049531|70.46156718|0.46617977|2793.480751|-858.5021696|1235.709541|-10.8855893|0.448671765|0.873289814|295.8302846|29.94524142|1557.152554|0.0|1.0|1.0|1.0|1.0|3.13|2.58|23.0|-8.09|4.23|3.29|84.0|1.16|120.88|0.0|1.0|5.0|-3.55|31.0|5.0|0.0|-3.96|0.0002839999999999|0.000109|0.0|0.0|3.36e-06|-0.05615|4706.0|4.2145|-1351.274441|1153.36|294.18|509.0|263.46|513.33|0.41594|0.51479|-1351.008469|0.1666|0.03747691|-1351.067237|6.9101
14r_a23|0|1|1|0.0|2|1.197963203|3.201732471|-0.009140243|5.351858133|-0.06921746|2|0.045277778|0.014148395|0.007671236|-0.079935667|10.31321824|2|0.0075222369999999|0.033038452|-0.073945564|2|0.7837821840000001|0.03753491|-0.1050445769999999|0.846632079|0.5935522360000001|1|0.8662226190000001|-0.085881409|0.375360556|-55.30494931|47.26552456|86.14846171|-0.03654528|-35.61466281|55.62948521|0.7882228370000001|-1.717628177|66.31173073|0.4661909429999999|2945.137191|-1106.098986|2306.754114|-15.15517566|0.211777163|0.873329024|136.37788909999998|29.85706563|1403.282085|0.0|1.0|1.0|0.0|1.0|3.47|3.06|26.0|-7.67|3.78|4.58|105.02|3.4|120.24|0.0|1.0|5.0|-5.58|31.0|5.0|0.0|-5.11|2.66e-06|7.73e-06|0.0|0.0|9.18e-06|-0.06842|5.9406|3.1797|-1729.1556449999998|1145.51|389.92|0.2346|208.71|513.71|0.30482|0.68115|-1728.924789|0.0008|0.02296354|-1728.98403|8.2684
