molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|MATS7i|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|MATS8d|GATS1pe|nFaHRing|RASA|PBF|FPSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
6_a15|0.0|0|0|0.0|0.0|0|0.0|0|1.419941278|-0.199979249|-0.00951284|0.0|-0.048804012|0.106485923|0.0|-0.513693384|10.95880677|-0.009025163|0|0.003942615|-0.281352401|-0.35221474|1|-0.015484797|0.810779115|0|0.859308431|0.398681391|0.02948637|17.20414198|105.4415725|0.140691569|82.0880213|-0.0307500179999999|-41.87249058|0.581974721|-1.599000943|-24.00625743|-17.94143141|2454.904173|501.3728188|1971.005637|6.110075236|10.02135591|0.640136254|5589.043165|243.9013805|-544.3423775|30.82854077|-95.65807914|1603.08412|17.18281248|1.0|1.0|1.0|3.29|4.03|18.0|-7.95|4.43|109.7|0.0|7.0|-5.66|28.0|5.0|-5.33|380.44|0.0|1.0|1.0|4.11|-5.14|0.000823|0.00278|4.64|0.0|1.13e-08|4.3e-06|-0.02419|4.3423|-1263.0243449999998|612.22|328.9|285.52|0.65191|0.70554|0.0113|1.3789|-0.18133|0.01711539|-1262.820532|7.4559
40_a47|0.0|1|1|0.0|0.0|1|6.823286122000001|0|1.420389717|-0.246203395|-0.004181351|4.727387819|-0.0934645509999999|-0.056839794|1.566109469|-0.179798097|10.98214138|0.056362705|1|0.003634698|-0.338113214|-0.2636225|3|0.090270598|0.607650682|1|0.812233678|0.237173658|0.02047837|11.04737121|54.11003524|0.1877663219999999|101.2934265|-0.027052191|-24.22401965|0.573656733|-1.082087641|-17.58259718|-14.59371996|2313.85811|438.171933|868.5333132000001|7.042383142|12.98034048|0.843174422|4862.524893|229.9974239|-314.91225539999994|25.43981292|-79.47051169|1017.592517|16.06828586|0.0|1.0|1.0|3.07|2.91|21.0|-7.08|2.96|94.28|0.0|3.0|-3.26|25.0|5.0|-6.78|334.35|0.0|1.0|1.0|2.72|-3.72|183.0|0.0643|2.19|0.0|8.339999999999999e-08|2.79e-05|-0.05086|4.0176|-1123.174467|571.5|332.97|308.6|0.67615|0.68492|0.2612|4.7542|-0.20317|0.02983032|-1123.049869|8.4
13e_a6|0.0|0|0|3.433539068|0.0|0|6.842683282|0|1.429020445|-0.089778965|-0.006882528|4.727387819|-0.008507023|0.018376555|1.643912856|-0.378539035|10.95053349|-0.037793156|1|-0.001446486|-0.223618825|-0.462344944|2|-0.067328767|0.790249345|1|0.861676601|0.175643236|0.0183790889999999|12.28502792|66.59852278|0.138323399|92.4587065|-0.032929004|-41.68507499|0.722530518|-1.679379203|-33.17101912|-22.01054293|2868.489025|575.965487|3457.565879|7.973429837999999|14.346067199999998|0.799234143|6147.8097210000005|185.4673146|-750.3313497|30.46313253|-297.4895642|1553.619759|13.06309302|1.0|1.0|2.0|3.51|2.79|27.0|-10.18|5.01|123.82|0.0|5.0|-5.11|32.0|5.0|-6.52|417.47|0.0|0.0|1.0|3.31|-4.78|0.00323|0.00688|3.27|0.0|6.59e-11|2.75e-08|-0.07534|5.9885|-1347.297639|713.3|381.78|207.04|0.38609|0.7034199999999999|0.0104|10.1884|-0.20804|0.03809808|-1347.074898|7.9208
6b_a31|0.0|0|0|3.404988662|0.0|0|7.773594467000001|1|0.610136262|0.052690797|-0.016070861|5.733341277|-0.178758575|0.11647286|0.0|-0.787472195|10.31169819|-0.053655833|2|-0.008439437|-0.004825446|-0.57983695|0|-0.084489161|0.795570315|0|0.627853074|0.146652651|0.032992761|20.12924648|159.79549319999998|0.372146926|227.0509355|-0.045675611|-47.81835367|0.7459204140000001|-2.055402513|-44.96993859|-27.86719323|2776.92804|383.0600707|2063.736075|7.513612533|14.46878435|0.925676135|6099.567787|155.0167518|-765.0936586|37.35947255|-300.0775025|1681.1762649999998|14.72939894|1.0|1.0|2.0|3.55|2.73|22.0|-7.33|5.19|109.69|0.0|4.0|-5.63|29.0|5.0|-6.5|404.44|0.0|0.0|1.0|3.3|-4.66|0.000947|0.00883|3.2|0.0|4.67e-08|1.89e-05|-0.05835|3.2949|-1652.671944|637.06|376.29|376.29|0.7013199999999999|0.7013199999999999|0.4967|5.9085|-0.1918|0.03623358|-1652.505041|7.2676
12c_a31|0.0|0|0|3.387641566|0.0|0|7.765993078999999|1|0.6101358029999999|0.046986783|-0.013026643|5.733341277|-0.055520387|-0.030192572|0.0|-0.690412101|10.311698300000002|-0.056866055|2|-0.000813398|-0.223856622|-0.54466023|0|-0.098452311|0.770283733|0|0.665463503|0.343619017|0.030543026|19.38414321|153.400467|0.334536497|212.313715|-0.036326291|-52.25551342|0.6817087|-1.816314565|-42.14855504|-23.05449459|2592.4503010000003|422.3366652|1894.297124|8.091269314|14.67172662|0.813278739|5676.394271|202.0036947|-731.5771879|33.81868912|-230.6429907|1690.934456|14.95027019|1.0|1.0|2.0|3.69|3.1|16.0|-7.24|5.64|108.16|0.0|8.0|-5.23|28.0|5.0|-6.53|398.48|0.0|0.0|1.0|3.32|-4.16|0.00233|0.0277|3.1|0.0|5.79e-08|2.31e-05|-0.0338399999999999|3.8328|-1618.1530810000002|679.71|323.48|323.48|0.7007399999999999|0.7007399999999999|0.2625|1.6786|-0.19288|0.04023903|-1617.951882|6.4202
9b_a36|0.0|0|0|3.513187594|0.0|0|7.412764017000001|2|0.62670079|-0.053019801|-0.0058276019999999|5.351858133|-0.023369916|0.082806042|0.0|-0.308862918|10.33767255|-0.06502499|1|0.005458948|-0.094526372|-0.4060950789999999|1|-0.1177413269999999|0.7961424690000001|0|0.8453794609999999|0.2602997|0.017007854|10.68084402|67.12293326|0.154620539|97.10089515|-0.036110824|-38.76797062|0.78242217|-1.769430355|-29.25555061|-22.67740953|2715.020034|530.8939077|2464.2160510000003|7.549264797|13.80758516|0.828997331|5838.085413000001|136.63774650000002|-697.8234711|28.98359786|-354.7193098|1420.196295|9.967846072|1.0|0.0|1.0|4.73|0.0|17.0|-6.64|3.6|126.17|0.0|5.0|-4.6|29.0|4.0|-6.46|398.48|0.0|0.0|0.0|2.48|-4.43|0.00992|0.0148|3.2|0.0|2.3100000000000002e-07|9.21e-05|-0.05146|3.8535|-1575.7800140000002|666.01|321.74|321.74|0.69763|0.69763|0.5392|6.2846|-0.20979|0.02803905|-1575.616432|7.6778
14_a47|0.0|1|1|2.871076328|0.0|0|6.605297921|0|1.417758105|-0.126490693|-0.006070958|4.59511985|-0.136491228|0.017068634|1.484493371|-0.2306964|10.95058279|0.0295267039999999|1|-0.006335783|-0.061837113|-0.33240126|2|0.050943962|0.579833096|1|0.681598464|0.2662137639999999|0.020106089|10.1400648|64.60629385|0.318401536|160.57883|-0.034963476|-23.9422834|0.664709719|-1.223721666|-23.79514424|-17.63306222|2254.664317|343.7492333|670.2518865000001|6.909385453|13.15643085|0.904139078|4695.98899|169.0962983|-311.2496842|26.52746264|-166.1354667|928.4611922|14.15018248|1.0|1.0|2.0|2.78|1.53|21.0|-7.79|3.97|86.58|0.0|3.0|-3.97|24.0|5.0|-6.21|323.3|0.0|1.0|1.0|3.16|-4.13|0.0349|0.0241|2.91|0.0|1.63e-08|5.27e-06|-0.06057|3.9671|-1127.737484|519.55|312.53|312.53|0.68345|0.68345|0.2452|2.2485|-0.22434|0.03679054|-1127.6593779999998|8.1
14f_a23|0.0|1|1|0.0|0.0|2|7.423568444|0|1.197963246|-0.002304087|-0.006791105|5.351858133|-0.027380305|0.056215377|0.745818086|-0.373510774|10.3132176|-0.041351617|2|0.010508236|-0.199540201|-0.399688849|2|-0.06885759|0.71381683|1|0.894162392|0.2096108239999999|0.027134452|18.34483401|96.47955427|0.105837608|71.55380685|-0.031450478|-38.58595734|0.665778294|-1.603974359|-27.39103254|-21.26277654|3014.916135|604.5178506|2322.5224120000003|8.124287407|15.58565565|0.918402793|6768.918745|225.9578225|-733.1331894|31.93672236|-224.1560124|1628.77284|17.01160115|0.0|1.0|1.0|3.57|3.61|26.0|-7.51|3.42|126.78|0.0|6.0|-5.63|32.0|5.0|-6.47|441.51|0.0|0.0|0.0|3.46|-5.02|0.0010199999999999|0.0042299999999999|3.55|0.0|3.11e-08|1.3699999999999998e-05|-0.07163|5.8184|-1744.452086|711.98|346.78|213.09|0.60917|0.6733399999999999|0.1699|6.3534|-0.21743|0.02255331|-1744.2443850000002|8.6459
7e_a8|0.0|0|0|3.038052327|0.0|1|7.05012252|0|1.394799915|-0.150447714|-0.006027596|4.844187086|-0.052939815|-0.03633378|0.0|-0.289324602|10.94332434|-0.0446343779999999|1|0.002669179|0.07125309|-0.341022848|0|-0.072307692|0.577394732|0|0.8291560379999999|0.286669793|0.0215993429999999|12.91806855|86.03149870000001|0.170843962|102.177831|-0.037446454|-31.72369068|0.776001552|-1.6850904519999998|-30.79383811|-22.39586026|2605.914474|495.8990914|2032.501296|7.70387217|14.654025199999998|0.902163597|5808.479788000001|133.9683023|-602.7501229|28.86058693|-330.14031780000005|1298.726412|11.18895001|1.0|0.0|1.0|3.2|3.38|23.0|-8.29|5.16|108.43|0.0|4.0|-5.75|29.0|4.0|-5.43|385.39|0.0|0.0|1.0|4.31|-5.41|0.000686|0.00149|4.54|0.0|5.07e-09|1.95e-06|-0.0697|3.8142|-1300.495519|622.23|383.1|325.06|0.6998300000000001|0.70177|0.1522|9.0006|-0.2054699999999999|0.02845071|-1300.327213|4.4547
5g_a40|0.0|0|0|0.0|0.0|1|8.149890544|0|0.604913142|0.0094595959999999|-0.016033575|6.167516491000001|-0.190406197|-0.0602779129999999|0.64025463|-0.5611751220000001|10.31198315|-0.091116241|2|-0.012008571|0.137067086|-0.4748772539999999|0|-0.1312278909999999|0.7733200179999999|1|0.67772744|0.245639795|0.024937196|11.83520323|216.425542|0.32227256|152.9506864|-0.049288357|-32.29667648|0.745349319|-1.577227413|-34.61732609|-23.39227384|2054.810452|321.64971460000004|593.8133184|6.193485364|12.10939827|0.955183157|4358.890754999999|120.8573152|-355.2634413|31.38430965|-232.8857705|1004.297909|12.1783403|0.0|0.0|2.0|3.13|1.96|14.0|-2.89|2.69|78.2|0.0|3.0|-4.24|21.0|5.0|-6.6|301.32|0.0|0.0|1.0|2.01|-3.37|0.0174|128.0|2.17|0.0|0.0013|391.0|-0.0540299999999999|3.48|-1328.055803|489.04|356.27|356.27|0.6563|0.6563|261.0|4.9132|-0.19908|0.04070345|-1327.982732|6.9101
