molecula|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|JGI4|MATS7i|BCUTi-1|n5aRing|n5aHRing|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
3c_a12|0|0.0|0.0|0|6.555356892000001|1|1|0.0|0.06235058|-0.009252756|4.59511985|0.039605735|-0.14679559|10.3117069|1|1|-0.267255164|-0.545592465|1|0.923855679|0.826033688|0.888353608|0.843855494|-0.071719601|-0.099327724|0.242114395|-36.28720467|-50.25579322|6.688634392000001|73.9854678|0.156144506|3.384177297|0.0|0.7055242159999999|-1.291260406|61.16334136|0.427357986|2186.344105|426.9566009|-8.698843907999999|0.2944757839999999|6.231995392999999|10.88288188|0.746291708|4629.005722|148.9927848|-330.5560685|24.36878988|0.02155815|926.0140155|1.0|1.0|0.0|1.0|2.78|-6.78|2.25|78.41|0.0|98.16|0.0|3.0|-4.22|4.0|-6.18|319.38|0.0|1.0|-4.0|6.06e-05|0.0194|9.940000000000002e-05|0.0318|2.91|0.0|0.0|5.3200000000000006e-05|3.5862|-1327.471862|544.65|0.4687|311.14|399.38|0.1193|1.6035|-0.22035|0.02665687|0.02|7699.0|7699.0
AKLKII_a46|0|2.917217813|0.0|0|6.605297921|0|0|0.0|-0.206312209|-0.003417504|4.59511985|0.0386379929999999|-0.008897473|10.96959256|1|1|-0.015805561|-0.270506095|3|0.718266758|0.758995484|0.8264237520000001|0.837641394|-0.071827497|-0.089369278|0.271156366|-34.061229|-42.37969553|4.924591245|160.85204040000002|0.162358606|2.335284369|0.0|0.7721395329999999|-1.161800612|49.76981906|0.47999819|2000.353437|397.2168972|-7.464534402999999|0.2278604669999999|5.83938898|11.22955511|0.92307023|4110.764451|108.05343229999998|-261.2587041|20.38625028|0.015584114|713.5187596|1.0|0.0|1.0|1.0|1.6|-7.21|3.39|67.35|0.0|85.32|0.0|2.0|-3.24|4.0|-6.5|287.32|1.0|1.0|-3.58|0.000578|166.0|0.000266|0.0764|2.19|0.0|0.0|1.7800000000000002e-05|||||||||||181.0|6.7423|6.7423
13b_a50|1|0.0|0.0|2|7.934155233999999|2|2|4.253030728|-0.067327798|-0.003876697|5.82008293|0.032833333|-0.0204949039999999|10.94500743|2|2|-0.03182432|-0.319215353|1|0.749187803|0.788327682|0.828965118|0.906164013|-0.051509874|-0.080785633|0.435064196|-36.81915624|-57.74541064|14.22401427|104.0753113|0.093835987|10.16729727|150.45293569999998|0.700410304|-1.696498291|70.09526468|0.4321103879999999|3036.874979|647.7242444|-13.75876844|0.299589696|9.514897025|16.75483549|0.7609056040000001|6639.077063000001|214.1461224|-866.8024118999999|27.48170624|0.017277404|1731.347493|1.0|1.0|1.0|1.0|4.17|-7.23|5.12|66.99|2.0|133.36|0.0|7.0|-5.02|5.0|-6.3|455.55|0.0|0.0|-5.1|9.65e-06|0.0044|7.92e-06|0.00361|3.91|0.0|0.0|2.68e-05|4.1161|-1470.3699789999998|780.4|0.1589|293.0|617.26|0.1553|5.5271|-0.19622|0.03156473|1.83|5.7375|5.7375
21_a34|0|0.0|0.0|1|8.002694162000001|2|2|1.88614418|0.026135784|-0.012535886|5.860786223|0.036880342|-0.125881566|10.94874873|1|1|-0.201539853|-0.514364527|1|0.702772307|0.740092842|0.796991578|0.676390843|-0.09533089|-0.117789944|0.527371706|-63.96857813|-79.03896823|22.9240533|168.9671187|0.323609157|15.38241267|77.34839362|0.728260094|-2.120218984|95.12565978|0.4688149339999999|3115.110331|453.8692584|-18.7187412|0.271739906|7.253455092999999|13.65523159|0.882583047|7048.305909000001|182.341897|-954.6558014|38.30514214|0.023973624|1953.562249|0.0|1.0|1.0|1.0|3.52|-7.68|3.23|86.55|1.0|122.59|0.0|4.0|-4.5|6.0|-6.83|438.43|0.0|0.0|-4.71|3.14e-05|0.0138|1.94e-05|0.0085|3.02|0.0|0.0|9.06e-06|3091.0|-1483.305698|698.17|0.2174|288.26|530.93|0.0002|5.3432|-0.20872|0.03023936|3.36|5.4737|5.4737
16_a3|0|0.0|0.0|0|6.823286122000001|0|0|0.0|0.183636734|-0.010031024|4.727387819|0.045993266|0.027762972|10.31163046|1|1|0.069124437|-0.614173961|2|0.659478546|0.767641592|0.838125715|0.6974791290000001|-0.108919585|-0.100138414|0.252612735|-53.7971544|-49.45999101|6.027544549|248.6415425|0.302520871|2.977102266|82.16042286|0.8296818009999999|-1.401937796|56.56724056|0.484889078|2184.788331|344.4962834|-10.05903863|0.1703181989999999|5.780331402000001|11.22152755|0.941329444|4733.033232|84.12292796|-342.00731349999995|24.54661368|0.0143895839999999|834.5848652000001|1.0|1.0|1.0|1.0|2.59|-7.16|4.57|92.93|0.0|90.44|0.0|2.0|-4.98|4.0|-5.89|322.36|0.0|1.0|-4.49|1.05e-05|0.0033799999999999|3.2200000000000003e-05|0.0104|3.35|0.0|0.0|2.25e-05|3.2208|-1371.360243|520.28|0.3866|384.94|368.22|0.3866|2.8688|-0.2029|0.02847445|42.0|7.3768|7.3768
2_a1|0|0.0|0.0|1|7.535296702|1|1|2.233384354|-0.049975995|-0.004621682|5.4161004020000005|0.0409444439999999|-0.1056298369999999|10.9520472|1|1|-0.237981258|-0.422863867|1|0.571324013|0.795932678|0.8571146190000001|0.808210065|-0.0622285999999999|-0.077270452|0.220315042|-28.32386891|-35.17029414|5.135384136|6.281701359|0.191789935|2.337413146|84.54541681|0.6944040029999999|-0.927245426|43.24570924|0.39830426|1884.85038|367.8635872|-5.488475744|0.305595997|5.2823820260000005|8.779158091000001|0.6619695520000001|3920.383175|139.0945801|-192.096651|17.36508791|0.017741989|607.7780769999999|1.0|0.0|1.0|1.0|2.69|-6.18|4.12|30.71|0.0|79.77|0.0|2.0|-3.06|3.0|-6.04|279.31|1.0|1.0|-3.78|0.000871|243.0|0.000167|0.0466|2.76|0.0|0.0|0.000185|4.0877|-920.184721|489.42|0.2991|303.31|355.79|0.2991|3.5853|-0.19826|0.024658671|5.8|5.2366|5.2366
19i_a38|0|3.169368622|0.0|0|7.412764017000001|2|2|0.0|-0.125335237|-0.008447598|5.351858133|0.043197531|0.08414367|10.96052467|1|1|0.215263198|-0.430016467|1|0.653741315|0.836170906|0.892249657|0.747158407|-0.08347616|-0.113250303|0.4748744179999999|-51.15830416|-69.40536597|13.83587388|137.7658863|0.252841593|8.479305267|10.71501217|0.7419238420000001|-2.038505453|82.98550237|0.444551315|2896.470706|457.89548719999993|-15.31261014|0.258076158|6.690507557999999|12.04523072|0.800346329|6744.7785650000005|158.161786|-765.6305068|33.67721904|0.022159015|1683.860952|1.0|1.0|1.0|1.0|2.88|-7.12|3.11|81.23|1.0|125.65|0.0|5.0|-4.25|5.0|-6.81|419.43|0.0|1.0|-4.33|5.68e-05|0.0238|4.67e-05|0.0196|2.88|0.0|0.0|3.19e-05|3.6129|-1431.384243|641.31|0.2156|217.36|457.26|0.1886|6.6636|-0.2052|0.03110827|13.0|7.9031|7.9031
7b_a8|0|3.213855584|0.0|1|7.535296702|1|1|1.4628217119999998|-0.119760914|-0.009659873|5.4161004020000005|0.040873016|-0.024156447|10.9465091|1|1|-0.039357491|-0.415894017|1|0.710658316|0.7812177770000001|0.8453887859999999|0.7223476129999999|-0.101439013|-0.1000685009999999|0.282366236|-60.75943432|-59.93853201|19.86678613|145.0783004|0.277652387|11.89970852|75.93423425|0.753935657|-1.901301524|73.70461365|0.4787988|2776.185773|432.6681725|-14.82895606|0.246064343|7.698000901|14.76972982|0.918644854|6185.0105140000005|147.3863936|-682.1319788|32.83731114|0.022982731|1510.516312|0.0|1.0|1.0|1.0|3.37|-7.65|3.8|92.93|2.0|110.8|0.0|3.0|-5.25|5.0|-6.15|396.4|0.0|1.0|-4.94|5.64e-06|0.00224|1.14e-05|0.00454|3.61|0.0|0.0|8.94e-06|3.26|-1330.595067|621.4|0.2517|269.85|506.21|139.0|9.9463|-0.20472|0.0273745|13.53|4.8687|4.8687
12c_a31|0|3.387641566|0.0|0|7.765993078999999|1|1|0.0|0.046986783|-0.013026643|5.733341277|0.040982906|-0.030192572|10.311698300000002|2|2|-0.048694677|-0.54466023|0|0.8083148840000001|0.842823186|0.8856644770000001|0.665463503|-0.104643824|-0.129736755|0.343619017|-66.41224264|-82.33748068|19.38414321|153.400467|0.334536497|12.30215386|553.8695417|0.6817087|-1.816314565|97.28775086|0.448512808|2592.4503010000003|422.3366652|-14.63154376|0.3182913|8.091269314|14.67172662|0.813278739|5676.394271|202.0036947|-731.5771879|33.81868912|0.023556702|1690.934456|1.0|1.0|1.0|1.0|3.1|-7.24|3.7|117.37|2.0|108.16|0.0|8.0|-5.23|5.0|-6.53|398.48|0.0|1.0|-4.16|5.85e-06|0.00233|6.94e-05|0.0277|3.1|0.0|0.0|2.31e-05|3.8328|-1618.112841|679.71|0.2625|323.48|578.69|0.2625|1.6786|-0.19288|0.04023903|0.38|6.4202|6.4202
12az_a36|0|3.465535084|0.0|0|7.412764017000001|2|2|0.0|-0.196183836|-0.009570959|5.351858133|0.040566449|0.078817323|10.95957115|1|1|0.129156742|-0.387734368|1|0.884226781|0.812921349|0.858971809|0.819163613|-0.071762413|-0.10786263|0.411597359|-50.28669997|-75.58351856|24.36575918|60.11023222|0.180836387|17.0740303|8.104966044|0.583865006|-1.941527339|99.82512582|0.462897841|3039.528467|574.0196415|-16.43719536|0.416134994|8.449849817|15.73229538|0.861843195|6700.839465|291.60189260000004|-953.3573311|40.17530387|0.034594361|2330.167624|0.0|0.0|1.0|1.0|0.0|-6.79|1.9|87.66|1.0|136.74|0.0|7.0|-4.11|6.0|-7.13|441.49|0.0|0.0|-4.15|7.75e-05|0.0342|7.13e-05|0.0315|2.62|0.0|0.0|7.11e-05|3.6095|-1461.962459|737.12|0.4383|319.03|576.54|0.0146|6.3778|-0.19846|0.02800521|58.0|7.2366|7.2366
