molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
27_a47|0.0|1|1|0.0|0.0|1|1|1|1.216250059|2.041063341|4.727387819|0.006768957|3|0.0304347829999999|-0.067535989|1.807806182|0.001861676|0.0427469459999999|0.013336016|1|0.002350172|-0.077485193|-0.157688306|2|0.6636125860000001|0.0436226579999999|0.023325573|0.846469886|-0.0630454209999999|0.337815064|0.016506051|-40.35526807|-50.87821306|10.56549582|0.153530114|-0.028494622|-32.56705871|3.180329084|0.700732763|-1.510214943|-25.8313393|63.02085767|-18.2393594|-11.67498331|0.299267237|7.083168776|0.906398657|6433.288104|191.5604557|-618.7741154|26.02898047|0.018969968|682.9868225|12.14264461|1.0|2.0|3.37|3.52|21.0|-8.82|4.18|5.07|67.66|3.11|0.0|125.17|1.0|31.0|5.0|436.91|0.0|1.0|3.91|0.0038799999999999|3.7|0.0|1.5e-09|6.55e-07|-0.05814|4.9358|2.97|3.8125|-1778.1049670000002|673.27|1165.54|325.21|0.4007|251.19|0.40976|-0.1578|0.02633483|-1777.891054|2512.0|5.6|5.6
9a_a36|0.0|0|0|3.4090209280000003|0.0|0|2|2|1.297044807|0.0|5.351858133|-0.046964839|2|0.040166667|0.095192109|0.0|0.0034852859999999|-0.078488872|-0.06502499|1|0.00484375|-0.12019672|-0.202876718|1|0.839235677|-0.019008343|-0.1177413269999999|0.826559623|-0.073689118|0.204819754|0.0236784079999999|-45.04449811|-66.44342306|14.47407729|0.1734403769999999|-0.039929147|-40.61536816|0.0|0.7638345870000001|-1.956528182|-27.53468726|78.37175688|-24.40778806|-14.91993116|0.236165413|7.546661564|0.828482664|5693.562367|144.36259840000002|-731.0766269999999|31.95428497|0.019513779|578.2841135|11.92833382|0.0|1.0|4.69|0.0|17.0|-6.28|3.04|2.04|66.4|2.02|0.0|120.94|1.0|29.0|5.0|382.42|0.0|0.0|1.95|0.0391|2.66|0.0|5.26e-07|0.0002009999999999|-0.05044|3.8677|3.38|3.8677|-1252.802159|648.41|1092.66|320.56|0.4811|320.56|0.68682|-0.15925|0.02701893|-1252.636005|13.0|7.8861|7.8861
34_a20|0.0|0|0|0.0|0.0|1|0|0|1.416932073|1.877209467|4.727387819|-0.104520106|2|0.0396875|0.199191385|1.991704333|0.003085806|-0.046356705|-0.054458882|1|0.003149352|0.0346782989999999|0.057022334|2|0.7071284179999999|-0.101401966|-0.090732503|0.7966571459999999|-0.0851907119999999|0.408491116|0.0130295999999999|-57.31821177|-57.49912174|8.766605631000001|0.203342854|-0.032248904|-38.68669181|80.66541842|0.776414086|-1.709191893|-38.56497154|67.53437417|-21.69778179|-14.59875162|0.223585914|7.940146766|0.8614536140000001|6211.26199|150.43359099999998|-773.7338361000001|27.94614651|0.01491516|712.1606951|10.03525243|1.0|1.0|3.43|2.92|27.0|-9.18|4.5|4.62|86.69|2.47|0.0|125.0|1.0|32.0|4.0|419.48|0.0|1.0|3.63|0.00399|3.63|0.0|6.64e-10|2.780000000000001e-07|-0.05181|5.4132|4.97|3.8699|-1352.31921|711.19|1205.64|320.38|0.4388|229.04|0.38519|-0.16103|0.03558836|-1352.102407|61.0|7.2147|7.2147
47j_a18|0.0|0|0|0.0|0.0|0|1|1|1.251176464|0.0|4.844187086|-0.068902246|0|0.033563218|-0.048528478|0.0|0.00031105|-0.006923502|0.0033281|0|0.002317206|-0.218974385|-0.331885553|0|0.783538352|-0.002262399|0.005740124|0.80651845|-0.073041469|0.476575952|0.015967126|-56.816779|-73.69868165|12.42035127|0.19348155|-0.033837212|-57.32800549|99.50526447|0.764425062|-2.368604851|-44.19607713|86.31641604|-26.32095773|-20.47428768|0.235574938|9.597380968|0.928170101|7316.123159000001|183.246715|-1433.2001369999998|34.43235841|0.016220875|1081.726154|12.6177344|1.0|3.0|4.54|0.0|18.0|-8.79|2.43|2.82|97.76|2.63|2.0|149.96|1.0|37.0|4.0|499.6|0.0|0.0|2.39|0.00366|4.07|1.0|1.63e-09|8.159999999999999e-07|-0.04423|3.1054|8.09|3.1054|-1625.445572|839.37|1459.55|399.25|0.5439|399.25|0.6983600000000001|-0.1285|0.03246539|1625.053346|35.0|7.4559|7.4559
6_a15|0.0|0|0|0.0|0.0|0|0|0|1.419941278|0.0|0.0|-0.048804012|1|0.042926829|0.106485923|0.0|0.001080419|0.011857945|-0.009025163|0|0.003942615|-0.195267558|-0.281352401|1|0.8511056929999999|0.0371776429999999|-0.015484797|0.859308431|-0.07051817|0.398681391|0.02948637|-41.14459066|-71.76572566|17.20414198|0.140691569|-0.0307500179999999|-41.87249058|55.65697829|0.581974721|-1.599000943|-24.00625743|88.94853813|-17.94143141|-10.46812265|0.4180252789999999|6.110075236|0.640136254|5589.043165|243.9013805|-544.3423775|30.82854077|0.029449813|592.4420375|17.18281248|1.0|1.0|3.29|4.03|18.0|-7.95|4.43|5.26|61.84|2.18|0.0|109.7|1.0|28.0|5.0|380.44|0.0|1.0|4.11|0.00278|4.64|0.0|1.13e-08|4.3e-06|-0.02419|4.3423|3.94|3.7696|-1263.0243449999998|612.22|1092.02|328.9|0.2616|285.52|0.65191|-0.15714|0.01711539|-1262.820532|35.0|7.4559|7.4559
16e_a32|0.0|1|1|3.343660084|0.0|0|0|0|0.609420752|0.0|5.733341277|-0.06951854|0|0.040982906|-0.04474426|2.080236877|-0.0048042729999999|-0.070351839|-0.01320745|3|-0.002310082|-0.123297852|-0.219947482|0|0.804503712|0.096017785|-0.022651598|0.7903051590000001|-0.087117996|0.504569498|0.024145309|-55.957388|-75.36830928|15.50894749|0.209694841|-0.037448344|-48.41036206|39.27920316|0.702226562|-1.760072163|-35.94239328|90.34923861|-24.05371573|-15.45011555|0.297773438|6.573687662|0.848279482|6142.277629|191.2650034|-726.1554308999999|34.2534974|0.023323257|573.3529948|14.98092934|0.0|2.0|3.64|3.36|19.0|-7.38|6.03|4.6|149.27|1.12|0.0|111.95|1.0|28.0|5.0|413.52|1.0|1.0|3.77|0.0074099999999999|3.76|0.0|4.18e-08|1.73e-05|-0.0505899999999999|3.6214|4.59|3.6214|-1955.993572|677.82|1130.95|342.37|0.2858|342.37|0.7022|-0.14991|0.02792775|-1955.827194|7.0|8.1367|8.1367
12b_a5|0.0|0|0|0.0|0.0|0|2|2|1.189701783|0.0|4.59511985|0.023224044|3|0.0252713179999999|-0.021265946|0.0|0.0068803119999999|-0.119503073|-0.016614746|0|0.00751901|-0.070406884|-0.110182753|2|0.8417504029999999|0.066588785|-0.033036296|0.827613693|-0.066227158|0.350286421|0.016556707|-41.76622313|-43.25430513|10.44150403|0.172386307|-0.020455699|-27.27837078|0.0|0.530379611|-1.165974822|-26.33991037|59.53145615|-12.90040679|-8.135654442|0.4696203889999999|8.398709622|0.924627734|5501.255679|296.16656780000005|-463.7323032|24.32296891|0.025810077|727.8586176|16.27715102|1.0|1.0|4.05|0.0|18.0|-7.67|3.29|0.72|50.28|1.54|0.0|123.46|1.0|30.0|6.0|397.47|0.0|0.0|1.44|143.0|1.63|0.0|2.14e-08|8.5e-06|-0.10395|4.6156|2.24|1.4454|-1276.928859|669.05|1149.51|857.76|0.2345|268.62|0.42949|-0.06212|0.03447919|-1276.9984029999998|42.0|7.3768|7.3768
12aw_a36|0.0|0|0|3.28940051|0.0|0|2|2|1.297044239|0.0|5.351858133|-0.115864198|2|0.043383838|0.066435701|0.0|-0.006877664|-0.1066959869999999|-0.034663063|1|-0.004358975|-0.098027247|-0.250781298|1|0.653741315|-0.022464907|-0.056676035|0.706174871|-0.088516379|0.373775982|0.023038651|-56.73814908|-73.52224315|14.76755422|0.2938251289999999|-0.041292362|-47.12705211|1.343623915|0.749052287|-2.06461809|-36.36860892|87.37742985|-26.46800754|-16.96573876|0.250947713|7.545677222999999|0.898338973|6370.06138|160.8550748|-848.2869380000001|35.33532702|0.02161528|593.6088758|13.8551867|0.0|2.0|4.73|0.0|17.0|-7.12|3.55|3.0|69.2|2.78|0.0|123.67|1.0|31.0|6.0|417.41|0.0|0.0|2.44|0.0201|2.88|0.0|7.599999999999999e-08|3.17e-05|-0.05513|5.2313|3.66|3.8763|-1431.404673|666.09|1120.43|319.85|0.4088|237.0|0.38905|-0.15688|0.03134789|-1431.239759|9.0|8.0458|8.0458
19_a34|0.0|0|0|0.0|0.0|1|1|1|1.438829424|1.898101852|5.351858133|-0.169170251|1|0.044107744|-0.189862762|0.0|-0.00802652|-0.143343425|-0.014196676|1|-0.0042364759999999|-0.255220734|-0.401414514|1|0.866604574|0.08178394|-0.0235903339999999|0.6399024520000001|-0.112877411|0.308793959|0.039589023|-56.30608209|-62.64265252|19.74799697|0.360097548|-0.039656969|-31.24772528|470.4453529|0.662289492|-1.506964829|-28.08688512|77.38527508|-19.78189027|-9.86770272|0.3377105079999999|5.495780422|0.877434994|4496.516479|168.4584665|-374.9727034|29.86894781|0.029554695|337.9440349|14.74262256|1.0|1.0|3.07|2.77|17.0|-5.03|2.69|2.31|69.4|1.08|0.0|83.95|2.0|23.0|5.0|309.32|0.0|1.0|2.1|218.0|1.66|0.0|9.42e-06|0.00291|-0.02901|4.1721|2.7|4.1721|-1046.606458|538.96|882.87|297.18|0.2189|297.18|0.6897300000000001|-0.1735|0.03168624|-1046.509891|0.99|6.0044|6.0044
15_a4|0.0|0|0|0.0|0.0|1|1|1|1.399867493|1.956386054|5.4161004020000005|-0.061469545|1|0.044357639|0.0432718859999999|0.0|0.009823083|-0.1979518539999999|0.022446689|1|0.00918585|-0.017259078|-0.038707204|1|0.5118792910000001|0.095534883|0.036363636|0.867716376|-0.062151785|0.2517542889999999|0.010893057|-29.80513879|-35.36161572|5.223809291|0.132283624|-0.030724393|-16.95780525|86.01453643|0.8438913020000001|-1.106078158|-14.29317436|40.03406565|-14.73400655|-7.065752187|0.156108698|5.459799482|0.7783994009999999|4134.603400999999|74.8625551|-254.3670787|17.45960235|0.009743323|324.5687005|4.672449937|0.0|0.0|3.28|3.01|17.0|-6.09|4.09|4.4|30.71|3.05|0.0|85.06|1.0|22.0|3.0|291.32|0.0|1.0|3.61|0.0151|3.49|0.0|8.070000000000001e-07|0.000235|-0.03539|4.5048|3.8|4.2148|-958.270023|512.65|848.47|294.16|0.1996|275.22|0.4778699999999999|-0.17373|0.018092091|-958.195344|175.0|6757.0|6757.0
