molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|RNCS|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GRAVp|PNSA2|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
17d_a50|0.0|1|1|0.0|2|8.105609402|2|2|1.338814635|4.380250483|-0.152030219|-0.002166617|6.042632834|1|0.031990741|2.234730384|-0.140830095|0.012079|-0.136180713|10.94500663|-0.125540541|2|0.01245647|0.009780681|-0.323333765|1|0.754575205|-0.1921395789999999|0.789310938|0.7276268779999999|1|0.929886823|-0.044172353|-0.069790853|0.8020670809999999|0.0152123589999999|5.007868064|48.62532158|-33.56790124|7.31681784|86.38197811|0.75405703|-1.535398758|-21.24595322|57.5414543|41.18485076|2824.70142|-1064.839192|-12.30823045|0.24594297|12.62170017|0.8041037459999999|170.5678813|23.53577933|1412.14676|829.3813984|0.0|1.0|1.0|1.0|4.07|0.35|20.0|-7.07|4.29|2.71|2.0|133.19|0.0|1.0|4.0|-6.25|424.54|1.0|3.68|-4.88|3.17e-05|0.0135|1.31e-05|0.0|0.0|3.63e-05|-0.03251|4.0506|-1335.962757|727.15|1263.22|579.45|0.66103|-1335.649722|0.1819|-0.16716|-0.19967|0.02625058|7.9942|74.0|7.1308|7.1308
11g_a5|0.0|0|0|0.0|1|7.139660336|0|0|1.388236041|1.984996534|-0.204002571|-0.004593347|5.209486153|2|0.020943152|0.0|-0.252634073|0.00599982|-0.137618073|10.94877951|-0.007175378|2|0.006964153|-0.14133011|-0.233590516|2|0.777565622|-0.075382189|0.8737292720000001|0.73551511|0|0.837943738|-0.067247149|-0.076326887|0.396049407|0.023215707|68.77977167|106.4990972|-32.96383785|10.02633335|0.0|0.543581314|-1.297557078|-29.04250676|71.21847290000001|59.4498014|2823.738452|-852.7202582999998|-10.98794595|0.456418686|18.16867625|0.944734523|299.94631180000005|30.75897687|1568.70782|648.1198739|1.0|1.0|1.0|1.0|3.17|0.08|28.0|-9.04|4.48|1.06|1.0|118.35|0.0|1.0|5.0|-6.84|408.46|0.0|2.96|-4.31|7.65e-05|0.0312|4.88e-05|0.0|0.0|3.770000000000001e-07|-0.04322|4.2083|-1330.144218|693.48|1180.25|542.13|0.56924|-1329.927772|0.2403|-0.1714|-0.2146199999999999|0.04557484|4314.0|0.03|7.5229|7.5229
25_a47|0.0|1|1|0.0|1|6.86171134|0|0|1.30432753|1.234859637|0.037667531|-0.010144825|4.727387819|2|0.043695652|1.087932079|-0.486951604|-0.003963349|-0.035030495|10.94972207|0.002716049|1|-0.00269275|-0.120903298|-0.235822787|2|0.6553889970000001|-0.077710529|0.906449648|0.622598899|1|0.786958319|-0.073339312|-0.08797211|0.574771479|0.020224271|11.20142696|129.3338553|-32.42203672|7.453635586|51.5831002|0.6238742279999999|-1.407553754|-27.0291331|71.17072517|56.80080434|2704.5905190000003|-854.5011131000001|-11.52783528|0.376125772|13.26689626|0.908616158|228.3393366|30.43708613|1369.668876|513.2159236|0.0|1.0|0.0|1.0|3.26|0.1|21.0|-8.01|4.95|3.08|2.0|109.7|0.0|1.0|5.0|-6.3|410.83|0.0|3.62|-4.82|1.01e-05|0.00417|1.52e-05|0.0|0.0|4.02e-06|-0.06331|3.9878|-1735.385814|626.55|1062.81|491.7|0.53663|-1735.2218059999998|0.0702|-0.16588|-0.22919|0.0285712999999999|5.1625|16.0|7.8|7.8
11d_a5|0.0|0|0|0.0|0|6.605297921|0|0|1.388848584|0.0|-0.245058546|-0.003373937|4.59511985|2|0.0228184279999999|0.0|-0.185566552|0.008307337|-0.138265707|10.94877952|0.01948342|1|0.008809179|-0.202307745|-0.200646773|2|0.786587307|-0.018747485|0.831190148|0.755793189|0|0.87090286|-0.063028408|-0.0847408619999999|0.359644732|0.012828514|61.45330587|82.02685783|-34.21147402|5.179111638|0.0|0.712305422|-1.525335513|-25.44574968|65.35645739|48.19862797|2540.78984|-969.1808771|-11.84243331|0.287694578|17.62784804|0.976150552|182.7978704|26.16587381|1360.625438|631.9206508|1.0|1.0|1.0|1.0|3.13|0.17|23.0|-8.64|4.14|1.42|1.0|114.29|0.0|1.0|5.0|-6.47|385.46|1.0|3.28|-4.29|7.2e-05|0.0278|5.14e-05|0.0|0.0|8.909999999999999e-07|-0.03767|4107.0|-1239.093739|682.09|1154.67|594.45|0.66686|-1238.855022|0.2068|-0.16762|-0.20529|0.03371838|3.7008|15.0|7.8239|7.8239
20b_a10|0.0|0|0|0.0|1|7.535296702|1|1|1.343837209|2.103422978|0.048567614|-0.007463406|5.4161004020000005|2|0.035818182|1.854149459|-0.447804373|0.001965496|-0.042013549|10.92966143|-0.013623188|1|0.002637529|-0.049452599|0.031942481|2|0.725009545|0.052265135|0.817426568|0.6980623109999999|1|0.75259177|-0.094975935|-0.088479815|0.6741049840000001|0.013038163|81.39248686|158.09355980000004|-36.12803002|5.323735696|91.02309592|0.7616213270000001|-1.85807612|-38.78052212|67.46831286|69.02087825|3085.433676|-1187.308396|-13.79433873|0.238378673|13.838742600000002|0.8317951020000001|152.3236842|28.34404003|1558.922202|769.1246171|1.0|1.0|1.0|1.0|3.54|0.11|27.0|-8.93|5.0|2.41|2.0|129.73|0.0|1.0|5.0|-6.53|447.49|0.0|3.66|-5.09|6.05e-06|0.00271|8.13e-06|0.0|0.0|5.26e-07|-0.0578399999999999|3.9013|-1465.587932|687.84|1218.74|482.93|0.3246|-1465.333983|0.1382|-0.16388|-0.2217199999999999|0.03930765|7.7954|1.1|5.9586|5.9586
7_a27|0.0|0|0|0.0|2|6.842683282|0|0|1.40247849|3.330197625|0.112935885|-0.00601016|4.727387819|2|0.049625|1.280380317|-0.288487667|0.010291744|-0.096754293|10.93773474|-0.056500475|1|0.010596392|-0.220626658|-0.323631281|2|0.6413629129999999|0.147753647|0.8546689820000001|0.62067794|1|0.85111414|-0.060745542|-0.084531496|0.358145768|0.015099075|10.66993367|83.57286704|-26.6343589|4.757447929|60.73467304|0.763564713|-1.352503929|-19.13983132|55.55559276|42.57323098|2334.058688|-759.1898319000001|-9.469994277|0.236435287|12.087978|0.875167537|132.7162621|22.09489892|994.2704516|479.0078184|1.0|1.0|0.0|1.0|3.24|0.2|21.0|-6.61|3.05|2.88|0.0|102.36|0.0|1.0|4.0|-6.26|345.4|1.0|3.14|-4.28|8.66e-05|0.0299|5.2e-05|0.0|0.0|8.4e-05|-0.04887|4.1205|-1122.433757|606.74|1016.96|505.5|0.61278|-1122.249324|0.4179|-0.16734|-0.2162099999999999|0.02179141|6.3813|1.0|9.0|9.0
9c_a31|0.0|0|0|0.0|0|7.765993078999999|1|1|0.610135804|0.0|0.031715924|-0.013082561|5.733341277|0|0.03482906|0.0|-0.6933757159999999|-0.003618466|-0.1047269419999999|10.311698300000002|-0.062737615|2|-0.000813398|-0.062065125|-0.223856622|0|0.8083148840000001|-0.000533581|0.8856644770000001|0.770283733|0|0.6746901059999999|-0.103325018|-0.128097622|0.287455956|0.030296721|153.5739377|207.3144829|-52.02424796|12.30439782|552.8237349999999|0.670716706|-1.7933667130000002|-41.96335759|97.22026028|85.15486955|2592.448925|-1142.882218|-14.56678943|0.329283294|15.04941978|0.837843885|209.8466636|34.07943198|1703.9715989999995|583.9691392000001|1.0|1.0|1.0|1.0|3.66|0.35|16.0|-7.24|3.7|1.08|2.0|108.16|0.0|1.0|5.0|-6.53|398.48|0.0|3.32|-4.16|5.85e-06|0.00233|6.94e-05|0.0|0.0|2.31e-05|-0.03249|3849.0|-1618.115927|691.3|1147.93|588.58|0.7007399999999999|-1617.892493|0.2554|-0.15975|-0.19224|0.04177078|2.2323|0.42|6.3768|6.3768
11c_a31|0.0|0|0|0.0|0|7.765993078999999|1|1|0.6101368770000001|0.0|0.069254998|-0.0184155389999999|5.733341277|0|0.037731481|0.0|-0.847114804|-0.011679927|-0.137912959|10.31169916|-0.085216451|2|-0.008375297|-0.0512371409999999|-0.16065803|0|0.825336018|0.013528742|0.8906705429999999|0.787929678|0|0.564143263|-0.138002689|-0.14043574|0.3608415239999999|0.034256743|264.7428792|255.2562173|-48.16624372|11.74927853|70.98337779|0.676089232|-1.825664624|-47.33176279|99.31985763|100.8824395|2470.585429|-1069.186744|-14.56188764|0.323910768|13.95917988|0.922968238|189.6959033|36.77740577|1581.428448|449.7512005|1.0|1.0|1.0|1.0|3.51|0.28|16.0|-5.84|3.64|1.03|1.0|97.32|0.0|2.0|6.0|-6.56|371.41|0.0|3.04|-3.98|7.68e-06|0.00285|0.000105|0.0|0.0|0.000537|-0.03532|3.8551|-1559.353434|622.22|1022.77|512.9|0.7005899999999999|-1559.194237|0.2627|-0.15994|-0.19526|0.04465349|7.5091|0.13|6.8861|6.8861
12d_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.604984421|0.0|0.041181359|-0.006335328|5.351858133|2|0.042804233|0.0|-0.354778373|0.005613018|0.036688757|10.31162861|-0.075816941|1|0.005965451|-0.162129948|-0.09353607|1|0.8414737059999999|-0.0430927579999999|0.8532172109999999|0.7991060659999999|0|0.843009925|-0.073829724|-0.094239701|0.366319099|0.015567102|85.1932288|101.4221952|-39.33285959|6.497247279|0.0|0.8143892140000001|-1.884794029|-30.81433963|69.55534551|57.75411196|2784.836855|-1217.656264|-15.12802292|0.185610786|13.92427286|0.84254817|119.91237920000002|28.75340957|1495.177298|686.039456|1.0|1.0|1.0|0.0|4.75|0.17|17.0|-7.01|2.93|3.04|2.0|132.24|0.0|1.0|4.0|-5.81|412.51|0.0|2.91|-5.15|2.21e-06|0.0009119999999999|7.05e-06|0.0|0.0|4.02e-05|-0.05119|3.4821|-1615.063947|695.57|1176.22|545.94|0.68608|-1614.831682|149.0|-0.1479099999999999|-0.1991|0.03187624|4.8843|11.0|7.9508|7.9508
4c_a46|0.0|0|0|0.139403726|1|7.825245291|1|1|1.134637091|2.137504882|-0.068543882|-0.005085922|5.587248657999999|1|0.0440307329999999|0.0|-0.300069396|0.010177371|-0.051150771|10.94298307|-0.068256579|1|0.010040825|-0.165951544|-0.083788154|1|0.649753668|0.072412685|0.761921603|0.65145414|0|0.890777395|-0.063644365|-0.087503927|0.305199509|0.013924723|35.22734468|69.02325225|-34.9456654|5.56099297|53.13410852|0.840753785|-1.662574604|-25.41708422|60.67664538|49.01980408|2455.604167|-1050.664428|-11.85656505|0.159246215|13.06174141|0.8211086059999999|100.6356847|22.31552819|1249.669579|696.2528933|1.0|1.0|1.0|1.0|4.09|0.38|17.0|-7.62|5.24|3.4|2.0|115.03|0.0|1.0|4.0|-5.39|389.49|1.0|4.44|-5.28|2.8e-06|0.00109|5.3e-06|0.0|0.0|9.32e-06|-0.04381|4.1026|-1245.392965|683.75|1176.07|617.56|0.42391|-1245.114575|0.2083|-0.17085|-0.21466|0.02299741|5.4491|2008.0|5.6972|5.6972
