molecula|NaaNH|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|MATS1i|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA5|PNSA5|PPSA3|TPSA_x|WPSA3|RPCS|WNSA3|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
1j_a5|1|2.9426852410000004|0.0|0|6.605297921|0|1.427567371|-0.010620031|2|0.025987654|-0.115553003|0.0|-0.175183967|0.00683534|-0.07622096|-0.032333695|0.006957291|-0.190920568|-0.010807075|0.74740095|0.7862755770000001|-0.084090414|0.848473695|0|0.847163872|-0.074505844|-40.01980349|10.57633738|82.09385267|5.680936139|1.471030887|-21.29338752|-14.64139152|0.469085779|2242.805131|455.0425806|-600.2970524|847.5275797|7.328149934|13.80288876|4618.562904|205.997426|-322.4414176|23.74961767|14.36297201|1.0|1.0|1.0|1.0|1.0|0.05|23.0|-8.14|4.21|63.69|0.0|1.0|4.0|25.0|-6.15|0.0|1.0|9.27e-05|0.0304|6.29e-05|0.0|0.0|2.36e-06|-0.03832|2.61|4.1205|-1065.849941|572.47|959.39|300.89|0.5115|279.68|445.81|-1065.671975|0.1644|-0.16813|-0.20645|0.03246499|-1065.723417|3.0364|7.6198|7.6198
18_a20|1|3.463603867|0.0|0|6.842683282|0|1.400923654|-0.12050413|2|0.0396875|0.163548857|1.983673343|-0.5039851160000001|-0.005614194|-0.011236836|-0.054458882|-0.004071701|0.268927191|0.001996439|0.809917509|0.7602869659999999|-0.107446431|0.8162774979999999|1|0.76136176|-0.095227339|-63.36348363|7.195302872999999|158.7879106|4.787695004|82.70867776|-41.07622672|-23.91074854|0.483668611|2809.844943|506.6038164|-1267.269673|1822.210286|8.011174137000001|15.51556677|6206.896662|125.81822920000002|-843.230756|29.4862782|8.954638548|1.0|1.0|1.0|1.0|2.0|0.08|27.0|-10.0|4.69|97.55|0.0|0.0|5.0|32.0|-6.13|0.0|1.0|2.54e-06|0.00107|6.91e-06|0.0|0.0|4.17e-08|-0.05604|5.35|3.5355|-1352.364724|703.24|1204.88|350.69|0.2991|207.41|531.11|-1352.073755|0.2011|-0.14685|-0.20289|0.03787435|-1352.135304|8.0505|7.4685|7.4685
8f_a8|1|2.939511291|0.0|1|7.05012252|0|1.394802091|-0.249095464|0|0.043758865|0.0587545909999999|0.0|-0.485102985|-0.007796225|-0.08540947|0.007079485|-0.007036544|0.152294451|0.09830823|0.578166105|0.6971223040000001|-0.016217844|0.751162751|0|0.5968139689999999|-0.1064257719999999|-62.06002501|7.91086576|235.1097364|4.613060521|67.99102163|-41.53091131|-28.20910228|0.456995667|2622.044457|348.0199311|-1241.2005|1892.066521|7.504290616|13.81994609|5948.547713|54.94802877|-723.7808349999999|31.14376424|5.380213594|0.0|0.0|0.0|0.0|2.0|0.0|23.0|-7.95|4.72|80.88|0.0|1.0|4.0|29.0|-5.98|0.0|0.0|6.11e-06|0.0023899999999999|1.01e-05|0.0|0.0|4.43e-06|-0.0675299999999999|7.71|3.4876|-1361.658484|602.63|1022.89|355.5|0.3188|263.65|477.92|-1361.455053|0.1659|-0.14532|-0.21285|0.03173623|-1361.510739|7.8014|4.6428|4.6428
6g_a40|0|0.0|0.0|1|8.421342866|2|0.604893315|-0.261952754|0|0.039863946|-0.120745388|0.607999575|-1.09669629|-0.019683422|0.07194868|-0.251161616|-0.018182514|-0.221674172|0.0312035079999999|0.8316888240000001|0.832499949|0.075283207|0.8917390820000001|1|0.605346707|-0.156296046|-101.5916383|11.53799852|256.5226419|7.499640603|47.36081569|-69.68682788|-38.37906336|0.425569146|3142.74733|393.4722933000001|-1727.0578510000005|3198.69909|6.95079805|12.10032156|7822.892656|114.2663866|-1122.578856|46.56499428|13.1559604|0.0|1.0|0.0|1.0|3.0|0.21|14.0|-2.87|2.48|213.89|1.0|3.0|5.0|31.0|-7.02|1.0|0.0|6.049999999999999e-08|2.87e-05|1.93e-05|1.0|0.0|0.6459999999999999|-0.08622|7.38|2.8135|-2522.023752|669.8|1144.59|440.68|0.4971|373.48|514.77|-2521.8114530000003|0.1307|-0.11857|-0.20479|0.03363483|-2521.87499|8.9454|7.3279|7.3279
9s_a24|1|2.9568988810000003|0.0|0|6.605297921|1|1.4275963180000002|-0.00570386|4|0.023585859|-0.050919714|0.0|-0.190782186|0.006748865|-0.060407836|0.013901071|0.007695726|-0.0897306019999999|-0.204128966|0.799076569|0.773544454|0.030228027|0.8327425070000001|0|0.8833498320000001|-0.063587778|-39.48555839|10.42725806|72.43525688|6.474925237000001|0.695462853|-19.21235005|-12.08741583|0.47085169|2747.809842|548.5261887|-592.2833757999999|969.5210193|9.124394347|17.24354813|5767.9102490000005|344.5337711|-367.7851412|27.15292246|21.71205366|0.0|1.0|1.0|1.0|1.0|0.04|29.0|-8.11|4.29|77.21|0.0|1.0|4.0|30.0|-7.2|0.0|0.0|0.000434|171.0|8.71e-05|0.0|0.0|3.04e-06|-0.03597|1.82|2.6707|-1271.031372|654.28|1121.42|464.24|0.5112|403.51|521.4|-1270.738032|0.0839|-0.10865|-0.14462|0.03640642|-1270.796154|7.0312|7.4949|7.4949
34_a47|0|0.0|0.0|1|6.842683282|0|1.40499556|-0.064842466|3|0.03522792|-0.094313757|1.741433543|-0.191253079|0.003530307|-0.043634386|0.078153957|0.0047106|-0.208989427|-0.1430639269999999|0.62974551|0.833786184|0.046668352|0.89234354|1|0.8260556609999999|-0.090141168|-49.91779281|10.92238452|96.32577107|6.048527453999999|0.0|-19.00022922|-16.25230464|0.45489212|2371.236125|457.4477611|-698.8490993|918.6458674|7.066583143|12.96364153|5105.274301|191.6093987|-387.0041342|24.85087647|12.74960652|1.0|1.0|1.0|1.0|1.0|0.16|21.0|-7.47|4.52|68.52|0.0|1.0|4.0|26.0|-6.66|0.0|1.0|0.000267|0.0929|0.000125|0.0|0.0|1.17e-05|-0.0545|2.41|3.8892|-1162.4815230000002|585.79|980.02|318.79|0.2309|294.66|436.88|-1162.283641|0.1718|-0.16086|-0.21536|0.03084502|-1162.33788|6.2235|8.7|8.7
27_a47|0|0.0|0.0|1|6.842683282|1|1.216250059|0.006768957|3|0.0304347829999999|-0.067535989|1.807806182|-0.207000956|0.001861676|0.0427469459999999|0.013336016|0.002350172|-0.137440913|-0.077485193|0.6636125860000001|0.804224077|0.0436226579999999|0.8517043879999999|1|0.846469886|-0.079484997|-50.87821306|10.56549582|98.27436776|6.762956126000001|3.180329084|-25.8313393|-18.2393594|0.475450742|2804.020752|541.8239522999999|-966.6860481|2181.236691|7.083168776|13.50334344|6433.288104|191.5604557|-618.7741154|26.02898047|12.14264461|1.0|0.0|1.0|1.0|2.0|0.26|21.0|-8.82|5.07|67.66|0.0|1.0|5.0|31.0|-6.34|0.0|1.0|1.5399999999999998e-05|0.00674|8.89e-06|0.0|0.0|6.55e-07|-0.05814|2.97|3.8125|-1778.1049670000002|673.27|1165.54|325.21|0.4007|251.19|517.82|-1777.830739|0.1839|-0.1578|-0.21594|0.02633483|-1777.891054|5.2214|5.6|5.6
EW7203_a60|0|0.0|0.0|0|7.412764017000001|2|0.604984431|0.0075638519999999|2|0.041767677|-0.092774356|0.0|-0.377182982|0.003099827|0.03824498|-0.051413084|0.0036417359999999|-0.1696249719999999|-0.049287858|0.80330079|0.822401103|0.002441966|0.8839272779999999|0|0.8860751579999999|-0.096226348|-62.23028092|13.03554647|73.67602619|8.430183|0.0|-31.81402579|-23.64750675|0.497298165|2913.880231|573.0312689|-1182.375337|1660.077477|8.310125852|16.53092404|6403.777228|150.7881632|-764.6507562999999|30.83771958|11.59711747|1.0|1.0|1.0|1.0|2.0|0.13|17.0|-6.7|2.6|117.47|0.0|1.0|5.0|31.0|-6.35|0.0|0.0|1.81e-06|0.000768|1.53e-05|0.0|0.0|8.51e-05|-0.06188|3.64|3.5192|-1668.025575|678.83|1166.44|352.3|0.2385|247.15|546.85|-1667.78681|0.0448|-0.1446599999999999|-0.20654|0.03203878|-1667.848192|2.5159|8.0334|8.0334
8g_a12|1|2.897921027|0.0|0|6.580639137|1|1.28383574|-0.029907264|2|0.038347953|-0.038463841|1.714060666|-0.40429396|0.005898773|-0.094550033|-0.040257632|0.005405355|-0.068810076|0.068559367|0.804158158|0.7475224290000001|-0.04981165|0.80546986|1|0.8576253690000001|-0.1045061519999999|-57.6443411|4.915102972|78.53214058|2.7111119089999995|0.0|-23.38345638|-23.58177591|0.463772637|2506.427441|473.055878|-1037.59814|1356.883205|6.882798206|12.83559677|5327.736626|54.23932676|-572.326702|26.15353224|4.352203029|0.0|1.0|1.0|1.0|2.0|0.1|21.0|-8.0|2.07|78.85|0.0|1.0|3.0|27.0|-6.28|0.0|0.0|4.15e-05|0.0146|4.61e-05|0.0|0.0|3.53e-06|-0.06432|3.68|3731.0|-1154.321531|590.93|989.66|332.31|0.3786|294.8|418.41|-1154.121362|0.1601|-0.1520099999999999|-0.21633|0.03954539|-1154.173831|4.2131|5.43|5.43
12be_a36|1|3.466734143|0.0|0|7.412764017000001|2|1.297042758|-0.0419484829999999|2|0.043854875|0.118420241|0.0|-0.580823835|0.000482522|-0.08981965|0.00430921|0.002872872|0.19405344|-0.176729938|0.884226781|0.812921349|0.132962547|0.858971809|0|0.798015877|-0.108962668|-75.59805505|23.42501577|140.1361326|16.25222352|0.0|-37.57129686|-22.15805062|0.4564615729999999|3039.9167260000004|553.6616295|-1285.166936|2552.721046|8.773114043|16.14074295|6592.168374|301.05661160000005|-891.645944|39.14335412|24.02799032|1.0|0.0|1.0|1.0|2.0|0.21|17.0|-6.79|1.9|87.66|0.0|1.0|7.0|33.0|-7.13|0.0|0.0|7.75e-05|0.0342|7.13e-05|1.0|0.0|7.11e-05|-0.0518799999999999|2.68|3.3487|-1462.0007349999998|739.48|1256.67|370.25|0.7034|237.59|594.44|-1461.68274|0.0018|-0.13781|-0.18969|0.03245204|-1461.747501|10.3044|7.3565|7.3565
