molecula|SddssS|n9FaRing|SssssC|SRW09|nAHRing|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|FNSA1|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
4a_a46|0.0|0|0.210988875|7.825245291|1|-0.214093513|-0.001042349|5.587248657999999|2|0.0473245609999999|0.0|-0.051075084|0.012632881|-0.11172225|10.96352058|1|1|0.0120924389999999|-0.216904465|-0.129430244|-0.143806973|2|0.764741337|-0.215877982|0.8075680409999999|0.683616517|0|0.923958017|-0.05488948|-0.067863141|0.00935578|4.858713991|6.579492736000001|39.49069232|-0.022129285|2.523263761|0.742626378|0.4289963579999999|-528.6479264|1427.844961|-5.968291366|0.2573736219999999|5.613813876|9.831485239|133.66119809999998|-274.5414028|15.47527339|-252.0050978|480.9500663|5.910149982|1.0|1.0|1.0|0.0|3.76|2.8|0.35|-6.82|4.46|0.0|0.0|96.74|0.0|1.0|2.0|-3.93|24.0|318.42|1.0|3.43|0.0372|4.89e-05|0.0156|3.34|0.0|0.0|1.53e-07|4.86e-05|4.5454|4.5454|-994.237445|560.87|967.0|0.1694|467.4|0.6893600000000001|-994.028172|-0.19067|-0.21988|0.022810825|3.7138|6.7423|6.7423
12f_a36|0.0|0|0.0|7.412764017000001|2|-0.066269699|-0.006773586|5.351858133|2|0.039061728|0.0|-0.40641518|0.003676818|0.012286423|10.95389399|1|1|0.0045625|0.182557897|-0.169994208|-0.438198895|1|0.821599443|-0.109793154|0.8700396090000001|0.857993338|0|0.8435569079999999|-0.071035495|-0.100276611|0.01784834|11.77610852|43.53853176|103.2191714|-0.035813075|7.769727312|0.7803018709999999|0.464240353|-1323.224761|2380.393255|-15.59012402|0.219698129|7.416874811|13.84366076|144.9540437|-873.0469447999999|30.28188764|-369.879252|729.1873176|10.34891518|0.0|1.0|0.0|2.0|4.94|0.0|0.21|-7.36|2.45|1.0|0.0|133.52|0.0|1.0|6.0|-4.61|31.0|409.49|1.0|2.4|0.0102|2.6600000000000003e-05|0.0109|3.47|0.0|0.0|4.38e-08|1.7899999999999998e-05|5.2106|3.6545|-1311.57896|699.88|1195.77|0.4374|545.55|0.70126|-1311.285102|-0.15011|-0.20046|0.02879265|7.8454|7.9586|7.9586
9a_a40|0.0|0|0.0|7.515889085|0|-0.028285975|-0.003680068|5.4161004020000005|0|0.0397333329999999|0.921628874|-0.136162501|0.01310675|0.157704751|10.31197235|2|2|0.011966382|0.291102625|0.016958188|-0.449508498|0|0.690568477|-0.394662853|0.749764251|0.61091688|1|0.937600185|-0.060029933|-0.072887601|0.011033601|5.334966331|109.9916614|30.17155594|-0.032156295|2.579562688|0.868476591|0.493941591|-528.6391483|336.39741360000005|-7.51786994|0.131523409|6.749223592000001|13.33684703|63.59419322|-255.607578|17.90285474|-356.33157|323.79254|4.213574358|0.0|0.0|1.0|0.0|3.26|3.28|0.06|-6.4|4.43|1.0|0.0|86.7|0.0|1.0|2.0|-5.49|21.0|291.37|1.0|4.08|0.000944|8.33e-06|0.00243|4.54|0.0|0.0|4.02e-07|0.000117|4.7066|3.3192|-1217.955997|515.96|847.69|0.4746|411.01|0.69958|-1217.825264|-0.13808|-0.20303|0.01109672|5.09|6.6696|6.6696
9o_a24|0.0|0|0.0|6.605297921|1|-0.064667223|-0.007052095|4.59511985|3|0.028472222|0.0|-0.387865233|0.0012214139999999|-0.097596429|10.94506726|1|1|0.002019902|-0.145366976|0.00294424|-0.38043264|2|0.785672769|-0.0062180169999999|0.846075714|0.7086274779999999|0|0.770273808|-0.088586421|-0.08834189|0.018492771|10.7072496|32.50178358|133.0106596|-0.032911684|6.1994599720000005|0.668046377|0.4861134689999999|-971.8432428|1906.512273|-11.03321234|0.331953623|6.080741586|11.83284872|192.1999837|-562.6938294|28.52459128|-194.5965258|663.2688909|15.09096602|0.0|1.0|1.0|2.0|3.96|2.84|0.04|-7.91|4.36|1.0|0.0|120.73|0.0|1.0|6.0|-4.49|32.0|421.45|0.0|3.01|0.0137|3.9500000000000005e-05|0.0167|2.88|0.0|0.0|1.24e-08|5.23e-06|5.8802|4.2643|-1388.147972|611.03|1126.94|0.1409|432.84|0.65292|-1387.887227|-0.17826|-0.22353|0.0533144|5.9089|6.3507|6.3507
3p_a32|0.0|1|0.0|8.02059915|1|0.007752757|-0.008735261|6.008813185|0|0.036666667|2.1365141480000003|-0.419292538|-0.000971341|-0.111150118|10.31100269|3|3|0.000920756|-0.092884784|-0.26891009|-0.53666614|0|0.8599558070000001|0.058054833|0.918782026|0.6956696440000001|1|0.8195708759999999|-0.070907174|-0.098773656|0.021264377|12.5150622|40.28175307|106.1908248|-0.029183126|7.365688817|0.6199678829999999|0.416240891|-755.7268222|3037.061498|-10.10863498|0.380032117|6.243062200000001|10.69458635|223.6663527|-444.779939|27.70403125|-141.21321609999998|530.5658569|14.94356622|0.0|1.0|1.0|1.0|3.38|2.6|0.26|-6.79|3.71|1.0|0.0|112.37|0.0|1.0|4.0|-5.11|27.0|395.5|0.0|3.23|0.00308|5.629999999999999e-05|0.0222|2.7|0.0|0.0|1.62e-07|6.4e-05|3.6436|3.6436|-1879.554272|626.32|1057.58|0.3083|471.04|0.7017100000000001|-1879.350471|-0.15055|-0.20018|0.02642856|5.4496|7585.0|7585.0
8e_a46|0.0|0|0.252655541|7.727094485|1|-0.205882192|-0.001015139|5.533389489|2|0.043238095|0.0|-0.046696417|0.012911107|-0.184317354|10.96411233|1|1|0.0123581919999999|-0.203086023|-0.135984209|-0.132524216|2|0.789844634|-0.241393458|0.837678812|0.668786636|0|0.921352352|-0.053352779|-0.065982313|0.009576086|4.876083942|7.389496216|40.04689925|-0.023017086|2.482871976|0.7492419109999999|0.444693313|-503.9668235|1415.320228|-5.967832774|0.2507580889999999|5.504080656|9.911785304|127.6844779|-256.61680930000006|15.64268965|-253.8248986|426.71841|6.023886838999999|1.0|1.0|1.0|0.0|3.21|2.93|0.32|-6.67|3.9|0.0|0.0|91.93|0.0|1.0|2.0|-3.59|23.0|304.39|1.0|3.21|0.0782|9.15e-05|0.0279|3.01|0.0|0.0|2.16e-07|6.57e-05|4.5092|4.5092|-954.9296396|552.99|933.3|0.2162|457.96|0.6967|-954.743261|-0.18835|-0.2201|0.024010215|3.7755|6.3915|6.3915
1n_a5|0.0|0|0.0|6.605297921|0|-0.1387762669999999|-0.007315978|4.59511985|2|0.024388889|0.0|-0.3365350029999999|0.004367323|-0.150600424|10.94528897|1|1|0.004754079|0.004115733|-0.015850084|-0.393928416|2|0.77828693|-0.013686011|0.8402078140000001|0.656280207|0|0.785210014|-0.082180848|-0.081950989|0.023129277|13.27640087|63.58796786|123.2912732|-0.030493391|7.620766672|0.627751746|0.483868192|-752.6490056|889.4388375|-10.04713747|0.372248254|7.881746117|15.27080096|213.67365440000003|-432.02691110000006|27.88278228|-146.6611704|467.1194103|16.53002342|1.0|1.0|1.0|1.0|2.88|2.67|0.05|-8.07|3.99|1.0|0.0|101.77|0.0|1.0|5.0|-4.27|27.0|356.38|0.0|3.14|0.0193|6.56e-05|0.0234|2.91|0.0|0.0|8.43e-09|3.01e-06|4.3838|4.3838|-1179.209088|607.15|1017.23|0.3789|481.06|0.44786|-1179.018429|-0.17092|-0.23278|0.03956123|0.7104|7.5686|7.5686
17_a3|0.0|0|0.0|6.823286122000001|0|0.188373421|-0.009450704|4.727387819|2|0.047430556|1.709081227|-0.349676046|-0.007540435|-0.041723219|10.31163036|1|1|-0.006696449|-0.027542873|0.036673175|-0.633373061|2|0.767641592|0.1789147639999999|0.838125715|0.773152968|1|0.803075623|-0.098658557|-0.096067661|0.010321361|5.251911643|234.4907116|100.2028184|-0.039557272|2.672377884|0.840062179|0.4383349039999999|-684.3617224|1667.279771|-10.24205849|0.159937821|6.2477303310000005|11.12358659|81.38261354|-348.2299886|23.96047156|-346.0738521|353.7528308|6.514715538|1.0|1.0|1.0|1.0|3.13|2.65|0.0|-7.48|4.66|1.0|0.0|95.5|0.0|1.0|2.0|-5.53|23.0|338.81|0.0|3.71|1.0|1.18e-05|0.00399|3.88|0.0|0.0|3.28e-08|1.11e-05|3.2102|3.2102|-1731.75233|537.32|891.3|0.4062|393.58|0.69481|-1731.6147670000005|-0.13155|-0.20359|0.02878063|4.8815|7.6383|7.6383
12bh_a36|0.0|0|0.0|7.412764017000001|2|-0.052761366|-0.006687484|5.351858133|2|0.044197531|0.0|-0.401249012|0.003676818|0.075747971|10.94728093|1|1|0.0045625|0.0016901289999999|-0.169994208|-0.43574839|1|0.78699829|-0.211972014|0.833398429|0.857993338|0|0.833491953|-0.070687668|-0.09959401|0.017627098|11.73109101|83.08294358|110.81353529999998|-0.035569289|7.807212275|0.783294222|0.482052584|-1325.625342|2437.805332|-15.75398235|0.216705778|7.545637217999999|14.56834609|144.22085800000002|-882.2230117|30.2209316|-377.0728785|729.1873176|10.18741188|0.0|1.0|0.0|2.0|4.95|0.0|0.21|-7.34|2.5|1.0|0.0|133.68|0.0|1.0|5.0|-4.54|31.0|409.49|1.0|2.42|0.0117|2.5e-05|0.0102|3.41|0.0|0.0|4.55e-08|1.86e-05|3.8811|3.6255|-1311.589612|715.94|1208.61|0.4386|575.23|0.7039|-1311.293683|-0.14915|-0.20168|0.03071385|7.7975|7.8539|7.8539
13e_a6|0.0|0|0.0|6.842683282|0|-0.089778965|-0.006882528|4.727387819|2|0.044021739|1.643912856|-0.378539035|-0.003356527|0.0266218529999999|10.95053349|1|1|-0.001446486|0.032420935|-0.223618825|-0.462344944|2|0.765593573|0.102257199|0.827254552|0.790249345|1|0.861676601|-0.074242826|-0.093298845|0.0183790889999999|12.28502792|66.59852278|92.4587065|-0.032929004|8.211609879|0.722530518|0.4442079679999999|-1122.537689|3457.565879|-14.71237941|0.277469482|7.973429837999999|14.346067199999998|185.4673146|-750.3313497|30.46313253|-297.4895642|676.2770877|13.06309302|1.0|1.0|1.0|2.0|3.51|2.79|0.08|-10.18|4.53|1.0|0.0|123.82|0.0|0.0|5.0|-5.11|32.0|417.47|0.0|3.31|0.00323|1.65e-05|0.00688|3.27|0.0|0.0|6.59e-11|2.75e-08|5.9885|3.2475|-1347.297639|713.3|1202.5|0.8312|567.24|0.7034199999999999|-1347.014564|-0.1327|-0.20804|0.03809808|13.2999|7.9208|7.9208
