molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|RPCS|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
15_a3|0|0|0.0|0.0|0|1|1|0.619596467|-0.006742751|-0.092127078|3|0.045993266|-0.182934001|-0.289938297|-0.006419472|10.33806279|0|-0.004459728|-0.022386155|-0.039798975|-0.505519936|3|0.813015336|-0.103599654|0.911346861|0.7789088340000001|-0.092342351|-0.107619999|0.451058529|-47.26593592|4.04445331|315.5421792|0.221091166|113.1667185|0.0|-24.19332693|60.30684851|-19.28005913|51.31038923|0.461565365|2116.88728|398.6887321|-9.868603355|0.149672503|5.371119692000001|9.975434973|0.85723565|4617.470007|-394.7441342|402.781061|5.220965278|1.0|1.0|1.0|1.0|4.12|0.0|0.24|-5.78|2.21|89.99|0.0|0.0|2.0|-2.77|23.0|5.0|-7.35|321.4|0.0|0.0|0.0|1.2|306.0|1.28|0.0|1.66e-06|0.000535|2.33|3.7072|-1328.688126|553.81|916.07|334.44|0.4107|206.37|398.12|0.67902|0.0173|-0.1576|1.9539|0.0228507|25.0|7.6021|7.6021
12t_a36|1|0|3.500121488|0.0|0|2|2|1.297042607|-0.00673635|-0.034194893|2|0.041767677|0.035510516|-0.404180985|0.003676818|10.95395385|1|0.0045625|-0.101854847|-0.169994208|-0.436022708|1|0.829598864|-0.009662203|0.857993338|0.8337556420000001|-0.0735262|-0.100615514|0.318666358|-48.97252784|11.7409283|86.12920631|0.166244358|110.727965|0.417511887|-32.61842026|77.32343502|-23.93411213|60.71345614|0.48189543|2771.211293|555.3275093999999|-15.94144641|0.21683192|7.960344391|15.36435856|0.930112292|5936.009091|-892.7209991000001|729.1873176|10.30792105|1.0|0.0|0.0|2.0|4.94|0.0|0.21|-7.36|3.62|69.2|1.0|0.0|1.0|-4.61|31.0|4.0|-6.33|409.49|0.0|1.0|0.0|2.4|0.0109|3.47|0.0|4.38e-08|1.7899999999999998e-05|3.87|3.6694|-1311.585049|713.6|1208.04|337.89|0.4297|319.18|562.72|0.70313|0.0155|-0.15088|5.9081|0.03230976|8.0|8.0969|8.0969
19_a3|1|0|2.917217813|0.0|0|0|0|1.4316666480000002|-0.003417504|-0.030657|3|0.0386379929999999|-0.008897473|-0.129865138|0.006821053|10.96959256|1|0.006731579|-0.037291767|-0.066245471|-0.270506095|3|0.758995484|-0.0150769919999999|0.687139108|0.853017902|-0.067674689|-0.087730634|0.225451546|-31.50932639|5.419662458|161.5312186|0.146982098|68.43484547|0.0|-14.67073822|48.55416845|-15.17188084|36.92898885|0.476813896|2000.66399|397.1650228|-7.064025721|0.24201815|5.342307798999999|10.21110415|0.911365749|4138.413977|-247.2409002|314.0966684|7.706796952|1.0|1.0|1.0|1.0|2.81|1.6|0.06|-7.21|3.9|67.35|0.0|0.0|1.0|-3.24|22.0|4.0|-6.5|287.32|0.0|1.0|1.0|2.45|0.0764|2.19|0.0|6.18e-08|1.7800000000000002e-05|2.43|3945.0|-929.2818523|499.93|832.23|314.28|0.3006|314.28|362.92|0.67351|0.3006|-0.16303|2191.0|0.020989746|23.0|7.6383|7.6383
14s_a23|0|1|0.0|0.0|2|0|0|1.197958333|-0.005854379|-0.022580082|2|0.045277778|0.049317519|-0.298573309|0.010682694|10.31321812|2|0.009263715|-0.071484865|-0.13187015|-0.457212212|2|0.7837821840000001|0.096014944|0.659570836|0.92763624|-0.055037441|-0.080500435|0.2387634619999999|-35.30692476|12.81151517|30.34480575|0.07236376|46.42188642|82.55990607|-22.64965286|62.75905983|-21.9751589|48.11843993|0.470919749|2954.0751370000003|595.0854952000001|-14.09722664|0.2251838339999999|7.548546899|14.26730044|0.890072438|6938.271179|-662.5696522999999|633.3278634|11.11743642|0.0|0.0|1.0|1.0|3.45|3.66|0.05|-7.99|4.0|105.02|2.0|1.0|1.0|-6.13|31.0|4.0|-6.03|445.93|0.0|0.0|0.0|4.01|0.00126|4.21|0.0|1.02e-08|4.55e-06|4.1|3.6828|-2089.521231|668.66|1164.32|336.66|0.3669|336.66|528.82|0.60323|0.3669|-0.1515|4.7032|0.02112956|3.0|8.5482|8.5482
13_a10|0|0|0.0|0.0|1|1|1|1.343837907|-0.0057715859999999|-0.055497169|2|0.038726287|-0.093280469|-0.259721373|0.00384732|10.9296146|1|0.003791547|-0.017015286|-0.02811323|-0.345108701|2|0.78472614|0.00746881|0.736686715|0.818027691|-0.094726989|-0.082327045|0.4676169839999999|-47.88975806|6.168030793|174.7319717|0.181972309|91.99711608|0.0|-24.21093442|51.21590298|-15.22715739|54.05778885|0.449563457|2261.82488|413.5584641|-7.698174391|0.285505651|5.069505473|9.209972585|0.816739845|4941.066161|-315.62515|422.96706330000006|9.595006108|1.0|1.0|1.0|1.0|3.02|2.58|0.15|-6.6|3.52|63.83|0.0|0.0|1.0|-3.76|25.0|4.0|-6.34|328.37|0.0|1.0|1.0|2.91|0.0258|2.76|0.0|2.49e-07|8.170000000000001e-05|2.48|3.8419|-1065.874094|550.83|926.41|322.72|0.3905|212.63|376.77|0.68386|0.1514|-0.15937|3.6904|0.0346535|0.16|6.7959|6.7959
14r_a23|0|1|0.0|0.0|2|0|0|1.197963203|-0.006323791|-0.06921746|2|0.045277778|0.014148395|-0.322513347|0.007671236|10.31321824|2|0.0075222369999999|-0.073945564|-0.17267308|-0.454010253|2|0.7837821840000001|0.03753491|0.5935522360000001|0.8662226190000001|-0.062618931|-0.085881409|0.375360556|-40.32463891|12.35476415|47.26552456|0.133777381|86.14846171|55.62948521|-25.96781003|66.31173073|-23.53402098|52.67940305|0.4661909429999999|2945.137191|557.8203557999999|-15.15517566|0.211777163|7.555307147000001|14.15357616|0.873329024|6744.848704999999|-712.2932561000001|599.5697147999999|11.00678143|0.0|0.0|0.0|1.0|3.47|3.06|0.05|-7.67|3.78|105.02|2.0|1.0|1.0|-5.58|31.0|5.0|-6.31|429.47|0.0|0.0|0.0|3.7|0.00332|3.68|0.0|2.14e-08|9.18e-06|3.72|3.1797|-1729.1556449999998|678.08|1145.51|389.92|0.2346|208.71|513.71|0.68115|0.0008|-0.15536|6.2620000000000005|0.02296354|5.0|8.2684|8.2684
14q_a23|0|1|0.0|0.0|2|0|0|1.19796338|-0.0101981219999999|-0.130330047|2|0.044138322|0.064903564|-0.5608967029999999|0.002243702|10.31321757|2|0.002496501|-0.017918675|-0.033435987|-0.573130981|2|0.808928963|0.067394607|0.7333675390000001|0.773194598|-0.08960718|-0.096370719|0.227948491|-61.51997721|14.81701129|350.836102|0.226805402|155.7136729|97.13675614|-42.23665548|79.42966327|-27.24379301|76.3369885|0.472004985|3097.399651|530.8381985000001|-18.70427707|0.222659101|8.732265278|16.53853737|0.893957277|6982.066379000001|-953.9181308|693.3423458|13.26616596|0.0|0.0|0.0|2.0|3.52|2.66|0.04|-6.96|2.57|148.11|1.0|1.0|1.0|-5.21|33.0|5.0|-7.33|454.51|1.0|0.0|0.0|2.62|0.0183|2.46|0.0|1.11e-07|5.03e-05|4.19|3.6431|-1798.645459|714.22|1222.17|340.33|0.4943|340.33|554.59|0.5949|0.4943|-0.14854|8375.0|0.03458552|16.0|7.8069|7.8069
19_a31|1|0|3.2411335510000003|0.0|0|0|0|0.61013725|-0.01001901|-0.086654127|0|0.0427124179999999|-0.044625452|-0.46087445|-0.005956522|10.31169935|2|-0.0038998559999999|-0.081398052|-0.1751017789999999|-0.615878515|0|0.8558149140000001|0.019858798|0.6427749970000001|0.7312647940000001|-0.0909201569999999|-0.113333675|0.279690511|-53.25742146|8.596058678|75.32978176|0.268735206|157.414423|67.42915967|-31.1960848|75.31824576|-21.12293613|61.85348014|0.446100738|2265.6917350000003|428.3459076|-12.37297805|0.223788196|7.0760696020000005|12.77501178|0.805382437|4917.329034|-544.4110343|460.3754405|8.931875058|1.0|1.0|1.0|2.0|3.44|2.62|0.28|-7.39|5.8|98.91|1.0|0.0|1.0|-4.67|25.0|4.0|-6.41|358.43|0.0|0.0|1.0|3.47|0.0431|2.93|0.0|4.08e-08|1.46e-05|5.24|3.9477|-1489.532192|625.93|1028.58|314.06|0.3205|246.28|537.66|0.7005600000000001|0.2271|-0.16367|1.7076|0.03702801|1.8|5.7447|5.7447
11a_a31|1|0|2.856083711|0.0|0|1|1|0.610138462|-0.02376325|-0.259732443|0|0.044949495|-0.087576474|-0.8792402579999999|-0.022093578|10.31170041|2|-0.017433557|-0.1068420919999999|-0.1829166189999999|-0.563537536|0|0.8433024170000001|0.022073976|0.819138461|0.486754956|-0.151872243|-0.161027639|0.271818874|-76.64827023|20.91187076|258.8577775|0.513245044|259.0291941|71.03772901|-38.68354874|97.23036756|-28.68314085|97.560141|0.451795285|2288.9694010000003|245.6599349|-14.47606937|0.264745055|5.791411901|10.5643234|0.8241360790000001|4940.657452|-492.1863586|302.14325319999995|15.96146849|0.0|0.0|1.0|2.0|3.26|2.16|0.13|-4.65|3.93|125.57|0.0|0.0|2.0|-4.81|23.0|6.0|-6.51|329.33|0.0|0.0|1.0|2.42|0.0531|2.53|0.0|2.22e-05|0.00731|3.97|3.8042|-1441.452616|529.63|860.74|325.92|0.2797|325.92|407.76|0.69222|0.2797|-0.15515|6.4691|0.04099365|0.19|6.7212|6.7212
5a_a40|0|0|0.0|0.0|1|0|1|0.604913477|-0.004609716|0.059258947|0|0.0388888889999999|-0.108428634|-0.152120625|0.011345707|10.31198338|2|0.010425818|0.004130836|0.007301856|-0.363338726|0|0.756882266|-0.442215721|0.5263598389999999|0.8531783270000001|-0.078132307|-0.090991462|0.04987082|-34.5789643|9.135164355|174.99981530000002|0.146821673|64.97877226|52.43850484|-15.30358975|46.06507254|-16.10801287|43.71412865|0.4889874279999999|1847.672595|377.5905776|-7.128912782|0.177534728|5.507689573|10.7779923|0.956899016|3736.248815|-213.8673835|244.8873477|5.795040371|1.0|0.0|1.0|0.0|3.04|2.49|0.21|-4.05|3.68|75.5|0.0|1.0|2.0|-4.13|19.0|3.0|-5.9|269.32|0.0|1.0|1.0|2.8|0.0574|2.88|0.0|8.950000000000001e-05|0.0241|4.36|3.7921|-1177.598691|466.79|757.45|326.96|0.4461|326.96|353.51|0.69499|0.4461|-0.15066|5.7163|0.01514427|81.0|7.0915|7.0915
