molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|FNSA4|WNSA5|FNSA1|FNSA2|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
14r_a23|0|1|0.0|0.0|2|7.423568444|0|0|1.197963203|3.201732471|-0.009140243|-0.06921746|2|0.045277778|-0.322513347|0.007671236|-0.079935667|-0.064006338|2|2|0.0075222369999999|0.033038452|-0.17267308|-0.454010253|2|0.7837821840000001|0.03753491|0.846632079|0.5935522360000001|1|0.8662226190000001|-0.085881409|-0.03654528|-35.61466281|0.7882228370000001|-1.717628177|52.67940305|0.4661909429999999|2945.137191|557.8203557999999|2306.754114|0.211777163|14.15357616|6744.848704999999|136.37788909999998|29.85706563|0.017092103|-371.2130393|1403.282085|11.00678143|0.0|1.0|0.0|3.47|3.06|0.05|-7.67|4.58|105.02|2.0|1.0|5.0|31.0|5.0|-6.31|429.47|0.0|0.0|2.66e-06|7.73e-06|3.68|0.0|9.18e-06|5.9406|3.1797|-1729.1556449999998|0.2346|208.71|513.71|0.68115|0.0008|-0.15536|6.2620000000000005|-0.22378|0.02296354|5.0|8.2684|8.2684
12_a1|1|0|3.3894574360000003|0.0|0|7.423568444|1|1|1.430936075|0.0|-0.0455890429999999|-0.02164054|1|0.036382114|-0.516204114|-0.0038943009999999|-0.0811332759999999|-0.051772288|1|1|-0.001416381|0.127560614|-0.173618873|-0.487073772|1|0.749817035|-0.045776997|0.817998205|0.7534284040000001|0|0.765121385|-0.104724018|-0.039894864|-35.28166588|0.724666653|-1.675584287|75.59644237|0.46449367|2592.245875|444.1009824|1825.150911|0.275333347|14.34104294|5468.378562|159.81230209999998|31.95435864|0.024485753|-260.8074567|1342.083063|14.21231622|1.0|1.0|1.0|3.29|2.72|0.05|-8.2|4.41|83.82|2.0|0.0|3.0|28.0|5.0|-6.02|366.37|0.0|0.0|1.04e-05|1.77e-05|3.54|0.0|2.3e-06|3734.0|3.1744|-1216.12881|0.5867|332.04|482.51|0.69763|0.2821|-0.12874|7.7454|-0.19916|0.0296752|2.95|5.5302|5.5302
1k_a5|1|0|2.9020229360000003|0.0|0|6.605297921|0|0|1.427567903|0.0|-0.216088148|-0.064652321|2|0.026339869|-0.120771321|0.003886035|-0.145151027|-0.011848312|1|1|0.003708988|-0.220946861|0.045204303|-0.254495542|2|0.7824502320000001|-0.011552666|0.851987765|0.558485747|0|0.7836926809999999|-0.074297856|-0.0301207529999999|-19.44172742|0.724954458|-1.114467843|45.98095096|0.48165588|2171.394196|400.8898627|824.0133397999999|0.275045542|12.9461019|4479.484358|140.69669409999997|21.25369168|0.019219352|-230.14624|786.3865923|9.83146028|1.0|1.0|1.0|2.71|2.02|0.0|-8.3|4.76|54.46|0.0|0.0|3.0|24.0|4.0|-5.99|316.33|0.0|1.0|0.000106|4.970000000000001e-05|3.16|0.0|1.58e-06|4.7221|4.4063|-1050.548505|0.6242|262.56|398.63|0.5282|0.1239|-0.1798799999999999|1.5911|-0.22504|0.03133456|48.0|7.3188|7.3188
16b_a32|1|1|3.2902303|0.0|0|7.765993078999999|0|0|0.2980105389999999|0.0|0.0873104119999999|-0.3723824429999999|0|0.041958333|-0.423467596|-0.008277865|-0.018753196|-0.0657820279999999|3|3|-0.00180101|-0.023602065|-0.222700615|-0.586122949|0|0.852956281|0.056127969|0.907055332|0.6762731040000001|1|0.7465375040000001|-0.1083060409999999|-0.0345657579999999|-44.4669946|0.7476362679999999|-1.624590613|66.97508778|0.414997448|3037.795494|478.3482386|3264.235184|0.252363732|11.05406524|6612.089615999999|161.7035261|29.62431176|0.017136832|-317.3487516|1392.342653|10.98052464|0.0|1.0|1.0|3.71|2.48|0.28|-7.6|4.88|165.49|1.0|0.0|7.0|28.0|6.0|-6.72|433.57|1.0|0.0|5.19e-07|2.84e-05|3.14|0.0|1.1e-05|3.6211|3.6211|-2315.990437|0.2849|342.39|567.01|0.70233|0.2849|-0.14995|4.4055|-0.2094099999999999|0.03900066|17.0|7.7696|7.7696
14c_a23|0|1|0.0|0.0|2|7.423568444|0|0|1.197962449|3.349976042|0.06596946|-0.024758731|2|0.043538647|-0.296935034|0.010682694|-0.047853455|-0.047410593|2|2|0.009263715|0.077009731|-0.13187015|-0.4589840189999999|2|0.793551289|0.1114214519999999|0.857184548|0.659570836|1|0.922935039|-0.0800086929999999|-0.034046252|-35.33439343|0.7834075309999999|-1.600173862|50.26125234|0.459622824|2955.304496|613.3401089|2379.221378|0.2165924689999999|14.49533577|6755.962581999999|143.9373772|28.88097191|0.016385474|-376.6791777|1357.40568|10.88903141|0.0|0.0|1.0|3.4|3.6|0.05|-7.99|4.67|105.02|2.0|1.0|5.0|31.0|4.0|-6.03|445.93|0.0|0.0|7.49e-07|2.83e-06|4.21|0.0|4.55e-06|3.7031|3.7031|-2089.523959|356.0|334.81|549.86|0.56781|356.0|-0.15143|7.2704|-0.23096|0.02236136|2.0|8.6253|8.6253
12l_a36|1|0|3.426092687|0.0|0|7.412764017000001|2|2|1.297044247|0.0|-0.0944961519999999|-0.008712073|2|0.039061728|-0.4203659179999999|-0.000143196|-0.05158636|-0.0452558729999999|1|1|0.001194592|0.228884463|-0.175397741|-0.428857427|1|0.8174432229999999|-0.041707369|0.8772535459999999|0.8212311840000001|0|0.84381923|-0.107815735|-0.038052612|-45.67788557|0.7379583590000001|-1.940683231|66.38812034|0.4619814279999999|2843.514589|549.2389652|2385.788754|0.262041641|13.88638723|6121.6555530000005|170.5619816|33.56329135|0.02088234|-309.7725155|1711.727859|13.59224175|0.0|1.0|0.0|4.78|0.0|0.13|-6.66|1.76|92.99|1.0|0.0|5.0|31.0|5.0|-6.68|406.44|0.0|0.0|2.72e-05|5.08e-05|2.95|0.0|8.97e-05|3.8619|3.8619|-1325.194654|0.4524|321.05|530.75|0.6925|0.4524|-0.15869|5392.0|-0.20973|0.03508404|0.02|7699.0|7699.0
13j_a6|1|0|3.409065702|0.0|0|7.412764017000001|1|1|1.430640326|0.0|0.0353600779999999|-0.154502515|1|0.041728395|-0.855284356|-0.011017781|-0.0951246069999999|-0.047513534|1|1|-0.007703306|0.121750719|-0.073507141|-0.562698347|1|0.783333463|-0.063948098|0.8353837409999999|0.830577798|0|0.6229641429999999|-0.129511589|-0.046428683|-57.82670518|0.7841668409999999|-2.460720196|101.1210779|0.433600896|2907.3053210000003|416.2679342|2634.320708|0.215833159|15.43329684|6276.316063|144.22085800000002|39.56287079|0.0199201689999999|-379.7635712|2096.832152|13.31076198|1.0|1.0|1.0|3.56|2.26|0.12|-8.5|3.54|115.15|1.0|0.0|6.0|32.0|5.0|-6.81|427.46|0.0|0.0|9.32e-06|3.28e-05|2.95|0.0|1.36e-06|3.6504|3.5599|-1426.5532050000002|0.2857|339.64|555.0|0.7045100000000001|0.0259|-0.14602|8.3187|-0.19491|0.03242949|262.0|6.5817|6.5817
3l_a32|1|1|3.672194822|0.0|0|7.773594467000001|0|1|0.609420748|0.0|-0.003342759|0.0043645509999999|0|0.035643275|-0.270019992|0.0016954029999999|-0.09393062|-0.107818594|3|3|0.002942329|-0.068876714|-0.087213805|-0.524711546|0|0.751853889|-0.136589369|0.7973741999999999|0.776480242|1|0.8855584879999999|-0.088417589|-0.028831823|-29.90181954|0.788236719|-1.326263838|47.42414825|0.453630671|2453.759435|514.9875423000001|2415.340446|0.211763281|11.74082324|5429.531532999999|123.148785|21.27134288|0.011493763|-335.2422712|978.4817724|6.6840809960000005|0.0|1.0|1.0|3.58|3.54|0.35|-7.5|6.17|110.94|2.0|0.0|3.0|26.0|3.0|-4.71|380.53|1.0|0.0|2.52e-08|9.7e-07|5.51|0.0|1.2e-05|3.5319|3.5319|-1789.475625|0.2876|351.04|468.81|0.70282|0.2876|-0.14664|3.3955|-0.19962|0.02547484|12.0|7.9208|7.9208
1h_a5|1|0|2.9516097130000003|0.0|0|6.605297921|0|0|1.427564094|0.0|-0.259241577|-0.009075016|2|0.026339869|-0.085074391|0.008031558|-0.1197834419999999|-0.044117647|1|1|0.007357977|-0.043247682|0.0578378779999999|-0.20140246|2|0.780175595|0.070628165|0.8436458929999999|0.6977404359999999|0|0.8806402259999999|-0.069496749|-0.027798699|-18.90429957|0.7450549759999999|-1.111947978|39.84574434|0.489507204|2107.271793|459.3001331|819.6979313999999|0.2549450239999999|13.14687756|4334.547353|132.96722079999998|19.45961351|0.01585373|-255.618083|778.3845404|8.268552715|1.0|1.0|1.0|2.8|2.07|0.05|-8.41|4.51|54.46|0.0|0.0|3.0|24.0|3.0|-5.77|312.37|0.0|1.0|5.5700000000000005e-05|3.5600000000000005e-05|3.43|0.0|1.21e-06|4652.0|4.3651|-990.6346565|0.3333|266.52|430.83|0.57155|0.1754|-0.17797|2.2396|-0.21921|0.031392033|28.0|7.5528|7.5528
5_a15|0|0|0.0|0.0|0|0.0|0|0|1.419941043|0.0|-0.222657379|-0.044921287|2|0.035982906|-0.54157893|0.000420839|-0.0156037999999999|0.0118220069999999|0|0|0.003194793|0.1093187759999999|-0.28098676|-0.340979744|2|0.704479781|0.092692253|0.74438723|0.7950674740000001|0|0.8740541479999999|-0.0989946469999999|-0.0273088679999999|-54.73655332|0.5089899720000001|-1.583914356|69.82487767|0.486150431|2940.77098|649.9369163|2179.757502|0.491010028|15.1701491|6656.720346|365.1095806|39.89581513|0.036380071|-13.36968593|2313.9572780000003|27.05181494|1.0|1.0|1.0|3.79|3.68|0.15|-9.65|6.01|74.73|3.0|0.0|8.0|33.0|6.0|-5.55|443.49|1.0|0.0|6.86e-07|2.18e-06|4.86|0.0|9.970000000000001e-08|4.3299|3.6257|-1470.816175|291.0|286.35|629.67|0.70244|0.0199|-0.14839|4.3576|-0.18553|0.03640044|13.0|7.8861|7.8861
