molecula|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|IC50|pIC50|pIC50
5_a18 (BIBF0775)|0|0.0|0|7.03438793|2|2|1.251175715|0.0|0.0160123|-0.005220163|-0.015946718|1|0.0|-0.391512249|0.002526619|10.94702058|-0.022817602|0|0.0036739159999999|-0.054916741|0|0.7140745620000001|-0.001626287|-0.040022105|0.774859029|0.7061155790000001|0|0.8432358679999999|-0.068989967|-0.078246932|0.420002762|0.008501088|-52.09190866|10.36586529|0.156764132|-0.029755876|-44.61038661|4.846666751|50.25564119|0.8159410579999999|-2.112667176|-39.33277643|-22.46761997|3115.979466|636.6978809999999|0.937842434|7221.114573000001|138.97646310000002|27.535837|0.010831199|-477.1120625|0.0|1.0|1.0|2.0|4.42|0.0|0.32|-9.21|3.0|155.95|1.0|8.0|-6.07|-5.96|0.0|1.0|0.0|8.590000000000001e-07|0.000425|1.91e-06|4.73|0.0|0.0|6.18e-10|3.06e-07|8.45|3.2027|-1572.290174|817.02|378.13|0.4825|378.13|0.69298|0.69298|0.4825|-0.13154|2.3389|34.0|7.4685|7.4685
17e_a50|1|0.0|2|7.934155233999999|2|2|1.320916122|4.3906140030000005|-0.153175103|-0.0020746479999999|0.038322942|2|2.2384546640000003|-0.141076059|0.012036705|10.94500663|-0.114420412|2|0.012372059|-0.017965698|1|0.7596299459999999|-0.1710526319999999|-0.202197068|0.7791604190000001|0.736221185|1|0.930108205|-0.046347299|-0.073011385|0.4239465089999999|0.012865274|-32.24487658|10.68364489|0.069891795|-0.02665495|-35.33972521|6.227183052000001|86.98647608|0.803671114|-1.67926185|-22.43349867|-18.5444588|2883.936138|647.0975667|0.960006062|6301.28046|136.5904997|23.07468625|0.010255676|-422.5418889|0.0|1.0|1.0|0.0|4.18|4.23|0.37|-7.33|2.0|138.0|1.0|6.0|-4.87|-6.08|0.0|1.0|0.0|1.34e-05|0.00589|6.58e-06|4.08|0.0|0.0|4.63e-08|2.03e-05|3.8|4.0298|-1375.268259|757.34|307.67|0.1809|292.6|0.6322800000000001|0.66478|0.1785|-0.16649|6.7175|155.0|6.8097|6.8097
11c_a31|0|0.0|0|7.765993078999999|1|1|0.6101368770000001|0.0|0.069254998|-0.0184155389999999|-0.141329185|0|0.0|-0.847114804|-0.011679927|10.31169916|-0.085216451|2|-0.008375297|-0.0512371409999999|0|0.825336018|0.013528742|-0.139933586|0.8906705429999999|0.787929678|0|0.564143263|-0.138002689|-0.14043574|0.3608415239999999|0.034256743|-80.82023592|264.7428792|0.435856737|-0.042457317|-48.16624372|11.74927853|70.98337779|0.676089232|-1.825664624|-47.33176279|-24.864808|2470.585429|330.3862551|0.922968238|5329.481371|189.6959033|36.77740577|0.029155542|-206.2506659|1.0|0.0|1.0|2.0|3.51|2.66|0.28|-5.84|1.0|97.32|2.0|6.0|-5.11|-6.56|0.0|0.0|1.0|7.68e-06|0.00285|0.000105|2.82|0.0|0.0|1.45e-06|0.000537|4.47|3.8551|-1559.353434|622.22|321.61|0.2627|321.61|0.7005899999999999|0.7005899999999999|0.2627|-0.15994|5289.0|0.13|6.8861|6.8861
13_a12|0|0.0|0|0.0|0|0|1.508548782|0.0|0.202052156|-0.0069874069999999|-0.0619247109999999|2|0.0|-0.272508888|0.000830398|10.96083169|0.021322992|0|0.002279068|-0.362308767|2|0.845823047|-0.226526433|0.039235452|0.7300173240000001|0.804066411|0|0.90006391|-0.058167326|-0.092483398|0.122164874|0.008188151|-28.51381164|64.74666684|0.09993609|-0.034993718|-22.2236882|1.96760628|66.2289548|0.8829921740000001|-1.2947675790000002|-13.97756285|-17.15403411|1812.788134|441.2142447|0.874625469|3647.657976|57.35761558|19.42716439|0.0074597119999999|-375.4880089|1.0|1.0|1.0|1.0|2.7|2.64|0.12|-7.14|1.0|84.74|1.0|3.0|-4.26|-5.49|0.0|1.0|1.0|5.520000000000001e-05|0.0152|6.3e-05|3.51|0.0|0.0|7.26e-08|2.01e-05|3.83|3.9329|-876.3370809|532.86|315.25|0.6528|273.31|0.6622399999999999|0.64974|0.0155|-0.16458|1.3023|93.0|7.0315|7.0315
4_a4|0|0.0|1|7.535296702|1|1|1.343865392|2.156628874|-0.183963421|-0.001234337|0.0159331539999999|2|2.183056868|-0.058013858|0.011760626|10.92992837|-0.037623601|1|0.0112367389999999|-0.035166634|2|0.646069495|-0.168712277|-0.063012715|0.8306695270000001|0.636572383|1|0.933276024|-0.049768752|-0.06873731|0.456474074|0.008570112|-25.64211031|13.70182982|0.0667239759999999|-0.0255766729999999|-18.24679326|2.274995377|42.42341622|0.793717973|-1.099796957|-13.21145879|-13.17774406|2221.6122010000004|480.8472306|0.66251148|4878.070704|106.2816773|16.60255217|0.010586293|-302.661743|1.0|1.0|1.0|0.0|3.15|3.09|0.19|-7.57|1.0|100.08|1.0|2.0|-4.12|-5.79|0.0|1.0|1.0|7.59e-05|0.0248|2.69e-05|3.52|0.0|0.0|2.71e-08|8.85e-06|3.24|4.0261|-1029.93716|566.84|307.95|0.1106|230.37|0.55032|0.6010800000000001|67.0|-0.1696599999999999|2.6814|78.0|7.1079|7.1079
7_a1|0|0.0|1|7.860570786|2|2|1.348826331|2.307091837|-0.055291895|-0.010040172|0.001018628|1|0.0|-0.421687222|0.0021597079999999|10.9513015|-0.024096172|1|0.004950534|-0.077833285|1|0.7795049279999999|-0.048198584|-0.042175602|0.862051935|0.729621031|0|0.710959153|-0.083362936|-0.098295453|0.289201649|0.035937867|-40.16416679|111.9204437|0.289040847|-0.031040669|-22.81733634|8.342261787|404.7836105|0.603382856|-1.179545431|-19.35104936|-14.95535873|2150.215999|342.53930230000003|0.827584457|4519.238270000001|191.0896839|24.78585294|0.029820838|-99.61948195|0.0|1.0|1.0|0.0|3.09|2.83|0.22|-5.64|0.0|85.88|2.0|2.0|-3.16|-6.4|0.0|1.0|1.0|0.000696|213.0|0.000195|2.48|0.0|0.0|2.29e-06|0.000698|2.76|4.0504|-1009.48087|515.2|306.1|0.2961|306.1|0.69902|0.69902|0.2961|-0.16734|4575.0|0.46|6.3372|6.3372
12c_a36|0|0.0|0|7.412764017000001|2|2|1.29696741|0.0|-0.087096843|-0.007667703|-0.04162109|2|0.0|-0.414055975|0.0005016269999999|10.95982545|-0.056994595|1|0.0010871589999999|0.146546059|1|0.8941919290000001|-0.033217921|-0.097861598|0.8741648479999999|0.8065052890000001|0|0.840733512|-0.073370864|-0.105624703|0.462597812|0.019582215|-47.12722334|60.79111287|0.159266488|-0.038024893|-43.57746274|8.079011794|6.546878962999999|0.75500974|-1.901244658|-30.27053327|-24.42396797|2785.47514|540.0159387|0.899732176|6256.172329|157.3609748|32.34920911|0.019278991|-327.5932797|1.0|0.0|0.0|2.0|4.74|0.0|0.14|-7.18|1.0|128.76|1.0|5.0|-4.44|-6.49|0.0|1.0|1.0|3.64e-05|0.0151|2.55e-05|3.31|0.0|0.0|6.65e-08|2.77e-05|3.79|3.8436|-1692.511019|672.74|322.58|0.3927|322.58|0.68913|0.68913|0.3927|-0.15835|4.9812|9.0|8.0458|8.0458
17g_a50|1|0.0|2|7.934155233999999|2|2|1.320916184|4.377239517|-0.185924266|-0.002050512|0.052557574|2|2.236579664|-0.13328325|0.012079|10.94501702|-0.1155555559999999|2|0.01245647|-0.090386911|1|0.754575205|-0.10642733|-0.2126789369999999|0.7787714459999999|0.7276268779999999|1|0.920663175|-0.048170917|-0.0706879109999999|0.442201795|0.014550016|-32.14758511|10.60268439|0.079336825|-0.025918901|-31.48270383|6.48022912|85.51402581|0.749948388|-1.555134042|-21.45417373|-17.29736764|2821.3922|614.4183967|0.879688945|6102.424958|166.8756987|23.06474408|0.013645282|-333.6136209|0.0|1.0|1.0|0.0|4.04|3.66|0.35|-6.96|2.0|133.03|1.0|6.0|-4.46|-6.28|0.0|1.0|0.0|3.4899999999999995e-05|0.0148|1.39e-05|3.68|0.0|0.0|1.1e-07|4.6500000000000005e-05|3.22|4.0458|-1335.946919|725.92|306.45|0.1795|306.45|0.6623600000000001|0.6623600000000001|0.1795|-0.16699|7.0584|246.0|6.6091|6.6091
1b_a5|0|0.0|0|6.605297921|0|0|1.4258024619999998|0.0|-0.250420203|-0.00279809|-0.061874543|2|0.0|-0.111923619|0.003886035|10.94890233|-0.028797464|1|0.003708988|-0.220946861|2|0.567806811|0.122747292|-0.054153474|0.827319059|0.558485747|0|0.808828623|-0.07823203|-0.077221824|0.341795323|0.010803163|-39.38248661|168.30518769999998|0.191171377|-0.031306145|-19.56938257|2.737713392|0.769931305|0.7324812509999999|-1.158327367|-19.82538668|-15.75970652|2171.716467|407.1693177|0.90275317|4577.125071|134.6705884|21.51550842|0.019229427|-234.0649914|1.0|1.0|1.0|1.0|2.75|1.81|0.0|-8.3|0.0|90.44|1.0|3.0|-3.97|-5.99|0.0|1.0|1.0|0.000106|0.0336|4.970000000000001e-05|3.16|0.0|0.0|4.99e-09|1.58e-06|3.1|4.6481|-1050.506509|536.59|266.74|0.3101|258.89|0.5153800000000001|0.43728|87.0|-0.1892|2891.0|59.0|7.2291|7.2291
12a_a50|1|0.0|2|7.927685046000001|1|1|1.397770359|4.075037557|-0.199881787|-0.002936355|-0.0016330379999999|1|2.112397566|-0.126263256|0.01164808|10.94501645|-0.122912558|2|0.011790103|-0.193999688|1|0.699597776|-0.030758487|-0.2018898489999999|0.862192416|0.660148928|1|0.904119689|-0.05075501|-0.0663902|0.29507467|0.021013336|-25.57033815|7.457998037999999|0.095880311|-0.02383238|-16.85074424|5.333473207|69.83817338|0.575218972|-0.929462803|-12.88231829|-12.00673599|2223.666558|455.4948605000001|0.885635975|4665.239724|214.004382|20.873331|0.027455156|-75.79052945|1.0|1.0|1.0|0.0|3.3|2.21|0.11|-5.49|0.0|94.69|2.0|2.0|-3.16|-6.44|0.0|1.0|1.0|0.000685|215.0|0.000144|2.5|0.0|0.0|3.22e-06|0.00101|2.47|4.0783|-1006.632973|545.54|304.01|0.1807|304.01|0.65267|0.65267|0.1807|-0.16806|5.7662|75.0|7.1249|7.1249
