molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|nFaHRing|RASA|FNSA5|PNSA5|PPSA3|RNCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|PPSA5|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|IC50|pIC50|pIC50
12bd_a36|0.0|0|3.497517322|0.0|0|2|2|1.297043358|-0.051990612|-0.006695407|2|0.04625323|0.025649557|0.0|-0.4017244129999999|0.003676818|-0.030990165|-0.0288761339999999|1|0.0045625|0.042808724|-0.169994208|-0.436345273|1|0.902377067|-0.011529973|0.833398429|0|0.832478093|-0.099460046|-65.65179884|11.7156452|83.92365468|0.78244124|-1.989200921|-30.9716039|75.7932235|-23.44707102|58.63647911|0.475272043|2772.776922|549.5039111000001|-1313.035977|2403.371086|15.34283166|0.905749421|5957.939097|143.6066496|29.96655829|0.015363883|10.14142465|0.0|1.0|0.0|4.95|-7.34|3.76|2.5|69.2|1.0|0.0|133.68|0.0|1.0|5.0|-4.54|31.0|409.49|1.0|-4.6|0.0117|2.5e-05|3.41|0.0|0.0|4.55e-08|1.86e-05|3.8786|3544.0|-1311.591775|1200.23|568.94|-1311.291779|0.0058|-0.1459|5.7533|-1311.352257|17.0|7.7696|7.7696
19c_a38|0.0|0|3.332128134|0.0|0|2|2|1.297043851|-0.085545751|-0.008177185|2|0.04508642|0.02192428|0.0|-0.449745181|-0.004442319|-0.0725602509999999|-0.0431896509999999|1|-0.002443797|0.04814981|-0.20848518|-0.434836855|1|0.7163622890000001|0.073931688|0.908721232|0|0.7591916240000001|-0.108301657|-68.18641054|15.30924906|139.1570837|0.7187071909999999|-1.949429829|-36.38913762|82.74311399|-24.06579196|73.10674676|0.477803802|2967.98627|477.9848537|-1227.35539|2660.812979|13.36189552|0.914989047|6618.350708|177.10114030000005|33.48483537|0.023120664|14.55670345|1.0|1.0|1.0|4.84|-6.92|3.17|2.42|105.02|1.0|0.0|130.41|0.0|1.0|5.0|-4.35|32.0|426.45|0.0|-4.12|19.0|7.55e-05|2.5|0.0|0.0|1.2099999999999998e-07|5.14e-05|5.8832|3.8322|-1424.42734|1138.6|517.28|-1424.1880119999998|0.1417|-0.15612|2495.0|-1424.247603|9.0|8.0348|8.0348
1h_a5|0.0|0|2.9516097130000003|0.0|0|0|0|1.427564094|-0.259241577|-0.001978474|2|0.026339869|-0.02598568|0.0|-0.085074391|0.008031558|-0.1197834419999999|-0.044117647|1|0.007357977|-0.043247682|0.0578378779999999|-0.20140246|2|0.71274658|0.070628165|0.8436458929999999|0|0.8806402259999999|-0.069496749|-36.2462047|4.588992214|160.0744187|0.7450549759999999|-1.111947978|-18.38824808|44.51475742|-14.49848188|39.84574434|0.489507204|2107.271793|459.3001331|-579.9392753|819.6979313999999|13.14687756|0.958891501|4334.547353|132.96722079999998|19.45961351|0.01585373|8.268552715|0.0|1.0|1.0|2.8|-8.41|4.99|4.51|54.46|0.0|0.0|95.45|0.0|1.0|3.0|-4.25|24.0|312.37|1.0|-4.45|0.0174|3.5600000000000005e-05|3.43|0.0|0.0|3.87e-09|1.21e-06|4652.0|4.3651|-990.6346565|934.7|430.83|-990.472129|0.1754|-0.17797|2.2396|-990.523098|28.0|7.5528|7.5528
13f_a6|0.0|0|3.440154557|0.0|0|0|0|1.429020649|-0.088329567|-0.006930367|2|45.0|0.04505613|1.651047524|-0.381170169|-0.003356527|-0.071478789|-0.049928822|1|-0.001446486|0.079490516|-0.223618825|-0.466314952|2|0.841211811|-0.028317736|0.834167942|1|0.863222493|-0.092939631|-62.41821579999999|12.46087045|62.42897239999999|0.720711855|-1.672913351|-33.08535238|75.61173794|-22.02995852|61.72438096|0.401838426|2869.925064|579.7398537|-1123.527884|3253.287533|15.13042752|0.6717890999999999|6128.208571|187.5697972|30.56694343|0.0196449239999999|13.19352214|1.0|1.0|1.0|3.56|-10.18|5.01|4.53|103.17|1.0|0.0|123.82|0.0|0.0|5.0|-5.11|32.0|417.47|1.0|-4.78|0.00323|1.65e-05|3.27|0.0|0.0|6.59e-11|2.75e-08|4.8413|3139.0|-1347.301285|1202.78|568.41|-1347.018087|0.0048|-0.12805|10.8469|-1347.0794119999998|42.0|7.3768|7.3768
12_a47|0.0|1|2.903215905|0.0|0|0|0|1.304330736|-0.155854903|-0.005522244|2|0.036632997|0.001435849|1.555521837|-0.209845277|-0.0047488359999999|-0.018573056|0.0295267039999999|1|-0.004332024|0.003417588|-0.015039637|-0.326846977|2|0.6505449670000001|0.055943216|0.90246604|1|0.7840710409999999|-0.091853238|-47.83891561|9.382250925|63.89392714|0.680723821|-1.1940921|-23.01490672|61.09751253|-17.76874008|53.5720844|0.4792593739999999|2266.78114|408.3591283|-621.9059029|702.3796319|13.52358352|0.920341815|4816.005822|166.28511369999998|26.10271529|0.025457205|13.25859692|0.0|1.0|1.0|2.73|-8.11|4.19|4.98|66.49|0.0|0.0|91.63|0.0|1.0|3.0|-4.51|24.0|339.75|1.0|-4.56|0.0106|2.77e-05|3.43|0.0|0.0|7.69e-09|2.61e-06|4.2907|3.9538|-1488.101254|886.46|400.09|-1487.974738|0.2241|-0.1633|2.1019|-1488.024564|6.0|8.2|8.2
17a_a10|0.0|0|0.0|0.0|1|2|2|1.3438501040000002|-0.218519541|-0.004333189|3|0.036545455|-0.082914437|1.863045777|-0.2946568739999999|0.009206558|-0.093735748|0.031632653|1|0.01029375|-0.132166258|-0.360142554|-0.275154041|2|0.7019075779999999|0.029106767|0.8044827790000001|1|0.8538249840000001|-0.082689376|-58.46202420000001|14.20303963|51.96456548|0.564726042|-1.488408763|-27.70403316|76.48633670000001|-16.70343549|53.38795048|0.4918223679999999|3154.628148|603.6608262999999|-1052.3164359999998|1855.293376|16.96492079|0.967815851|7078.918870999999|307.7420338|29.57794442|0.0254938|18.02431251|1.0|1.0|1.0|3.8|-7.32|3.31|2.5|76.38|1.0|0.0|142.16|0.0|1.0|6.0|-3.68|35.0|468.55|0.0|-4.32|0.0986|4.74e-05|2.43|0.0|0.0|4.74e-08|2.22e-05|5.5285|3.9887|-1524.557372|1326.24|603.73|-1524.187115|0.0867|-0.16562|4.1012|-1524.252023|49.0|7.3098|7.3098
9h_a24|0.0|0|2.916716427|0.0|1|0|0|1.428198245|-0.203768024|-0.002864393|2|0.023854167|0.078066659|0.0|-0.105982525|0.013595277|-0.209618231|-0.002471577|2|0.012380829|0.144624936|-0.047269812|-0.207206943|2|0.687815726|0.183289617|0.859720539|0|0.883775278|-0.0687348109999999|-32.48899638|8.724425117000001|167.2085719|0.572371258|-0.8935525440000001|-13.48059881|47.51520531|-12.42226332|37.24443236|0.477589721|2062.34011|417.7355164|-422.3569529|768.1954692|11.11300329|0.914204295|4170.098082|202.1279819|21.70315707|0.031789952|15.02620893|0.0|1.0|1.0|2.84|-6.05|2.42|2.72|72.28|0.0|0.0|82.17|0.0|1.0|3.0|-2.83|22.0|288.31|1.0|-3.24|423.0|0.000575|1.7|0.0|0.0|8.95e-07|0.000258|5.1739|4.3437|-945.2642633|831.92|363.48|-945.153352|0.0073|-0.18239|5.6654|-945.200628|77.0|7.1135|7.1135
13d_a6|0.0|0|3.447870607|0.0|0|1|1|1.424214188|-0.045686501|-0.010665225|1|0.041728395|0.077158715|0.0|-0.607917822|-0.003346018|-0.042531782|-0.10528143|1|-0.000899678|0.126028544|-0.174259072|-0.49314765|1|0.845481322|-0.027209556|0.841971795|0|0.78862121|-0.110731261|-75.40072983|20.96853949|156.67194009999997|0.769432845|-2.103893962|-42.92734103|88.02705449|-27.03045032|84.01035117|0.4128711229999999|2882.382522|536.999346|-1432.613867|3075.022992|15.47559904|0.703203572|6185.117192000001|157.0011174|35.13035671|0.018542644|12.62632467|1.0|1.0|1.0|3.64|-9.4|5.38|4.57|95.85|2.0|0.0|121.6|0.0|1.0|6.0|-5.95|32.0|423.47|1.0|-5.27|0.000471|5.42e-06|4.23|0.0|0.0|3.96e-10|1.68e-07|4.85|3.6298|-1389.403308|1219.11|598.06|-1389.125098|0.2513|-0.14894|11.0994|-1389.188211|0.36|6.4437|6.4437
11c_a31|0.0|0|3.336985072|0.0|0|1|1|0.6101368770000001|0.069254998|-0.0184155389999999|0|0.037731481|-0.031640011|0.0|-0.847114804|-0.011679927|-0.137912959|-0.085216451|2|-0.008375297|-0.0512371409999999|-0.16065803|-0.572548808|0|0.825336018|0.013528742|0.8906705429999999|0|0.564143263|-0.14043574|-82.24513417|20.06220362|264.7428792|0.676089232|-1.825664624|-47.33176279|99.31985763|-24.864808|100.8824395|0.47997061|2470.585429|330.3862551|-1069.186744|1770.045716|13.95917988|0.922968238|5329.481371|189.6959033|36.77740577|0.029155542|17.07472346|1.0|1.0|1.0|3.51|-5.84|5.04|3.64|125.57|1.0|0.0|97.32|0.0|2.0|6.0|-5.11|26.0|371.41|1.0|-3.98|0.00285|0.000105|2.82|0.0|0.0|1.45e-06|0.000537|3.8551|3.8551|-1559.3980869999998|1022.77|512.9|-1559.194237|0.2627|-0.15994|5289.0|-1559.253116|0.13|6.8861|6.8861
11_a47|0.0|0|0.0|0.0|0|0|0|1.381898438|0.035230036|-0.007767503|3|0.033931624|-0.0586047379999999|1.311097861|-0.427212659|-0.007419345|0.081235787|0.046339015|0|-0.00580273|-0.120383371|-0.079543257|-0.451384505|3|0.702719047|-0.058523885|0.770028429|1|0.796863393|-0.096486559|-59.10798423|5.184267117|119.4035378|0.816608795|-1.833244617|-30.64032829|66.9895812|-22.02062158|55.20085753|0.4686568239999999|2842.168734|488.1611434|-1123.0517|2201.328597|11.22841564|0.8820228529999999|6736.717611|112.34605729999998|26.96593732|0.0128657439999999|7.881596968999999|0.0|1.0|1.0|3.28|-10.55|5.58|6.68|70.93|2.0|0.0|124.7|0.0|0.0|4.0|-6.29|32.0|422.45|1.0|-6.03|0.000216|9.32e-07|5.06|0.0|0.0|2.81e-11|1.19e-08|3.7253|3.7253|-1396.184699|1146.42|549.52|-1395.922861|0.2321|-0.1546|2.9142|-1395.980918|0.04|7.4|7.4
