molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|SaaaC|AATSC1are|n5aRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|FNSA3|PBF|RPSA|FNSA4|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|GeomRadius|GeomShapeIndex|GRAV|WNSA2|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Veber filter|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
6a_a40|0.0|0|0|0|0.0|0.0|1|8.421342866|1|2|0.604893625|1.78213955|0.117890918|-0.014623575|0|0.775942224|-0.001347823|2|-0.001171195|-0.021759541|-0.040435852|0|0.682273668|0.801647855|-0.012261923|0.861720535|1|-0.109047987|0.360858579|0.266249007|-0.049149867|6.397774285|0.8678518190000001|-2.113444291|-42.542782200000005|81.37714586|78.35465194|0.41480944|458.303126|2536.88262|6.945713476|0.708845065|7059.617542|-824.5159087000001|-459.522754|1521.070502|1.0|0.0|1.0|0.0|1.0|1.0|0.21|14.0|-4.05|4.38|173.43|2.0|1.0|-7.11|29.0|-6.32|442.53|0.0|1.0|7.85e-08|3.47e-05|3.77|1.0|8.950000000000001e-05|2.9836|2.9836|-2371.579899|-2371.560378|649.48|1103.4|415.55|415.55|0.6782699999999999|0.4015|-0.11995|-0.21255|0.01952089|-2371.443161|9.3893|7.3979|7.3979
9c_a31|0.0|1|0|0|3.410619646|0.0|0|7.765993078999999|1|1|0.610135804|0.0|0.031715924|-0.013082561|0|0.0|-0.003618466|2|-0.000813398|-0.138799714|-0.223856622|0|0.8083148840000001|0.842823186|-0.000533581|0.8856644770000001|0|-0.103325018|0.287455956|0.325309894|-0.035867334|12.30439782|0.670716706|-1.7933667130000002|-41.96335759|97.22026028|85.15486955|0.4558841429999999|429.9685721|2242.189942|8.188627935|0.837843885|5658.985169|-728.3394714|-217.5897278|1703.9715989999995|1.0|1.0|1.0|1.0|1.0|2.0|0.35|16.0|-7.24|5.64|117.37|2.0|0.0|-5.23|28.0|-6.53|398.48|0.0|1.0|5.85e-06|0.00233|3.1|0.0|5.79e-08|3849.0|3849.0|-1618.157698|-1618.115927|691.3|1147.93|322.12|322.12|0.7007399999999999|0.2554|-0.15975|-0.19224|0.04177078|-1617.9568470000002|2.2323|6.3768|6.3768
4_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0|0|0.60501714|0.0|0.2122551539999999|-0.008561428|1|1.882124381|-0.008407895|1|-0.007022144|0.053425134|0.127253753|1|0.640351067|0.721302096|-0.028924747|0.785381728|1|-0.110345083|0.5842630360000001|0.25946603|-0.039478171|1.809595554|0.866976271|-1.381735991|-24.93884341|51.71950126|56.26480013|0.415852758|352.05186289999995|1548.626215|5.05182773|0.711897153|4885.093366|-312.2830359|-348.9230345|757.6690029|1.0|1.0|0.0|1.0|1.0|1.0|0.0|21.0|-7.53|5.3|80.04|1.0|0.0|-5.69|23.0|-5.21|321.37|0.0|1.0|2.02e-06|0.00065|4.3|0.0|2.950000000000001e-08|5.9341|3.4771|-1355.332318|-1355.303098|504.29|858.45|356.58|208.93|0.3809|119.0|-0.14983|-0.20826|0.02921941|-1355.239905|3.1409|5.9|5.9
19g_a38|0.0|1|0|0|3.229090845|0.0|0|7.412764017000001|2|2|1.297044182|0.0|-0.077355838|-0.008497058|2|0.0|-0.006877664|1|-0.004358975|-0.098027247|-0.250781298|1|0.653741315|0.836170906|-0.063110203|0.892249657|0|-0.086314802|0.5322242429999999|0.279993731|-0.038842708|9.191644336|0.719941993|-1.942135378|-34.56416368|86.78105144|69.14572278|0.455443492|455.6240763999999|2506.378649|6.327835378|0.836356715|6631.17356|-777.7146399000001|-278.3610963|1707.074131|1.0|1.0|1.0|1.0|1.0|3.0|0.14|17.0|-7.12|3.55|81.23|1.0|0.0|-4.25|31.0|-6.81|419.43|0.0|1.0|5.68e-05|0.0238|2.88|0.0|7.599999999999999e-08|5.2766|3.6887|-1431.419426|-1431.386981|638.82|1104.29|336.12|234.97|0.3937|0.0962|-0.15269|-0.20748|0.03244515|-1431.244906|6.1765|7.3778|7.3778
12q_a30|0.0|0|0|0|0.0|-4.76444841|0|7.412764017000001|2|2|0.60498366|0.0|0.144208934|-0.015322396|2|0.0|-0.00695299|1|-0.004395528|-0.077457998|-0.226973911|1|0.613786308|0.816138015|0.01661722|0.867367115|0|-0.087348134|0.596557166|0.154254173|-0.045799658|6.868090132000001|0.820640722|-2.427381881|-40.56199584|90.06607753|69.60189582|0.473741611|576.3319634|2844.418547|7.346842839|0.900207238|7990.060758|-1127.2072970000002|-437.0000797|2015.662819|1.0|0.0|1.0|1.0|0.0|1.0|0.17|17.0|-7.18|4.43|90.88|2.0|0.0|-6.7|34.0|-5.66|482.48|0.0|0.0|1.99e-07|9.63e-05|5.05|0.0|6.61e-08|5.0573|3.4834|-1988.033527|-1987.999444|713.16|1214.92|355.93|245.16|0.34138|0.1515|-0.14792|-0.19897|0.03408298|-1987.847256|6.821000000000001|7.4449|7.4449
1c_a5|0.0|1|0|0|2.955525321|0.0|0|6.605297921|0|0|1.424607938|0.0|-0.268536978|-0.001983746|2|0.0|0.008031558|1|0.007357977|0.034752304|0.0578378779999999|2|0.71274658|0.7595197290000001|0.128385959|0.821309592|0|-0.068062282|0.436308619|0.11368581|-0.0281385329999999|2.185709046|0.753027268|-1.12554131|-17.81716094|43.86175561|39.09545876|0.476413155|453.4753671|873.709445|6.063350238|0.909902834|4387.398857|-294.64117410000006|-258.918642|764.7451566000001|1.0|1.0|0.0|1.0|1.0|1.0|0.05|23.0|-8.41|4.99|54.46|0.0|0.0|-4.25|24.0|-5.77|312.37|1.0|1.0|5.5700000000000005e-05|0.0174|3.43|0.0|3.87e-09|4.8783|4.5088|-990.6223073|-990.5931502|556.84|929.31|274.99|254.15|0.4444899999999999|0.1076|-0.18719|-0.22684|0.029157178|-990.516371|2.6801|5.4|5.4
15_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1|1.399867493|1.956386054|-0.159419214|-0.001986535|1|0.0|0.009823083|1|0.00918585|-0.017259078|-0.038707204|1|0.5118792910000001|0.772721853|0.095534883|0.8347553529999999|0|-0.062151785|0.2517542889999999|0.132283624|-0.030724393|2.505098786|0.8438913020000001|-1.106078158|-14.29317436|40.03406565|35.02894809|0.437696617|416.1168833|1495.715718|5.459799482|0.7783994009999999|4134.603400999999|-254.3670787|-329.8289177|628.5456843999999|1.0|0.0|0.0|1.0|0.0|0.0|0.11|17.0|-6.09|4.09|30.71|0.0|0.0|-3.82|22.0|-5.6|291.32|1.0|1.0|0.000152|0.0443|3.49|0.0|8.070000000000001e-07|4.5048|4.2148|-958.270023|-958.251931|512.65|848.47|294.16|275.22|0.4778699999999999|0.0969999999999999|-0.17373|-0.2091199999999999|0.018092091|-958.195344|3.0091|6757.0|6757.0
8a_a50|0.0|1|1|1|3.139870661|0.0|1|7.860570786|1|1|1.39826105|2.03117465|-0.0737162059999999|-0.00439531|1|1.99158738|0.007671336|2|0.007801731|-0.065546446|-0.11385159|1|0.75162266|0.804535572|-0.188882361|0.8718949979999999|1|-0.069208148|0.278028663|0.139123262|-0.031655181|4.778811898|0.751415713|-1.234552044|-17.58335405|50.06249379|44.36511568|0.46183401|433.9235497|1503.563342|5.754657432|0.858162757|4638.284496|-313.6562159|-253.4513797|828.1354551|1.0|1.0|0.0|1.0|1.0|1.0|0.11|20.0|-6.32|3.63|59.39|0.0|0.0|-3.86|24.0|-6.12|313.36|1.0|1.0|0.000138|0.0433|2.95|0.0|4.82e-07|5.622000000000001|4.1738|-1006.671867|-1006.637067|548.47|912.7|297.06|220.53|0.3462199999999999|0.1217|-0.17244|-0.20051|0.03479985|-1006.557694|5.5319|7.3279|7.3279
12h_a40|0.0|0|0|0|0.0|0.0|1|7.515889085|0|0|0.60499064|1.760542171|0.104392974|-0.008044548|0|0.803557099|-0.000134504|2|-0.002126898|0.127299624|0.224167029|0|0.809398262|0.7769829840000001|0.116873629|0.845904643|1|-0.0954337969999999|0.006997021|0.160518251|-0.038796498|3.274152035|0.844008584|-1.280284432|-26.67382585|54.9311782|56.64687411|0.4958138139999999|443.8158546|603.6697997|7.989299324|0.983394285|5087.343024|-357.8405665|-363.7398044|801.957134|1.0|0.0|1.0|1.0|1.0|1.0|0.0|20.0|-6.84|4.59|84.45|2.0|0.0|-6.25|23.0|-5.13|361.25|0.0|1.0|5.58e-07|0.0002009999999999|4.75|0.0|1.44e-07|4.1508|2.6436|-2153.207198|-2153.186757|548.82|910.77|469.0|298.7|0.6503899999999999|0.3693|-0.1092|-0.18432|0.02044063|-2153.123274|3.5425|6.0846|6.0846
11d_a31|0.0|1|0|0|3.39688681|0.0|0|7.765993078999999|1|1|0.610136352|0.0|0.064475882|-0.017317263|0|0.0|-0.009496378|2|-0.006496772|-0.096447723|-0.153894316|0|0.819298311|0.822077662|-0.057505249|0.868115289|0|-0.134031221|0.197166451|0.414787184|-0.040797245|12.89967697|0.6817705409999999|-1.87667327|-50.23449218|98.8237718|103.1255906|0.4816588089999999|358.2711594|2039.207676|7.885647873|0.929231204|5420.356537|-703.3714074|-222.5622569|1685.188386|1.0|1.0|1.0|1.0|1.0|2.0|0.32|16.0|-6.23|5.43|125.57|1.0|0.0|-5.48|27.0|-6.4|385.44|0.0|1.0|3.33e-06|0.00128|3.17|0.0|5.83e-07|3.8009|3.8009|-1598.7152199999998|-1598.671315|650.64|1077.69|326.2|326.2|703.0|0.2642|-0.15822|-0.19226|0.04390452|-1598.546288|4.6622|7.5229|7.5229
