molecula|NaaNH|n9FaHRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|WNSA5|WPSA3|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Veber filter|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
4m_a46|0|0|0.0|7.825245291|1|1|1.134637002|2.12888511|-0.245599013|-0.000686578|0.051308728|0.041865079|0.0|0.011122528|-0.142061192|10.94319657|1|1|0.010359417|-0.017992096|-0.029022201|-0.098201489|1|0.615482006|0.747676221|-0.099662698|0.7975218959999999|0.626578283|-0.0672468|0.373463876|0.010905551|-35.43866734|5.74716122|6.161736337000001|0.051026123|-18.67596877|3.028720082|-1.008702005|-18.69640205|41.88525631|-11.81288911|41.22460182|0.463006576|2133.331634|-531.5800101|1639.260563|-6.225322922999999|0.266763619|5.329061873000001|4750.325312|-280.1395315|16.11061509|0.012232753|-245.828396|724.9776792|486.9589609|6.446588969|1.0|1.0|1.0|2.9|0.29|-6.88|4.63|54.5|2.5|0.0|0.0|-4.52|25.0|-5.68|328.41|0.0|3.59|2.99e-05|0.0088|0.0|1.31e-07|-0.04808|6.0419|-1031.138426|558.63|975.72|285.18|0.2465|205.21|468.63|0.38389|-1030.929791|0.1557|-0.18308|3.9226|0.02920209|5.2326|1288.0|5.8901|5.8901
16_a4|0|0|0.0|7.535296702|1|1|1.398650725|1.843196334|-0.219944434|-0.00228637|-0.095499301|0.04501634|0.0|0.0067511459999999|-0.148022089|10.94592242|1|1|0.006466406|-0.018051608|-0.0513920109999999|-0.214481956|1|0.490768328|0.774455255|-0.0894138519999999|0.8366279120000001|0.482473457|-0.080093659|0.292255386|0.013727656|-39.44800181|6.761192037000001|13.51923899|0.210153891|-19.42906425|3.330045338|-1.201404885|-17.789707500000002|45.11883447|-16.43666742|42.88070889|0.455802506|2101.6948030000003|-591.7200271|1522.164774|-8.095443438|0.167538305|5.548106463|4520.2597670000005|-291.4359638|19.74465314|0.0115138339999999|-327.4903335|710.807513|322.8922084|5.67083266|1.0|0.0|0.0|3.08|0.11|-6.36|4.96|30.71|3.44|0.0|0.0|-3.92|23.0|-5.64|309.31|0.0|3.91|0.0001199999999999|0.0114|0.0|4.33e-07|-0.03965|4511.0|-1057.494456|515.68|856.55|293.41|0.2213|274.85|407.99|0.51149|-1057.3808390000002|0.1006|-0.17375|1863.0|0.01638524|1.9873|343.0|6.4647|6.4647
22_a4|0|0|0.0|7.535296702|1|1|1.399866564|1.987636054|-0.043165663|-0.006436201|-0.115883451|0.044357639|0.0|0.004765062|-0.2078428719999999|10.94586213|1|1|0.004237768|0.021636871|0.034720243|-0.3877007|1|0.774689758|0.7797803109999999|0.086940934|0.8404413829999999|0.755510052|-0.089955967|0.242642229|0.010702353|-43.23011833|5.1432274630000006|162.9809584|0.138796849|-20.77508795|2.47167963|-1.349339509|-21.92150631|48.65880447|-17.52572365|50.75888571|0.4359219589999999|1950.173729|-648.451775|1477.437886|-8.422332951|0.155532959|5.495481464|4074.564287|-311.62631919999995|20.75359108|0.011296354|-331.080892|767.88287|338.71903330000004|5.428686137000001|1.0|0.0|0.0|2.2|0.11|-5.24|3.54|50.94|2.09|0.0|0.0|-3.77|22.0|-5.91|289.33|0.0|2.81|0.000172|0.0301|0.0|5.77e-06|-0.03046|4.468999999999999|-934.2706743999998|519.39|860.77|305.85|0.1675|277.43|400.29|628.0|-934.12356|0.1293|-0.16754|3.5548|0.030263407|5.4110000000000005|47.0|7.3279|7.3279
2_a20 (SB-505124)|1|0|3.485765306|7.434257382|1|1|1.183764955|0.0|-0.006955944|-0.010175551|-0.076310057|0.05042042|0.0|0.001622309|-0.177905025|10.95129567|1|1|0.003789399|-0.150708132|-0.229461916|-0.520284161|1|0.827730504|0.725030162|0.082053195|0.765632979|0.790275077|-0.117328885|0.214264156|0.02856542|-64.55966745|15.71798823|122.8758934|0.230563934|-35.52365346|8.648749117000001|-1.759933279|-25.30121848|70.87109323|-21.05206547|61.69969596|0.475937029|2195.369524|-968.3950117|1709.9571620000002|-11.58380004|0.1680806939999999|5.952040367|4762.83693|-532.854802|25.30541763|0.011470204|-365.2740749|1164.049211|477.95809620000006|6.311425784|1.0|1.0|1.0|3.1|0.3|-7.22|4.47|60.03|2.06|0.0|0.0|-5.24|25.0|-5.31|335.4|0.0|3.81|5.72e-06|0.0040799999999999|0.0|6.070000000000002e-08|-0.03717|3.6404|-1089.371784|593.8|995.68|340.58|0.3267|340.58|505.82|0.69947|-1089.147716|0.3267|-0.14928|2.5584|0.01305739|3.9392|169.0|6.7721|6.7721
A8301_a51|0|0|0.0|6.86171134|0|0|1.197963627|1.700610355|0.0245770529999999|-0.00449765|-0.028789626|0.039058957|1.987294898|0.00740124|-0.012770742|10.31321735|1|1|0.007083041|-0.0357324579999999|-0.0618359079999999|-0.4354420879999999|2|0.7595189840000001|0.6959300979999999|-0.013846396|0.750630149|0.7234449559999999|-0.0780376929999999|0.339244706|0.008152073|-50.67621589|5.293803823|36.55933899|0.065260105|-32.90818536|3.437697042|-1.6387915469999998|-23.3177516|56.90163721|-21.28401067|41.20144811|0.4799553379999999|2799.106729|-1064.200534|2461.663545|-13.82143785|0.145040365|6.890532887999999|6401.6494600000005|-691.0718926|24.89475504|0.009586697|-461.0082758|1244.737752|690.8826121000001|6.225421319|1.0|1.0|1.0|3.5|0.04|-9.38|5.52|87.72|3.35|1.0|0.0|-6.6|31.0|-5.31|421.52|0.0|4.58|2.5e-07|0.000495|0.0|4.12e-10|||||||||||||||||12.0|7.9208|7.9208
6_a27|1|0|2.6137160880000003|6.823286122000001|0|0|1.404458667|1.7996617540000002|0.1718757239999999|-0.007874167|-0.072298665|0.042942943|1.221528093|0.00526746|0.075248207|10.93737136|1|1|0.0058042269999999|-0.1044763|-0.179319226|-0.541168953|2|0.678057835|0.787663648|-0.1322552659999999|0.849515128|0.650575651|-0.090025109|0.344065059|0.020552125|-44.56839492|10.17466399|125.8234721|0.214952384|-22.06430895|5.03713293|-1.35037664|-19.27068071|52.66373343|-17.14169035|49.10012093|0.47262982|2196.1151210000003|-668.5259238|1193.992326|-8.486272674|0.2251796019999999|5.010042219|4761.820508|-330.96463430000006|22.12343713|0.01635203|-272.1086175|862.8140479|373.9912084|8.095338503999999|0.0|0.0|0.0|2.49|0.11|-6.67|2.79|76.46|2.42|0.0|0.0|-3.62|24.0|-6.55|317.34|0.0|2.71|0.000242|0.0485|0.0|2.16e-07|-0.04793|5.5447|-1043.831559|526.9|896.68|299.55|0.1915|223.61|401.49|0.3366099999999999|-1043.678244|163.0|-0.17007|2.7521|0.02494141|4.0597|1.0|9.0|9.0
5d_a40|0|0|0.0|8.149890544|0|1|0.6049133329999999|1.601200869|-0.071479892|-0.005662681|0.0418378229999999|0.044526749|0.716041667|0.007200253|0.2078052269999999|10.31198333|2|2|0.006642869|-0.0038660009999999|-0.009744685|-0.399968083|0|0.496945486|0.8092726020000001|0.145024458|0.877722972|0.483934049|-0.094277694|0.049855551|0.022027556|-43.26473143|10.10860823|181.4728912|0.245989948|-19.85450535|4.638915105|-1.131332331|-18.15211073|49.97858532|-17.30589257|49.66367051|0.479931934|1974.583878|-519.1767771000001|511.3769101|-7.94180214|0.188819426|6.288958592999999|4051.712713|-238.2540642|21.3342049|0.014630084|-285.606135|640.0261471|243.4287716|6.713853887999999|1.0|1.0|0.0|2.56|0.21|-4.32|3.64|75.5|2.25|1.0|0.0|-4.23|20.0|-5.94|287.31|0.0|3.1|5.9e-05|0.0436|0.0|4.7600000000000005e-05|-0.06796|3.7374|-1276.833831|473.48|765.69|331.74|0.4493|331.74|365.74|0.69613|-1276.751174|0.4493|-0.14851|7.0422|0.01667985|9.2439|19.0|7.7212|7.7212
SB431542_a8|1|0|3.172627551|7.535296702|1|1|1.401734117|1.4114120369999998|-0.007805495|-0.014434378|-0.1950388569999999|0.041909722|0.0|-0.0075336219999999|-0.029382296|10.94951956|1|1|-0.005306541|0.055198015|0.089375589|-0.494976661|1|0.76592324|0.762577159|0.229470029|0.8220300859999999|0.7318727540000001|-0.124595991|0.274152231|0.034730361|-74.57768059|20.78806656|170.1252996|0.434670151|-44.6389196|12.44282236|-2.242727845|-45.98111161|89.64885355|-29.18257067|97.60813043|0.476091179|2801.428659|-1342.398251|1947.072021|-17.46740332|0.239171941|7.360028263999999|6203.505123|-803.5005528|38.35632812|0.025179219|-312.2404091|1764.391093|529.053307|15.07117296|0.0|1.0|0.0|2.75|0.05|-6.76|2.72|112.23|1.9|0.0|0.0|-4.4|30.0|-7.04|400.39|0.0|2.58|3.99e-05|0.0292|0.0|1.74e-07|||||||||||||||||79.08|4.1019|4.1019
13m_a6|1|0|3.415695704|6.842683282|0|0|1.429020166|0.0|0.031719435|-0.010840005|-0.135152403|0.0446875|1.617900191|-0.0093684169999999|0.054340057|10.9505335|1|1|-0.00687003|-0.068956229|-0.118693789|-0.568024162|2|0.870730542|0.7767360059999999|0.156982046|0.832753533|0.82642394|-0.107644789|0.429009107|0.01858251|-75.05944278|12.95736535|91.22689385|0.2843875389999999|-52.33806464|9.035018118|-2.045251|-48.09294654|89.65257305|-26.40980394|81.92876874|0.48094941|2951.567781|-1426.129413|2574.030011|-18.41524497|0.263701|8.435961541000001|6412.592679|-994.4232282|35.8683143|0.020928405|-329.5370141|1936.888972|724.3873672999999|14.59313027|1.0|1.0|1.0|2.18|0.08|-9.67|3.76|122.47|0.81|0.0|0.0|-4.64|33.0|-7.23|435.48|0.0|2.67|2.27e-05|0.0228|0.0|2.1499999999999998e-10|-0.07137|3.9127|-1423.762467|726.28|1231.54|371.67|275.0|316.88|546.69|0.66475|-1423.448957|0.1924|-0.13817|4.2913|0.04955777|6.5243|0.01|8.0|8.0
17e_a50|0|1|0.0|7.934155233999999|2|2|1.320916122|4.3906140030000005|-0.153175103|-0.0020746479999999|0.038322942|0.031870748|2.2384546640000003|0.012036705|-0.086639125|10.94500663|2|2|0.012372059|-0.1949741189999999|-0.310566368|-0.229030473|1|0.7596299459999999|0.7409645029999999|-0.1710526319999999|0.7791604190000001|0.736221185|-0.073011385|0.4239465089999999|0.012865274|-50.7956915|8.950665784|10.68364489|0.069891795|-35.33972521|6.227183052000001|-1.67926185|-22.43349867|57.93079973|-18.5444588|41.19554236|0.489797496|2883.936138|-1168.300905|1981.934841|-12.90180444|0.196328886|8.52101688|6301.28046|-812.8136797000001|23.07468625|0.010255676|-422.5418889|1453.705234|904.3172644|7.135108233|0.0|1.0|1.0|4.23|0.37|-7.33|4.68|51.77|2.91|0.0|0.0|-4.87|33.0|-6.08|438.57|0.0|4.03|1.34e-05|0.00288|0.0|4.63e-08|-0.03156|4.2373|-1375.295877|757.34|1312.91|307.67|0.1809|292.6|602.89|0.6322800000000001|-1374.927998|0.1785|-0.16649|6.7175|0.02761851|8.8326|155.0|6.8097|6.8097
