molecula|SddssS|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PNSA5|PPSA3|TPSA_x|FNSA4|WPSA3|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
4b_a46|0.0|0|0|0.206072846|1|7.825245291|1|1|1.1346370890000002|2.189591837|-0.00113356|5.587248657999999|2|10.96200942|1|0.011806162|-0.128843936|-0.16915334|2|0.6901151990000001|0.7306307590000001|-0.263387881|-0.153841155|0.768651645|0.69830739|0|-0.0524080009999999|-0.070236212|-38.30877966|4.127907383|35.31914031|-0.0229342729999999|2.251475261|0.8104680259999999|42.65239101|-12.50898928|32.7126858|0.428987199|2105.172229|510.1086157|-612.9404746|0.189531974|5.76401157|10.09436488|0.751274223|103.3759991|15.43427855|0.007963679|756.2796491|538.4165208|4.343611349|1.0|0.0|1.0|1.0|0.0|3.9|3.03|17.0|-7.2|1.0|0.0|0.0|1.0|-4.35|1.0|-4.63|0.0149|3.74|0.0|3.98|-1033.556797|-1033.535029|588.79|1020.9|0.1784|272.4|0.68682|0.68682|-1033.3243619999998|0.1784|-0.19082|0.02176759|3.7571|548.0|6.2612|6.2612
13d_a6|0.0|1|0|0.0|0|7.412764017000001|1|1|1.424214188|0.0|-0.010665225|5.351858133|1|10.95129636|1|-0.000899678|0.126028544|-0.49314765|1|0.845481322|0.786837131|-0.027209556|-0.187174391|0.841971795|0.7995080809999999|0|-0.092581323|-0.110731261|-75.40072983|20.96853949|143.9350986|-0.039696112|14.27820079|0.769432845|88.02705449|-27.03045032|84.01035117|0.4128711229999999|2882.382522|536.999346|-1432.613867|0.230567155|9.086171078|15.47559904|0.703203572|157.0011174|35.13035671|0.018542644|1861.908905|692.8471883999999|12.62632467|1.0|1.0|1.0|1.0|2.0|3.64|3.03|23.0|-9.4|2.0|0.0|0.0|1.0|-5.95|0.0|-5.27|0.000471|4.23|0.0|4.5|-1389.403308|-1389.374844|723.61|1219.11|0.7905|255.64|0.58381|0.7007399999999999|-1389.125098|0.2513|-0.14894|0.02846332|14.0012|0.36|6.4437|6.4437
8b_a31|0.0|1|0|0.0|0|7.765993078999999|1|1|0.610137861|0.0|-0.013629145|5.733341277|0|10.31170011|2|-0.006785954|-0.222667869|-0.510259793|0|0.928940547|0.843119174|-0.058494079|-0.1155280009999999|0.8956498159999999|0.8761979520000001|0|-0.120703408|-0.132574249|-69.24221375|16.89414614|204.9365822|-0.040792077|8.823644775|0.703469355|82.21438954|-21.30529654|79.93633765|0.479278|2189.617009|317.3534883|-830.906565|0.296530645|6.142377144|11.79588561|0.920410507|154.8750114|30.28603362|0.02483711|1181.155311|372.3224834|12.97217579|0.0|1.0|1.0|1.0|2.0|3.4|2.71|16.0|-5.73|0.0|0.0|0.0|2.0|-4.05|0.0|-3.4|0.0294|2.02|0.0|1.77|-1386.852117|-1386.815519|566.18|927.61|0.2643|321.36|0.70036|0.70036|-1386.681003|0.2643|-0.16015|0.03659821|5.6001|2.2|5.6576|5.6576
16b_a32|-3.3094926630000003|1|1|0.0|0|7.765993078999999|0|0|0.2980105389999999|0.0|-0.008469352|5.733341277|0|10.31100078|3|-0.00180101|-0.023602065|-0.586122949|0|0.745820612|0.852956281|0.056127969|-0.098450203|0.907055332|0.6762731040000001|1|-0.088716278|-0.1083060409999999|-69.39772428|10.12961779|162.40756509999997|-0.0345657579999999|6.490611388|0.7476362679999999|80.37824892|-22.14820988|66.97508778|0.414997448|3037.795494|478.3482386|-1040.965864|0.252363732|6.466656381|11.05406524|0.709394251|161.7035261|29.62431176|0.017136832|1392.342653|597.8890744|10.98052464|1.0|1.0|1.0|1.0|2.0|3.71|2.48|19.0|-7.6|1.0|0.0|1.0|1.0|-6.28|0.0|-4.55|0.000225|3.14|0.0|6.37|-2315.990437|-2315.951437|676.92|1137.73|0.2849|342.39|0.70233|0.70233|-2315.757928|0.2849|-0.14995|0.03900066|7.0093|17.0|7.7696|7.7696
12l_a36|0.0|1|0|0.0|0|7.412764017000001|2|2|1.297044247|0.0|-0.0076430169999999|5.351858133|2|10.95423322|1|0.001194592|0.228884463|-0.428857427|1|0.8707354620000001|0.8174432229999999|-0.041707369|-0.079106537|0.8772535459999999|0.8212311840000001|0|-0.079972189|-0.107815735|-70.17688229|14.33450402|101.6575135|-0.038052612|9.330278191|0.7379583590000001|83.76912404|-24.7683114|66.38812034|0.4619814279999999|2843.514589|549.2389652|-1263.1838810000002|0.262041641|7.471134223|13.88638723|0.8586718990000001|170.5619816|33.56329135|0.02088234|1711.727859|642.3830552000001|13.59224175|1.0|1.0|1.0|0.0|2.0|4.78|0.0|17.0|-6.66|1.0|0.0|0.0|1.0|-4.57|0.0|-4.29|0.0111|2.95|0.0|2.98|-1325.194654|-1325.15957|686.83|1155.07|0.4524|321.05|0.6925|0.6925|-1324.954011|0.4524|-0.15869|0.03508404|7.2021|0.02|7699.0|7699.0
8a_a12|0.0|0|0|0.0|0|0.0|1|1|1.283813597|0.0|-0.00771093|0.0|3|10.95472846|0|0.000249868|-0.3422915179999999|-0.5385001079999999|2|0.913877696|0.763500863|-0.1261547959999999|-0.146966854|0.8157289759999999|0.862306783|0|-0.05926895|-0.093050281|-48.195997|5.354053791|55.59930083|-0.033836466|2.773166902|0.791430726|55.45388635|-17.52581709|36.0527909|0.46777503|2212.38965|462.3571879|-771.1359521|0.208569274|5.113243051|9.607296424|0.878904705|108.02980890000002|22.14447395|0.014012546|974.3568539|464.1781753|7.257889351|1.0|1.0|0.0|1.0|1.0|4.06|3.06|18.0|-7.89|0.0|0.0|0.0|1.0|-3.9|1.0|-4.21|0.0408|3.18|0.0|3.41|-1046.0428949999998|-1046.0210880000002|556.3|952.71|0.2486|317.17|0.6309100000000001|0.6309100000000001|-1045.851982|0.2486|-0.15696|0.02180654|5.4032|199.0|6.7011|6.7011
4_a27|0.0|0|0|0.0|2|6.823286122000001|0|0|1.4008954130000002|3.294369174|-0.006181204|4.727387819|2|10.93736915|1|0.010329671|-0.459570857|-0.480852615|2|0.639413469|0.7853766809999999|-0.07759915|-0.024800302|0.842039655|0.614205449|1|-0.057748369|-0.078787867|-40.79296366|10.43112657|76.31512503|-0.0281385239999999|5.40078803|0.682485674|51.33640873|-14.56891559|40.33074472|0.444169714|2273.715366|441.4418013|-611.8944548999999|0.317514326|6.01592535|10.82331334|0.799110312|164.3952417|21.34684457|0.020363697|896.5674718|424.8821143|10.54344507|0.0|1.0|0.0|1.0|0.0|3.11|3.08|21.0|-6.22|0.0|0.0|0.0|1.0|-3.57|1.0|-3.99|0.0882|2.55|0.0|4.63|-1083.138303|-1083.119531|555.75|946.77|0.2002|223.46|0.36899|0.6089899999999999|-1082.963712|0.1741|-0.17034|0.01877181|3.9202|4.0|8.3979|8.3979
20a_a10|0.0|0|0|0.0|1|7.535296702|1|1|1.343837243|2.113798134|-0.0034618129999999|5.4161004020000005|2|10.9296614|1|0.008297595|-0.058994157|-0.281099208|2|0.661219642|0.755429696|0.036092601|0.019448804|0.817646497|0.63495222|1|-0.066386563|-0.072821454|-47.37850712|8.860330345|56.1599532|-0.028008251|5.764636687|0.733451892|58.1398225|-18.22250274|52.05222074|0.452402751|2998.608651|594.4519837|-947.5701424|0.266548108|8.419180593|15.37476788|0.826159649|173.41938059999998|24.84485067|0.016540298|1291.932235|719.5272609|10.76131538|1.0|1.0|1.0|1.0|0.0|3.48|3.63|27.0|-9.44|2.0|0.0|0.0|1.0|-5.68|0.0|-5.59|0.000888|4.36|0.0|3.98|-1389.164302|-1389.1321289999998|696.63|1200.92|0.2738|259.16|0.50193|0.6864600000000001|-1388.897416|107.0|-0.1613099999999999|0.03217287|3.2116|1.2|5.9208|5.9208
18b_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.604987149|0.0|-0.006947027|5.351858133|2|10.31163838|1|0.0036417359999999|-0.072825879|-0.45633339|1|0.80330079|0.822401103|0.022695194|-0.089945913|0.8839272779999999|0.760234689|0|-0.078751666|-0.09536285|-63.07862164|13.14992762|86.42600053|-0.036237883|8.698138813|0.759715688|75.30642440000001|-23.96987622|65.24093056|0.424912258|2915.383182|575.0330633|-1198.493811|0.240284312|7.513189589|13.0644231|0.7388650920000001|158.9382363|31.55111394|0.0184861069999999|1577.555697|666.0036144999999|12.22780277|1.0|1.0|1.0|0.0|1.0|4.78|0.0|17.0|-6.7|2.0|0.0|0.0|1.0|-5.49|0.0|-4.8|0.00137|3.59|0.0|3.64|-1668.034279|-1667.995173|697.37|1178.08|0.3576|351.66|0.67715|0.67715|-1667.788575|0.3576|-0.14385|0.03910602|6.5037|25.0|7.6003|7.6003
18c_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.604986846|0.0|-0.0109670669999999|5.351858133|2|10.31163825|1|-0.002215642|0.0211588229999999|-0.562807327|1|0.841060094|0.8303425640000001|0.034468997|-0.058608635|0.885516463|0.802578397|0|-0.105618255|-0.1115683|-75.33411705|13.07260474|191.0545887|-0.042101245|8.826997739|0.7859920029999999|87.76550537|-28.4279687|84.38908035|0.448899917|3002.59061|484.1740985|-1506.682341|0.214007997|7.646050338999999|13.8741593|0.81455244|144.5043388|36.16826708|0.018410634|1916.918155|713.7769663|12.43138832|1.0|0.0|1.0|0.0|2.0|4.85|0.0|17.0|-6.19|1.0|0.0|0.0|1.0|-5.01|0.0|-4.3|0.00427|2.74|0.0|4.54|-1744.500825|-1744.455795|711.56|1209.11|0.3879|355.78|0.69123|0.69123|-1744.2261030000002|0.3879|-0.14225|0.04503016|8.64|12.0|7.9208|7.9208
