molecula|SddssS|n9FaHRing|n9FaRing|SssssC|AATSC1c|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|FNSA3|FNSA5|PBF|FPSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
12a_a36|0.0|0|0|0.0|-0.007471648|-0.0427777779999999|0.040166667|0.0|0.002039107|-0.070252245|10.96083376|1|0.003199301|0.134423193|-0.183140926|1|0.907322874|0.7934042040000001|-0.012112722|-0.119322074|0.855821486|-0.076154312|-0.104828755|0.436020272|0.019595485|12.03249549|109.9069212|0.179315373|-0.037738352|-39.52572284|7.388485123|5.277117996|0.755315434|-1.886917597|-28.71401279|76.09903547|58.79461567|2647.835699|-1158.650972|2258.5909920000004|-14.22926022|6.600635115|12.464492300000002|0.888377722|150.24716030000002|-711.4630111|30.67992313|1533.996157|598.1535763999999|0.0|0.0|0.0|0.0|0.14|17.0|2.72|1.88|1.0|123.75|0.0|1.0|5.0|29.0|381.43|0.0|1.0|0.0|0.000164|0.000101|0.0|0.0|2.56e-07|9.78e-05|-0.04946|3.16|3.6682|-1232.951968|-1232.916523|653.94|1096.31|338.0|0.4435|323.35|481.98|-0.1519299999999999|-0.20139|0.03544528|8.5603|13.0|7.8861
5_a27|0.0|0|0|0.0|-0.0063562359999999|-0.068518519|0.048947368|1.271687295|0.00991794|-0.125237927|10.93772408|1|0.010329671|-0.250776983|-0.341622797|2|0.639413469|0.760083119|0.180356685|-0.020087122|0.614205449|-0.055979434|-0.085078576|0.333977277|0.01695771|8.936508815|10.48961936|0.146821224|-0.030385206|-23.6277072|4.709432444|56.35994804|0.741481472|-1.276178645|-15.54640123|53.51978325|38.43699603|2273.906133|-672.5307653|1254.531539|-8.438466859|6.160679036|10.98289851|0.7827415529999999|136.2361487|-354.41560810000004|21.59546513|907.0095354|424.8821143|0.0|1.0|1.0|3.11|0.16|21.0|2.94|2.8|0.0|97.55|0.0|1.0|2.0|25.0|331.37|0.0|1.0|1.0|0.000248|9.78e-05|0.0|0.0|6.04e-07|0.0002|-0.04554|4.9|4.0989|-1083.143246|-1083.124207|566.68|955.22|302.48|0.2448|302.48|463.87|-0.16952|-0.21506|0.01903872|3.5632|3.0|8.5229
25c_a34|0.0|0|0|0.0|-0.014384932|-0.047513652|0.037424242|0.0|-0.002827527|-0.056443595|10.95957635|1|0.001433865|-0.250299211|-0.563411433|1|0.809687672|0.80135608|0.118901861|-0.072907053|0.760055383|-0.088513496|-0.113392997|0.478421157|0.043815478|29.22363765|183.6812574|0.316768377|-0.031498055|-50.44285726|19.49130854|93.28638171|0.537428437|-1.7008949569999998|-39.37521522|100.6665476|88.25954175|2884.104654|-1134.447012|2439.174137|-14.01190479|7.484891117|13.26192888|0.77182656|308.52165519999994|-756.6428589|39.09037289|2110.880136|648.0187526000001|1.0|1.0|1.0|3.17|0.32|17.0|2.18|1.98|1.0|116.0|0.0|2.0|6.0|31.0|421.45|0.0|0.0|0.0|0.00156|0.000523|0.0|0.0|1.97e-06|0.0008289999999999|-0.03272|4.32|4.2095|-1426.704645|-1426.666471|704.43|1180.85|294.54|0.2239999999999999|294.54|561.29|-0.17424|-0.2069599999999999|0.03817361|9.8087|1.78|5.7496
12p_a30|0.0|0|0|0.0|-0.0063403159999999|-0.031328052|0.040899471|0.0|0.005613018|0.000321545|10.31162861|1|0.005965451|-0.109773594|-0.09353607|1|0.8414737059999999|0.7867133140000001|-0.051402518|-0.2210072669999999|0.7991060659999999|-0.074356395|-0.094870978|0.371591982|0.015107947|9.659715461|75.21136863|0.156618406|-0.0364888379999999|-38.78387161|6.176226649|0.0|0.8199554720000001|-1.897419563|-30.39737673|68.98315679|57.20168999|2783.628159|-1213.171684|2326.5244390000003|-14.91687369|7.392482526|13.94763694|0.886732486|115.116829|-775.6774321|28.4530386|1479.558007|686.039456|0.0|1.0|0.0|0.0|0.17|17.0|4.35|2.93|2.0|132.24|0.0|1.0|5.0|30.0|412.51|0.0|0.0|1.0|2.21e-06|7.05e-06|0.0|0.0|9.75e-08|4.02e-05|-0.05169|4.14|3.4955|-1615.094336|-1615.0623480000002|685.08|1167.16|354.69|0.1768|238.79|526.91|-0.14823|-0.19992|0.03198743|4.6103|17.0|7.7721
47n_a18|0.0|0|0|0.0|-0.007614955|-0.057061805|0.032169312|0.0|0.000271488|-0.003276575|10.94702025|0|0.001705837|0.026244774|-0.258092915|0|0.722991132|0.696612213|-0.09714337|-0.083719099|0.711628292|-0.079299822|-0.091185806|0.288989992|0.0106152389999999|8.759783644|61.29571241|0.207570604|-0.031974244|-62.09468789|7.228646444|47.476904100000006|0.783921929|-2.4620167580000003|-54.00070374|86.44740177|74.19865731|3349.802294|-2031.676741|2052.393389|-21.77346199|10.43689152|20.17045476|0.932611327|178.30942439999998|-1676.556573|33.65821422|2591.682495|1306.125688|1.0|0.0|1.0|0.0|0.31|18.0|3.67|3.31|3.0|162.18|1.0|1.0|13.0|40.0|539.67|0.0|0.0|0.0|9.48e-07|5.7e-06|0.0|1.0|1.7500000000000002e-10|9.44e-08|-0.0525299999999999|9.78|3.2028|-1743.3283440000002|-1743.299948|879.92|1565.37|387.11|0.5056|387.11|799.02|-0.13138|-0.18391|0.02839695|3.3568|64.0|7.1938
12n_a36|-3.404662145|0|0|0.0|-0.0099988159999999|-0.350034917|0.0438779959999999|0.0|-0.006862238|-0.035989956|10.31810354|1|-0.001160331|0.048110172|-0.261631709|1|0.8183043390000001|0.81793955|0.162338703|-0.000421339|0.750657639|-0.089275906|-0.115872034|0.239018516|0.0211044289999999|14.28426215|67.52548352|0.279888857|-0.039955874|-53.08197085|9.668119648|26.74179417|0.741751453|-2.317440678|-40.89805687|92.79755725|74.70951411|3482.18259|-1568.530003|3465.537153|-18.30412788|6.863551112000001|12.58209967|0.833176363|174.79221719999998|-1061.639417|36.45914091|2114.630173|805.2286932|0.0|0.0|0.0|0.0|0.17|17.0|1.28|2.15|1.0|142.02|0.0|1.0|7.0|34.0|474.54|0.0|0.0|0.0|0.0001409999999999|0.0001889999999999|0.0|0.0|1.36e-07|6.45e-05|-0.05056|6.24|3.6382|-1876.201464|-1876.168847|714.14|1256.83|340.78|0.3921|231.43|566.87|-0.14928|-0.19984|0.03261661|14.3562|15.0|7.8239
11d_a31|0.0|0|0|0.0|-0.017317263|-0.116385886|0.0388738739999999|0.0|-0.009496378|-0.092360393|10.31169874|2|-0.006496772|0.026806221|-0.153894316|0|0.819298311|0.822077662|-0.057505249|-0.13169885|0.78396996|-0.134031221|-0.134048091|0.197166451|0.034417775|21.07078977|296.2476128|0.414787184|-0.040797245|-50.24081482|12.89967697|91.25756269|0.6817705409999999|-1.87667327|-50.23449218|98.8237718|103.1255906|2532.447962|-1148.911798|2039.207676|-15.29068277|7.885647873|15.21323794|0.929231204|194.8221811|-703.3714074|36.63453013|1685.188386|505.4234462|1.0|1.0|1.0|2.83|0.32|16.0|5.43|4.03|1.0|102.13|0.0|1.0|7.0|27.0|385.44|0.0|0.0|1.0|3.33e-06|6.26e-05|0.0|0.0|5.83e-07|0.000225|-0.03404|4.87|3.8009|-1598.7152199999998|-1598.671315|650.64|1077.69|326.2|0.2642|326.2|551.86|-0.15822|-0.19226|0.04390452|4.6622|0.03|7.5229
19h_a38|0.0|0|0|0.0|-0.007781653|-0.082283951|0.042622739|0.0|-0.002526241|-0.043452674|10.96083376|1|-0.000673716|0.303981987|-0.217394466|1|0.724208473|0.819222745|-0.054149342|-0.121374121|0.698414933|-0.082211319|-0.109986804|0.3263113569999999|0.021234963|12.51014765|136.81322659999998|0.225371198|-0.03959525|-38.17354026|7.370099699|0.0|0.75379331|-1.979762478|-28.533396600000003|76.70128100000001|60.94327866|2774.611523|-1166.336902|1839.424968|-13.74247449|6.820483788|12.98143834|0.903301693|145.047677|-687.1237247|30.94580137|1547.290068|595.8790650000001|1.0|1.0|1.0|2.43|0.14|17.0|3.13|2.55|1.0|125.69|0.0|1.0|5.0|30.0|401.44|0.0|0.0|1.0|7.209999999999999e-05|6.77e-05|0.0|0.0|1.4e-07|5.610000000000001e-05|-0.05708|3.41|3.5358|-1332.187847|-1332.1538779999998|626.65|1092.17|350.65|0.2355|331.65|452.01|-0.1467099999999999|-0.20379|0.03396934|9.0777|9.0|8.0348
12i _a30|0.0|0|0|0.0|-0.00691453|-0.030422458|0.043848238|0.0|0.00372838|0.0109710489999999|10.31162888|1|0.003603419|-0.172434349|-0.090173435|1|0.8264832879999999|0.831176513|-0.029080032|-0.1240820219999999|0.7463962120000001|-0.076575246|-0.096489393|0.356921662|0.015808432|10.32233418|84.78576301|0.156570866|-0.037414255|-41.13938837|6.740110893|0.0|0.806299097|-1.833298476|-32.64875738|72.59006433|60.32320054|2860.704198|-1197.077601|2280.31966|-15.95200773|8.097008872|15.56818082|0.92270764|126.4796844|-781.648379|30.29912252|1484.657003|652.8825454|0.0|1.0|0.0|0.0|0.14|17.0|4.47|3.27|2.0|132.29|0.0|1.0|5.0|30.0|432.93|0.0|0.0|1.0|1.19e-06|3.61e-06|0.0|0.0|6.03e-08|2.61e-05|-0.05465|4.45|3.5242|-2035.373964|-2035.339603|691.59|1167.27|351.81|0.2384|246.2|542.74|-0.14945|-0.2041|0.03436093|3.0033|16.0|7.8013
2_a4|0.0|0|0|0.0|-0.00708265|-0.103346554|0.037777778|0.0|-0.001386521|0.090707854|10.95268469|0|-0.0016168089999999|0.127695325|0.228655117|1|0.930871261|0.802438682|0.11821091|0.1355918559999999|0.912872667|-0.117395215|-0.105102755|0.442778552|0.006330673|2.667094277|166.102249|0.257481153|-0.0379537729999999|-18.65482233|1.123639184|0.0|0.843107708|-1.366335816|-20.83662681|48.93681624|52.12536246|1623.668791|-575.6333682|910.3327882|-6.736463618999999|4.710383035|7.800989232999999|0.656126301|66.09827364|-242.5126903|18.96532986|682.7518749|284.26458360000004|1.0|0.0|0.0|0.0|0.27|12.0|2.12|0.83|0.0|79.59|0.0|2.0|2.0|19.0|253.3|0.0|1.0|0.0|0.0066|0.00171|0.0|0.0|1.4800000000000002e-05|0.00374|-0.01612|2.46|3.2230000000000003|-819.9326497000001|-819.8996124|458.73|764.77|384.69|0.1315|210.28|333.36|-0.14614|-0.16226|0.033037353|3.0946|31.0|7.5086
