molecula|SddssS|NaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aHRing|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA5|PBF|FPSA3|PNSA3|RPSA|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
11b_a50|0.0|0|0.0|2|7.927685046000001|1|1.3979498330000002|5.82008293|-0.014702942|1|0.038040936|-0.007722567|-0.13377846|0.011959339|-0.133073229|2|-0.277408878|1|0.701976536|0.800774662|-0.146696566|-0.20645662|0.862408925|0.667956827|-0.069841183|0.229754094|0.019455771|-23.23499995|0.068683675|5.295379767|86.04123302|0.642051995|-1.047617742|47.72173991|-13.01301376|33.38515735|2286.724895|485.8716402|-546.5465781|1650.235214|-6.788943965|0.357948005|5.697537591000001|9.979494111|0.751545111|4884.730303|186.7429782|-285.1356465|20.26785036|439.9973344|11.28530137|0.0|1.0|1.0|0.0|3.09|3.73|48.53|0.0|0.0|99.65|0.0|2.0|-3.58|25.0|327.38|0.0|1.0|1.0|2.96|0.000263|0.0862|6.97e-05|0.0|1.35e-06|4.6471|3.05|-1045.98235|-1045.961211|195.0|266.8|0.53885|0.64477|0.0711|-0.16684|-0.19501|0.02113855|5.7696|5.7696
41_a47|0.0|0|0.0|1|6.842683282|0|1.420292383|4.727387819|-0.072088843|3|0.042537538|-0.080388467|-0.187859623|0.003530307|0.075316535|1|-0.317014709|3|0.62974551|0.8417952740000001|0.08640454|0.123676975|0.900915114|0.609110565|-0.0899793719999999|0.245948366|0.018348892|-34.50740631|0.1768315369999999|5.852270304|0.0|0.653147815|-1.259711209|63.84353454|-16.54473457|44.86996758|2374.594252|464.8854878|-711.4235867000001|1073.170368|-9.34366093|0.346852185|7.168742909|12.96444871|0.8084689140000001|5042.636398|195.8852341|-401.77742|25.33076615|439.9906467|13.02756406|1.0|1.0|1.0|1.0|3.34|4.52|68.52|0.0|0.0|99.09|0.0|4.0|-3.57|26.0|348.38|0.0|1.0|1.0|3.06|0.000267|0.0929|0.000125|0.0|3.36e-08|4.0167|2.41|-1162.492089|-1162.462261|0.2849|308.67|0.6779|0.68638|0.2504|-0.15208|-0.2026099999999999|0.02982752|8.0|8.0
18c_a30|0.0|0|0.0|0|7.412764017000001|2|0.604986846|5.351858133|-0.118776867|2|0.042560386|0.011887112|-0.625122815|-0.003436924|-0.0351777|1|0.006103754|1|0.841060094|0.8303425640000001|0.034468997|-0.058608635|0.885516463|0.802578397|-0.1115683|0.42531141|0.019360263|-71.31647561|0.282947974|8.826997739|103.215593|0.7859920029999999|-2.2313660090000003|87.76550537|-28.4279687|84.38908035|3002.59061|484.1740985|-1506.682341|3094.729399|-19.19537998|0.214007997|7.646050338999999|13.8741593|0.81455244|6685.737642|144.5043388|-1017.355139|36.16826708|713.7769663|12.43138832|0.0|1.0|0.0|2.0|3.04|1.72|124.74|1.0|0.0|135.37|0.0|6.0|-5.01|32.0|441.51|0.0|0.0|0.0|1.91|9.68e-06|0.00427|5e-05|0.0|6.520000000000001e-07|3.4848|4.54|-1744.500825|-1744.455795|0.3879|355.78|0.69123|0.69123|0.3879|-0.14225|-198.0|0.04503016|7.9208|7.9208
14b_a50|0.0|0|0.0|2|7.934155233999999|2|1.267593742|5.82008293|0.0228205129999999|2|0.030219907|-0.068176984|-0.255822608|0.010215823|-0.041169251|2|-0.280243276|1|0.74726683|0.7887047979999999|0.030057537|-0.076752616|0.831689551|0.71456262|-0.076674952|0.7031402240000001|0.022423099|-33.02344264|0.095923652|9.64109526|192.8987555|0.637281054|-1.533499045|64.58491917|-16.75898192|47.72661339|2967.872393|592.81677|-1005.538915|2984.248708|-10.98912227|0.362718946|6.3538844910000005|11.45638132|0.8030515570000001|6737.145102|237.8403928|-659.347336|26.29763086|825.4425942|14.30797341|1.0|1.0|1.0|0.0|3.72|4.81|66.99|2.0|0.0|128.39|0.0|7.0|-4.6|33.0|441.52|0.0|1.0|0.0|3.6|2.51e-05|0.0111|1.6800000000000002e-05|0.0|1.3900000000000001e-07|5.2834|3.05|-1431.068494|-1431.037684|0.1637|234.67|0.55594|0.64303|0.1373|-0.16874|-0.1936|0.03081037|5.1818|5.1818
4k_a46|0.0|0|0.173180233|1|7.825245291|1|1.134637098|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|-0.252970193|0.006550513|-0.1032662209999999|1|0.012963356|1|0.78837943|0.7477594870000001|-0.003017362|-0.141706595|0.787615341|0.784722915|-0.086581945|0.260665072|0.007038271|-49.65634024|0.121088629|2.052909907|0.0|0.8732380740000001|-1.471893066|50.48291318|-16.56101615|53.45751583|2104.876032|474.67574630000007|-794.928775|1912.936687|-8.94414722|0.126761926|5.726809252000001|9.829220349|0.7163519709999999|4685.0322320000005|68.46061366|-429.3190666|18.96506421|519.5743695|3.722397006000001|1.0|1.0|1.0|1.0|4.26|4.77|50.94|1.0|0.0|100.96|0.0|2.0|-4.82|25.0|333.43|0.0|1.0|1.0|3.79|1.5e-05|5.0|1.4800000000000002e-05|0.0|2.48e-07|5.4228|4.52|-1053.433249|-1053.396715|0.2259|228.63|0.39943|0.68553|0.1505|-0.18542|-0.20254|0.03653474|7.0969|7.0969
7_a1|0.0|0|0.0|1|7.860570786|2|1.348826331|5.777652323|0.001018628|1|0.035718954|-0.048878707|-0.421687222|0.0021597079999999|-0.024096172|1|-0.391298966|1|0.7795049279999999|0.801577133|-0.048198584|-0.042175602|0.862051935|0.729621031|-0.098295453|0.289201649|0.035937867|-40.16416679|0.289040847|8.342261787|404.7836105|0.603382856|-1.179545431|61.72628137|-14.95535873|57.47898976|2150.215999|342.53930230000003|-568.3036318|1466.924404|-7.205474633|0.396617144|5.07667644|9.278054953|0.827584457|4519.238270000001|191.0896839|-273.8080361|24.78585294|351.4191817|14.36764539|1.0|1.0|1.0|0.0|3.43|3.29|49.17|0.0|0.0|85.88|0.0|2.0|-3.16|23.0|305.33|0.0|1.0|1.0|2.72|0.000696|213.0|0.000195|0.0|2.29e-06|4.0504|2.76|-1009.509475|-1009.48087|0.2961|306.1|0.69902|0.69902|0.2961|-0.16734|-0.19167|0.02860499|6.3372|6.3372
13g_a6|0.0|1|0.0|0|6.842683282|0|1.424099171|4.727387819|0.004767264|2|0.043020833|0.03536788|-0.381325604|-0.002407131|-0.080022038|1|-0.215607882|2|0.836982172|0.774238891|0.095969451|-0.144664763|0.832753533|0.789769968|-0.091949419|0.2141642839999999|0.017637229|-51.67543048|0.128027951|8.550546653|0.0|0.7357333540000001|-1.747038966|76.50577593|-22.52633766|63.95581946|2929.039254|607.1336751|-1216.422234|3916.754765|-15.68456028|0.264266646|7.968172425|14.34268783|0.7999971709999999|6332.20768|184.0026638|-846.9662551000001|30.61752948|744.1359788|12.48355309|1.0|1.0|1.0|2.0|5.41|4.79|103.17|2.0|0.0|128.63|0.0|6.0|-5.56|33.0|431.49|0.0|0.0|1.0|3.47|2.77e-06|0.0012|8.8e-06|0.0|2.67e-11|5.9869|3.83|-1386.611265|-1386.573241|0.8442|207.09|0.38325|0.7034100000000001|0.0105|-0.1327|-0.20806|0.03802398|6.9245|6.9245
25_a47|0.0|0|0.0|1|6.86171134|0|1.30432753|4.727387819|-0.1084905069999999|2|0.043695652|-0.055724653|-0.486951604|-0.003963349|0.002716049|1|-0.235822787|2|0.6553889970000001|0.8462332770000001|-0.077710529|0.004104478|0.906449648|0.622598899|-0.08797211|0.574771479|0.020224271|-44.52300552|0.213041681|7.453635586|51.5831002|0.6238742279999999|-1.407553754|71.17072517|-18.98891362|56.80080434|2704.5905190000003|477.748546|-854.5011131000001|1514.111398|-11.52783528|0.376125772|6.951055196|13.26689626|0.908616158|6236.813862|228.3393366|-518.7525876|30.43708613|513.2159236|17.76440561|1.0|0.0|1.0|2.0|3.29|4.95|84.73|2.0|0.0|109.7|0.0|5.0|-4.99|29.0|410.83|0.0|0.0|1.0|3.62|1.01e-05|0.00417|1.52e-05|0.0|9.79e-09|4.8002|4.78|-1735.414386|-1735.385814|287.0|258.29|0.53663|0.68761|0.0702|-0.16588|-0.22919|0.0285712999999999|7.8|7.8
47p_a18|0.0|0|0.0|0|7.03438793|1|1.25117677|4.844187086|-0.04760181|0|0.037575758|0.025217016|-0.3775970529999999|0.00235332|-0.049428094|0|-0.261349889|0|0.72025564|0.726294118|0.030970815|-0.082977829|0.7611910209999999|0.710266593|-0.082580968|0.278332428|0.007989903|-51.14496913|0.1670454519999999|4.377217987|48.48855261|0.818459442|-2.0645242|69.19354871|-22.80728054|57.05881288|2933.069245|616.5234972999999|-1528.087796|1367.4309119999998|-16.88114242|0.181540558|9.923659881|19.41290064|0.956223901|6726.61969|134.3699001|-1131.036542|27.86610962|1011.163774|8.070036862|1.0|1.0|1.0|2.0|3.65|3.34|76.5|3.0|1.0|144.53|0.0|9.0|-5.67|35.0|468.59|0.0|1.0|0.0|2.9|2.13e-06|0.000998|5.34e-06|0.0|9.35e-10|3.2036|7.98|-1493.759811|-1493.731375|595.0|387.01|0.6937800000000001|0.6937800000000001|595.0|-0.13118|-0.18746|0.02843634|7.1938|7.1938
12al_a36|0.0|1|0.0|0|7.412764017000001|2|1.297043737|5.351858133|-0.04314418|2|0.042739018|0.1030147719999999|-0.4908576189999999|0.00127667|-0.031635802|1|-0.239932418|1|0.8913597320000001|0.8344566859999999|0.125005134|-0.055405405|0.885733922|0.84179881|-0.105915949|0.2689491989999999|0.026927826|-51.22331485|0.198820783|11.65999569|0.0|0.671084645|-1.906487074|86.77628559|-23.23210974|68.94274882|2843.740855|527.2034213000001|-1254.533926|2244.88081|-15.28752554|0.328915355|8.774664332|16.15533063|0.841133748|6049.668466|216.4375922|-825.5263792000001|34.61874732|679.7230552999999|17.07995636|0.0|1.0|0.0|2.0|2.77|1.89|78.43|1.0|0.0|130.24|0.0|6.0|-3.95|31.0|411.46|0.0|0.0|0.0|1.81|0.000113|0.0464|8.499999999999999e-05|0.0|2.03e-07|3878.0|2.92|-1347.479819|-1347.445127|0.4466|319.71|0.6945399999999999|0.70417|0.0095|-0.14558|-0.1955599999999999|0.03469224|7.3188|7.3188
