molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|BIC2|MATS8s|MATS8d|SIC2|RASA|PBF|FPSA3|PNSA5|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|DPSA4|FPSA5|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
14x_a23|0.0|1|0.0|0.0|2|7.423568444|0|0|3.101221922|5.351858133|-0.111315218|2|0.04314059|0.05740118|0.6753138120000001|-0.075184011|-0.0229244|2|2|0.003906274|-0.073958723|-0.206574435|0.802520527|-0.035031888|-0.035965909|0.8668730109999999|0.7768288609999999|0.229141189|0.022095943|-55.83053941|0.223171139|147.90081730000003|9.704599953|87.28077098|0.722211323|-1.6006371069999998|-31.13207597|70.40248829|0.468120981|514.8229467|-1060.780249|2382.851643|0.277788677|7.777802167999999|14.62325432|0.880126802|31.25095356|0.0219879679999999|14.57194888|0.0|1.0|1.0|0.0|1.0|3.42|0.05|26.0|4.2|105.02|2.0|1.0|1.0|32.0|-6.35|447.46|0.0|0.0|4.06|-5.27|0.0009369999999999|5.41e-06|0.00242|0.0|0.0|1.17e-08|-0.08216|3.6941|-1828.371718|305.07|537.48|0.62836|-1828.168422|-0.15259|5.7933|-0.23475|0.02165405|-1828.228912|3.0|8.4949|8.4949
3d_a32|0.0|1|3.503398526|0.0|0|7.765993078999999|0|0|0.0|5.733341277|-0.034290847|0|0.041161616|-0.0620110029999999|2.230648962|-0.113314811|-0.0602430179999999|3|3|0.002004382|-0.076494363|-0.1395294259999999|0.8444218509999999|-0.069007775|-0.100251236|0.90169022|0.892845502|0.2214902789999999|0.014419776|-50.45435743|0.107154498|58.01666174|4.22710649|0.0|0.720540286|-1.118246623|-20.13777259|59.15151032|0.427813496|483.4133562|-605.4522892000001|1855.167124|0.2794597139999999|6.15119195|10.75032687|0.747681906|21.54552351|0.0160633|8.697152881000001|1.0|1.0|1.0|1.0|1.0|3.34|0.24|19.0|6.97|110.94|1.0|0.0|1.0|23.0|-5.18|340.47|0.0|0.0|4.32|-5.13|9.58e-05|7.36e-06|0.00251|0.0|0.0|5.13e-08|-0.05482|3.5105|-1672.733979|353.18|465.41|0.7035100000000001|-1672.585902|-0.14189|3.2094|-0.19671|0.02457348|-1672.638515|8.0|8.0915|8.0915
17g_a50|0.0|1|0.0|0.0|2|7.934155233999999|2|2|4.377239517|5.82008293|0.052557574|2|0.029160757|-0.05611228|2.236579664|-0.022378911|-0.1155555559999999|2|2|0.01245647|-0.200725906|-0.323333765|0.738521694|-0.10642733|-0.2126789369999999|0.7787714459999999|0.920663175|0.442201795|0.014550016|-47.17463902|0.079336825|52.94662161|6.48022912|85.51402581|0.749948388|-1.555134042|-21.45417373|56.28102287|0.467997084|614.4183967|-1037.842058|1975.996014|0.250051612|8.130878433|15.28352231|0.879688945|23.06474408|0.013645282|9.106383854|1.0|1.0|1.0|1.0|0.0|4.04|0.35|20.0|3.71|51.77|2.0|0.0|1.0|32.0|-6.28|424.54|0.0|1.0|3.63|-4.86|0.0148|1.39e-05|0.0059|0.0|0.0|1.1e-07|-0.0323|4.0458|-1335.946919|306.45|559.45|0.6623600000000001|-1335.631756|-0.16699|7.0584|-0.19929|0.02957267|-1335.693266|246.0|6.6091|6.6091
19j_a38|0.0|0|3.235947106|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.04575843|2|0.04391253|0.105682345|0.0|0.003554228|-0.036248822|1|1|-0.002443797|-0.09493054|-0.20848518|0.846765471|-0.001131945|-0.060360554|0.908721232|0.8071763829999999|0.625966089|0.0250587|-73.92901683|0.192823617|131.9851314|11.74054073|29.18585028|0.714369845|-1.944118135|-39.565701700000005|90.05233553|0.408533267|552.5012068|-1330.722303|3109.238056|0.285630155|7.506210369|12.69084117|0.6907121629999999|36.5253298|0.023555355|16.123318700000002|0.0|1.0|1.0|1.0|3.0|4.81|0.13|17.0|3.17|105.02|1.0|0.0|1.0|32.0|-7.13|426.45|0.0|0.0|2.44|-4.12|19.0|7.55e-05|0.0322|0.0|0.0|1.2099999999999998e-07|-0.06447|3.6886|-1424.390074|205.41|533.97|0.69435|-1424.183388|-0.15182|10.8124|-0.21629|0.03678378|-1424.24494|8.0|8.1146|8.1146
19a_a38|0.0|0|3.3685352889999995|0.0|0|7.412764017000001|2|2|0.0|5.351858133|-0.082283951|2|0.043848238|0.054257043|0.0|-0.122385526|-0.077535135|1|1|-0.000673716|-0.101303149|-0.217394466|0.819222745|0.031696119|-0.133130383|0.8741648479999999|0.747152898|0.298938581|0.022142322|-64.73159672|0.252847102|151.1278869|7.910363161|0.0|0.744796537|-1.949405536|-30.69910427|77.20795279999999|0.465829126|446.57675660000007|-1165.168741|2304.055966|0.255203463|6.923156054|12.96056449|0.872060139|31.28824271|0.020873781|12.47635608|1.0|1.0|1.0|1.0|3.0|4.83|0.14|17.0|3.13|81.23|1.0|0.0|1.0|30.0|-6.77|401.44|0.0|0.0|2.68|-4.17|29.0|6.77e-05|0.0272|0.0|0.0|1.4e-07|-0.05271|3.6504|-1332.1529369999998|316.19|466.55|0.68835|-1331.94466|-0.15108|4.7986|-0.20379|0.03338983|-1332.002093|0.01|8.0106|8.0106
16_a4|0.0|0|0.0|0.0|1|7.535296702|1|1|1.843196334|5.4161004020000005|-0.095499301|1|0.04501634|0.007101649|0.0|-0.148022089|0.019290123|1|1|0.006466406|-0.018051608|-0.0513920109999999|0.774455255|-0.0894138519999999|0.0293772029999999|0.8366279120000001|0.7898461090000001|0.292255386|0.013727656|-39.44800181|0.210153891|103.5057102|3.330045338|74.430775|0.832461695|-1.201404885|-17.789707500000002|45.11883447|0.455802506|389.0176968|-591.7200271|1522.164774|0.167538305|5.548106463|10.19502391|0.837568182|19.74465314|0.0115138339999999|5.67083266|0.0|0.0|1.0|0.0|0.0|3.26|0.11|17.0|4.49|30.71|1.0|0.0|1.0|23.0|-5.64|309.31|0.0|1.0|3.91|-4.43|0.0371|3.68e-05|0.0114|0.0|0.0|4.33e-07|-0.03965|4.2257|-1057.478071|274.85|407.99|0.54061|-1057.3808390000002|-0.17375|1863.0|-0.2134|0.01638524|-1057.429593|343.0|6.4647|6.4647
1a_a18 (SB-431542)|0.0|0|3.3674017380000003|0.0|0|7.423568444|1|1|0.0|5.351858133|-0.175408303|1|0.035620155|0.1008839219999999|0.0|-0.029658865|-0.0492229479999999|1|1|-0.008385698|-0.020716495|-0.033765606|0.7462411859999999|-0.08530265|-0.083341531|0.805877431|0.5940412860000001|0.210046675|0.033020439|-72.69619778|0.405958714|240.8019609|11.61820782|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|87.15852628|0.472443977|352.3666367|-1235.8353619999998|1890.195809|0.2468003389999999|7.52384981|14.26170773|0.895533283|36.46179023|0.02438148|14.4623285|1.0|1.0|1.0|1.0|2.0|3.25|0.05|23.0|4.04|103.12|1.0|0.0|1.0|29.0|-6.73|384.39|0.0|0.0|2.85|-4.25|0.0116|5.660000000000001e-05|0.0218|0.0|0.0|2.03e-08|-0.05971|3295.0|-1292.553086|324.5|464.08|0.69868|-1292.358966|-0.13329|5.9926|-193.0|0.03494548|-1292.414518|125.0|6.9031|6.9031
8f_a12|0.0|1|0.0|0.0|0|6.580639137|1|1|0.0|4.59511985|-0.062406088|2|0.038347953|-0.013400998|2.177023629|0.028505422|-0.024023866|1|1|-0.00094279|-0.070713228|-0.125424286|0.7475224290000001|-0.13747286|-0.042014638|0.80546986|0.869823177|0.285353468|0.013287637|-56.220383|0.130176823|73.97552223|4.290980116|0.0|0.8381234340000001|-1.6818542230000002|-23.45595611|63.05721575|0.460344828|494.2940092|-955.746511|1448.568734|0.161876566|7.016225129|13.00131176|0.853035146|25.9168408|0.012030968|6.836832748|1.0|1.0|1.0|1.0|1.0|4.09|0.1|21.0|4.99|78.41|2.0|0.0|1.0|27.0|-5.47|369.44|0.0|1.0|3.82|-5.24|0.000735|5.72e-06|0.00211|0.0|0.0|3.79e-09|-0.06179|3.6536|-1481.115891|297.01|441.97|0.65098|-1480.955408|-0.15061|0.9092|-0.2124|0.03056355|-1481.008909|646.0|6.1898|6.1898
47g_a18|0.0|0|0.0|0.0|0|7.03438793|1|1|0.0|4.844187086|-0.034211867|0|0.031179487|-0.048472184|0.0|0.033759227|-0.008224928|0|0|0.00531392|-0.264839041|-0.3927204379999999|0.750610215|-0.009917608|-0.014370598|0.780474694|0.834424154|0.413435809|0.013404131|-72.53379954|0.165575846|140.5114492|9.653129118|47.07867403|0.731870777|-2.307753726|-46.97287277|86.33162323|0.4913566339999999|708.1114197|-1958.412588|2268.439188|0.268129223|10.33698377|20.32265524|0.966014041|33.87214455|0.016259076|13.79782369|1.0|0.0|1.0|1.0|2.0|4.87|0.34|18.0|3.22|88.97|3.0|2.0|1.0|40.0|-6.4|541.68|0.0|0.0|2.83|-5.52|0.000421|3.01e-06|0.00163|1.0|1.0|6.04e-10|-0.04413|3.0965|-1743.346243|400.4|874.26|0.69828|-1742.7686640000002|-0.12789|4966.0|-0.17202|0.02960182|-1742.847918|9.0|8.0458|8.0458
14b_a50|0.0|1|0.0|0.0|2|7.934155233999999|2|2|4.240438135|5.82008293|0.0228205129999999|2|0.030219907|-0.068176984|2.115127752|0.037777505|-0.041169251|2|2|0.011249462|-0.1786649189999999|-0.280243276|0.7887047979999999|0.030057537|-0.076752616|0.831689551|0.904076348|0.7031402240000001|0.022423099|-50.27694576|0.095923652|62.89861413|9.64109526|192.8987555|0.637281054|-1.533499045|-21.65397937|64.58491917|0.445384689|592.81677|-1005.538915|2984.248708|0.362718946|6.3538844910000005|11.45638132|0.8030515570000001|26.29763086|0.021820402|14.30797341|1.0|1.0|1.0|1.0|0.0|4.64|0.35|20.0|3.72|66.99|2.0|0.0|1.0|33.0|-6.5|441.52|0.0|1.0|3.6|-4.78|0.0111|1.6800000000000002e-05|0.0074099999999999|0.0|0.0|1.3900000000000001e-07|-0.02486|4.0775|-1431.037684|234.67|533.25|0.64303|-1430.72987|-0.16874|5.3711|-0.1936|0.03081037|-1430.7933859999998|6.58|5.1818|5.1818
