molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|n6aHRing|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|pIC50|pIC50
21_a10|0.0|0|0|0.0|0.0|1|1|1.343837211|2.093218896|-0.009308076|5.4161004020000005|-0.085463279|0.035818182|1.817620533|-0.549176498|0.001533145|-0.023060773|10.92966143|-0.003554514|1|1|0.002099681|-0.0236638829999999|2|-0.005970601|0.81962595|0.68876002|1|0.7747854129999999|0.8663152820000001|-64.32920271|-59.80834512|13.34776629|240.7558768|0.225214587|159.11338909999998|-0.03292131|0.704106635|-1.777750751|-45.44837698|-23.25880088|3104.255496|547.3834282|-1255.975247|2701.142106|0.295893365|8.388036625|0.643072426|7048.414464|-887.342515|33.03306591|1783.785559|746.5727327999999|15.99425187|1.0|1.0|0.0|1.0|3.5|27.0|4.47|2.81|2.0|128.59|0.0|1.0|5.0|-5.77|6.0|0.0|-5.51|0.0007599999999999|0.0014|4.17|0.0|0.0|1.94e-09|8.68e-07|-0.06082|3.8599|-1485.499561|-1485.461532|716.1|1225.01|321.21|0.2574|208.04|517.44|0.4226399999999999|0.68165|-1485.216871|1.5138|-0.2226|5.3188|5.3188
4g_a49|0.0|0|0|0.0|0.0|2|2|1.343847279|4.107873566|-0.003686314|6.107022888|-0.008414823|0.036761229|3.4246879480000003|-0.328081947|0.007953069|0.003456679|10.92777048|0.08591712|2|2|0.007845545|-0.038698906|4|0.144740607|0.81242269|0.626581708|2|0.8601878270000001|0.736530693|-61.24875669|-66.44036383|18.87757641|151.0705543|0.139812173|139.3194688|-0.0250032489999999|0.6273572239999999|-2.000259924|-61.03291321|-24.91513644|4706.348867000001|857.1564845|-1993.210915|4747.967275999999|0.372642776|9.28937554|0.958286615|11516.07629|-1986.186746|39.71443299|3177.154639|1714.878736|23.67887448|0.0|0.0|0.0|1.0|4.83|42.0|6.09|2.87|2.0|198.32|0.0|0.0|7.0|-7.47|7.0|0.0|-7.43|2.24e-05|2.47e-05|5.28|0.0|1.0|2.13e-14|1.4199999999999998e-11|-0.06458|3.6269|-2147.721319|-2147.66293|985.89|1766.47|341.84|0.1389|287.56|662.84|0.33449|0.69238|-2147.217543|3.4099|-0.21545|6.9747|6.9747
12e_a31|0.0|0|0|3.483599061|0.0|0|1|0.610134116|0.0|-0.011519192|5.733341277|-0.044316064|0.037098765|0.0|-0.70267073|-0.002475146|-0.107630327|10.3116965|-0.015755876|2|2|-0.000231353|-0.08867626|0|-0.028502695|0.82100963|0.76012894|0|0.721526766|0.2642991189999999|-68.32948993|-79.96257188|19.38343763|166.1479229|0.2784732339999999|202.5115275|-0.036652129|0.725120432|-2.089171358|-49.6906263|-26.65419063|3040.353774|524.7092721|-1519.288866|1899.851187|0.274879568|10.24381236|0.904247004|6557.418968999999|-1104.858464|36.75829484|2095.222806|798.7285626|15.15615632|1.0|1.0|1.0|2.0|3.87|22.0|6.69|2.21|3.0|129.38|0.0|1.0|9.0|-6.66|5.0|0.0|-5.42|9.96e-05|0.00176|4.48|0.0|0.0|4.93e-10|2.27e-07|-0.03445|3.8391|-1809.899887|-1809.85374|781.61|1308.13|322.95|0.3831|232.77|640.03|0.55114|0.7006600000000001|-1809.581226|2.6024|-0.19379|6.7696|6.7696
8h_a8|0.0|0|0|2.975382653|0.0|1|0|1.3918396709999998|1.241306689|-0.010324979|4.844187086|-0.249095464|0.046205674|0.0|-0.485274006|-0.007796225|-0.085125857|10.94341368|0.007079485|1|1|-0.007036544|0.09830823|0|0.010682683|0.751162751|0.56916135|0|0.602405134|0.273425421|-72.14530885|-66.4523265|6.58499063|316.4918269|0.397594866|233.7669182|-0.048805507|0.918315905|-2.147442322|-42.41801879|-28.69532281|2623.688756|354.18563860000006|-1262.594204|2019.780061|0.081684095|7.453557203|0.822939833|5956.417906000001|-742.3454901|31.2477685|1374.901814|485.8626377000001|4.492304417|0.0|0.0|0.0|2.0|3.11|23.0|4.69|4.11|2.0|105.27|0.0|1.0|4.0|-5.21|4.0|0.0|-5.0|0.0023899999999999|0.00395|3.82|0.0|0.0|1.13e-08|4.43e-06|-0.06344|3.7327|-1361.651799|-1361.618499|608.39|1029.51|332.16|0.3011|258.25|480.09|0.56196|0.69844|-1361.455676|3.4779|-0.21819|4.9359|4.9359
13a_a30|0.0|0|0|0.0|0.0|0|2|0.604984129|0.0|-0.011002918|5.351858133|-0.118776867|0.042560386|0.0|-0.627166322|-0.003436924|0.0317047379999999|10.31162842|-0.0351777|1|1|-0.002215642|0.003429114|1|-0.058608635|0.885516463|0.802578397|0|0.6963945559999999|0.478381813|-74.02777574|-76.60916637|12.53013554|381.9643801|0.303605444|204.9120824|-0.042832838|0.799862466|-2.27014041|-49.96348386|-28.90911938|3002.811441|470.0167988|-1532.183327|2520.165025|0.2001375339999999|8.066980235|0.873126469|6675.344631|-1034.114779|36.14261279|1915.558478|713.7769663|11.6174288|0.0|0.0|0.0|2.0|4.76|17.0|3.04|2.06|1.0|135.37|0.0|1.0|6.0|-5.01|5.0|0.0|-4.3|0.00427|0.0221|2.74|0.0|0.0|6.520000000000001e-07|0.000288|-0.0555|3.5288|-1744.491614|-1744.4457100000002|721.66|1211.54|351.35|0.1788|245.34|541.59|0.26119|0.6845600000000001|-1744.217986|0.7158|-0.20503|7.8665|7.8665
2_a27|0.0|0|0|0.0|0.0|2|0|1.402655014|3.250529415|-0.0065894809999999|4.59511985|-0.0609613559999999|0.0427777779999999|1.267636369|-0.276758209|0.009338889|0.11675125|10.93783218|0.017751479|1|1|0.00988756|-0.21066171|2|0.027777778|0.8585302370000001|0.60904903|1|0.8468699609999999|0.408120957|-29.42169804|-41.03489597|9.972342226|9.194894069|0.153130039|77.08713259|-0.029261411|0.6684621829999999|-1.141195033|-14.81116546|-14.73047548|2210.487938|426.3224749|-574.4885436000001|1270.627585|0.331537817|5.312170441|0.7934621359999999|4774.521748|-289.2030522|22.03636323|859.4181658|373.9912084|11.39718489|0.0|1.0|1.0|0.0|2.9|21.0|2.43|2.42|0.0|92.58|0.0|2.0|2.0|-3.19|4.0|1.0|-3.7|204.0|0.0638|2.18|0.0|0.0|1.45e-06|0.0004599999999999|-0.04933|4.1624|-1043.821085|-1043.7984|538.57|906.48|297.87|0.3217|297.87|420.7|0.55857|0.55857|-1043.665151|4.7049|-0.21702|7.8861|7.8861
4e_a46|-3.742323661|0|0|0.0|0.092094405|1|1|0.300205548|2.12386814|-0.005995748|5.587248657999999|-0.370202917|0.041636905|0.0|-0.4017151029999999|-0.001404912|-0.058626723|10.31928077|-0.05803828|1|1|0.002688298|-0.030065705|2|-0.076733489|0.8146060740000001|0.69063113|0|0.753715041|0.68427144|-63.39469142|-64.33855433|8.098142567|105.0139519|0.246284959|186.9007941|-0.030951758|0.7951078540000001|-1.949960781|-48.10898007|-23.48867857|3411.457836|571.9794684|-1479.78675|3129.575458|0.204892146|7.906917146|0.905854609|7615.063066|-1122.980957|29.54149986|1861.114491|942.2127953|9.533193534|0.0|0.0|1.0|2.0|4.5|23.0|3.05|2.06|2.0|137.28|0.0|1.0|5.0|-6.08|6.0|0.0|-5.41|0.000405|0.00191|3.78|0.0|0.0|1.56e-09|7.64e-07|-0.03893|4.1773|-1884.613031|-1884.564974|757.1|1343.97|296.81|0.4814|292.1|655.69|0.5745600000000001|0.56481|-1884.255802|1.9941|-0.21005|6.8125|6.8125
13_a12|0.0|0|0|0.0|0.0|0|0|1.508548782|0.0|-0.0069874069999999|0.0|-0.0619247109999999|0.037948718|0.0|-0.272508888|0.000830398|-0.083760082|10.96083169|0.021322992|0|0|0.002279068|-0.169387652|2|0.039235452|0.7300173240000001|0.804066411|0|0.90006391|0.122164874|-28.51381164|-45.33566159|4.01385817|64.74666684|0.09993609|48.98899535|-0.034993718|0.8829921740000001|-1.2947675790000002|-13.97756285|-17.15403411|1812.788134|441.2142447|-634.6992622|664.9830294|0.117007826|6.06407675|0.874625469|3647.657976|-311.13163480000003|19.42716439|718.8050825|327.9594923|3.656774794|1.0|0.0|1.0|1.0|2.7|18.0|3.63|2.42|1.0|84.74|0.0|1.0|3.0|-4.26|3.0|1.0|-4.2|0.0152|0.0174|3.51|0.0|0.0|7.26e-08|2.01e-05|-0.04445|3.9329|-876.3661620999999|-876.3370809|532.86|867.79|315.25|0.6528|273.31|437.91|0.6622399999999999|0.64974|-876.209109|1.3023|-0.20903|7.0315|7.0315
5g_a40|0.0|0|0|0.0|0.0|1|0|0.604913142|1.534673091|-0.016033575|6.167516491000001|-0.190406197|0.044946237|0.64025463|-0.5611751220000001|-0.012794054|0.122088541|10.31198315|-0.091116241|2|2|-0.012008571|0.07917206|0|-0.1312278909999999|0.882781953|0.7733200179999999|1|0.67772744|0.245639795|-72.93994279|-68.05025116|11.83520323|216.425542|0.32227256|152.9506864|-0.049288357|0.745349319|-1.577227413|-34.61732609|-23.39227384|2054.810452|321.64971460000004|-748.5527627|593.8133184|0.254650681|6.193485364|0.955183157|4358.890754999999|-355.2634413|31.38430965|1004.297909|266.8102663|12.1783403|0.0|0.0|0.0|2.0|3.13|14.0|2.69|0.74|0.0|78.2|0.0|3.0|3.0|-4.24|5.0|0.0|-3.37|0.0174|128.0|2.17|0.0|0.0|0.0013|391.0|-0.0540299999999999|3.48|-1328.055803|-1328.015099|489.04|800.98|356.27|261.0|356.27|367.19|0.6563|0.6563|-1327.9345529999998|4.9132|-0.19908|6.9101|6.9101
5b_a40|0.0|0|0|0.0|0.0|1|0|0.604912077|1.616656116|-0.0049439079999999|6.167516491000001|0.064329005|0.044946237|0.7222376540000001|-0.163148971|0.008515162|0.179058252|10.31198309|0.020344828|2|2|0.006372485|0.007986879|0|0.029485257|0.88618123|0.503365018|1|0.881264402|0.313503463|-38.64461938|-45.78637031|9.59023102|169.18694230000003|0.118735598|59.56617021|-0.036507111|0.829018186|-1.095213344|-19.38687321|-18.31454812|2126.9310920000003|442.1045286|-549.4364437|764.9528181|0.1709818139999999|6.521443259|0.913161214|4813.179854|-275.6361647|22.09185326|662.7555978999999|285.9136384|6.2955085660000005|0.0|1.0|0.0|0.0|3.13|14.0|4.93|2.89|1.0|84.17|0.0|2.0|3.0|-5.43|3.0|0.0|-4.84|0.00125|0.00488|4.14|0.0|0.0|5.65e-06|0.00191|-0.07069|3.9759|-2096.782087|-2096.767375|515.23|847.01|311.84|0.3005|311.84|411.1|0.59928|0.59928|-2096.707754|7.2947|-0.23068|7.1938|7.1938
