molecula|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|n6aHRing|MATS8s|RASA|FNSA3|PBF|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Gibbs Free Energy|IC50|pIC50|pIC50
13c_a6|0|3.441255118|0.0|0|7.412764017000001|1|1|1.424213869|-0.046663393|5.351858133|1|0.040821256|0.049627353|0.0|-0.003346018|0.054910284|10.95129637|-0.0942387559999999|1|1|0.081059709|-0.106686991|-0.174259072|1|0.085414885|0.786809832|-0.093635525|0.22875443|157.60887419999997|0.213190168|145.12291069999998|-0.039875482|-51.54254258|14.15496611|567.1031411|0.772032541|-2.11340057|-43.38886312|88.21184769|84.53371376|0.466844407|2880.850692|535.5975578|3135.546462|8.038175951|15.07660437|0.875625075|6204.855629|155.1821156|35.15921372|0.018354398|1863.438327|12.49421473|1.0|1.0|1.0|1.0|2.0|3.61|2.53|0.16|23.0|-9.4|95.85|1.5|2.0|121.6|0.0|-5.95|5.0|0.0|0.0|3.64|1.11e-06|0.000471|5.42e-06|0.00229|4.23|3.96e-10|1.68e-07|-0.05015|-1389.39897|719.8|339.5|0.5471|206.92|596.15|-1389.184603|73.0|7.1367|7.1367
7b_a10|0|0.0|0.0|0|7.535296702|2|2|1.186434511|-0.170920618|5.4161004020000005|2|0.037804233|-0.060829392|2.079721225|0.011041815|-0.01808249|10.93274506|0.039221939|0|0|-0.0982988509999999|-0.051052176|-0.082499103|2|-0.108464916|0.92441666|-0.0590666679999999|0.5113525529999999|13.37827368|0.07558334|39.29815915|-0.027444463|-19.47494818|2.6314862480000003|56.22969776|0.781045839|-1.152667458|-15.96741933|43.9185573|35.77183831|0.446575367|2290.380138|480.6333417|2150.375871|4.854451707|8.771658176|0.8069307729999999|5212.568172|113.8411654|18.26940272|0.012428175|767.3149142000001|6.46179973|1.0|0.0|1.0|1.0|0.0|3.9|0.0|0.25|16.0|-6.99|41.38|3.04|1.0|105.44|0.0|-5.28|3.0|0.0|1.0|3.02|5.29e-06|0.00183|5.25e-06|0.00182|4.68|1.0200000000000001e-07|3.54e-05|-0.05377|-1450.09312|562.31|340.37|0.1488|205.85|400.65|-1450.124551|19.8|4.7033|4.7033
3j_a32|1|3.564417045|0.0|0|8.234564993|0|1|0.609420782|0.0053427669999999|6.3044488020000005|0|0.037373737|-0.029763115|2.248764828|-0.000202965|-0.086191775|10.31100276|-0.052622352|3|3|-0.055211759|-0.052818794|-0.097980957|0|-0.020129489|0.865101945|-0.070289671|0.27811778|47.55031019|0.134898055|71.64373163|-0.030815085|-26.79963418|3.885056172|0.0|0.7487739999999999|-1.140158136|-19.82606536|58.58770587|44.64569478|0.4482615029999999|2282.569698|459.4516326|1778.1826620000002|5.900829539|10.69497519|0.812452828|4866.613493|133.42496409999998|21.85672669|0.015301673|808.6988876|8.126647477|1.0|1.0|1.0|1.0|1.0|3.27|3.0|0.24|19.0|-6.69|110.94|1.94|1.0|95.74|0.0|-5.92|3.0|0.0|0.0|4.09|1.21e-06|0.0004089999999999|1.58e-05|0.00533|3.89|2.03e-07|6.86e-05|-0.05361|-1671.507439|564.55|354.42|0.3005|354.42|405.19|-1671.402462|8.0|8.0969|8.0969
18a_a22|0|0.0|0.0|1|6.842683282|0|0|1.194229718|-0.197348157|4.727387819|2|0.038167849|0.033735832|1.6891461019999998|0.007066388|-0.021976395|10.31286146|-0.015194063|1|1|0.059645624|-0.0835538409999999|-0.147724859|2|-0.042139855|0.926535704|-0.050645213|0.573315195|29.59800426|0.073464296|49.84469832|-0.029276847|-35.04152115|7.887046626|18.5219848|0.710467198|-1.5223960559999998|-23.31437056|64.80092090000001|45.98663929|0.487405342|2898.068989|628.6440468999999|2213.859172|7.037677899|13.72951861|0.950859191|6630.646100999999|196.4447473|27.95908297|0.0193879289999999|1453.872315|13.15449139|1.0|1.0|1.0|1.0|1.0|3.49|3.17|0.08|27.0|-9.4|100.61|2.13|2.0|131.64|0.0|-5.59|4.0|0.0|0.0|3.9|2.59e-06|0.00113|6.98e-06|0.00305|3.78|3.95e-10|1.73e-07|-0.0706799999999999|-1691.3151059999998|695.35|355.95|0.3174|246.91|531.16|-1691.097989|13.0|7.8861|7.8861
4d_a49|0|0.0|0.0|1|7.535296702|1|1|1.343847746|-0.06085453|5.4161004020000005|2|0.036555556|-0.090862681|1.76904838|0.000607064|-0.053327669|10.92777282|0.013451218|1|1|-0.151004418|0.000511959|0.000850823|2|-0.008564167|0.752634646|-0.089942837|0.410804214|85.21839288|0.2473653539999999|152.3727245|-0.0281044679999999|-32.61868996|5.16986937|57.16412513|0.654728051|-1.461432343|-34.12740785|66.51766234|63.79609555|0.470013152|2658.242991|463.6097566000001|1640.195062|7.998287218|15.09148245|0.8868392740000001|5915.214567|212.6814716|26.44129877|0.022019681|1374.947536|13.56373757|0.0|1.0|1.0|1.0|2.0|3.38|2.68|0.22|21.0|-7.58|98.72|1.25|1.0|115.63|0.0|-3.13|5.0|0.0|0.0|2.27|0.000743|296.0|0.0004509999999999|0.18|1.45|2.64e-08|1.05e-05|-0.06309|-1293.333712|668.09|325.87|0.2549|215.82|495.7|-1293.107454|18.0|7.7447|7.7447
13_a4|0|0.0|0.0|1|7.535296702|1|1|1.399843898|-0.210975191|5.4161004020000005|1|0.044357639|-0.059300584|0.0|0.012994083|-0.14818661|10.94205723|-0.0963182119999999|1|1|-0.094404255|-0.0161529719999999|-0.025714912|1|-0.215746851|0.970027005|-0.050017793|0.229685203|11.85953992|0.029972995|14.67530603|-0.0279998139999999|-16.36114989|2.096831328|54.71349575|0.862539527|-1.091992764|-11.99053523|37.12083496|28.77218157|0.4289448289999999|1910.137758|474.9422962|1439.176684|5.663493161|9.917593683|0.751144285|3983.972795|67.30306705|15.89399858|0.007566425|619.8659446|3.704655033|1.0|0.0|0.0|1.0|0.0|3.39|2.87|0.16|17.0|-6.2|30.71|2.9|1.0|90.06|0.0|-4.09|2.0|0.0|1.0|3.57|8.18e-05|0.0235|3.77e-05|0.0108|3.75|6.28e-07|0.00018|-0.03168|-898.3562912999998|536.09|297.09|0.2133|276.68|429.36|-898.2503529999999|4.0|5.3979|5.3979
4d_a46|0|0.0|0.173086735|1|7.825245291|1|1|1.134637067|-0.1397563859999999|5.587248657999999|2|0.047736111|-0.131948546|0.0|0.0116902869999999|-0.111025108|10.96333164|-0.076521434|1|1|-0.206000242|-0.0814707009999999|-0.1271933999999999|2|-0.213089038|0.936057958|-0.056384895|0.290035518|8.241078584|0.063942042|35.10521457|-0.024616555|-21.33218735|2.607946825|74.62074724|0.813427965|-1.132361533|-16.99546444|43.60839351|35.70643728|0.441136013|2181.291783|513.9109507000001|2233.65548|5.757075209|10.30138878|0.7893441379999999|4993.774007|102.4310631|16.6147308|0.0086574759999999|764.2776167999999|4.753094337|1.0|0.0|1.0|1.0|0.0|3.78|3.5|0.35|17.0|-7.41|43.6|2.84|2.0|101.75|0.0|-4.93|3.0|0.0|1.0|4.11|1.18e-05|0.00416|7.8e-06|0.00275|4.3|3.88e-08|1.3699999999999998e-05|-0.0396399999999999|-1453.840712|588.18|280.09|0.1313|280.09|503.76|-1453.688943|517.0|6.2865|6.2865
14q_a23|1|0.0|0.0|2|7.423568444|0|0|1.19796338|0.141057047|5.351858133|2|0.044138322|0.064903564|0.720966302|0.002243702|-0.058543701|10.31321757|-0.056324491|2|2|0.121109106|-0.017918675|-0.033435987|2|0.067394607|0.773194598|-0.08960718|0.227948491|350.836102|0.226805402|155.7136729|-0.039682061|-45.42467289|10.17264683|97.13675614|0.777340899|-2.023785094|-42.23665548|79.42966327|76.3369885|0.472004985|3097.399651|530.8381985000001|2213.1193780000003|8.732265278|16.53853737|0.893957277|6982.066379000001|152.86702240000002|35.04742005|0.01932289|1787.418422|13.26616596|0.0|0.0|1.0|1.0|2.0|3.52|2.66|0.04|26.0|-6.96|148.11|2.28|1.0|128.38|1.0|-5.21|5.0|1.0|0.0|2.62|6.11e-06|0.00278|4.03e-05|0.0183|2.46|1.11e-07|5.03e-05|-0.08159|-1798.645459|714.22|340.33|0.4943|340.33|554.59|-1798.433122|16.0|7.8069|7.8069
9c_a31|0|3.410619646|0.0|0|7.765993078999999|1|1|0.610135804|0.031715924|5.733341277|0|0.03482906|-0.0384827639999999|0.0|-0.003618466|-0.1047269419999999|10.311698300000002|-0.062737615|2|2|-0.062065125|-0.138799714|-0.223856622|0|-0.000533581|0.6746901059999999|-0.103325018|0.287455956|153.5739377|0.325309894|207.3144829|-0.035867334|-52.02424796|12.30439782|552.8237349999999|0.670716706|-1.7933667130000002|-41.96335759|97.22026028|85.15486955|0.4558841429999999|2592.448925|429.9685721|2242.189942|8.188627935|15.04941978|0.837843885|5658.985169|209.8466636|34.07943198|0.024456662|1703.9715989999995|15.58581614|1.0|1.0|1.0|1.0|2.0|3.66|3.09|0.35|16.0|-7.24|117.37|1.08|2.0|108.16|0.0|-5.23|5.0|0.0|0.0|3.32|5.85e-06|0.00233|6.94e-05|0.0277|3.1|5.79e-08|2.31e-05|-0.03249|-1618.157698|691.3|322.12|0.2554|322.12|588.58|-1617.9568470000002|0.42|6.3768|6.3768
18_a15|0|0.0|0.0|0|0.0|0|0|1.435689019|-0.020185809|0.0|2|0.037948718|-0.094812415|0.0|-0.001044324|-0.066226471|10.95986315|0.002685285|0|0|-0.190640601|-0.072506962|-0.145790726|2|-0.0374132629999999|0.8362289070000001|-0.067562078|0.819442071|40.37881101|0.163771093|100.159876|-0.035181092|-33.93632895|2.672871589|1.833724661|0.867430881|-1.723873519|-25.27062952|60.86009645|45.69032922|0.415796832|2541.440611|511.4247108|2510.854462|5.990767063|10.2545953|0.711733271|5705.360332|81.07723009|24.80452821|0.008781964|1215.421882|5.370913621000001|1.0|1.0|0.0|1.0|1.0|3.37|3.75|0.08|24.0|-9.98|47.04|3.6|2.0|113.42|0.0|-6.16|4.0|1.0|0.0|5.06|6.86e-07|0.000265|1.18e-06|0.0004559999999999|5.42|1.0399999999999999e-10|4.01e-08|-0.03581|-1265.810138|650.53|324.29|0.2686|272.91|535.02|-1265.614679|129.0|6.8894|6.8894
