molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|JGI4|ATSC1c|MATS8i|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PNSA3|PNSA5|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
13p_a6|1|0|0|0.0|6.842683282|0|1.424099253|0.0|0.024837222|-0.010395243|4.727387819|0.042959184|-0.634109842|-0.014153926|1|1|-0.005708558|0.123575608|-0.116250572|2|0.784414352|0.837659336|0.8244206940000001|0.7265205579999999|-0.099405155|-0.107371897|-70.52421289|-76.17631587|0.273479442|194.0233618|-54.04422654|8.708451561|107.5669533|0.76005742|-2.14743793|-50.03427239|-26.72853188|82.79893305|3016.078786|-1523.526317|3833.042283|0.23994258|8.760340755|14.91957306|170.2302215|35.16646396|0.018322293|2004.488446|794.5462391|12.99897644|1.0|1.0|1.0|3.64|2.34|0.12|27.0|-10.06|4.58|4.01|122.47|1.01|1.0|132.01|0.0|-5.09|5.0|449.51|1.0|2.96|2.79e-05|0.0125|2.86|8.73e-11|3.92e-08|-0.0746|4.7973|4.73|-1463.08132|752.82|1283.98|258.45|0.47508|-1462.740542|0.0029|-0.12251|9.0546|-0.1971099999999999|0.03807447|-1462.804694|12163.0|7.0362
16_a47|1|1|1|0.0|6.605297921|0|1.417579067|0.0|-0.134455235|-0.0056780519999999|4.59511985|0.042285714|-0.23280014|0.001426202|1|1|-0.004153659|-0.236994128|-0.0574194159999999|2|0.812131575|0.87782381|0.57616624|0.691860453|-0.093207587|-0.092995116|-48.30620628|-48.19609034|0.308139547|159.6978638|-24.97833451|5.0150344780000005|0.0|0.697929921|-1.301931629|-25.03540372|-17.75645434|57.9827944|2315.178558|-674.7452647999999|833.8646097|0.302070079|6.855429069|13.01476838|156.55227280000005|25.44160067|0.0234786339999999|966.7808252999998|357.35851410000004|12.16814835|1.0|1.0|1.0|2.93|1.95|0.06|21.0|-8.17|4.47|5.19|66.49|2.72|0.0|91.55|0.0|-4.34|5.0|337.33|1.0|3.52|3.84e-05|13.0|3.27|6.8099999999999994e-09|2.3e-06|-0.05717|4.4393|2.95|-1167.046301|534.69|894.43|279.29|0.59209|-1166.901251|0.0909|-0.16851|2.3795|-0.22568|0.03384512|-1166.951551|3.8601|9.0
9_a4|0|0|0|0.0|7.535296702|1|1.300485838|2.130445484|-0.211556011|-0.00136737|5.4161004020000005|0.040449735|-0.064266379|-0.091393763|1|1|0.009731833|-0.030976753|-0.076824065|2|0.801082857|0.861113198|0.58669472|0.937102792|-0.052625548|-0.069566741|-28.63837014|-37.85762102|0.062897208|34.22811902|-20.60179129|2.676487872|45.21212204|0.792890434|-1.113067849|-15.58475436|-14.08655666|33.55665428|2359.945586|-605.7219363|2012.840082|0.207109566|5.744374392999999|10.21134541|112.7072422|17.76608225|0.010768243|763.9415367|489.7528555|5.859985199|0.0|1.0|1.0|3.18|3.37|0.19|21.0|-8.16|5.14|5.07|43.6|3.15|2.0|105.09|0.0|-4.76|3.0|360.84|1.0|4.17|7.06e-06|0.00255|4.14|6.9e-09|2.49e-06|-0.05256|4.7284|3.87|-1489.554198|586.24|999.93|262.21|0.5182100000000001|-1489.36688|0.0584|-0.16948|4.4343|-0.22204|0.02116575|-1489.41872|5.4739|7.3188
16i_a32|1|1|1|0.0|7.765993078999999|0|0.6094207429999999|0.0|0.175604846|-0.0146198339999999|5.733341277|0.0439583329999999|-0.7748511779999999|-0.104899053|3|3|-0.001202032|-0.098841478|-0.211019184|0|0.836966894|0.8829894|0.761506727|0.801494708|-0.0857355019999999|-0.114771536|-56.03343427|-75.01027196|0.198505292|129.7354415|-49.02383532|9.540239197|32.3175507|0.718964113|-1.836344582|-36.62130242|-24.00328703|70.6307405|2770.767996|-1200.164351|3450.514629|0.281035887|6.848009314|12.57892808|183.6742715|33.38593207|0.021112022|1669.296604|636.0251562999999|13.79800742|0.0|1.0|1.0|3.75|3.16|0.3|19.0|-7.4|6.25|4.85|149.27|1.34|3.0|116.75|1.0|-7.03|5.0|427.54|0.0|3.96|8.18e-06|0.0035|4.19|4.01e-08|1.7100000000000002e-05|-0.05044|3.6176|4.99|-1995.307733|692.96|1175.51|342.72|0.70222|-1995.055356|0.2857|-0.14976|3353.0|-0.2002|0.02810109|-1995.11813|4.0568|8.2596
21_a47|0|1|1|0.0|6.86171134|0|1.408713027|1.2247108|0.072733799|-0.010650348|4.727387819|0.037801932|-0.511216716|-0.004063946|1|1|-0.004332497|-0.090969103|-0.277479519|2|0.826796636|0.8856299320000001|0.591185263|0.70582155|-0.082614966|-0.095249919|-46.63227351|-53.76411184|0.29417845|166.049938|-30.34731959|7.244985517000001|47.95893876|0.6448452960000001|-1.5239986980000002|-26.32173133|-19.11612865|59.46768095|2691.697803|-860.2257893999999|1402.202743|0.355154704|7.071346534|13.17102891|200.4681737|29.64451905|0.028943339|1334.003357|482.9384172|16.33715751|1.0|1.0|1.0|3.29|3.32|0.1|21.0|-7.7|2.94|4.93|84.73|2.97|1.0|104.49|0.0|-4.44|6.0|394.38|1.0|3.43|4.84e-05|0.0191|3.0|1.98e-08|7.8e-06|-0.06339|3917.0|4.43|-1375.061089|583.37|1014.33|316.53|0.68296|-1374.858663|0.2249|-0.16158|3.6767|-0.2249699999999999|0.03299607|-1374.914223|4.9172|8.3
9r_a24|1|0|0|0.0|6.605297921|0|1.353642494|0.0|-0.134192489|-0.004640179|4.59511985|0.024179894|-0.264490176|0.064425793|1|1|0.008722018|-0.29065818|-0.2920573039999999|3|0.7958149290000001|0.841805128|0.7526889940000001|0.8417158379999999|-0.0618978309999999|-0.082022572|-41.49802275|-54.99020696|0.158284162|106.1180928|-36.86695997|6.992734796000001|89.36724924|0.6152148279999999|-1.394383716|-27.82142546|-17.31173182|51.92828155|2644.462265|-934.8335183|958.7578093|0.384785172|9.672636984|18.36822555|257.9706516|28.13932796|0.02357068|1519.52371|670.2247423|15.80243761|1.0|1.0|1.0|3.53|3.04|0.22|23.0|-8.66|4.23|3.93|79.82|1.02|2.0|116.9|0.0|-4.02|6.0|400.48|0.0|2.98|8.77e-05|0.0351|2.69|2.21e-09|8.84e-07|-0.04313|4.4722|1.82|-1294.486221|713.25|1199.71|277.23|0.3398|-1294.201456|0.0029|-0.1676099999999999|1.9698|-0.21074|0.03426339|-1294.263358|3.0322|7.9586
12aq_a36|1|0|0|0.0|7.412764017000001|2|1.297043497|0.0|0.0332421529999999|-0.0116333169999999|5.351858133|0.041728395|-0.674732412|-0.1031859869999999|1|1|-0.004569485|0.131910912|-0.090926893|1|0.839953955|0.89459881|0.849217847|0.681470612|-0.1093001919999999|-0.122078233|-73.0277723|-81.56528598|0.318529388|212.8220574|-54.49698711|9.548598682|112.415579|0.7619767479999999|-2.319486422|-48.79273723|-28.69889692|87.31909781|2932.54604|-1549.740434|2906.024504|0.238023252|8.596645087999999|14.98931431|159.03272990000002|37.66374367|0.020701483|2033.842158|689.2886595|13.83147784|0.0|1.0|0.0|4.83|0.0|0.13|17.0|-6.14|1.92|0.98|112.29|1.28|1.0|131.85|0.0|-3.52|5.0|424.46|0.0|1.15|0.000359|152.0|1.55|7.19e-07|0.000305|-0.06059|3.9049|3.88|-1401.669694|703.04|1190.22|317.51|0.6933199999999999|-1401.391057|0.0059|-0.13908|6.7649|-0.19967|0.03228003|-1401.452487|8671.0|7.2596
11b_a5|1|0|0|0.0|6.605297921|0|1.277648917|0.0|-0.2023158669999999|-0.003900104|4.59511985|0.023988604|-0.1833048739999999|-0.118167947|1|1|0.005685558|-0.108457009|-0.017658026|2|0.805760343|0.8645824520000001|0.682032125|0.8737310509999999|-0.07633373|-0.080664777|-45.82509318|-48.42513182|0.126268949|75.80248447|-29.07084703|5.900883275|1.880682804|0.66824472|-1.290636432|-27.50997723|-17.60913884|55.65456427|2434.505303|-774.8021092|913.0178976|0.33175528|8.936258446|16.43091298|199.1611925|26.35133256|0.0228838029999999|1159.458633|504.9898148|13.73773299|1.0|1.0|1.0|2.99|2.55|0.1|23.0|-9.15|5.38|4.82|63.69|2.01|2.0|106.58|0.0|-4.65|4.0|376.84|1.0|3.68|2.04e-05|0.00767|3.62|7.109999999999997e-10|2.68e-07|-0.0418399999999999|4.4995|3.31|-1564.761898|635.55|1063.35|275.55|0.61027|-1564.56504|0.2013|-0.17107|1.9569|-0.21291|0.03575776|-1564.621301|2.8531|7.7212
43_a18|0|0|0|0.0|7.03438793|2|1.251175234|0.0|0.032999679|-0.005099385|4.844187086|0.033734062|-0.397752066|0.031746165|0|0|0.003801459|-0.079184068|-0.2093696189999999|0|0.713379703|0.7458234990000001|0.712848727|0.852344887|-0.070166168|-0.0822489459999999|-54.49271386|-63.87648583|0.147655113|114.6724699|-49.60799696|4.156080507|21.60709738|0.8743733490000001|-2.302970476|-42.32033664|-24.16948112|59.84418608|3172.923606|-1788.541603|1579.614523|0.125626651|10.01438533|19.33108376|97.56464265|27.64206062|0.007193089|2045.512486|1228.492038|5.5863235410000005|1.0|1.0|1.0|4.54|0.0|0.34|18.0|-9.6|4.5|4.08|76.5|3.7|3.0|160.76|0.0|-6.45|3.0|508.65|0.0|3.48|1.09e-06|0.000554|5.1|2.52e-10|1.28e-07|-0.04949|3.2233|8.79|-1611.621186|843.1|1493.25|384.65|0.6926800000000001|-1611.126246|0.5429|-0.13196|3.0482|-0.18145|0.02315412|-1611.198355|3.6943|6.2041
47p_a18|0|0|0|0.0|7.03438793|1|1.25117677|0.0|-0.001819106|-0.005394244|4.844187086|0.037575758|-0.3775970529999999|-0.015960677|0|0|0.003537135|0.037961877|-0.261349889|0|0.726294118|0.7611910209999999|0.710266593|0.832954548|-0.06909945|-0.082580968|-51.14496913|-61.12351185|0.1670454519999999|123.6411353|-45.24146169|4.377217987|48.48855261|0.818459442|-2.0645242|-37.85569728|-22.80728054|57.05881288|2933.069245|-1528.087796|1367.4309119999998|0.181540558|9.923659881|19.41290064|134.3699001|27.86610962|0.01090303|1867.029344|1011.163774|8.070036862|1.0|1.0|1.0|4.29|0.0|0.28|18.0|-9.03|3.65|3.34|76.5|3.13|3.0|144.53|0.0|-5.67|3.0|468.59|0.0|2.9|5.34e-06|0.0025|4.35|9.35e-10|4.38e-07|-0.05628|3.2036|7.98|-1493.759811|795.43|1391.71|387.01|0.6937800000000001|-1493.338659|595.0|-0.13118|3.6452|-0.18746|0.02843634|-1493.407248|4.6652|7.1938
