molecula|NaaNH|n9FaRing|SaaNH|nAHRing|nARing|SaasN|MATS2c|n6HRing|JGI4|MATS7i|ATSC1c|AATSC8d|n5aHRing|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
14f_a23|0|1|0.0|0|0|3.366063739|-0.002304087|2|0.04255787|0.056215377|-0.373510774|-0.041351617|2|0.101910723|-0.199540201|-0.399688849|2|0.796412133|0.71381683|1|-0.059927056|-0.084419703|0.2096108239999999|-40.51498423|96.47955427|0.105837608|71.55380685|-0.031450478|-38.58595734|12.40242234|0.665778294|-1.603974359|-27.39103254|58.85981824|0.478733036|604.5178506|-1084.401604|-14.37516058|8.124287407|15.58565565|6768.918745|-733.1331894|0.025162423|-224.1560124|1628.77284|683.7405759|0.0|1.0|1.0|3.57|0.09|26.0|-7.51|3.42|4.03|114.25|2.0|1.0|0.0|1.0|32.0|5.0|441.51|0.0|0.0|-5.02|0.0010199999999999|9.57e-06|0.0042299999999999|3.55|1.3699999999999998e-05|-0.07163|5.8184|3.5753|-1744.452086|-1744.429532|711.98|0.2462|572.35|-1744.182678|0.1699|6.3534|-0.21743|0.02255331|-1744.2443850000002|9.1089|2.0|8.6459
18_a3|1|0|2.897754472|0|0|0.0|-0.256375952|3|0.034712644|0.08269134|-0.122072724|-0.025890816|1|0.150826737|-0.064953613|-0.2495754869999999|3|0.714658751|0.6858831809999999|1|-0.069839069|-0.0846755|0.217881538|-31.07331853|160.9514039|0.158042379|70.31739201|-0.031753312|-16.76239841|2.73114076|0.682492203|-1.016105994|-13.82537222|37.21171433|0.483376636|374.610053|-452.0934439|-6.285899403999999|5.293627315|10.24658906|3928.183499|-201.1487809|0.02363555|-162.3915791|662.4155441|270.539096|1.0|0.0|1.0|2.62|0.0|21.0|-6.83|3.42|3.08|67.35|0.0|0.0|0.0|1.0|21.0|4.0|273.29|0.0|1.0|-3.27|411.0|0.000537|147.0|1.79|4.07e-05|-0.05769|3.9765|3.9765|-889.9619321|-889.9402005000001|482.41|0.3326|330.54|-889.850598|0.3326|2.6366|-0.2218|0.02173162|-889.894728|3.3664|0.03|7.5229
3k_a32|1|1|3.644417045|0|1|0.0|-0.001009768|0|0.0381981979999999|-0.047167919|-0.270019022|-0.077097565|3|-0.084055305|-0.090775221|-0.5265375529999999|0|0.779649252|0.7681279190000001|1|-0.0711378679999999|-0.090839907|0.31016741|-40.10830541|80.0971996|0.122251759|68.92687468|-0.029575784|-28.87643819|3.930238317|0.78057227|-1.271758703|-22.61349991|47.07915023|0.472646737|494.8840288|-717.0314235000001|-9.40163104|6.153598893|11.6688363|5259.698672|-404.2701347|0.012327787|-316.3794102|918.5970998|506.658189|1.0|1.0|1.0|3.47|0.32|19.0|-7.23|7.12|5.78|110.94|2.0|0.0|0.0|1.0|25.0|3.0|366.5|0.0|0.0|-5.61|3.3600000000000004e-05|2.47e-06|0.000904|4.97|2.15e-05|-0.05321|3.5363|3.5363|-1750.164914|-1750.1383649999998|611.65|0.3082|452.36|-1749.957584|0.3082|3.2233|-0.19988|0.02654958|-1750.0122420000002|5689.0|9.0|8.0605
18c_a25|0|0|0.0|0|0|1.959418462|-0.087958541|2|0.043274232|0.007241543|-0.162271435|0.006360768|1|0.01222181|-0.064145547|-0.282103688|2|0.748718056|0.7357918440000001|1|-0.048636087|-0.0719340379999999|0.385593349|-31.96445203|26.54367263|0.05198276|34.1639413|-0.026975264|-31.07074762|4.140476673999999|0.7479204509999999|-1.510614788|-21.00757374|38.26446885|0.484730247|623.0528232|-992.8013635|-11.65153036|7.553051762000001|14.65844196|6736.25597|-652.4856999|0.014546814|-325.8749539|1327.415719|831.3429628|1.0|1.0|1.0|3.58|0.11|27.0|-10.17|6.29|6.11|87.72|2.0|1.0|0.0|0.0|33.0|3.0|449.57|1.0|0.0|-5.6|0.000398|2.51e-06|0.00113|4.49|3.0499999999999995e-08|-0.0622|5.4858|3.3396|-1714.597797|-1714.5777670000002|698.86|0.3558|547.87|-1714.280779|0.0041|6.1775|-0.19532|0.02003004|-1714.342386|7.9283|88.0|7.0555
6_a3|0|0|0.0|0|0|0.0|0.155665791|2|0.038650794|-0.025021661|-0.330577816|0.032782484|1|-0.0445675709999999|0.036673175|-0.594308852|2|0.790667152|0.773152968|1|-0.1042506469999999|-0.098669224|0.556539611|-52.01903278|236.2008316|0.216677977|108.118071|-0.037726468|-24.56680878|2.7192240510000003|0.80281499|-1.282699916|-25.95647951|57.46859326|0.387883362|390.8623623|-640.0421597|-9.393191593|5.498222293|8.982311462|4992.54948|-319.3685142|0.0150025189999999|-302.19751|797.2473951000001|353.7528308|1.0|1.0|1.0|3.05|0.0|21.0|-7.48|4.96|4.66|92.93|1.0|0.0|0.0|1.0|23.0|3.0|338.81|0.0|0.0|-4.87|0.00124|1.34e-05|0.00455|3.79|1.11e-05|-0.06529|5.8279|3.3963|-1731.735113|-1731.7043199999998|524.88|0.1997|366.93|-1731.602363|129.0|2.8131|-0.21179|0.03079258|-1731.6508010000002|3.7185|1778.0|5.7501
21_a10|0|0|0.0|1|1|2.093218896|0.036507898|2|0.035818182|-0.032405474|-0.549176498|-0.003554514|1|-0.051564917|-0.03765494|-0.4636733179999999|2|0.7620337359999999|0.68876002|1|-0.091053776|-0.084654798|0.8663152820000001|-64.32920271|240.7558768|0.225214587|159.11338909999998|-0.03292131|-42.25440548|9.430154402|0.704106635|-1.777750751|-45.44837698|77.676969|0.391384102|547.3834282|-1255.975247|-16.4322688|8.388036625|13.78215169|7048.414464|-887.342515|0.022638817|-288.401376|1783.785559|746.5727327999999|1.0|1.0|1.0|3.5|0.11|27.0|-8.71|4.47|5.6|90.13|2.0|0.0|0.0|1.0|34.0|6.0|448.47|0.0|0.0|-5.51|0.0007599999999999|3.12e-06|0.0014|4.17|8.68e-07|-0.06082|5.9596|3.8599|-1485.499561|-1485.461532|716.1|0.2574|517.44|-1485.216871|0.1489|1.5138|-0.2226|0.03802869|-1485.278495|1.1872|4.8|5.3188
12_a47|1|1|2.903215905|0|0|0.0|-0.155854903|2|0.036632997|0.001435849|-0.209845277|0.0295267039999999|1|0.003417588|-0.015039637|-0.326846977|2|0.8288334490000001|0.618808977|1|-0.084846808|-0.091853238|0.266995634|-44.18983348|63.89392714|0.2159289589999999|112.4599133|-0.034116917|-24.91541818|4.886454935|0.680723821|-1.1940921|-23.01490672|53.5720844|0.4792593739999999|408.3591283|-621.9059029|-9.25429818|7.042279354|13.52358352|4816.005822|-323.9004363|0.025457205|-188.2488142|913.5950352|335.1175012|1.0|0.0|1.0|2.73|0.0|21.0|-8.11|4.19|4.98|66.49|0.0|0.0|0.0|1.0|24.0|4.0|339.75|0.0|1.0|-4.56|0.0106|2.77e-05|0.00943|3.43|2.61e-06|-0.0623|4.2907|3.9538|-1488.101254|-1488.064043|537.79|0.2306|400.09|-1487.974738|0.2241|2.1019|-0.2256|0.03721125|-1488.024564|3.5884|6.0|8.2
12j_a30|0|0|0.0|2|2|0.0|0.04148877|2|0.043848238|-0.02473642|-0.354848778|-0.075816941|1|-0.0431311459999999|-0.09353607|-0.456342646|1|0.795446883|0.7991060659999999|0|-0.073909106|-0.094132698|0.328405591|-47.76354083|88.51817261|0.157800959|101.9784021|-0.036204884|-39.31313154|6.520746879|0.8134611009999999|-1.882653966|-30.8670468|57.85371764|0.476658597|544.2686362000001|-1216.65955|-15.12043521|8.067697897|15.41574553|6105.3402670000005|-786.2626307999999|0.01349128|-405.1466163|1495.657934|686.039456|0.0|1.0|1.0|4.76|0.17|17.0|-7.01|4.35|2.93|81.65|2.0|0.0|0.0|1.0|30.0|4.0|412.51|0.0|0.0|-5.15|0.0009119999999999|7.05e-06|0.00291|4.23|4.02e-05|-0.05106|5.1971|3.4788|-1615.096172|-1615.064152|695.8|0.2163|549.64|-1614.831741|0.1516|4.6727|-0.1987799999999999|0.03201935|-1614.894278|5.1081|9.0|8058.0
14c_a23|0|1|0.0|0|0|3.349976042|0.06596946|2|0.043538647|0.04174584|-0.296935034|-0.047410593|2|0.077009731|-0.13187015|-0.4589840189999999|2|0.793551289|0.659570836|1|-0.0567889659999999|-0.0800086929999999|0.2273163289999999|-37.73933093|38.43627129|0.077064961|51.21382308|-0.034046252|-35.33439343|8.321492112|0.7834075309999999|-1.600173862|-25.07982076|50.26125234|0.459622824|613.3401089|-1063.401832|-15.0359121|7.832948614|14.49533577|6755.962581999999|-706.6878684999999|0.016385474|-376.6791777|1357.40568|633.3278634|0.0|1.0|0.0|3.4|0.05|26.0|-7.99|4.0|4.67|105.02|2.0|1.0|0.0|1.0|31.0|4.0|445.93|0.0|0.0|-5.55|0.000334|2.83e-06|0.00126|4.21|4.55e-06|-0.0795299999999999|3.7031|3.7031|-2089.523959|-2089.501598|693.64|356.0|549.86|-2089.293299|356.0|7.2704|-0.23096|0.02236136|-2089.354057|10.369000000000002|2.0|8.6253
12b_a40|0|0|0.0|0|0|1.713497417|0.084915315|0|0.04020202|0.1744506639999999|-0.158107422|-0.1537981269999999|2|0.279216571|0.038336814|-0.513870527|0|0.7137941109999999|0.522580798|1|-0.065048707|-0.074921647|0.2160572999999999|-37.05091872|80.72126798|0.044352844|25.26281742|-0.0338355829999999|-24.3068084|3.518538455|0.856829717|-1.048903063|-21.10373336|43.22826564|0.494842289|544.3244990000001|-597.4418808999999|-10.97726831|8.132984007000001|16.09989085|5933.385347|-340.29531769999994|0.010309671|-406.4913617|697.2702616|370.3261123|0.0|1.0|1.0|3.26|0.0|20.0|-8.39|6.58|6.74|58.43|2.0|0.0|0.0|1.0|24.0|2.0|415.12|1.0|0.0|-7.11|8.09e-06|7.82e-08|3.2500000000000004e-05|6.68|1.7e-06|-0.08279|3407.0|3407.0|-3016.999329|-3016.9868100000003|576.38|306.0|490.5|-3016.927883|306.0|4.5528|-0.22546|0.01251873|-3016.980996|6.3131|0.04|7.3979
