molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|nAHRing|nARing|BCUTs-1|AATSC1c|SRW07|n6HRing|JGI4|ATSC1c|AATSC1are|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PPSA3|RPSA|TPSA_x|FNSA4|FNSA2|WNSA3|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GRAV|PPSA1|DPSA4|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
2_a4|0.0|0|0|0.0|0.0|1|1|1.189716144|-0.00708265|4.59511985|1|0.037777778|-0.269140683|-0.001386521|0|0|-0.0016168089999999|0.127695325|0.228655117|-0.3881618|0.930871261|0.802438682|0.11821091|0.1355918559999999|0.912872667|0|0.742518847|-0.117395215|0.442778552|2.667094277|0.257481153|108.4760726|-0.0379537729999999|-1.366335816|-20.83662681|312.82106489999995|-575.6333682|910.3327882|-6.736463618999999|0.156892292|7.800989232999999|3396.86527|66.09827364|18.96532986|-289.1005902|284.26458360000004|4.657326379|0.0|1.0|0.0|1.0|0.0|2.0|0.0|0.27|0.83|45.15|1.63|0.0|0.0|79.59|2.0|2.0|-2.18|19.0|4.0|253.3|1.0|1.24|-2.77|1.67|434.0|1.62|0.0|0.00374|3.2230000000000003|-819.9326497000001|-819.8996124|458.73|384.69|210.28|333.36|0.6885600000000001|0.0008|-0.16226|0.033037353|3.0946|7.5086
14z_a23|0.0|0|1|0.0|0.0|0|0|1.197960872|-0.005892861|5.351858133|2|0.04314059|-0.30053593|0.009174505|2|2|0.007229683|0.0708381429999999|-0.125978901|-0.46459002|0.719722236|0.802520527|0.10796308|-0.035965909|0.64069202|1|0.925301102|-0.0582387179999999|0.228957475|12.77192721|0.074698898|52.02674091|-0.03393829|-1.595099623|-28.25118461|644.4593172|-1110.964649|2692.627452|-16.46322104|0.214395551|14.91419434|7285.13008|149.3235124|30.08835522|-397.8390333|665.6233736|11.22918692|0.0|0.0|1.0|0.0|1.0|1.0|3.67|0.05|5.32|105.02|3.99|2.0|1.0|130.3|1.0|5.0|-6.77|32.0|4.0|480.37|0.0|4.49|-6.13|8.18e-05|0.000354|4.83|0.0|1.29e-06|3.6632|-2549.107748|-2549.0953670000004|715.41|338.46|307.5|586.28|0.69913|0.2917|-0.23698|0.01238131|7.9877|8.2941
7_a15|0.0|0|0|0.0|0.0|0|0|1.419941457|-0.010310394|0.0|1|0.035075075|-0.494898891|-0.0013239329999999|0|0|0.002150323|0.213947987|-0.310081401|-0.335491052|0.857287135|0.70084115|0.154068618|0.00364345|0.8115121240000001|0|0.841400327|-0.074406877|0.403524276|20.31436245|0.158599673|88.02694557|-0.026500274|-1.2190126140000002|-22.92132733|466.9990754|-676.5837204|1624.468817|-8.163512395|0.551335598|9.971755103|5097.868552|306.0056033|32.78250222|56.98518567|474.9756287|23.75461091|1.0|1.0|1.0|0.0|1.0|1.0|3.14|0.15|4.64|61.84|1.74|2.0|0.0|99.77|1.0|7.0|-4.83|26.0|5.0|352.38|1.0|3.35|-4.49|0.00516|0.0113|3.84|0.0|2.26e-05|3.7495|-1184.385377|-1184.367098|580.73|330.67|279.33|499.86|0.70497|0.0169|-0.18454|0.01827873|1631.0|6644.0
14c_a23|0.0|0|1|0.0|0.0|0|0|1.197962449|-0.005822256|5.351858133|2|0.043538647|-0.296935034|0.010682694|2|2|0.009263715|0.077009731|-0.13187015|-0.4589840189999999|0.722187957|0.793551289|0.1114214519999999|-0.077808321|0.659570836|1|0.922935039|-0.0567889659999999|0.2273163289999999|12.52192141|0.077064961|51.21382308|-0.034046252|-1.600173862|-25.07982076|613.3401089|-1063.401832|2379.221378|-15.0359121|0.2165924689999999|14.49533577|6755.962581999999|143.9373772|28.88097191|-376.6791777|633.3278634|10.88903141|0.0|0.0|1.0|0.0|1.0|1.0|3.6|0.05|4.67|105.02|3.51|2.0|1.0|125.29|1.0|5.0|-6.13|31.0|4.0|445.93|0.0|4.0|-5.55|0.000334|0.00126|4.21|0.0|4.55e-06|3.7031|-2089.523959|-2089.501598|693.64|334.81|334.81|549.86|0.56781|356.0|-0.23096|0.02236136|10.369000000000002|8.6253
4j_a46|0.0|0|0|0.0|0.19521727|1|1|1.134637093|-0.002284836|5.587248657999999|1|0.048126615|-0.130235627|0.011968098|1|1|0.011684396|-0.078783783|-0.087688953|-0.226712003|0.72796254|0.7298040140000001|-0.061823242|-0.258222236|0.728293097|0|0.949893337|-0.05924408|0.295221643|8.812983129|0.0501066629999999|29.59387777|-0.024805825|-1.339514565|-20.66606288|561.0237355|-791.1408955|2563.282153|-8.652995323999999|0.223067683|10.49957018|5077.124695|131.7477027|18.85718615|-327.122208|642.1335502000001|6.30964324|0.0|1.0|1.0|1.0|1.0|0.0|3.9|0.39|5.33|39.94|3.28|2.0|0.0|110.24|1.0|4.0|-5.38|27.0|3.0|361.48|1.0|4.5|-5.31|0.0015|0.00176|4.81|0.0|7.33e-06|4.4093|-1132.043677|-1132.018764|646.67|281.19|229.82|572.31|0.69413|0.1418|-0.20071|0.02491327|3.8105|6.0942
8_a27|0.0|1|0|2.599100867|0.0|0|0|1.406757715|-0.008444078|4.59511985|2|0.039673203|-0.329319041|0.0040883959999999|1|1|0.004801929|-0.24946295|-0.187486926|-0.535352745|0.6812785379999999|0.8000360390000001|0.141900468|0.11158995|0.64927069|1|0.776384028|-0.078709803|0.3608031339999999|10.41179748|0.223615972|106.5457267|-0.035880862|-1.291711016|-17.86879446|369.9216992|-615.4582227000001|989.0070768|-8.145716531|0.248298166|9.642697094|4522.989286999999|118.305988|22.74314225|-239.8554499|326.3351007|9.240677197|0.0|0.0|0.0|0.0|0.0|1.0|2.28|0.06|2.48|76.46|2.19|0.0|0.0|87.68|1.0|2.0|-3.23|23.0|4.0|303.32|1.0|2.38|-3.52|178.0|0.0907|2.0|0.0|0.000158|4.1276|-1004.515654|-1004.489001|507.76|300.38|300.38|374.88|0.64893|0.2336|-0.21973|0.02665292|4.2899|8.2218
7f_a8|0.0|1|0|2.961566988|0.0|0|0|1.394802504|-0.005338193|4.844187086|0|0.044814815|-0.234880498|0.00112124|1|1|0.00084936|0.09329746|0.141285105|-0.381574707|0.515235986|0.7051689170000001|-0.048917705|0.041366689|0.507325475|0|0.770229267|-0.091890536|0.3155671539999999|7.858266077000001|0.229770733|130.7330978|-0.040738044|-1.670259798|-29.74763659|438.23883319999993|-950.3309426|1854.738581|-13.18808857|0.119077775|14.04331892|5662.145174|67.75191165|26.31197491|-433.4681077|446.5544107|5.839092213|1.0|0.0|1.0|0.0|0.0|1.0|3.23|0.0|5.49|61.58|4.27|2.0|0.0|101.89|1.0|3.0|-5.68|28.0|4.0|373.35|0.0|4.63|-5.5|0.00078|0.00118|4.66|1.0|1.31e-06|3.4810000000000003|-1285.196168|-1285.168078|584.99|356.17|324.68|495.55|0.6987399999999999|0.1502|-0.21998|0.02809022|11.6137|4.4479
6a_a40|0.0|0|0|0.0|0.0|1|2|0.604893625|-0.014623575|6.401917197|0|0.035707071|-0.68730803|-0.001347823|2|2|-0.001171195|-0.272320301|-0.040435852|-0.620787469|0.682273668|0.801647855|-0.012261923|-0.340539542|0.657059571|1|0.733750993|-0.109047987|0.360858579|10.24294396|0.266249007|166.2999483|-0.049149867|-2.113444291|-42.542782200000005|458.303126|-1320.063801|2536.88262|-19.17478857|0.132148181|11.8691482|7059.617542|82.54016015|35.37373259|-459.522754|557.4018948|8.040268001|1.0|0.0|1.0|0.0|1.0|1.0|3.01|0.21|3.07|173.43|1.62|2.0|2.0|120.14|2.0|5.0|-7.11|29.0|5.0|442.53|0.0|3.17|-4.99|3.47e-05|0.00457|3.77|0.0|0.0396|2.9836|-2371.579899|-2371.560378|649.48|415.55|415.55|497.78|0.6782699999999999|0.4015|-0.21255|0.01952089|9.3893|7.3979
7f_a10|0.0|0|0|0.0|-4.8022906380000006|1|1|1.240141822|-0.011104817|5.4161004020000005|2|0.037386831|-0.5663456689999999|0.00189949|1|1|0.0030999659999999|-0.309622111|-0.172751862|-0.5846516820000001|0.5371733989999999|0.796084921|-0.009545801|-0.137271684|0.5209683970000001|1|0.931773786|-0.064238302|0.7359022890000001|4.441786155|0.068226214|38.0022453|-0.03645808|-1.713529756|-19.93012491|519.0013298|-954.4422004|2375.702381|-11.31122804|0.178213448|10.23679556|7070.755931000001|99.26552746|24.71113795|-358.4725202|527.8079877|7.137285626000001|1.0|0.0|1.0|1.0|1.0|0.0|2.97|0.23|6.57|52.83|2.64|2.0|0.0|106.77|1.0|4.0|-5.54|30.0|7.0|410.39|0.0|4.39|-5.6|0.00119|0.00103|4.7|0.0|3.03e-06|3.6256|-1442.216293|-1442.200124|597.28|341.96|214.67|426.07|0.6833600000000001|0.0191|-0.2175699999999999|0.01616879|3.2524|6.8508
12n_a30|0.0|0|0|0.0|0.0|2|2|0.604984682|-0.007311044|5.351858133|2|0.040899471|-0.387485343|0.001139238|1|1|0.002064369|-0.254279374|-0.120380857|-0.464204099|0.669561738|0.815003426|-0.015189554|-0.149451598|0.64876559|0|0.7781502140000001|-0.083120674|0.390449649|10.77573511|0.221849786|140.0890685|-0.038674741|-1.895062322|-33.14358793|491.3700419|-1196.654368|2349.172094|-15.42118984|0.200596792|13.93957316|6353.890039|126.6686716|30.54968688|-378.1217671|618.6004214|9.686460958|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.14|3.18|81.65|3.2|2.0|0.0|127.24|1.0|5.0|-5.39|30.0|5.0|416.47|0.0|2.92|-5.01|0.00171|0.00405|3.97|0.0|5.260000000000001e-05|3.4859|-1675.011418|-1674.978015|669.57|355.67|238.43|506.94|0.6854|0.1489|-0.19876|0.0334036|6.32|7983.0
