molecula|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|GeomRadius|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
15d_a10|0|0|0.0|0.0|2|1.343850133|-0.233802395|-0.002831383|5.4161004020000005|3|0.031742919|-0.059217023|0.010215823|10.92970801|1|1|0.011249462|-0.092884337|-0.1786649189999999|-0.280243276|-0.1945202089999999|2|0.74726683|0.0131101969999999|0.7857977740000001|0.71456262|1|0.87609771|-0.057588609|-0.070612242|0.565801561|0.02281891|-38.80896881|-47.58559595|15.37766538|0.12390229|-32.06793721|10.36301002|141.0919598|0.471900166|66.95020436|0.473858537|590.402322|2036.192049|8.429169102000001|6511.656447|-513.0869954|26.89020509|0.028735133|37.87296065|825.4425942|0.0|1.0|1.0|0.0|3.71|4.01|-7.82|4.14|3.44|65.3|1.54|1.0|131.43|0.0|1.0|6.0|-3.78|-7.04|441.52|0.0|1.0|0.0|4.1200000000000005e-05|0.0182|6.62e-06|-0.05002|5.6004|2.05|321.28|565.91|0.0856|-0.20918|-0.23696253|-1430.795367|69.0|7.1612|7.1612
12a_a5|0|0|2.981252568|0.0|1|1.338814635|-0.256282289|-0.00166971|5.209486153|2|0.023108466|-0.0036987359999999|0.00873078|10.94553751|1|1|0.008649556|-0.006024869|-0.057691345|-0.093973419|-0.175245466|2|0.762866363|-0.063558439|0.829536345|0.741588813|0|0.894590896|-0.058605038|-0.067680123|0.337539208|0.0081891369999999|-36.01436435|-41.59124655|5.032443973|0.105409104|-25.55893402|3.0925714930000003|0.0|0.746785093|50.40529807|0.457755771|549.7500455|899.5599904|8.741980056000001|5294.775577|-511.1786804|21.42066499|0.014342828|-303.31208710000004|650.3600841|0.0|1.0|1.0|1.0|3.06|2.96|-8.83|5.12|4.26|57.7|2.17|1.0|119.38|0.0|1.0|5.0|-4.27|-6.23|381.47|0.0|1.0|0.0|2.56e-05|0.00977|5.660000000000001e-07|-0.04076|4.6865|2.91|297.97|508.81|0.0296|-0.21228|0.03567816|-1201.8082029999998|19.0|7.7212|7.7212
9d_a31|0|0|3.456767212|0.0|1|0.61013528|0.036844743|-0.012442213|5.733341277|0|0.0359583329999999|-0.057650507|-0.002456634|10.31169788|2|2|0.000127275|-0.091744753|-0.134504227|-0.214049412|-0.550392027|0|0.8066174070000001|-0.0375445629999999|0.873955169|0.771222772|0|0.6943358040000001|-0.098210975|-0.11958484|0.3655337879999999|0.029032453|-66.96024848|-81.53295088|19.79432796|0.305664196|-55.58917047|13.49577391|560.5224416|0.6636195229999999|97.84665015|0.457506946|473.3981899|1932.363213|9.436176796|5748.743284|-833.8375571|34.77197803|0.023927395|-223.1115993|647.1500428999999|1.0|1.0|1.0|2.0|3.8|3.35|-7.63|6.04|4.09|117.37|1.31|2.0|112.97|0.0|1.0|9.0|-5.61|-6.36|412.51|0.0|0.0|1.0|4.06e-05|0.0167|9.69e-06|-0.03457|3.8478|5.0|322.22|630.49|0.2611|-0.19426|0.04331056|-1657.245966|0.6|6.2218|6.2218
SB431542_a8|0|0|3.172627551|0.0|1|1.401734117|-0.007805495|-0.014434378|5.4161004020000005|1|0.041909722|0.096884952|-0.0075336219999999|10.94951956|1|1|-0.005306541|0.156874293|0.055198015|0.089375589|-0.494976661|1|0.76592324|-0.072891515|0.8220300859999999|0.7318727540000001|0|0.5653298489999999|-0.128342313|-0.124595991|0.274152231|0.034730361|-76.82006387|-74.57768059|20.78806656|0.434670151|-44.6389196|12.44282236|89.26670319|0.7608280590000001|89.64885355|0.476091179|338.38158389999995|1947.072021|7.360028263999999|6203.505123|-803.5005528|38.35632812|0.025179219|-312.2404091|529.053307|0.0|0.0|0.0|2.0|3.35|2.75|-6.76|3.13|2.72|112.23|1.9|1.0|109.21|0.0|1.0|4.0|-4.4|-7.04|400.39|0.0|0.0|0.0|7.28e-05|0.0292|6.96e-05||||||||||79.08|4.1019|4.1019
2_a47|0|0|0.0|0.0|0|1.381899691|-0.002024001|-0.008527649|0.0|2|0.027058824|-0.004557357|-0.007479445|10.93671092|0|0|-0.006079384|-0.007299676|-0.017113434|-0.0274111779999999|-0.444853768|2|0.916092248|-0.0253134039999999|0.728066943|0.875463345|1|0.847324011|-0.083455669|-0.095655954|0.482748996|0.008511123|-41.57671973|-47.65477123|4.240150185|0.152675989|-23.74109633|2.112397382|0.958043241|0.784978115|55.81329383|0.433425706|422.1277419|1242.745585|5.308758149|4559.060763|-356.116445|23.34938746|0.016376351|-283.9460863|392.6099255|1.0|1.0|1.0|2.0|2.58|2.54|-7.82|3.7|4.75|58.04|2.39|1.0|96.54|0.0|1.0|3.0|-5.46|-5.0|313.35|0.0|1.0|1.0|7.75e-06|0.00243|4.73e-06|-0.05285|3.7181|3.49|333.46|371.19|0.2143|-0.20731|0.03544055|-1010.412694|631.0|6.2|6.2
19c_a38|0|0|3.332128134|0.0|2|1.297043851|-0.085545751|-0.008177185|5.351858133|2|0.04508642|0.02192428|-0.004442319|10.95429182|1|1|-0.002443797|0.04814981|-0.09493054|-0.20848518|-0.434836855|1|0.7163622890000001|-0.071918235|0.908721232|0.6885713729999999|0|0.7591916240000001|-0.0918007669999999|-0.108301657|0.396635872|0.024315945|-57.79749770000001|-68.18641054|15.30924906|0.240808376|-42.92996714|9.638658988|4.848162625|0.7187071909999999|82.74311399|0.477803802|477.9848537|2660.812979|6.97753104|6618.350708|-772.7394084|33.48483537|0.023120664|-275.39483110000003|640.025745|1.0|0.0|1.0|3.0|4.84|3.0|-6.92|3.17|2.42|105.02|1.76|1.0|130.41|0.0|1.0|5.0|-4.35|-7.13|426.45|0.0|0.0|0.0|7.55e-05|0.0322|5.14e-05|-0.05691|5.8832|3.23|323.53|517.28|0.1417|-0.21303|0.03740877|-1424.247603|9.0|8.0348|8.0348
11_a15|0|0|0.0|0.0|1|1.435688956|-0.1758968389999999|-0.0064953419999999|0.0|3|0.02962963|-0.036023137|0.001806571|10.95979791|0|0|0.003766915|-0.056500144|-0.173728081|-0.272482143|-0.363940085|2|0.843715005|0.0432314409999999|0.76664841|0.796300317|0|0.8945381259999999|-0.064429158|-0.0974577669999999|0.632319408|0.018519054|-44.15161868|-66.78526188|12.69062406|0.105461874|-45.76619542|8.696553172|0.0|0.739315684|79.1792768|0.470042906|613.0036107000001|2565.707165|6.233494755|7002.915718000001|-915.3239085|31.14961732|0.018086221|-327.9935744|830.7967967000001|1.0|1.0|0.0|1.0|4.1|4.25|-8.9|4.33|6.69|59.51|2.52|2.0|138.24|0.0|1.0|6.0|-6.32|-5.26|448.52|1.0|0.0|0.0|7.970000000000001e-07|0.000357|5.7e-07|-0.03877|4.7106|5.04|418.94|568.22|0.0011|-0.16011|0.03503399|-1450.457814|739.0|6.1314|6.1314
13a_a30|0|0|0.0|0.0|2|0.604984129|0.113424769|-0.011002918|5.351858133|2|0.042560386|-0.036541822|-0.003436924|10.31162842|1|1|-0.002215642|-0.065043716|0.003429114|0.006103754|-0.5640209589999999|1|0.841060094|-0.058608635|0.885516463|0.802578397|0|0.6963945559999999|-0.109682335|-0.113507021|0.478381813|0.01856512|-74.02777574|-76.60916637|12.53013554|0.303605444|-51.70573895|8.456950359|102.6479456|0.799862466|88.22659517|0.4661332179999999|470.0167988|2520.165025|8.066980235|6675.344631|-1034.114779|36.14261279|0.017212819|-404.771677|713.7769663|1.0|0.0|0.0|2.0|4.76|0.0|-6.19|3.04|1.72|124.74|2.06|1.0|135.37|0.0|1.0|6.0|-5.01|-7.05|441.51|0.0|0.0|0.0|5e-05|0.0221|0.000288|-0.0555|5.0535|4.54|351.35|541.59|0.1603|-0.20503|0.04590378|-1744.281248|14.0|7.8665|7.8665
2_a1|0|0|0.0|0.0|1|1.348828131|-0.049975995|-0.004621682|5.4161004020000005|1|0.0409444439999999|-0.1056298369999999|0.001576763|10.9520472|1|1|0.003205156|-0.237981258|-0.145015842|-0.326716897|-0.422863867|1|0.571324013|0.1766333219999999|0.8571146190000001|0.5574897879999999|0|0.808210065|-0.0622285999999999|-0.077270452|0.220315042|0.011282631|-28.32386891|-35.17029414|5.135384136|0.191789935|-16.00805425|2.337413146|84.54541681|0.6944040029999999|43.24570924|0.39830426|367.8635872|1378.496713|5.2823820260000005|3920.383175|-192.096651|17.36508791|0.017741989|-176.9692239|299.6692382|1.0|1.0|1.0|0.0|2.91|2.69|-6.18|4.0|4.12|30.71|2.49|0.0|79.77|0.0|1.0|2.0|-3.06|-6.04|279.31|0.0|1.0|1.0|0.000167|0.0466|0.000185|-0.02966|4.0877|3.31|303.31|355.79|0.2991|-0.19826|0.024658671|-920.123726|5.8|5.2366|5.2366
19b_a38|0|0|3.26554965|0.0|2|1.297044256|-0.122009545|-0.008652352|5.351858133|2|0.044392765|0.013765516|-0.006877664|10.96052467|1|1|-0.004358975|0.035216067|-0.098027247|-0.250781298|-0.443325632|1|0.653741315|-0.114123934|0.8851623040000001|0.632625562|0|0.7293105670000001|-0.086013549|-0.11557289|0.336505882|0.0224393089999999|-53.38447032|-71.73053105|13.92699891|0.270689433|-44.51968852|8.643817972|0.0|0.7596369590000001|84.49751102|0.478948837|452.6479704|2436.66785|7.159317935|6518.872269|-801.3543933999999|33.99385836|0.020570275|-322.28833010000005|593.6088758|1.0|0.0|0.0|3.0|4.82|2.37|-7.12|3.55|3.11|81.23|2.78|1.0|125.65|0.0|1.0|5.0|-4.25|-6.81|419.43|0.0|0.0|1.0|4.67e-05|0.0196|3.19e-05|-0.05031|5363.0|3.66|330.55|485.64|0.1945|-0.20445|0.03336932|-1431.2418630000002|12.0|7.9172|7.9172
