molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|AATSC1pe|MATS1i|MATS1c|n6aHRing|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|PBF|FPSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
1c_a5|1|0|0|2.955525321|0.0|6.605297921|0|1.424607938|-0.268536978|-0.001983746|2|0.0248765429999999|-0.080321049|0.0|0.008031558|-0.228971551|10.9433337|-0.058823529|0.007357977|0.034752304|-0.20172074|2|0.128385959|0.821309592|0.6977404359999999|0|-0.068062282|0.436308619|0.008349498|4.27195187|160.5407184|0.11368581|58.16640976|-0.0281385329999999|-1.12554131|-17.81716094|-14.3968489|39.09545876|0.476413155|-7.366029352999999|6.063350238|11.580409800000002|0.909902834|126.3615674|19.11862892|0.0153811389999999|-258.918642|764.7451566000001|7.869633359|1.0|1.0|1.0|1.0|2.78|0.05|-8.41|4.51|54.46|0.0|0.0|3.0|-4.25|-5.77|312.37|1.0|1.0|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0111|3.43|0.0|3.87e-09|-0.03965|4.8783|4.5088|556.84|274.99|271.0|254.15|0.4444899999999999|0.1076|-0.18719|1.7105|0.029157178|-990.516371|3981.0|5.4|5.4
14a_a23|0|1|1|0.0|0.0|7.423568444|0|1.197964042|0.050806184|-0.0056795759999999|2|0.042992424|0.0446402609999999|0.757767133|0.012219066|-0.0518554529999999|10.31321831|-0.071842463|0.011363191|-0.073893976|-0.446724057|2|0.114693804|0.816237166|0.6888154959999999|1|-0.055677662|0.225448915|0.019504497|12.33442989|38.57988954|0.081322962|51.42774883|-0.0341809229999999|-1.606503401|-22.26638099|-21.61564087|47.54437201|0.462434482|-13.66949407|7.668841725|14.2658736|0.8602383659999999|138.6457355|27.68542751|0.016707951|-355.0975547|1301.215093|10.56592489|0.0|1.0|1.0|1.0|3.41|0.05|-7.41|4.02|105.02|2.0|0.0|5.0|-5.47|-6.27|411.48|0.0|0.0|3.38e-06|0.00139|1.1e-05|0.0045299999999999|3.58|0.0|3.92e-08|-0.07379|3.7119|3.7119|665.5|334.02|0.3764|334.02|0.6289100000000001|0.3764|-0.15002|5.8775|0.0216412|-1629.748476|3.0|8.5498|8.5498
15_a4|0|0|0|0.0|0.0|7.535296702|1|1.399867493|-0.159419214|-0.001986535|1|0.044357639|0.0432718859999999|0.0|0.009823083|-0.1979518539999999|10.94611612|0.022446689|0.00918585|-0.017259078|-0.226703465|1|0.095534883|0.8347553529999999|0.509447294|0|-0.062151785|0.2517542889999999|0.010893057|5.223809291|12.70877085|0.132283624|63.43714456|-0.030724393|-1.106078158|-14.29317436|-14.73400655|35.02894809|0.437696617|-7.065752187|5.459799482|9.709704127|0.7783994009999999|74.8625551|17.45960235|0.009743323|-329.8289177|628.5456843999999|4.672449937|0.0|1.0|0.0|0.0|3.28|0.11|-6.09|4.4|30.71|0.0|0.0|2.0|-3.82|-5.6|291.32|1.0|1.0|0.000152|0.0443|5.19e-05|0.0151|3.49|0.0|8.070000000000001e-07|-0.03539|4.5048|4.2148|512.65|294.16|0.1996|275.22|0.4778699999999999|0.0969999999999999|-0.17373|2.1603|0.018092091|-958.195344|175.0|6757.0|6757.0
7l_a46|0|0|0|0.0|0.256706467|7.727094485|1|1.160371354|-0.2644255789999999|-0.00090473|2|0.04006734|-0.203375108|0.0|0.013150047|-0.074511843|10.9642261|0.050638298|0.0125870169999999|-0.087877164|-0.1082221709999999|2|-0.1237456669999999|0.825629852|0.6539666829999999|0|-0.0565894359999999|0.253138137|0.011594057|5.5935102720000005|8.13531199|0.092851886|44.79605077|-0.022013621|-0.880544835|-13.17144326|-10.620390400000002|32.8948756|0.46327253|-5.1237682730000005|5.273701985|9.825660656|0.863142947|156.9538706|15.74158869|0.016330867|-168.5385796|629.6635476|7.878766604|1.0|1.0|1.0|0.0|3.04|0.28|-6.29|3.59|43.6|0.0|0.0|2.0|-3.18|-6.22|290.36|1.0|1.0|0.000668|0.1939999999999999|0.0001889999999999|0.0548|2.61|0.0|5.19e-07|-0.03324|4.5464|4.5464|517.29|272.71|0.2024|272.71|0.68834|0.2024|-0.18993|3.3119|0.025086919|-915.493986|1.94|5.7122|5.7122
1b_a5|1|0|0|2.881451247|0.0|6.605297921|0|1.4258024619999998|-0.250420203|-0.00279809|2|0.0248765429999999|-0.095857885|0.0|0.003886035|0.001241264|10.94890233|-0.028797464|0.003708988|0.019611905|-0.231956531|2|0.122747292|0.827319059|0.558485747|0|-0.07823203|0.341795323|0.010803163|5.438378717999999|168.30518769999998|0.191171377|96.23685048|-0.031306145|-1.158327367|-19.82538668|-15.75970652|44.82086533|0.474445758|-7.933533473|6.11909445|11.64312636|0.90275317|134.6705884|21.51550842|0.019229427|-234.0649914|796.0738116|9.680212283|1.0|1.0|1.0|1.0|2.75|0.0|-8.3|4.76|54.46|0.0|0.0|3.0|-3.97|-5.99|316.33|1.0|1.0|0.000106|0.0336|4.970000000000001e-05|0.0157|3.16|0.0|4.99e-09|-0.04135|4789.0|4.6481|536.59|266.74|0.3101|258.89|0.5153800000000001|87.0|-0.1892|2891.0|0.03246637|-1050.462425|59.0|7.2291|7.2291
5b_a49|0|0|0|0.0|0.0|7.853604813|2|1.343848745|0.1108916119999999|-0.007610481|2|0.034466231|-0.072128552|1.926253727|0.005836378|-0.0695402359999999|10.9297646|0.059834711|0.006696215|-0.13632743|-0.515894968|2|-0.006962617|0.839963111|0.666573331|1|-0.0698098759999999|0.615864196|0.020319986|11.94347454|170.0796998|0.203066756|119.3565117|-0.026008|-1.300400018|-24.11745318|-15.28671785|52.97561349|0.475192312|-8.985071494|6.270195553|11.94760614|0.905459892|229.9974239|25.1139312|0.025332565|-127.7749783|1255.69656|14.88971719|1.0|1.0|1.0|1.0|3.34|0.22|-7.24|2.87|75.94|1.0|0.0|3.0|-3.3|-7.24|396.44|1.0|1.0|0.000496|0.1969999999999999|0.000118|0.0468|2.08|0.0|5.79e-08|-0.04453|5.1653|3.9209|633.92|316.21|0.4653|240.03|0.39241|0.0747|-0.1624799999999999|4.3767|0.03937634|-1291.929428|28.0|7.5528|7.5528
16_a20|1|0|0|3.485659565|0.0|6.842683282|0|1.401259527|-0.014660441|-0.004705049|2|0.0388043479999999|0.126359252|2.013871268|8.23e-05|-0.061975089|10.93301779|-0.062750442|0.001157852|-0.070208458|-0.458484451|2|-0.085041518|0.809440795|0.724665638|1|-0.066137353|0.382481746|0.011604018|7.634605066000001|69.28224942|0.084994428|55.92018945|-0.029561375|-1.47806874|-28.6288015|-19.44924762|51.14820251|0.464473378|-12.79619894|8.166385503999999|15.24926152|0.8673208|144.672972|24.9314775|0.013439632|-368.5817657|1246.573875|8.84230625|1.0|1.0|1.0|1.0|3.5|0.08|-10.52|5.46|78.25|2.0|0.0|4.0|-6.06|-5.42|401.46|0.0|1.0|8.68e-07|0.000349|2.17e-06|0.0008699999999999|4.69|0.0|3.0500000000000005e-11|-0.05909|5.9837|3.5704|686.59|347.26|0.3431|207.2|0.32553|0.1958|-0.1481299999999999|4.7315|0.03385502|-1275.6960869999998|26.0|7585.0|7585.0
6b_a31|1|0|0|3.404988662|0.0|7.773594467000001|1|0.610136262|0.052690797|-0.016070861|0|0.037803618|0.11647286|0.0|-0.011483229|-0.032090772|10.31169819|-0.053655833|-0.008439437|-0.002840672|-0.57983695|0|-0.068433069|0.841537966|0.795570315|0|-0.12081047|0.146652651|0.032992761|20.12924648|159.79549319999998|0.372146926|227.0509355|-0.045675611|-2.055402513|-44.96993859|-27.86719323|93.83704414|0.4807018779999999|-17.0020813|7.513612533|14.46878435|0.925676135|155.0167518|37.35947255|0.024142162|-300.0775025|1681.1762649999998|14.72939894|1.0|1.0|1.0|2.0|3.55|0.1|-7.33|4.0|131.36|1.0|0.0|4.0|-5.63|-6.5|404.44|0.0|1.0|2.34e-06|0.000947|2.18e-05|0.00883|3.2|0.0|4.67e-08|-0.05835|3.2949|3.2949|637.06|376.29|0.4967|376.29|0.7013199999999999|0.4967|-0.13345|5.9085|0.03623358|-1652.505041|54.0|7.2676|7.2676
18b_a30|0|0|0|0.0|0.0|7.412764017000001|2|0.604987149|0.036563014|-0.006947027|2|0.041767677|-0.039831247|0.0|0.003099827|0.016709918|10.31163838|-0.051413084|0.0036417359999999|-0.049287858|-0.45633339|1|0.022695194|0.8839272779999999|0.760234689|0|-0.078751666|0.413791511|0.019880184|13.14992762|77.65678625|0.130659636|86.42600053|-0.036237883|-1.811894154|-34.45606603|-23.96987622|65.24093056|0.424912258|-15.85509189|7.513189589|13.0644231|0.7388650920000001|158.9382363|31.55111394|0.0184861069999999|-343.5825913|1577.555697|12.22780277|0.0|1.0|0.0|1.0|4.78|0.13|-6.7|2.49|105.44|2.0|0.0|5.0|-5.49|-6.33|423.49|0.0|0.0|3.23e-06|0.00137|1.57e-05|0.0066599999999999|3.59|0.0|2e-07|-0.06142|3.5256|3.5256|697.37|351.66|0.3576|351.66|0.67715|0.3576|-0.14385|4.8198|0.03910602|-1667.849173|25.0|7.6003|7.6003
9d_a40|0|0|0|0.0|0.0|7.515889085|0|0.604992329|0.007834411|-0.003961493|0|0.045555556|0.153818743|0.89023715|0.011823978|0.15723868|10.3119722|-0.137738587|0.010101686|0.0116099239999999|-0.4887998529999999|0|-0.3969541689999999|0.8221990920000001|0.55759121|1|-0.060319196|0.002088915|0.010749826|5.539796446|108.1468558|0.058372388|30.08152399|-0.031613312|-1.074852592|-16.01918037|-16.29154841|36.6245851|0.467275972|-8.395657932|8.023385851|15.06105494|0.87714454|68.83858806|18.80327978|0.0087217999999999|-377.6610668|639.3115126|4.49467719|0.0|0.0|0.0|0.0|3.25|0.06|-7.0|5.09|58.43|1.0|0.0|2.0|-6.13|-4.62|325.82|1.0|1.0|7.37e-07|0.0002399999999999|2.23e-06|0.000727|5.16|0.0|1.01e-07|-0.06906|4.6073|3.3464|542.19|370.51|0.4888|269.1|0.4557199999999999|0.4025|-0.13875|6.2032|0.01113991|-1677.48058|107.0|6.9706|6.9706
