molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|JGI4|SaaaC|MATS8i|n5aHRing|AATSC1pe|AATSC7i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
14v_a23|0.0|0|1|0.0|-4.844615416|0|0|1.1979575059999998|3.004639728|0.135774541|-0.014768546|2|0.047323232|0.636416435|0.017156562|2|-0.0004039459999999|0.170475376|2|0.598213287|0.787538583|0.132882353|-0.022236834|0.575188253|1|0.916605275|-0.067342061|0.019811827|-44.4776373|-62.61276875|13.08518422|78.86310829|0.083394725|-0.042752869|-41.35406587|0.912757854|-2.180396311|76.42257099|-28.23713101|57.56282152|3399.4261450000004|2679.111279|-18.64987284|0.211671341|7.743452839|14.26610767|0.84234449|8458.789829000001|35.81898321|0.020908947|676.4530574|13.80980223|0.0|1.0|0.0|1.0|3.62|26.0|-7.95|114.25|3.04|1.0|126.97|1.0|7.0|-6.89|35.0|8.0|-5.94|495.48|1.0|0.0|-6.0|6.38e-05|1e-06|4.76|0.0|0.0|5.57e-06|-0.07843|3694.0|5.17|3694.0|-2042.182282|-2042.161744|679.5|1206.02|533.44|0.6017100000000001|348.0|4.5506|-0.2308599999999999|0.02053833|-2041.998955|8.4001|8.4001
7a_a8|0.0|1|0|3.1730222510000003|0.0|1|1|1.4000287219999998|1.4494883790000002|-0.11821781|-0.010269971|1|0.041123188|0.0|0.004607684|1|0.002028046|-0.02923588|1|0.7168594159999999|0.764224152|0.033708575|-0.032562221|0.681200974|0|0.718410375|-0.102174163|0.035405618|-60.00793116|-59.83546383|20.79408196|145.3710976|0.281589625|-0.042647654|-35.14198015|71.85980901|-1.833849114|75.4573633|-25.04740346|80.80201312|2715.360649|1702.719465|-14.71059634|0.266115601|7.699041907000001|14.73814865|0.914283468|5907.9340090000005|34.12990316|0.0265990589999999|488.0169522|15.62189947|0.0|1.0|1.0|1.0|3.34|23.0|-7.27|92.93|2.01|0.0|105.83|1.0|3.0|-4.86|29.0|5.0|-6.33|382.37|0.0|1.0|-4.64|0.00522|2.29e-05|3.24|0.0|0.0|2.05e-05|-0.07616|4.5808|5.2|3.0704|-1291.313963|-1291.287017|605.72|1031.61|494.48|0.61257|0.1575|9.9646|-0.20505|0.0269461|-1291.156661|4.6068|4.6068
1k_a5|0.0|1|0|2.9020229360000003|0.0|0|0|1.427567903|0.0|-0.216088148|-0.0030192829999999|2|0.026339869|0.0|-0.145151027|1|0.003708988|-0.220946861|2|0.567806811|0.7824502320000001|-0.011552666|-0.022280685|0.558485747|0|0.7836926809999999|-0.078995018|0.010892351|-40.40908188|-38.00629774|5.571869083999999|165.11680719999998|0.216307319|-0.0301207529999999|-19.44172742|0.498979532|-1.114467843|47.83775802|-15.40795854|45.98095096|2171.394196|824.0133397999999|-7.881781385|0.275045542|6.710535795|12.9461019|0.929220303|4479.484358|21.25369168|0.019219352|357.34245360000006|9.83146028|1.0|0.0|1.0|1.0|2.71|23.0|-8.3|54.46|2.29|0.0|90.44|1.0|3.0|-3.97|24.0|4.0|-5.99|316.33|0.0|1.0|-4.3|0.0336|4.970000000000001e-05|3.16|0.0|0.0|1.58e-06|-0.04516|4.7221|3.1|4.4063|-1050.548505|-1050.51717|533.8|890.76|398.63|0.53086|0.1239|1.5911|-0.22504|0.03133456|-1050.468159|7.3188|7.3188
27c_a34|0.0|0|0|0.0|0.0|1|1|1.4335249819999998|1.996958431|0.02583752|-0.014036512|1|0.041728395|0.0|-0.028344637|1|-0.004694534|-0.132026575|1|0.850511415|0.783333463|-0.0360159139999999|-0.0239323839999999|0.804740647|0|0.631065353|-0.114233896|0.0304948179999999|-76.84420762|-84.73908278|20.51361454|176.7076265|0.368934647|-0.042782312|-57.00328784|119.8660257|-2.26746252|100.1948155|-28.77931113|97.35782216|2921.328444|2477.818875|-19.35960719|0.261802571|8.808655321|15.31184469|0.738272657|6308.331369|38.98592708|0.022975949|673.8038326000001|15.45573273|1.0|1.0|1.0|1.0|3.55|23.0|-7.67|104.29|1.71|0.0|119.71|1.0|6.0|-4.75|32.0|5.0|-6.85|427.46|0.0|1.0|-4.45|0.00759|3.52e-05|2.9|0.0|0.0|9.1e-06|-0.03792|4277.0|5.23|3.9186|-1426.521813|-1426.482676|709.72|1203.69|558.04|0.68683|0.0093|7.6204|-0.19682|0.03913684|-1426.31053|6.0969|6.0969
8f_a12|0.0|0|1|0.0|0.0|1|1|0.609895166|0.0|0.110310585|-0.008295703|2|0.038347953|2.177023629|0.028505422|1|-0.00094279|-0.023769395|1|0.902669729|0.7475224290000001|-0.13747286|-0.042014638|0.8409290840000001|1|0.869823177|-0.072634742|0.013287637|-41.27611074|-56.220383|7.550959323|83.13642146|0.130176823|-0.03822396|-31.9483307|0.0|-1.6818542230000002|63.05721575|-21.72151161|48.82707007|2541.921472|1448.568734|-12.34367323|0.161876566|7.016225129|13.00131176|0.853035146|5481.952981|25.9168408|0.012030968|524.0516742|6.836832748|1.0|1.0|1.0|1.0|4.09|21.0|-8.42|78.41|3.1|0.0|115.66|1.0|3.0|-5.7|27.0|4.0|-5.47|369.44|0.0|1.0|-5.24|0.000735|5.72e-06|4.34|0.0|0.0|1.4e-06|-0.06179|4.1744|4.19|3.6536|-1481.146454|-1481.115891|606.97|1020.81|441.97|0.59107|0.2466|0.9092|-0.2124|0.03056355|-1481.008909|6.1898|6.1898
12l_a30|0.0|0|0|0.0|-4.712037416|2|2|0.60498366|0.0|0.157020295|-0.015371073|2|0.044036281|0.0|0.154540315|1|-0.004395528|-0.300262845|1|0.613786308|0.830875659|-0.045411075|-0.0395239879999999|0.593245722|0|0.834279405|-0.0905026719999999|0.0154211289999999|-63.31694493|-76.82494797|10.78883933|103.5499036|0.165720595|-0.045581702|-53.74781658|1.697908189|-2.415830189|88.64610824|-31.88960104|74.10578426|3306.001879|2394.793539|-22.31041443|0.178184921|9.258542907|17.23248653|0.861252543|7576.362669|38.8038646|0.016896687|696.6414817000001|11.82116027|1.0|1.0|1.0|0.0|4.72|17.0|-7.18|90.88|2.82|0.0|133.96|1.0|7.0|-6.7|34.0|8.0|-5.66|482.48|0.0|0.0|-5.92|9.63e-05|1.2e-06|5.05|0.0|0.0|3.19e-05|-0.0545299999999999|5.0454|5.52|3.5245|-1988.033039|-1987.998976|729.17|1223.54|574.72|0.39486|0.1574|2.5031|-0.20397|0.03406276|-1987.848331|7.2154|7.2154
9i_a40|0.0|0|0|0.0|0.0|0|0|0.604992808|1.841293462|0.074116257|-0.0071562119999999|0|0.045555556|0.891973262|0.201624407|2|0.004019925|0.333430103|0|0.831946443|0.762774506|-0.154977678|-0.28972973|0.7947633409999999|1|0.830980762|-0.092881258|0.011010661|-46.80087537|-44.58600513|5.548036224|213.7117392|0.169019238|-0.036869006|-22.46593254|62.68854553|-1.327284222|49.81256531|-18.57750214|52.34891159|2056.370683|335.9672843|-9.360805225|0.140977546|7.700852478|14.74203307|0.91433781|4201.058793|21.62632891|0.010372658|351.4600612|5.226560183|1.0|1.0|1.0|1.0|3.25|20.0|-6.03|84.45|2.99|1.0|91.11|1.0|2.0|-5.32|22.0|2.0|-5.44|306.38|0.0|1.0|-4.71|0.00147|1.97e-05|3.85|0.0|0.0|0.000285|-0.05989|4.3611|3.2|2.8936|-1273.334714|-1273.31399|534.44|883.84|417.75|0.56118|0.3362|2.0895|-0.17956|0.02072395|-1273.217301|5.9031|5.9031
6b_a31|0.0|1|0|3.404988662|0.0|1|1|0.610136262|0.0|0.052690797|-0.016070861|0|0.037803618|0.0|-0.032090772|2|-0.008439437|0.1978523089999999|0|0.838789705|0.78240875|-0.068433069|-0.084489161|0.795570315|0|0.627853074|-0.12081047|0.032992761|-73.70779766|-78.37648097|20.12924648|159.79549319999998|0.372146926|-0.045675611|-47.81835367|101.4993391|-2.055402513|93.1058799|-27.86719323|93.83704414|2776.92804|2063.736075|-17.0020813|0.254079586|7.513612533|14.46878435|0.925676135|6099.567787|37.35947255|0.024142162|536.6368656000001|14.72939894|1.0|1.0|1.0|1.0|3.55|22.0|-7.33|131.36|1.36|0.0|109.69|1.0|4.0|-5.63|29.0|5.0|-6.5|404.44|0.0|1.0|-4.66|0.000947|2.18e-05|3.2|0.0|0.0|1.89e-05|-0.05835|3.2949|4.61|3.2949|-1652.671944|-1652.635711|637.06|1077.19|492.36|0.7013199999999999|0.4967|5.9085|-0.1918|0.03623358|-1652.505041|7.2676|7.2676
9d_a31|0.0|1|0|3.456767212|0.0|1|1|0.61013528|0.0|0.036844743|-0.012442213|0|0.0359583329999999|0.0|-0.0938310919999999|2|0.000127275|-0.091744753|0|0.8066174070000001|0.8343242820000001|-0.030275712|-0.0375445629999999|0.771222772|0|0.6943358040000001|-0.098210975|0.029032453|-66.96024848|-81.53295088|19.79432796|154.8767865|0.305664196|-0.033844766|-55.58917047|560.5224416|-1.793772606|97.84665015|-23.07536346|86.75457645|2654.377004|1932.363213|-15.732784099999998|0.336380477|9.436176796|17.39409698|0.8433415740000001|5748.743284|34.77197803|0.023927395|647.1500428999999|16.31369927|1.0|1.0|1.0|1.0|3.8|16.0|-7.63|117.37|1.31|0.0|112.97|1.0|9.0|-5.61|29.0|5.0|-6.36|412.51|0.0|1.0|-4.39|0.0010199999999999|4.06e-05|3.46|0.0|0.0|9.69e-06|-0.03457|3.8478|5.0|3.8478|-1657.471475|-1657.428165|727.27|1202.79|630.49|0.7006899999999999|0.2611|2.6311|-0.19426|0.04331056|-1657.245966|6.2218|6.2218
13i_a6|0.0|1|0|3.399318783|0.0|1|1|1.430639411|0.0|0.0359494989999999|-0.0149593219999999|1|0.042560386|0.0|0.034304189|1|-0.007703306|0.057038772|1|0.8744720490000001|0.7771558909999999|0.145878803|-0.054229558|0.830577798|0|0.624046118|-0.120457274|0.031178586|-80.75190740000001|-86.83156133|20.90143854|181.1128483|0.375953882|-0.046433945|-58.20996912|116.5456632|-2.460999087|100.2320567|-31.12829557|101.6533459|2906.257489|2880.134143|-20.86772478|0.216402237|8.294136887|14.54375165|0.753497905|6306.951561999999|39.72483975|0.019989461|673.8038326000001|13.40049533|1.0|1.0|1.0|1.0|3.59|23.0|-8.5|115.15|1.18|0.0|120.17|1.0|6.0|-5.03|32.0|5.0|-6.81|427.46|0.0|1.0|-4.48|0.00398|3.28e-05|2.95|0.0|0.0|1.36e-06|-0.0481399999999999|3.6668|4.94|3.5614|-1426.549926|-1426.518007|703.43|1196.21|553.67|0.7004600000000001|19.0|7.8342|-0.19454|0.03191957|-1426.332492|7.6778|7.6778
