molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|nAHRing|nARing|MATS2c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|MATS8i|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|GATS1pe|RASA|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Veber filter|Hydrogen bond acceptors count (using Lipinski’s definition)|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|pIC50
12f_a31|0.0|1|0|3.4780522210000004|0.0|1|1|0.034876922|5.733341277|0|0.03703252|0.043286807|0.0|-0.698273995|-0.0944165219999999|-0.0164221939999999|2|0.068054139|-0.130400541|-0.205011573|-0.551471017|0|0.805862937|-0.029803241|0.8530975000000001|0.7730604259999999|0.700992225|-0.118239376|0.027617942|-68.14417693|19.26761061|159.84734269999998|-0.0337826789999999|13.44201623|569.7325277000001|0.686882955|-47.54067074|97.53070764|87.41178754|0.482666192|2710.311963|489.0460499|-1319.832035|-16.44247509|0.313117045|9.859605078|218.4455813|34.31214739|0.021559868|1921.480254|713.5657448|15.04120547|1.0|1.0|1.0|2.0|3.86|3.78|16.0|-8.02|6.43|4.48|117.37|1.53|3.0|0.0|5.0|1.0|4.01|-4.63|0.0004469999999999|2.37e-05|3.82|0.0|0.0|9.53e-09|4.06e-06|-0.03317|5.39|-1696.785527|-1696.741889|755.33|1258.6|323.68|0.2664|323.68|665.22|0.7006600000000001|0.2664|-0.15894|1.8803|-0.19211|-1696.53373|6.8861
3f_a32|0.0|1|1|3.553167045|0.0|0|0|0.0067550119999999|5.733341277|0|0.042380952|-0.062954205|2.227330929|-0.275173181|-0.113189563|-0.110286539|3|-0.112493266|-0.074808287|-0.133675401|-0.5487283829999999|0|0.833981748|-0.1743238839999999|0.871865543|0.786074011|0.874026684|-0.097374443|0.011897886|-41.40131823|6.707989266|47.97543149|-0.030139709|3.78194259|0.0|0.78919828|-23.34192893|61.47296003|48.1093075|0.435176082|2273.466801|492.7734095|-713.6921402|-9.580412233|0.21080172|6.153728636|118.8493262|21.53155987|0.011659458|904.3255145|475.3634141|6.573564628|1.0|1.0|1.0|1.0|3.9|3.31|19.0|-7.31|7.18|5.63|110.94|2.18|2.0|0.0|3.0|1.0|4.63|-5.4|4.53e-05|3.96e-06|4.83|0.0|0.0|4.89e-08|1.73e-05|-0.05315|3.92|-1712.0610190000002|-1712.034952|604.9|1006.92|348.58|293.0|348.58|488.74|0.70255|293.0|-0.1474599999999999|3.4678|-0.2006099999999999|-1711.9193289999998|8.0458
12q_a30|0.0|0|0|0.0|-4.76444841|2|2|0.144208934|5.351858133|2|0.0438779959999999|-0.016509571|0.0|-0.873376576|0.004165554|-0.021542639|1|-0.0483777279999999|-0.077457998|-0.226973911|-0.636798458|1|0.613786308|-0.032887649|0.867367115|0.593245722|0.845745827|-0.115589613|0.014790072|-59.52322773|10.07866809|82.72757145|-0.045799658|6.868090132000001|0.732186841|0.820640722|-40.56199584|90.06607753|69.60189582|0.473741611|3305.289025|576.3319634|-1654.134991|-21.2680622|0.179359278|7.346842839|122.2240555|38.03137394|0.016579022|2015.662819|696.6414817000001|11.29774462|0.0|1.0|0.0|1.0|4.73|0.0|17.0|-7.18|4.43|4.78|90.88|2.82|2.0|0.0|8.0|0.0|3.42|-5.92|9.63e-05|1.2e-06|5.05|0.0|0.0|6.61e-08|3.19e-05|-0.05105|5.52|-1988.033527|-1987.999444|713.16|1214.92|355.93|0.1817|245.16|537.96|0.34138|0.1515|-0.14792|5.5755|-0.19897|-1987.847256|7.4449
12h_a40|0.0|0|0|0.0|0.0|0|0|0.104392974|5.4161004020000005|0|0.041915709|0.208938531|0.803557099|-0.289603712|0.189869851|-0.21893421|2|0.367928263|0.127299624|0.224167029|-0.556229094|0|0.809398262|-0.335801908|0.845904643|0.6948809659999999|0.839481749|-0.091448888|0.0117142839999999|-50.45378559|6.193088525|208.6717565|-0.038796498|3.274152035|59.68939644|0.844008584|-26.67382585|54.9311782|56.64687411|0.4958138139999999|2270.834041|443.8158546|-676.8587047999999|-10.84365353|0.155991416|7.989299324|82.46928995|24.30173133|0.012453938|801.957134|350.9435025|6.584127851|0.0|1.0|1.0|1.0|3.19|3.0|20.0|-6.84|4.59|5.02|84.45|3.76|2.0|0.0|2.0|1.0|4.22|-5.58|0.0002009999999999|2.61e-06|4.75|0.0|0.0|1.44e-07|5.2e-05|-0.07512|4.14|-2153.207198|-2153.186757|548.82|910.77|469.0|0.3985|298.7|435.95|0.6503899999999999|0.3693|-0.1092|2.5573|-0.18432|-2153.123274|6.0846
9a_a40|0.0|0|0|0.0|0.0|0|0|-0.028285975|5.4161004020000005|0|0.0397333329999999|0.168990628|0.921628874|-0.136162501|0.157704751|-0.1720337089999999|2|0.291102625|0.009844552|0.016958188|-0.449508498|0|0.624889926|-0.2990540869999999|0.749764251|0.61091688|0.937600185|-0.072887601|0.011033601|-29.02567082|5.334966331|109.9916614|-0.032156295|2.579562688|51.49564873|0.868476591|-14.03449109|39.45618424|34.36063715|0.493941591|1971.148912|453.3484005|-528.6391483|-7.51786994|0.131523409|6.749223592000001|63.59419322|17.90285474|0.008714375|608.6970611|323.79254|4.213574358|0.0|1.0|1.0|0.0|3.26|3.28|20.0|-6.4|4.58|4.43|58.43|3.57|1.0|0.0|2.0|1.0|4.08|-5.08|0.000944|8.33e-06|4.54|0.0|0.0|4.02e-07|0.000117|-0.06495|4.07|-1217.955997|-1217.9449|515.96|847.69|373.53|0.4746|263.42|411.01|0.47831|0.3483|-0.13808|3.8656|-0.20303|-1217.873686|6.6696
19_a34|0.0|0|0|0.0|0.0|1|1|-0.068004837|5.351858133|1|0.044107744|-0.189862762|0.0|-0.5357267960000001|-0.143343425|-0.014196676|1|-0.29861864|-0.255220734|-0.401414514|-0.469568766|1|0.866604574|-0.0235903339999999|0.8582665429999999|0.818710955|0.6399024520000001|-0.1255804019999999|0.039589023|-56.30608209|19.74799697|131.5318459|-0.039656969|9.850795895|470.4453529|0.662289492|-28.08688512|77.38527508|76.05407906|0.467358389|2127.363207|319.1993829|-751.7118302|-9.86770272|0.3377105079999999|5.495780422|168.4584665|29.86894781|0.029554695|1135.020017|337.9440349|14.74262256|1.0|0.0|1.0|1.0|3.07|2.77|17.0|-5.03|2.69|2.31|69.4|1.08|0.0|0.0|5.0|1.0|2.1|-3.15|574.0|0.000704|1.66|0.0|0.0|9.42e-06|0.00291|-0.02901|2.7|-1046.606458|-1046.5747720000002|538.96|882.87|297.18|0.2189|297.18|421.62|0.6897300000000001|0.2189|-0.1735|3.4272|-0.20251|-1046.509891|6.0044
23_a10|0.0|0|0|0.0|0.0|1|1|-0.12979844|5.4161004020000005|2|0.036666667|-0.031558374|1.981673861|-0.17741132|-0.000458688|-0.0253481679999999|1|-0.0502296329999999|-0.130679|-0.207994181|-0.233801237|2|0.7338945809999999|-0.043248272|0.800727358|0.706648116|0.915208645|-0.072395864|0.009615852|-35.17017083|6.81095873|72.17779806|-0.02685653|4.824237957|53.00900704|0.7611996520000001|-24.91121732|60.76548004|41.98112956|0.485561757|3103.831885|648.2471057|-1179.402562|-13.47382337|0.238800348|8.755988318|169.14354509999998|24.9903188|0.013394095|1549.399766|930.6293092|9.487107794|1.0|1.0|1.0|0.0|3.8|4.13|27.0|-9.84|5.11|5.81|56.07|2.99|2.0|0.0|5.0|1.0|4.5|-5.7|0.00193|2e-06|4.48|0.0|0.0|1.44e-10|6.66e-08|-53.0|3.9|-1470.1960279999998|-1470.166163|768.3|1336.11|325.98|0.2089|325.98|606.18|0.67647|0.2089|-0.15858|3.8115|-0.21158|-1469.902562|6.1249
12ap_a36|0.0|1|0|3.4417292610000003|0.0|2|2|-0.06398791|5.351858133|2|0.042739018|0.066185994|0.0|-0.424579308|-0.105824575|-0.042675894|1|0.117738331|-0.098598933|-0.175397741|-0.436880644|1|0.8707354620000001|-0.074596774|0.893689741|0.8212311840000001|0.830587483|-0.106173763|0.0217479329999999|-54.21070432|14.26936622|82.56761031|-0.037473093|9.36249036|0.0|0.737851886|-35.56900768|83.16347311|68.48007054|0.464588|2843.18721|544.9693552|-1253.939017|-16.13217554|0.262148114|8.766216204|172.00197649999998|33.32245946|0.020575639|1699.445432|642.3830552000001|13.50019441|0.0|0.0|0.0|2.0|4.78|0.0|17.0|-6.66|2.75|1.76|92.99|1.38|1.0|0.0|5.0|0.0|1.66|-3.95|0.0412|0.000113|2.4|0.0|0.0|2.21e-07|8.97e-05|-0.06084|2.98|-1325.199863|-1325.159466|691.41|1160.79|319.54|0.8819|252.39|553.28|0.59563|0.3982|-0.15704|7.0249|-0.21788|-1325.0127220000002|7.4949
12g_a30|0.0|0|0|0.0|0.0|2|2|0.096186205|5.351858133|2|0.039951691|-0.037395048|0.0|-0.574592016|0.007330206|-0.049719762|1|-0.067792064|-0.084317059|-0.152855196|-0.539112991|1|0.817497287|-0.0885760969999999|0.886776351|0.770326886|0.783662781|-0.10344931|0.027436565|-58.41940906|18.59520651|133.2169768|-0.040568357|12.60295167|237.7754135|0.7743107290000001|-39.593913|83.29752441|77.01461557|0.459011202|3058.2873170000003|531.1295763|-1402.261011|-18.63502363|0.225689271|8.694447089|152.961516|35.50940589|0.019453222|1810.9797|683.7405759|13.18447384|0.0|1.0|0.0|1.0|4.67|0.0|17.0|-6.42|3.4|2.48|114.67|2.06|2.0|0.0|6.0|0.0|2.36|-5.01|0.000444|9.71e-06|3.89|0.0|0.0|3.7600000000000003e-07|0.000165|-0.0576|3.88|-1743.214798|-1743.174676|717.55|1206.02|348.35|0.2449|244.53|577.31|0.26238|0.1613|-0.15077|3875.0|-0.2083699999999999|-1743.029147|8.0334
12q_a36|0.0|1|0|3.453150038|0.0|2|2|-0.0543475329999999|5.351858133|2|0.042804233|0.068040097|0.0|-0.410984299|-0.0651906459999999|-0.0433009009999999|1|0.1161527719999999|-0.103922055|-0.177407665|-0.441747876|1|0.8941919290000001|-0.074349074|0.8839272779999999|0.8065052890000001|0.82911927|-0.1060430969999999|0.018562763|-49.18227989|12.00048565|82.68142965|-0.038175515|7.758093617|0.0|0.768692389|-31.79544084|80.15866795|61.18276554|0.486620426|2786.514757|536.0103834|-1233.988474|-15.95501778|0.231307611|7.546533709|149.536123|32.10617123|0.017949083|1605.308562|629.5017194000001|11.60375275|0.0|0.0|0.0|2.0|4.74|0.0|17.0|-7.18|3.35|2.54|69.2|2.51|1.0|0.0|4.0|1.0|2.34|-4.59|0.0151|2.55e-05|3.31|0.0|0.0|6.65e-08|2.77e-05|-0.05602|3.79|-1692.544456|-1692.5102989999998|683.51|1148.35|320.77|0.4239|236.72|531.58|0.39919|0.3419|-0.1566|4.6718|-0.2126199999999999|-1692.370918|8.2218
