molecula|NaaNH|n9FaRing|nARing|BCUTs-1|SaasN|SRW07|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|FPSA1|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|pIC50|pIC50
12e_a31|1|0|1|0.610134116|0.0|5.733341277|0.037098765|0.0113193469999999|-0.002475146|-0.107630327|10.3116965|-0.015755876|2|-0.000231353|0.01824365|-0.142921555|0|0.7761616020000001|-0.028502695|0.82100963|0|0.721526766|-0.0939597569999999|0.2642991189999999|0.02665413|-68.32948993|19.38343763|166.1479229|0.2784732339999999|-0.036652129|-58.15044546|14.09603901|595.9853231000001|-2.089171358|95.1187282|-26.65419063|0.274879568|0.904247004|6557.418968999999|36.75829484|0.020841203|2095.222806|798.7285626|15.15615632|1.0|1.0|2.0|3.87|3.72|0.24|22.0|-9.31|5.4|2.21|0.0|129.38|9.0|-6.66|33.0|-5.93|0.0|0.0|1.0|-5.42|2.16e-07|9.96e-05|0.00176|0.0|4.93e-10|2.27e-07|-0.03445|5.3264|6.33|3.8391|-1809.899887|-1809.85374|781.61|322.95|0.7006600000000001|0.2627|2.6024|-0.19379|6.7696|6.7696
18a_a25|0|0|0|1.194229606|1.875390684|4.727387819|0.038167849|0.062229409|0.007643634|-0.018419483|10.31286118|-0.019985937|1|0.007325341|0.106305991|-0.06333068|2|0.7385460309999999|-0.035531959|0.792935475|1|0.931628386|-0.055926422|0.341320954|0.0095281269999999|-37.07961488|6.317215793|75.74077952|0.068371614|-0.03097773|-34.36707071|4.188358905|0.0|-1.641819678|59.45091020000001|-20.53845469|0.182927961|0.973559258|6523.923911999999|25.136651|0.011486699|1332.242503|759.4953883|7.615762647|1.0|1.0|1.0|3.5|3.43|0.08|27.0|-9.78|5.72|2.88|1.0|133.85|6.0|-6.33|32.0|-5.58|0.0|0.0|1.0|-5.77|4.65e-07|0.000202|0.000744|0.0|1.67e-10|7.28e-08|-0.05591|5.4965|4.51|3.1711|-1675.274716|-1675.2501519999998|694.17|390.98|0.5274399999999999|0.0027|3.1313|-0.21323|7.0269|7.0269
12as_a36|1|0|2|1.297043209|0.0|5.351858133|0.041728395|0.096454203|0.000584134|-0.114290948|10.95347588|-0.025398105|1|0.0018565629999999|0.162571317|-0.166354116|1|0.817372883|-0.04244711|0.869455765|0|0.77043791|-0.082748367|0.291030086|0.019229943|-55.75872553|12.95780416|88.17694537|0.22956209|-0.037824788|-49.71556877|8.731418812000001|0.0|-2.080363362|85.53474971|-25.48765709|0.231874606|0.834059821|6224.698969|33.18163581|0.017444469|1824.98997|716.9974499|11.75468972|1.0|0.0|2.0|4.86|0.0|0.17|17.0|-6.89|2.09|1.59|0.0|133.95|6.0|-3.81|32.0|-7.21|0.0|0.0|0.0|-3.95|0.000154|0.0653|0.0476|0.0|1.29e-07|5.4600000000000006e-05|-0.05789|4.5202|4.84|3851.0|-1385.601917|-1385.5651710000002|712.04|321.96|0.68211|0.2402|4.8580000000000005|-0.21419|7.2291|7.2291
1_a3|0|0|1|0.6195934120000001|0.0|4.727387819|0.034166667|-0.004409693|-0.006610844|0.038572075|10.33805862|0.032569462|0|-0.005006707|-0.007705076|0.08803837|2|0.7905285390000001|0.057919092|0.8457792829999999|1|0.7762512779999999|-0.098872259|0.521474118|0.008036786|-45.44133321|3.693677623|289.8942564|0.2237487219999999|-0.034105115|-19.55367089|1.697600903|0.0|-1.295994381|49.05980305|-15.67458788|0.207914282|0.8151164259999999|4510.611026|19.78900457|0.014174378|751.9821735|373.1494221|6.514493077999999|1.0|1.0|1.0|3.83|0.0|0.18|16.0|-5.77|1.85|1.52|0.0|91.52|2.0|-3.07|22.0|-6.87|0.0|0.0|0.0|-3.3|0.0008529999999999|261.0|154.0|0.0|1.69e-06|0.000518|-53.0|5.8805|2.08|3.8645|-1273.316428|-1273.290432|496.09|320.83|0.68912|0.0096|2.2332|-0.21886|6.1403|6.1403
9g_a40|0|0|0|0.604992427|1.849105962|5.4161004020000005|0.043730159|0.07954859|0.011921308|0.139758613|10.31197177|-0.145879501|2|0.0115573539999999|0.133954053|-0.062672355|0|0.764275277|-0.242405063|0.821935848|1|0.90454157|-0.063539055|0.002717414|0.021367335|-33.47455057|11.25704374|65.74631496|0.09545843|-0.031197254|-21.93596333|5.930596229|64.08637519|-1.185495647|51.16627179|-16.43578193|0.259759794|0.909806709|4435.743087|22.20330888|0.018087202|843.7257374|384.6422631|9.528957565|1.0|1.0|1.0|2.8|1.78|0.06|22.0|-6.43|2.93|0.64|0.0|87.53|3.0|-2.49|23.0|-7.17|0.0|1.0|0.0|-3.09|0.00323|977.0|247.0|0.0|3.720000000000001e-07|0.000113|-0.0624|3.0778|3.83|3.0778|-1332.487689|-1332.476347|559.04|402.84|0.70233|0.3563|3.4787|-0.19005|5.45|5.45
14b_a25|0|0|0|1.420015222|1.616664856|4.727387819|0.038137255|0.001683506|0.004725325|-0.012989126|10.93106299|0.0009956189999999|1|0.004892038|0.0028569959999999|-0.074541111|2|0.7723870909999999|0.001715854|0.8333962429999999|1|0.859628015|-0.076156512|0.329662946|0.016003559|-52.75064158|11.08504021|112.49583529999998|0.140371985|-0.032728922|-40.37825712|7.678174472999999|57.85340824|-1.767361771|69.2012501|-22.67004596|0.227210413|0.963240883|6760.594953|29.33534086|0.015746299|1584.108407|760.3735147000001|10.90684621|1.0|1.0|1.0|3.51|3.21|0.07|27.0|-9.65|4.79|1.8|0.0|130.97|6.0|-5.6|34.0|-6.26|0.0|0.0|1.0|-5.23|2.49e-06|0.0011099999999999|0.00261|0.0|2.23e-10|9.93e-08|-0.0584|5.4239|5.61|4069.0|-1444.544749|-1444.505985|716.14|304.7|0.64983|0.0006|2.7037|-0.22149|7.6576|7.6576
16c_a32|1|1|0|0.6094207629999999|0.0|5.733341277|0.03995614|-0.03152033|-0.0064007569999999|-0.031087095|10.31100271|-0.036931818|3|-0.00369116|-0.057356214|-0.229450999|0|0.8607827790000001|-0.061904762|0.915639476|1|0.773043206|-0.088841599|0.367322508|0.025791147|-53.00702241|15.38819548|102.2022233|0.226956794|-0.038178095|-42.71426897|9.181311842|37.0285246|-1.679836163|86.97970500000001|-22.77882371|0.3153632939999999|0.8653137670000001|5979.891916|33.27140293|0.02579269|1463.941729|513.9156315|15.38911619|1.0|1.0|2.0|3.5|3.08|0.22|19.0|-6.99|4.21|0.88|0.0|107.14|7.0|-6.04|27.0|-6.44|1.0|0.0|1.0|-4.41|9.17e-07|0.000366|0.0155|0.0|1.0300000000000001e-07|4.13e-05|-0.0505|3.6264|4.12|3.6264|-1916.6792|-1916.651132|639.66|341.89|0.70198|0.2955|4.0551|-0.20047|8.3468|8.3468
12f_a30|0|0|2|0.60498366|0.0|5.351858133|0.041555556|0.1468972409999999|-0.00695299|-0.008663584|10.31162828|-0.046588557|1|-0.004395528|0.4304505939999999|-0.226973911|1|0.8246767140000001|-0.071123509|0.876441789|0|0.8357464459999999|-0.090450992|0.56363596|0.01570263|-63.81176255|11.07796031|101.2862703|0.164253554|-0.0452183279999999|-54.21787616|7.815328055|1.45550709|-2.396571368|89.21786458|-31.90082427|0.184824668|0.8958126809999999|7634.176316|39.1336968|0.01752821|2074.08593|696.6414817000001|12.36587885|1.0|0.0|1.0|4.73|0.0|0.17|17.0|-7.18|4.78|2.82|0.0|133.96|7.0|-6.7|34.0|-5.66|0.0|0.0|0.0|-5.92|1.99e-07|9.63e-05|0.000579|0.0|6.61e-08|3.19e-05|-0.05464|5.0587|5.52|3.5298|-1988.032639|-1987.998635|729.87|351.25|0.68471|0.1596|3.6633|-0.20422|7.7144|7.7144
12b_a5|0|0|2|1.189701783|0.0|4.59511985|0.0252713179999999|-0.021265946|0.0068803119999999|-0.119503073|10.94620104|-0.016614746|0|0.00751901|-0.033279992|-0.110182753|2|0.779793078|-0.033036296|0.819417554|0|0.827613693|-0.066227158|0.350286421|0.016556707|-41.76622313|10.44150403|138.67264319999998|0.172386307|-0.020455699|-27.27837078|6.584944956|0.0|-1.165974822|59.53145615|-12.90040679|0.4696203889999999|0.924627734|5501.255679|24.32296891|0.025810077|1386.409228|727.8586176|16.27715102|1.0|1.0|1.0|4.05|0.0|0.33|18.0|-7.67|0.72|1.54|0.0|123.46|5.0|-2.3|30.0|-7.57|0.0|1.0|0.0|-3.45|0.00503|2.0|143.0|0.0|2.14e-08|8.5e-06|-0.10395|4.6156|2.24|1.4454|-1276.928859|-1276.8943800000002|669.05|857.76|0.70615|0.0001|5.7174|-0.16607|7.3768|7.3768
8_a15|0|0|0|1.419941362|0.0|0.0|0.039181287|0.155304204|1.7800000000000002e-05|-0.010146469|10.95880707|-0.014489333|0|0.003160815|0.225620047|-0.295062413|1|0.7059441040000001|-0.025923166|0.742680335|0|0.853896482|-0.071552706|0.381651497|0.0336657729999999|-41.7821007|19.65860939|104.8781037|0.146103518|-0.028969856|-40.33569847|11.47934212|55.99586988|-1.419522941|89.80283608|-16.91650111|0.480572589|0.638601279|5306.2234530000005|32.56759415|0.035495625|1595.8121130000002|532.0914339999999|20.72712321|0.0|1.0|1.0|3.14|3.76|0.19|18.0|-7.57|4.95|1.96|0.0|104.74|7.0|-5.25|27.0|-5.52|0.0|1.0|1.0|-4.81|5.63e-06|0.00206|0.00562|0.0|2.69e-08|9.86e-06|-0.02723|4.4346|3.36|3.7426|-1223.704913|-1223.687714|598.84|331.28|0.70524|0.0155|1.1415|-0.18303|6.9666|6.9666
10_a47|0|0|0|1.381868067|0.0|0.0|0.042276423|-0.169242585|-0.008120645|0.0814897|10.93671036|0.007193585|0|-0.0065562469999999|-0.349569106|-0.045289209|2|0.754096463|0.011239977|0.8077565520000001|1|0.841070966|-0.076311525|0.417511484|0.00951788|-40.80144983|5.088920549|103.41137940000002|0.158929034|-0.035388634|-26.77924406|2.720890925|0.0|-1.592488524|57.59863288|-18.9212254|0.198117368|0.699661037|5482.319019|23.5960035|0.014051737|1061.820157|498.0016816|7.51303623|1.0|1.0|2.0|3.02|2.97|0.09|22.0|-8.85|5.92|3.21|0.0|106.43|3.0|-5.75|27.0|-5.08|1.0|0.0|1.0|-5.5|1.77e-06|0.000638|0.00114|0.0|1.4199999999999999e-09|5.110000000000001e-07|-0.0486399999999999|5.7693|4.37|3.7236|-1188.405988|-1188.3744|579.86|332.97|0.69212|0.2175|1.9281|-0.20309|7.9|7.9
