molecula|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|SaasN|AATSC1c|n6HRing|MATS7i|ATSC1c|AATSC1are|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|nFaHRing|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GeomPetitjeanIndex|WNSA4|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
13_a12|0|0|0.0|0|0|0|0.0|-0.0069874069999999|2|-0.21832579|-0.272508888|0.000830398|0|0.002279068|-0.362308767|-0.169387652|-0.281096572|2|0.845823047|-0.226526433|0|-0.058167326|0.122164874|0.008188151|-28.51381164|-45.33566159|0.09993609|-0.034993718|-22.2236882|1.96760628|66.2289548|0.8829921740000001|-1.2947675790000002|-13.97756285|-17.15403411|0.466560112|-8.408963103|0.874625469|3647.657976|57.35761558|0.0074597119999999|718.8050825|327.9594923|3.656774794|1.0|0.0|0.0|1.0|2.64|3.9|50.7|1.0|84.74|0.0|1.0|21.0|3.0|-5.49|0.0|1.0|-4.2|5.520000000000001e-05|3.51|0.0|0.0|7.26e-08|2.01e-05|3.83|3.9329|-876.3661620999999|-876.3370809|532.86|867.79|315.25|0.6622399999999999|0.64974|-876.209109|0.0155|-0.16458|1.3023|-0.20903|0.0290811829999999|-876.258343|1.5686|93.0|7.0315|7.0315
12am_a36|0|0|-4.723487246|0|2|2|0.0|-0.015884751|2|0.122824831|-0.921315581|-0.011700732|1|-0.007897954|0.345949079|-0.1187503719999999|-0.3344729369999999|1|0.647732719|-0.0147665219999999|0|-0.091472759|0.305015372|0.017590648|-63.19394154|-81.59051640000001|0.185013456|-0.045928425|-56.3667958|8.395550408|1.038361162|0.788334835|-2.480134939|-43.65752487|-31.72964526|0.484558903|-21.92042059|0.940085891|7238.033439|146.228847|0.020179019|2173.44302|672.4630346|13.94067198|1.0|1.0|1.0|2.0|0.0|4.04|78.43|2.0|130.43|0.0|1.0|34.0|8.0|-6.4|0.0|0.0|-5.07|6.26e-06|3.86|1.0|0.0|7.24e-08|3.37e-05|4.86|3.8606|-1645.205296|-1645.169789|714.21|1206.77|321.15|0.40752|0.6805100000000001|-1644.952145|0.2987|-0.15658|5.9258|-0.21356|0.03550681|-1645.016323|8.0872|0.06|7.2218|7.2218
14ac_a23|1|1|-9.994971573|2|0|0|2.7104403130000003|-0.011656739|2|0.016532702|-0.66443411|-0.0066006519999999|2|-0.004445662|0.068237909|-0.069765112|-0.287952039|2|0.5562570379999999|0.1374474|1|-0.0883661019999999|0.300389872|0.016832361|-66.72452104|-73.32014595|0.068856366|-0.043970249|-55.36344264|9.597200637|0.327656318|0.8077820920000001|-2.330423202|-50.3831402|-33.20157553|0.489147172|-25.07023818|0.95751094|9203.543798|145.1421706|0.019122137|2178.41361|718.3324686000001|14.43896921|1.0|1.0|1.0|1.0|3.34|8.36|105.02|2.0|130.29|0.0|1.0|38.0|10.0|-5.84|1.0|0.0|-6.65|4.92e-08|5.35|0.0|2.0|9.25e-10|5.06e-07|4.93|3.6325|-2304.001319|-2303.9786940000004|751.54|1285.58|341.32|0.6408|0.69962|-2303.749331|0.2391|-0.15055|6.3004|-0.23868|0.02262555|-2303.819891|8.6341|4.0|8.3851|8.3851
12u_a36|0|0|0.0|0|2|2|0.0|-0.006461999|2|0.033763276|-0.407105926|0.0042553209999999|1|0.005035022|0.055588998|-0.099596099|-0.163978382|1|0.901715152|0.080270195|0|-0.07260571|0.3765068079999999|0.017639065|-50.53295452|-67.50289394|0.157772171|-0.03452119|-46.98143813|8.544435884|5.944854912|0.77938748|-2.036750221|-35.17050511|-24.02645378|0.486156325|-16.72220679|0.946117173|6127.402572|153.5444314|0.015171583|1818.813889|799.5563855|10.55929252|1.0|1.0|1.0|2.0|0.0|3.01|69.2|2.0|138.33|0.0|1.0|32.0|4.0|-6.19|0.0|1.0|-4.86|1.13e-05|3.8|0.0|0.0|4.2e-08|1.7800000000000002e-05|4.21|3675.0|-1350.8981130000002|-1350.865506|739.12|1254.5|337.37|0.69258|0.70272|-1350.575382|0.0176|-0.15109|5.8702|-0.20409|0.03260752|-1350.638138|7.8877|16.0|7.7959|7.7959
18a_a22|0|0|0.0|1|0|0|1.854982521|-0.003488994|2|0.033735832|-0.19538364|0.007066388|1|0.007079018|0.059645624|-0.0835538409999999|-0.147724859|2|0.760537197|-0.042139855|1|-0.050645213|0.573315195|0.01713283|-34.36220678|-51.6464295|0.073464296|-0.029276847|-35.04152115|7.887046626|18.5219848|0.710467198|-1.5223960559999998|-23.31437056|-19.86401135|0.487405342|-13.47750813|0.950859191|6630.646100999999|196.4447473|0.0193879289999999|1453.872315|730.9420477000001|13.15449139|1.0|1.0|1.0|1.0|3.17|5.11|100.61|2.0|131.64|0.0|1.0|32.0|4.0|-6.28|0.0|0.0|-5.16|2.59e-06|3.78|0.0|0.0|3.95e-10|1.73e-07|3.69|3.4832|-1691.3151059999998|-1691.2957760000002|695.35|1211.84|355.95|0.35107|0.68577|-1691.036502|0.0354|-0.1408|3851.0|-0.21148|0.01932946|-1691.097989|5.3946|13.0|7.8861|7.8861
4j_a46|0|0|0.19521727|1|1|1|2.194310043|-0.002284836|1|-0.0529855709999999|-0.130235627|0.011968098|1|0.011684396|-0.078783783|-0.0589746909999999|-0.087688953|1|0.72796254|-0.061823242|0|-0.05924408|0.295221643|0.01492164|-34.99059698|-43.95227197|0.0501066629999999|-0.024805825|-25.95898597|5.205103062|71.98911503|0.776932317|-1.339514565|-20.66606288|-14.65075732|0.402450715|-8.652995323999999|0.673502127|5077.124695|131.7477027|0.0106831269999999|1018.288052|642.1335502000001|6.30964324|0.0|1.0|1.0|0.0|3.9|5.33|39.94|2.0|110.24|0.0|1.0|27.0|3.0|-5.09|0.0|1.0|-5.31|4.16e-06|4.81|0.0|0.0|2.03e-08|7.33e-06|4.93|4.4093|-1132.043677|-1132.018764|646.67|1112.13|281.19|0.37853|0.69413|-1131.761156|0.1418|-0.18387|2.9043|-0.20071|0.02491327|-1131.817578|3.8105|805.0|6.0942|6.0942
1_a3|0|0|0.0|0|1|1|0.0|-0.006053652|2|-0.004409693|-0.248199745|-0.006610844|0|-0.005006707|-0.007705076|0.05038525|0.08803837|2|1.005427002|-0.126299711|1|-0.098872259|0.521474118|0.008036786|-45.44133321|-42.54530997|0.2237487219999999|-0.034105115|-19.55367089|1.697600903|0.0|0.7920857179999999|-1.295994381|-20.88467272|-15.67458788|0.4490711529999999|-7.203984013|0.8151164259999999|4510.611026|95.55665364|0.014174378|751.9821735|373.1494221|6.514493077999999|1.0|0.0|1.0|1.0|0.0|1.85|77.1|0.0|91.52|0.0|2.0|22.0|4.0|-6.87|0.0|0.0|-3.3|0.0008529999999999|1.83|0.0|0.0|1.69e-06|0.000518|2.08|3.8645|-1273.316428|-1273.290432|496.09|845.2|320.83|0.30619|0.68912|-1273.1763970000002|0.0096|-0.1658599999999999|2.2332|-0.21886|0.02599563|-1273.22339|3.4319|724.0|6.1403|6.1403
LY364947_a10|0|0|0.0|0|0|0|0.0|-0.00235945|2|0.0938628109999999|-0.084940213|0.007575|1|0.006909045|0.1625645369999999|0.04209715|0.072909639|2|0.706034038|-0.072740964|1|-0.076999385|0.449473391|0.009678082|-34.01613475|-33.26705198|0.156895451|-0.029665114|-14.69643595|1.88879448|0.0|0.7234846559999999|-0.978948758|-15.02735938|-13.10520229|0.486715511|-5.78950507|0.948237326|3903.496845|122.1566022|0.018707677|597.7620559999999|287.99188260000005|8.264519015|1.0|0.0|1.0|1.0|1.88|3.69|54.46|0.0|82.56|0.0|1.0|21.0|3.0|-6.02|0.0|1.0|-3.86|0.00029|2.74|0.0|0.0|6.31e-08|1.7199999999999998e-05||||||||||||||||||59.0|7.2291|7.2291
2_a49|0|0|0.0|1|1|1|2.12788659|-0.004112807|2|-0.100166139|-0.189189114|0.004524556|1|0.004580676|-0.170631119|0.032521855|0.055400364|2|0.802447754|0.084099874|1|-0.08647612|0.41397907|0.01105681|-44.066695|-40.34672657|0.18651986|-0.028277173|-20.55997527|2.871166625|0.0|0.7154059890000001|-1.187641272|-22.45560511|-14.409545199999998|0.454163307|-7.34284831|0.8320497920000001|4874.364109|145.02405359999997|0.017498253|845.9544764000001|439.9973344|8.91679918|0.0|0.0|1.0|1.0|2.5|3.7|69.62|0.0|99.52|0.0|1.0|25.0|3.0|-6.57|0.0|1.0|-3.89|0.000292|2.43|0.0|0.0|1.51e-07|4.94e-05|1.79|3743.0|-1046.018455|-1045.981819|553.52|941.6|331.24|0.34449|0.68172|-1045.810794|0.0572|-0.1555099999999999|4.8986|-0.19923|0.0366366999999999|-1045.8595810000002|6.7117|59.0|7.2291|7.2291
17g_a50|1|1|0.0|2|2|2|4.377239517|-0.002050512|2|-0.05611228|-0.13328325|0.012079|2|0.01245647|-0.090386911|-0.200725906|-0.323333765|1|0.754575205|-0.10642733|1|-0.048170917|0.442201795|0.014550016|-32.14758511|-47.17463902|0.079336825|-0.025918901|-31.48270383|6.48022912|85.51402581|0.749948388|-1.555134042|-21.45417373|-17.29736764|0.467997084|-11.54365807|0.879688945|6102.424958|166.8756987|0.013645282|1383.884645|829.3813984|9.106383854|0.0|1.0|1.0|0.0|3.66|4.37|51.77|2.0|133.03|0.0|1.0|32.0|4.0|-6.28|0.0|1.0|-4.86|3.4899999999999995e-05|3.68|0.0|0.0|1.1e-07|4.6500000000000005e-05|3.22|4.0458|-1335.976491|-1335.946919|725.92|1259.05|306.45|0.6623600000000001|0.6623600000000001|-1335.631756|0.1795|-0.16699|7.0584|-0.19929|0.02957267|-1335.693266|9.1706|246.0|6.6091|6.6091
