molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1s|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|FNSA3|PBF|FPSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|WPSA3|FNSA1|DPSA5|PNSA4|GeomPetitjeanIndex|FPSA1|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (water)|IC50|pIC50
14a_a3|0.0|0|0|0|0.0|6.823286122000001|0|0.6050202020000001|0.111575338|-0.1160619169999999|-0.143740653|1.772745969|-0.00603969|-0.039177314|10.3116301|-0.172643335|1|1|-0.004161699|-0.267665193|-0.050943323|-0.094863591|3|0.882394075|0.7574238740000001|-0.287221775|0.822587422|0.8255789570000001|-0.091731577|0.21389849|0.0140376889999999|-46.53709886|6.904918591|0.209105063|-0.036792719|-22.89086827|3.396421044|0.7608768779999999|55.84414456|-18.09776067|0.481997259|0.239123122|10.24853699|4716.423352000001|117.6209094|-320.4721558|23.78539971|-256.6424807|358.3503513|1.0|1.0|1.0|1.0|3.27|4.28|3.71|1.04|0.0|1.0|2.0|-4.45|23.0|4.0|0.0|2.76|3.54e-05|0.000103|2.58|0.0|0.0|4.08e-05|3.2363|3.2363|-1327.513792|-1327.485188|528.91|383.1|373.85|0.69708|0.69708|-1327.354384|0.4524|-0.1321|4.6689|0.03|7.5229
12e_a40|0.0|0|0|0|0.0|7.515889085|0|0.604990524|0.061944605|-0.262526337|0.174870826|0.665270062|-0.013162335|0.130516751|10.31197242|-0.192362496|2|2|-0.014780739|0.292184471|0.103406816|0.172778196|0|0.889386453|0.788800541|-0.279310345|0.858770467|0.8096582170000001|-0.132226452|0.284429447|0.015096495|-66.68049019|8.195398107|0.220121216|-0.048387621|-36.19867792|4.4490161310000005|0.790818822|78.14505956|-26.26807189|0.491465612|0.209181178|15.75963228|5478.52313|113.5576846|-470.5828129|33.21629575|-315.75223450000004|348.3847394|0.0|0.0|0.0|2.0|3.27|4.34|4.84|2.93|0.0|1.0|2.0|-6.53|24.0|4.0|0.0|3.98|2.98e-07|2.27e-06|4.72|0.0|0.0|0.000346|4.3236|3.0253|-2248.276958|-2248.244231|552.91|286.76|445.12|0.6826|0.70157|-2248.154966|284.0|-0.12616|3.7268|1.17|5.9318
12e_a36|0.0|1|0|0|0.0|7.412764017000001|2|1.29704412|-0.064019914|-0.043085717|0.144415507|0.0|0.002951176|-0.0586405829999999|10.95346131|-0.084051264|1|1|0.003962098|0.244642918|-0.104118159|-0.1763783589999999|1|0.90414347|0.7975411790000001|-0.144846626|0.847602953|0.856274847|-0.07049439|0.4347714629999999|0.019063245|-64.2330904|12.12502373|0.161913613|-0.036203518|-40.85494129999999|7.71202397|0.7610764190000001|75.50154216|-23.02695694|0.466721981|0.238923581|12.69013737|5929.071389|151.9654247|-776.2438847|30.25577504|-332.11111980000004|662.0530478999999|0.0|1.0|0.0|2.0|4.85|3.24|2.19|2.24|0.0|1.0|5.0|-4.16|30.0|4.0|1.0|2.14|6.929999999999999e-05|5.05e-05|3.04|0.0|0.0|4.270000000000001e-05|3.8364|3.6699|-1272.2668210000002|-1272.23645|673.57|323.18|507.03|0.6814600000000001|0.70007|-1271.999945|0.0006|-0.15189|8735.0|14.0|7.8539
16h_a32|0.0|1|1|1|0.0|7.765993078999999|0|0.609420754|0.217139852|-0.098975084|-0.069213021|2.075726759|-0.0048042729999999|0.061727488|10.31100268|-0.022634676|3|3|-0.002310082|-0.1234671109999999|-0.123297852|-0.219947482|0|0.804503712|0.832040698|-0.03617945|0.881181048|0.7619492790000001|-0.081151869|0.44308098|0.02096013|-77.17316899|13.31708433|0.200808492|-0.038765425|-49.03221545|8.461051377999999|0.7359051059999999|90.15529448|-24.62973479|0.459750275|0.2640948939999999|12.42028916|6151.056721|167.7935207|-735.4832318|33.46862873|-299.7661014|573.3529948|0.0|1.0|1.0|2.0|3.61|5.86|4.6|1.12|0.0|1.0|7.0|-6.48|28.0|5.0|0.0|3.74|3.28e-07|1.7800000000000002e-05|3.66|0.0|0.0|4.09e-05|3.6182|3.6182|-1955.99895|-1955.970762|679.82|342.67|556.05|0.70219|0.70219|-1955.772465|0.2914|-0.14972|4.2275|9.0|8.0655
14c_a22|0.0|0|0|0|0.0|6.842683282|0|1.42291727|-0.134137693|-0.018518519|-0.026986769|1.568396937|0.003784292|-0.023927419|10.9464374|0.006275578|1|1|0.004362505|-0.047249795|-0.0917078119999999|-0.160566657|2|0.667111824|0.773044788|0.010828071|0.8353837409999999|0.639264982|-0.067475189|0.6160012029999999|0.024569649|-57.64986681|17.68831053|0.133423541|-0.030217952|-41.50359456|12.73426132|0.66168729|75.5139152|-21.75466672|0.462147828|0.33831271|16.03849168|6882.45|243.5598613|-830.0718911|32.87756477|-232.8055235|731.8178649|1.0|1.0|1.0|1.0|3.49|3.9|4.18|1.08|0.0|1.0|6.0|-4.86|34.0|6.0|0.0|2.98|1.39e-05|2.4e-05|2.9|0.0|0.0|2.35e-07|5.7361|3.6741|-1460.602657|-1460.571156|715.52|216.15|575.8|0.3078|0.69113|-1460.324494|0.0694|-0.15408|9.04|153.0|6.8153
6d_a40|0.0|0|0|0|0.0|8.421342866|1|0.604893491|0.12627602|-0.091548968|-0.104206961|0.683786612|-0.005066797|0.086704068|10.30179973|-0.205140551|2|2|-0.00448098|-0.249967637|-0.025143559|-0.0603134|0|0.6224555620000001|0.8361555479999999|-0.289988439|0.8988141140000001|0.604211552|-0.115007564|0.372705643|0.017359149|-76.51205671|11.10859664|0.336329628|-0.050049893|-48.96216855|7.108696385|0.86005241|85.47607798|-32.02830281|0.428134701|0.13994759|12.08146906|7436.576348|89.55631|-881.3190339|37.23994308|-460.8148719|555.2010623|0.0|0.0|1.0|1.0|3.98|4.8|3.63|2.01|2.0|2.0|5.0|-7.21|30.0|6.0|0.0|3.43|6.18e-08|7.1e-06|3.87|1.0|0.0|0.0226|2.9559|2.9559|-2470.82949|-2470.793925|656.5|419.45|511.88|0.6624800000000001|0.6624800000000001|-2470.62267|0.3518|-0.11938|10.9021|1.0|8.9208
3a_a12|0.0|0|0|0|0.0|0.0|1|1.28383802|0.13714555|-0.042445446|-0.1231529169999999|0.0|-0.0025830939999999|-0.062973953|10.95455336|-0.0161799839999999|0|0|-0.001011111|-0.205054123|-0.072889493|-0.1213636769999999|1|0.943290857|0.7038021990000001|-0.032466697|0.759068438|0.8847197109999999|-0.07121814|0.241900756|0.009433302|-44.430225|4.615711776|0.128014506|-0.034924502|-21.73969523|2.258466332|0.781050096|52.21461165|-17.08854808|0.462077145|0.2189499039999999|11.01449587|4230.717811|107.1321197|-326.0954285|21.87893986|-275.0354486|381.0058252|1.0|0.0|1.0|1.0|3.84|3.43|2.49|3.09|0.0|1.0|3.0|-3.6|23.0|3.0|1.0|2.98|0.00025|8.8e-05|3.15|0.0|0.0|9.33e-06|4.2336|3.7304|-951.3711872|-951.3480023|528.84|292.86|383.08|-0.34688|0.66895|-951.217594|128.0|-0.15328|1.9332|194.0|6.7122
7_a27|0.0|0|0|0|0.0|6.842683282|0|1.40247849|0.112935885|-0.050197188|-0.133453335|1.280380317|0.010291744|-0.096754293|10.93773474|-0.056500475|1|1|0.010596392|-0.220626658|-0.19575909|-0.323631281|2|0.6413629129999999|0.801251575|-0.08694032|0.8546689820000001|0.62067794|-0.060745542|0.358145768|0.015099075|-47.44936449|8.475438874|0.14888586|-0.0300556429999999|-26.6343589|4.757447929|0.763564713|55.55559276|-16.87088515|0.466714317|0.236435287|12.087978|5082.120742|132.7162621|-426.1497425|22.09489892|-295.8891961|479.0078184|0.0|0.0|1.0|0.0|3.24|3.32|3.05|2.88|0.0|1.0|3.0|-4.06|26.0|4.0|1.0|3.14|8.66e-05|5.2e-05|3.02|0.0|0.0|8.4e-05|4.1205|4.1205|-1122.455548|-1122.433757|606.74|300.9|505.5|0.61278|0.61278|-1122.249324|0.4179|-0.16734|6.3813|1.0|9.0
19_a31|0.0|1|0|0|0.0|7.401841579|0|0.61013725|0.062492295|-0.086654127|-0.044625452|0.0|-0.005956522|-0.040386271|10.31169935|-0.081641954|2|2|-0.0038998559999999|-0.095997335|-0.081398052|-0.1751017789999999|0|0.656654981|0.8558149140000001|-0.138769819|0.902130276|0.6427749970000001|-0.0909201569999999|0.279690511|0.014675044|-66.3863707|8.596058678|0.268735206|-0.036060715|-38.88650245|5.035230173|0.776211804|75.31824576|-21.12293613|0.446100738|0.223788196|12.77501178|4917.329034|131.0862475|-544.4110343|27.21285095|-323.5878356|460.3754405|1.0|1.0|1.0|2.0|3.44|5.8|4.33|1.68|0.0|1.0|7.0|-4.67|25.0|4.0|0.0|3.47|2.14e-05|0.0001199999999999|2.93|0.0|0.0|1.46e-05|5.0344|3.9477|-1489.532192|-1489.4951640000002|625.93|246.28|537.66|0.5385300000000001|0.7005600000000001|-1489.323855|0.2271|-0.16367|2.4209|1.8|5.7447
9d_a31|0.0|1|0|0|0.0|7.765993078999999|1|0.61013528|0.036844743|-0.043220149|-0.057650507|0.0|-0.002456634|-0.0938310919999999|10.31169788|-0.021171445|2|2|0.000127275|-0.091744753|-0.134504227|-0.214049412|0|0.8066174070000001|0.8343242820000001|-0.0375445629999999|0.873955169|0.771222772|-0.098210975|0.3655337879999999|0.029032453|-81.53295088|19.79432796|0.305664196|-0.033844766|-55.58917047|13.49577391|0.6636195229999999|97.84665015|-23.07536346|0.457506946|0.336380477|17.39409698|5748.743284|229.34422830000003|-833.8375571|34.77197803|-223.1115993|647.1500428999999|1.0|1.0|1.0|2.0|3.8|6.04|4.09|1.31|0.0|1.0|9.0|-5.61|29.0|5.0|0.0|3.65|2.48e-06|4.06e-05|3.46|0.0|0.0|9.69e-06|3.8478|3.8478|-1657.471475|-1657.428165|727.27|322.22|630.49|0.7006899999999999|0.7006899999999999|-1657.1791449999998|0.2611|-0.15969|3.5077|0.6|6.2218
