molecula|NaaNH|n9FaHRing|SssssC|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|FNSA1|FNSA2|WNSA3|PNSA2|WNSA4|FPSA1|GeomRadius|GRAV|PPSA1|FPSA5|DPSA1|Mor01p|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Area (grid)|Volume|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
17f_a50|0|1|0.0|1|1|1.349854916|4.305828452|-0.2208117919999999|-0.002205848|0.012475826|10.94501702|-0.132773563|2|-0.275290802|-0.247590736|-0.407467272|-0.204651539|1|0.7851209440000001|-0.132153434|-0.2257632789999999|0.8314734309999999|0.7241275009999999|1|0.333180181|0.016414675|-29.10566644|-46.03121141|10.09339793|6.382846132999999|0.088541266|54.44410182|-0.026836447|-28.30463221|0.721122105|-1.422331714|-17.89709978|-874.5930167000001|-10.14694362|0.278877895|7.200480876|5579.97966|171.48226169999998|0.01617809|-271.9363523|652.6793116|1.0|0.0|3.81|20.0|-6.38|2.87|3.83|51.77|1.0|116.81|0.0|1.0|-3.58|29.0|384.48|1.0|2.92|102.0|0.0291|2.83|0.0|0.0|4.15e-07|-0.0336399999999999|4.0664|2.5|653.63|1146.22|0.6573899999999999|0.6573899999999999|-1218.966516|0.1708|-0.16784|-0.20148|0.0276719|8.312999999999999|6.4001|6.4001
1j_a5|1|0|0.0|0|0|1.427567371|0.0|-0.2031633169999999|-0.003981454|0.00683534|10.9487794|-0.032333695|1|-0.190920568|-0.010807075|-0.0178558139999999|-0.2470489089999999|2|0.7862755770000001|-0.084090414|-0.0614852279999999|0.848473695|0.717355058|0|0.35883584|0.019690225|-39.64241895|-40.01980349|10.57633738|73.73338699|0.152836128|82.09385267|-0.027258236|-21.49609451|0.616489567|-1.117587665|-21.29338752|-600.2970524|-7.86442482|0.383510433|7.328149934|4618.562904|205.997426|0.026739895|-125.1415813|422.96706330000006|1.0|1.0|2.76|23.0|-8.14|4.5|4.21|63.69|0.0|96.98|0.0|1.0|-4.03|25.0|328.37|1.0|3.19|0.0304|0.0206|3.03|0.0|0.0|7.190000000000001e-09|-0.03832|4.4331|2.61|572.47|959.39|0.66182|0.6449|-1065.671975|0.1644|-0.16813|-0.20645|0.03246499|3.0364|7.6198|7.6198
14f_a23|0|1|0.0|0|0|1.197963246|3.366063739|-0.002304087|-0.006791105|0.010561248|10.3132176|-0.041351617|2|0.101910723|-0.110069159|-0.199540201|-0.399688849|2|0.796412133|0.070514687|-0.06885759|0.854683662|0.71381683|1|0.2096108239999999|0.027134452|-40.51498423|-57.07376861|18.34483401|96.47955427|0.105837608|71.55380685|-0.031450478|-38.58595734|0.665778294|-1.603974359|-27.39103254|-1084.401604|-14.37516058|0.334221706|8.124287407|6768.918745|225.9578225|0.025162423|-224.1560124|683.7405759|1.0|1.0|3.57|26.0|-7.51|3.42|4.03|114.25|2.0|126.78|0.0|1.0|-5.63|32.0|441.51|0.0|3.46|0.0010199999999999|0.0042299999999999|3.55|0.0|0.0|3.11e-08|-0.07163|5.8184|3.23|711.98|1210.19|0.60917|0.6733399999999999|-1744.182678|0.1699|-0.1458|-0.21743|0.02255331|9.1089|8.6459|8.6459
1a_a18 (SB-431542)|1|0|0.0|1|1|1.430935835|0.0|0.043282217|-0.015636898|-0.011639964|10.94959842|-0.0492229479999999|1|0.164429684|-0.020716495|-0.033765606|-0.567791164|1|0.7462411859999999|-0.08530265|-0.083341531|0.805877431|0.795744863|0|0.210046675|0.033020439|-74.98172333|-72.69619778|19.58668728|160.410387|0.405958714|240.8019609|-0.0462988229999999|-43.12110169|0.7531996609999999|-2.083447046|-44.47680367|-1235.8353619999998|-16.29019397|0.2468003389999999|7.52384981|5748.422847|146.3942108|0.02438148|-300.3801761|513.4628663999999|1.0|2.0|3.25|23.0|-7.69|4.04|3.63|103.12|1.0|106.85|0.0|1.0|-4.52|29.0|384.39|0.0|2.85|0.0116|0.0218|2.7|0.0|0.0|2.03e-08|-0.05971|3.8208|4.57|620.23|1048.7|0.55409|0.69868|-1292.358966|0.3347|-0.13329|-193.0|0.03494548|8.8609|6.9031|6.9031
6b_a40|0|0|0.0|1|2|0.604892326|1.710647518|0.135693438|-0.014861289|-0.003851208|10.30179924|-0.226457281|2|-0.248560671|-0.018582337|-0.033583055|-0.630957955|0|0.842573207|0.003163118|-0.307881994|0.90571269|0.6462648870000001|1|0.417254814|0.014588568|-72.13527644|-79.36130196|9.771129787|176.8246355|0.246568426|165.1465831|-0.049599889|-53.15460718|0.878140798|-2.132795227|-48.31476032|-1428.503435|-22.2507658|0.1218592019999999|6.976123351|8482.600495|81.61884754|0.011838681|-506.5422338|618.8882797|0.0|1.0|4.02|14.0|-5.21|5.67|4.38|173.43|2.0|130.16|1.0|2.0|-8.41|31.0|511.42|0.0|4.21|1.98e-06|0.000335|5.03|1.0|1.0|6.21e-06|-0.09533|3.1026|8.98|687.2|1183.07|0.69429|0.69429|-3290.583786|0.4962|-0.1237099999999999|-0.21904|0.03026498|11.3203|7.5229|7.5229
7g_a8|1|0|0.0|1|1|1.39137419|1.336155045|-0.092384028|-0.01002363|-0.00087806|10.9431888|-0.027717137|1|-0.065174707|0.021974492|0.046246982|-0.418049442|0|0.7363841520000001|0.098510683|-0.044866536|0.79995525|0.606087461|0|0.306360885|0.031841955|-64.55562181|-67.26263865|19.08352484|144.290464|0.300623857|180.1699331|-0.045912914|-40.31185423|0.806738465|-2.020168201|-38.68948451|-1210.7274960000002|-16.4912131|0.193261535|7.588498875|6293.364606|115.825531|0.018613449|-367.6690814|509.2753308|1.0|1.0|3.29|23.0|-7.91|4.94|4.66|80.04|2.0|108.0|0.0|1.0|-5.78|30.0|399.37|0.0|4.14|0.000667|0.00143|4.38|0.0|0.0|1.23e-08|-0.06621|3.7874|6.26|620.67|1053.9|0.62073|0.62073|-1374.291597|0.5165|-0.15508|-0.22129|0.03974865|12.9547|4.6772|4.6772
9_a27|1|0|0.0|0|0|1.391067068|1.830911754|0.164227115|-0.0073742819999999|0.00611794|10.93740461|-0.0447599329999999|1|-0.2559122789999999|-0.101933162|-0.171520296|-0.541535578|2|0.8214321609999999|0.017503266|-0.071974951|0.8806964490000001|0.654138816|1|0.36853691|0.019589991|-40.3551562|-45.58003501|10.10030794|128.27738490000002|0.2011355289999999|103.702486|-0.033677898|-23.50038785|0.7892801540000001|-1.414471696|-20.80651808|-729.2805601|-8.952528705|0.210719846|5.03925321|4962.727436|108.6440173|0.014524299|-298.297086|424.8821143|0.0|1.0|3.12|21.0|-7.06|3.85|3.04|76.46|0.0|97.46|0.0|1.0|-4.06|25.0|331.37|1.0|2.99|0.0287|0.0274|2.8|0.0|0.0|8.69e-08|-0.0471|5.5421|4.67|549.64|945.35|0.35593|0.59444|-1082.965434|134.0|-0.1716|-0.2187|0.02461151|4.0436|8699.0|8699.0
14w_a23|0|1|0.0|0|0|1.197963556|3.132012648|0.013971812|-0.006481882|0.003379755|10.31321817|-0.031435038|2|0.126238077|-0.073958723|-0.206574435|-0.427696371|2|0.802520527|0.059273664|-0.049318182|0.8668730109999999|0.558482531|1|0.228641034|0.022440155|-46.76570273|-58.53311596|14.84036772|43.30287556|0.211928134|140.15462380000002|-0.035779855|-38.70975831|0.743451788|-1.681653166|-30.92760432|-1112.129203|-15.648625699999998|0.256548212|7.833745658|6998.078982999999|169.6632599|0.020725002|-322.004381|597.2903597999999|1.0|1.0|3.42|26.0|-7.93|4.2|5.14|105.02|2.0|120.2|0.0|1.0|-5.68|32.0|447.46|0.0|4.05|0.0009369999999999|0.00242|3.78|0.0|0.0|1.17e-08|-0.0798|3.6632|3.97|676.92|1150.31|0.6219399999999999|0.6219399999999999|-1828.161957|0.3855|-0.14844|-0.22824|0.02204118|9.8981|8.6737|8.6737
8a_a32|1|1|0.0|0|0|0.609420757|0.0|-0.0755556459999999|-0.010151321|-0.003484915|10.31100269|-0.128684642|3|-0.050766252|-0.0852122769999999|-0.1534110109999999|-0.591393096|0|0.845443342|-0.184419911|-0.2166242669999999|0.8966299409999999|0.7507116140000001|1|0.221908108|0.018321589|-52.34893512|-68.61558335|11.48993376|73.64907732|0.185446274|116.298071|-0.035678106|-43.03057598|0.7490845290000001|-1.641192863|-32.82934751|-1029.23375|-14.03170956|0.250915471|7.420041446|5659.295213|157.3554684|0.017733503|-312.4144752|557.1050635|1.0|2.0|3.48|19.0|-7.65|6.49|4.65|140.04|2.0|110.69|1.0|1.0|-6.82|27.0|397.52|0.0|4.07|6.03e-05|0.00406|4.17|0.0|0.0|2.23e-08|-0.06166|3562.0|4.98|667.29|1110.23|0.70316|0.70316|-1880.536478|0.4315|-0.1445|-0.2061599999999999|0.03498398|7.6703|7.3468|7.3468
galu_a46|0|0|0.0|1|1|1.343828866|2.082220175|0.048375705|-0.00642454|0.002865697|10.92740177|-0.1121767259999999|1|-0.150645957|0.028964355|0.0481706809999999|-0.4671565689999999|2|0.81708619|0.044184467|-0.173285585|0.875868891|0.6848692759999999|1|0.5235416979999999|0.01235603|-50.93538037|-49.84028137|6.915480101|261.2602893|0.236203592|132.199522|-0.03220981|-27.89483984|0.7832175929999999|-1.513861067|-28.50774993|-847.2847833999999|-10.08962292|0.2167824069999999|6.445819025|5641.451892|121.3297832|0.013967104|-317.0250717|542.7276591|1.0|1.0|3.27|21.0|-7.13|3.69|3.51|86.69|1.0|108.18|0.0|1.0|-3.85|28.0|369.42|0.0|2.84|52.0|0.0375|2.39|0.0|0.0|7.45e-08||||||||||||||7.2924|7.2924
