molecula|SddssS|NaaNH|n9FaRing|SaaNH|NaasN|SRW09|BCUTs-1|SaasN|MATS2c|AATSC1c|MATS7i|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA5|RNCS|RPSA|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|pIC50
6c_a31|0.0|1|0|3.423005244|0|7.78113851|0.6101347220000001|0.0|0.047405064|-0.015192833|0.137523742|-0.00219333|-0.107687565|2|-0.00668344|0.2301743489999999|-0.582545668|0|0.831901219|0.790900932|-0.172780048|0.846458013|0.7905201209999999|0|0.641197273|-0.120905075|-0.126324613|0.138124296|-79.97295595|163.6316745|0.358802727|-48.45681657|-28.32375523|96.63311186|0.4463376229999999|2837.949799|405.9259734|-1359.540251|2357.829685|-17.93106176|0.234676081|8.102804662|14.63492011|6283.091868|148.5675636|0.0212421629999999|1776.424619|597.3075924999999|1.0|1.0|1.0|1.0|2.0|3.13|0.14|-7.72|5.58|4.26|1.58|2.0|0.0|114.5|0.0|1.0|5.0|-6.09|30.0|5.0|418.47|0.0|0.0|1.0|3.64|-4.94|0.000343|1.15e-05|3.64|0.0|1.89e-08|7.9e-06|-0.0581799999999999|3.2974|5.08|3.2974|376.01|0.5028|376.01|524.56|0.7014699999999999|0.7014699999999999|-1691.734564|-0.13351|5.9253|-0.19169|-1691.794585|6.4685
16c_a32|0.0|1|1|3.329674745|0|7.765993078999999|0.6094207629999999|0.0|0.191088217|-0.01639019|-0.03152033|-0.031087095|-0.036931818|3|-0.00369116|-0.057356214|-0.697601261|0|0.809370315|0.8607827790000001|-0.061904762|0.915639476|0.764217655|1|0.773043206|-0.088841599|-0.119988297|0.367322508|-71.59058881|102.2022233|0.226956794|-31.62645048|-22.77882371|68.39521789|0.463897164|2649.168528|461.2334662|-1002.268243|3143.196853|-13.59090376|0.3153632939999999|6.313526111|11.77670717|5979.891916|188.1603823|0.02579269|1463.941729|513.9156315|0.0|1.0|1.0|1.0|2.0|3.08|0.22|-6.99|5.64|4.21|0.88|1.0|0.0|107.14|1.0|1.0|7.0|-6.04|27.0|5.0|399.49|1.0|0.0|1.0|3.41|-4.41|0.000366|3.89e-05|3.23|0.0|1.0300000000000001e-07|4.13e-05|-0.0505|3.6264|4.12|3.6264|341.89|0.2955|341.89|508.43|0.70198|0.70198|-1916.478107|-0.14997|4.0551|-0.20047|-1916.536967|8.3468
6_a4|0.0|0|0|0.0|1|7.535296702|1.271761557|2.170234316|-0.19701009|-0.001221193|0.042096749|0.0032928379999999|-0.208689928|1|0.01098094|0.0671397079999999|-0.1738111839999999|2|0.664591856|0.76089528|-0.340860215|0.810030118|0.664247086|1|0.945545838|-0.052396457|-0.0670158929999999|0.417868437|-37.33240845|14.1731579|0.054454162|-16.25991695|-13.71394596|33.5125766|0.423084148|2342.371538|526.7333132|-671.9833521|1968.0178670000005|-7.639600225|0.1855291969999999|5.758624844|9.981741408|5256.215815|103.3523757|0.008863911|825.0551765|578.2065561000001|1.0|1.0|1.0|1.0|0.0|3.45|0.26|-7.99|5.1|5.23|3.09|2.0|0.0|109.7|0.0|1.0|3.0|-4.91|27.0|3.0|354.45|0.0|1.0|1.0|4.23|-5.11|0.0043799999999999|7.74e-06|4.28|0.0|1.04e-08|3.67e-06|-0.04867|4.8714|4.11|4.0354|307.24|0.1235|254.51|453.87|0.60542|0.5877|-1108.338577|-0.16959|2.8026|-0.2182599999999999|-1108.392115|5.8861
4S4k_a46|0.0|0|0|0.0|1|7.825245291|1.134637098|2.145043462|-0.050636784|-0.0049602|-0.104665424|-0.1149361969999999|-0.1032662209999999|1|0.006050983|-0.158788415|-0.3860697829999999|1|0.78837943|0.7477594870000001|-0.141706595|0.787615341|0.784722915|0|0.891734458|-0.089589915|-0.0860536609999999|0.199356973|-45.61628327|172.7607401|0.1082655419999999|-25.17446332|-16.15576699|51.59865384|0.461984953|2105.538282|472.7005375|-775.4768155|1729.18312|-8.564028983|0.132090036|5.523352655|10.26616763|4719.2906570000005|70.01975807|0.007182108|893.4991504000001|519.5743695|1.0|0.0|1.0|1.0|1.0|3.03|0.33|-6.61|4.26|4.77|2.84|1.0|0.0|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|333.43|0.0|1.0|1.0|3.79|-4.83|5.0|1.4800000000000002e-05|4.05|0.0|2.48e-07|8.28e-05|-0.02074|5.2854|4.52|4.0774|304.07|0.2623|234.58|487.43|0.5716|0.67893|-1053.202208|-0.17396|2.2655|-0.1947|-1053.255345|6.7055
6a_a31|0.0|1|0|3.3855253210000003|0|7.703007682000001|0.610184884|0.0|0.038376178|-0.01694403|0.08881108|-0.0225412779999999|-0.026103465|2|-0.010591881|0.1533239019999999|-0.568500407|0|0.848282918|0.784022685|-0.0436046509999999|0.848080284|0.803505125|0|0.57216168|-0.132158278|-0.126430958|0.259133072|-74.23718620000001|157.9971748|0.42783832|-45.56491046|-26.51328079|97.68889243|0.478330896|2713.694431|335.9594356|-1113.557793|1671.917893|-15.56795422|0.307253701|7.516549303|14.408653400000002|5908.282843|180.411907|0.031153284|1607.453976|479.200937|1.0|1.0|1.0|1.0|2.0|2.51|0.05|-6.96|4.68|3.69|1.13|1.0|0.0|104.73|0.0|1.0|4.0|-5.22|28.0|5.0|390.42|0.0|0.0|1.0|2.96|-4.34|0.00238|4.55e-05|2.8|0.0|1.11e-07|4.3200000000000007e-05|-0.05563|3.5428|4.03|3.5428|349.96|0.6404|349.96|447.66|0.70416|0.70416|-1613.1416|-0.1428|7.7514|-0.19843|-1613.198178|5.9586
3l_a32|0.0|1|1|3.672194822|0|7.773594467000001|0.609420748|0.0|-0.003342759|-0.0054004|-0.039331295|-0.09393062|-0.107818594|3|0.002942329|-0.068876714|-0.524711546|0|0.820540279|0.751853889|-0.184582641|0.7973741999999999|0.776480242|1|0.8855584879999999|-0.069304303|-0.088417589|0.270668623|-51.41835077|61.72183119|0.114441512|-23.43792428|-16.76685351|47.42414825|0.453630671|2453.759435|514.9875423000001|-771.2752615|2415.340446|-9.750593329|0.211763281|6.414825717|11.74082324|5429.531532999999|123.148785|0.011493763|978.4817724|565.7000781|0.0|1.0|1.0|1.0|1.0|3.54|0.35|-7.5|7.34|6.17|2.64|2.0|0.0|110.16|0.0|1.0|3.0|-7.6|26.0|3.0|380.53|1.0|0.0|1.0|5.04|-6.01|9.59e-06|9.7e-07|5.51|0.0|3.16e-08|1.2e-05|-0.0529799999999999|3.5319|4.21|3.5319|351.04|0.2876|351.04|468.81|0.70282|0.70282|-1789.242839|-0.14664|3.3955|-0.19962|-1789.298086|7.9208
12_a15|0.0|0|0|0.0|0|0.0|1.435689014|0.0|-0.071096525|-0.006620824|-0.035728911|-0.106061273|-0.01062828|0|0.0034254209999999|-0.054575504|-0.380490701|2|0.8310685940000001|0.723852961|-0.019064393|0.769289315|0.7933685340000001|0|0.89637291|-0.061084417|-0.094209248|0.738437971|-60.15445365|72.18361893|0.10362709|-24.90456371|-20.42981445|48.59303169|0.476419838|2613.57759|572.3516967|-1082.780166|2661.728915|-13.04483751|0.253510603|5.448223888999999|10.40571107|5897.820841|161.8714956|0.016453962|1450.496376|673.7288405|1.0|0.0|1.0|1.0|1.0|3.73|0.12|-9.82|5.32|6.3|2.87|2.0|0.0|119.95|0.0|1.0|6.0|-6.22|30.0|4.0|397.47|1.0|0.0|1.0|4.7|-5.83|0.0002379999999999|1.47e-06|5.29|0.0|1.51e-10|5.99e-08|-0.03196|4.4819|5.16|3.8538|321.72|0.1374|276.63|585.26|0.50595|0.70444|-1280.810963|-0.15858|4.3338|-0.19054|-1280.871722|8.3979
47k_a18|0.0|0|0|0.0|0|7.03438793|1.25117623|0.0|0.029145635|-0.0067578909999999|-0.017736343|-0.02822032|-0.008576013|0|0.00493127|-0.026672956|-0.451417954|0|0.762665453|0.721697829|-0.014398731|0.753132457|0.737517943|0|0.8309354040000001|-0.065324278|-0.088346874|0.3533268229999999|-69.77479556|20.66242736|0.169064596|-40.74641317|-23.89547793|63.50225571|0.467246896|3245.964586|656.2580564|-1744.369889|2009.418849|-18.87222501|0.284695579|9.777177947|18.35217454|7575.637462000001|224.8475227|0.018313855|2438.639881|1167.054827|1.0|1.0|1.0|1.0|2.0|0.0|0.3|-8.44|2.39|3.17|2.82|3.0|2.0|154.86|1.0|1.0|11.0|-5.84|38.0|4.0|513.63|0.0|0.0|0.0|2.53|-5.33|0.000742|4.65e-06|4.26|1.0|3.6099999999999997e-09|1.85e-06|-0.04359|3.0948|8.45|3.0948|400.63|0.5920000000000001|400.63|793.48|0.69823|0.69823|-1664.2657390000002|-0.1277599999999999|4.1818|-0.17135|-1664.341238|7.5376
11a_a31|0.0|1|0|2.856083711|0|7.773594467000001|0.610138462|0.0|-0.045290366|-0.02376325|-0.087576474|-0.1217573119999999|-0.019865299|2|-0.017433557|-0.149933348|-0.563537536|0|0.861302755|0.8433024170000001|-0.030335912|0.910334509|0.819138461|0|0.486754956|-0.151872243|-0.161027639|0.271818874|-81.26889906|258.8577775|0.513245044|-38.68354874|-28.68314085|97.560141|0.451795285|2288.9694010000003|245.6599349|-975.2267888|1769.346573|-14.47606937|0.264745055|5.791411901|10.5643234|4940.657452|133.6139513|0.031626337|1326.379096|302.14325319999995|0.0|1.0|0.0|1.0|2.0|2.16|0.13|-4.65|3.93|2.94|0.57|0.0|0.0|83.12|0.0|2.0|3.0|-4.81|23.0|6.0|329.33|0.0|0.0|1.0|2.42|-3.79|0.00506|0.000161|2.53|0.0|2.22e-05|0.00731|-0.05074|3.8042|3.97|3.8042|325.92|0.2797|325.92|407.76|0.69222|0.69222|-1441.327731|-0.15515|6.4691|-0.20589|-1441.37897|6.7212
12p_a30|0.0|0|0|0.0|0|7.412764017000001|0.604984421|0.0|0.038440292|-0.0063403159999999|-0.062956958|0.000321545|-0.128484994|1|0.005965451|-0.109773594|-0.456474815|1|0.8414737059999999|0.7867133140000001|-0.2210072669999999|0.8371763179999999|0.7991060659999999|0|0.843381594|-0.074356395|-0.094870978|0.371591982|-60.65858419|75.21136863|0.156618406|-30.39737673|-23.33022469|57.20168999|0.469983155|2783.628159|539.2411292|-1213.171684|2326.5244390000003|-14.91687369|0.180044528|7.392482526|13.94763694|6166.812731|115.116829|0.0130197619999999|1479.558007|686.039456|0.0|1.0|1.0|0.0|1.0|0.0|0.17|-7.01|4.35|2.93|3.04|2.0|0.0|132.24|0.0|1.0|5.0|-5.66|30.0|4.0|412.51|0.0|0.0|1.0|2.91|-5.15|0.0009119999999999|7.05e-06|4.23|0.0|9.75e-08|4.02e-05|-0.05169|5.1922|4.14|3.4955|354.69|0.1768|238.79|526.91|0.33929|0.68561|-1614.830085|-0.14823|4.0456|-0.19992|-1614.890598|7.7721
