molecula|NaaNH|SaaNH|SssssC|NaasN|SRW09|nARing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|MATS8i|AATSC8d|n5aHRing|AATSC1pe|n6aHRing|MATS8d|GATS1pe|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WPSA3|FNSA2|WNSA3|DPSA5|DPSA3|TASA|PNSA2|MOMI-Z|GeomRadius|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
47a_a18|0|0.0|0.0|0|7.03438793|1|0.0|0.018016478|-0.006027559|-0.18843247|0|0.033641026|0.043161338|-0.464122017|-0.025401815|0.052572636|0|-0.000633273|0|0.089156939|0.792293789|-0.099310031|-67.93456546|-81.42570819|11.58086543|100.7293848|0.2212091389999999|-0.036234741|9.49531639|-2.681370849|-55.70051708|93.5899242|79.51543089|638.5417107999999|-2198.494121|2250.179086|10.20255289|0.934960691|8405.670404|169.2144153|0.014835962|2770.212274|1.0|1.0|4.97|0.28|18.0|0.48|1.85|3.0|158.24|1.0|1.0|12.0|-6.74|39.0|5.0|-6.49|547.67|0.0|0.0|0.0|2.02|2.62e-06|4.44|2.95e-06|-0.05191|8.82|3.1947|874.47|1536.87|388.09|0.6094|813.01|0.69508|0.69508|-131.0|2.6271|-0.18291|0.0339441|-2098.359766|3.0133|9.0|9.0
13_a1|1|3.409865599|0.0|0|7.423568444|1|0.0|-0.046530797|-0.012199718|-0.144782061|1|0.036382114|0.1129747169999999|-0.597786194|-0.0594321759999999|-0.084271845|1|-0.005924486|1|-0.150485437|0.833702788|-0.10668313|-64.94184903|-62.04288975|19.62059449|148.7311076|0.320539533|-0.040302516|11.41059871|-1.813613202|-37.76773325|77.55889436|84.56244352|395.1486144|-1054.729126|1786.445642|7.493979856|0.912824292|5456.353212|169.6632599|0.026679865|1489.177255|1.0|1.0|3.35|0.09|23.0|4.75|1.74|1.0|104.88|0.0|1.0|4.0|-4.29|28.0|5.0|-6.48|371.39|0.0|0.0|1.0|3.23|4.58e-05|2.94|4.24e-06|-0.04962|3.17|3.4483|613.52|1035.04|359.55|0.5339|472.52|0.65363|0.69782|-0.13921|2.7595|-0.18883|0.0284695999999999|-1238.22919|3.9446|6585.0|6585.0
14a_a10|0|0.0|0.0|1|7.535296702|2|2.156210368|-0.2090476269999999|-0.002047597|0.0437538159999999|3|0.035660377|0.027446544|-0.147427016|-0.045759336|-0.00421565|1|0.012272222|2|-0.007680215|0.740051323|-0.070610745|-32.23041637|-51.23835032|9.840503082|67.52851799|0.088450549|-0.018970051|7.140714112|-1.270993412|-23.38784787|67.14248252|42.07091945|661.4615097|-922.2903058|1774.8853399999998|10.0292632|0.8833450959999999|6754.660977|332.3339934|0.0219172279999999|1701.592784|1.0|1.0|3.98|0.39|21.0|4.16|1.94|1.0|146.76|0.0|1.0|7.0|-4.21|35.0|6.0|-6.82|468.59|0.0|1.0|0.0|3.43|1.58e-05|3.29|3.07e-06|-46.0|2.25|3802.0|800.01|1380.89|326.1|0.2835|645.26|0.34245|0.7047100000000001|0.2422099999999999|3.1205|0.19621|-0.14757681|-1489.487381|4.8004|7.1308|7.1308
12a_a40|0|0.0|0.0|1|7.515889085|0|1.784989449|0.021610099|-0.00431394|-0.012791297|0|0.036587302|0.17758258|-0.14667395|0.100414476|-0.226763788|2|0.007890601|0|-0.375724138|0.525051106|-0.074840643|-32.81611621|-38.17175304|6.001293955|107.5277007|0.059120235|-0.033799|3.060902482|-1.047769006|-16.73754566|43.65970865|38.81741016|479.8867095|-534.4045424999999|600.1247016|7.563170499|0.908597808|4873.458436|75.8074911|0.010759845|627.699788|0.0|1.0|3.2|0.0|20.0|5.33|4.34|1.0|91.76|0.0|1.0|2.0|-6.41|22.0|2.0|-4.56|346.23|0.0|1.0|1.0|4.78|1.13e-06|5.43|2.13e-05|-0.08015|5.01|3.0966|530.55|875.15|400.39|0.3701|429.21|0.6998800000000001|0.6998800000000001|-0.12895|2491.0|-0.2091|0.0104658999999999|-2097.779499|3.8054|5.7501|5.7501
4r_a46|0|0.0|-0.03033057|1|7.832410927000001|1|2.051582577|-0.173617329|-0.002826188|-0.074041799|2|0.044728682|-0.15196733|-0.141309389|-0.1129698999999999|-0.048758575|1|0.0061041|2|-0.070397185|0.76719475|-0.081339886|-42.06465252|-43.14814202|6.071841742999999|176.18445569999997|0.152180218|-0.0259595379999999|3.220912917|-1.220098292|-22.31391864|51.22472631|48.13649426|449.7405899|-647.2221302999999|1451.6122289999998|5.81085807|0.839885604|4775.760774|151.3787482|0.015225417|905.6728276|1.0|0.0|3.82|0.35|17.0|3.56|1.52|0.0|97.9|0.0|1.0|3.0|-3.09|25.0|4.0|-6.83|334.41|0.0|1.0|0.0|2.7|0.000279|2.12|0.000188|-0.03073|2.3|4.5209|571.75|986.04|274.25|0.1404|467.85|0.69085|0.69085|-0.18999|2.6630000000000003|-0.2207199999999999|0.02826942|-1069.284137|3.5979|5.8499|5.8499
13k_a6|1|3.423411754|0.0|0|7.412764017000001|1|0.0|0.031525207|-0.014257799|-0.132667824|1|0.04162037|0.051404465|-0.8554679409999999|0.0809333929999999|-0.072504783|1|-0.006280295|1|-0.123105035|0.827754203|-0.127178105|-82.8774254|-88.29427104|20.6185734|183.1261118|0.3589674579999999|-0.045420752|14.31458589|-2.543562101|-57.53822059|100.7779947|103.4959988|445.0412356000001|-1765.8854210000002|3332.974951|8.370126134|0.7422570490000001|6492.211639|140.8427117|0.017981419|2215.299472|1.0|1.0|3.68|0.16|23.0|4.55|1.39|1.0|124.98|0.0|1.0|7.0|-5.49|33.0|5.0|-6.59|441.48|0.0|0.0|1.0|3.18|1.7100000000000002e-05|3.39|5.7e-07|-0.04851|5.41|3.5476|731.25|1246.69|349.49|0.3971|577.68|0.4547|0.70536|-0.14589|8.1639|-0.1944|0.0308324|-1465.621288|10.5079|7.3372|7.3372
1i_a5|1|2.843224727|-4.358943904|0|6.605297921|0|0.0|-0.145964178|-0.006494891|-0.31059482|2|0.0253888889999999|0.018196138|-0.279280326|-0.174016111|-0.003198529|1|-0.000700145|2|-0.00496377|0.513260607|-0.084018635|-50.81756452|-46.82694838|4.621144795|201.1526326|0.112394438|-0.03570792|2.575548983|-1.428316788|-28.32266298|57.78921354|55.43870932|494.6981114|-796.0581225|942.1618767|7.314842247|0.8858245220000001|5432.586961|134.0627959|0.0196689|1048.190221|1.0|0.0|2.83|0.05|23.0|5.48|2.73|2.0|95.49|0.0|1.0|4.0|-4.79|27.0|6.0|-5.73|366.34|1.0|0.0|1.0|4.12|1.0800000000000002e-05|3.95|4.86e-07|-0.05729|3.58|4.3799|569.42|957.58|283.08|0.7585|443.05|0.4571199999999999|0.50107|-0.17945|2.6336|-0.23674|0.03383899|-1288.264271|2.8939|7.6198|7.6198
13a_a30|0|0.0|0.0|0|7.412764017000001|2|0.0|0.113424769|-0.011002918|-0.118776867|2|0.042560386|-0.036541822|-0.627166322|0.0317047379999999|-0.0351777|1|-0.002215642|1|-0.058608635|0.802578397|-0.113507021|-74.02777574|-76.60916637|12.53013554|381.9643801|0.303605444|-0.042832838|8.456950359|-2.27014041|-49.96348386|88.22659517|86.55791128|470.0167988|-1532.183327|2520.165025|8.066980235|0.873126469|6675.344631|135.07860209999998|0.017212819|1915.558478|0.0|0.0|4.76|0.13|17.0|3.04|2.06|1.0|135.37|0.0|1.0|6.0|-5.01|32.0|5.0|-7.05|441.51|0.0|0.0|0.0|1.91|5e-05|2.74|0.000288|-0.0555|4.54|3.5288|721.66|1211.54|351.35|0.1788|541.59|0.26119|0.6845600000000001|-0.14953|0.7158|-0.20503|0.04590378|-1744.281248|1.4855|7.8665|7.8665
6a_a40|0|0.0|0.0|1|8.421342866|2|1.78213955|0.117890918|-0.014623575|-0.077397672|0|0.035707071|-0.146542353|-0.68730803|0.104332675|-0.230955427|2|-0.001171195|0|-0.340539542|0.657059571|-0.117413572|-68.11170799|-73.33687786|10.24294396|185.06174|0.266249007|-0.049149867|6.397774285|-2.113444291|-42.542782200000005|81.37714586|78.35465194|458.303126|-1320.063801|2536.88262|6.945713476|0.708845065|7059.617542|82.54016015|0.012872604|1521.070502|0.0|1.0|3.99|0.21|14.0|4.38|1.62|2.0|120.14|1.0|2.0|5.0|-7.11|29.0|5.0|-6.32|442.53|1.0|0.0|1.0|3.17|1.03e-05|3.77|0.0396|-0.0926|7.73|2.9836|649.48|1103.4|415.55|0.4015|497.78|0.6782699999999999|0.6782699999999999|-0.11995|6.9379|-0.21255|0.01952089|-2371.443161|9.3893|7.3979|7.3979
3c_a12|0|0.0|0.0|0|6.555356892000001|1|0.0|0.06235058|-0.009252756|-0.058516436|2|0.039605735|-0.14679559|-0.379362977|-0.008931246|-0.056537396|1|-0.001825446|1|-0.10295082|0.859899236|-0.099327724|-36.28720467|-50.25579322|6.688634392000001|73.9854678|0.156144506|-0.033980537|3.384177297|-1.291260406|-18.35985151|61.16334136|42.97583906|426.9566009|-653.3253118|1139.340748|6.231995392999999|0.746291708|4629.005722|148.9927848|0.02155815|926.0140155|1.0|1.0|3.94|0.12|17.0|4.01|1.82|0.0|98.16|0.0|1.0|3.0|-4.22|23.0|4.0|-6.18|319.38|0.0|0.0|1.0|2.76|9.940000000000002e-05|2.91|5.3200000000000006e-05|-0.07463|2.56|3.5862|544.65|894.36|345.72|0.4687|399.38|0.43415|0.68067|-0.14572|1.6035|-0.22035|0.02665687|-1327.4004710000002|2.3061|7699.0|7699.0
