molecula|SRW09|nAHRing|Highest Occupied Molecular Orbital Energy|MATS2c|Gibbs Free Energy|SRW07|AATSC1s|n6aHRing|nFaHRing|WPSA3|GeomPetitjeanIndex|TASA|PPSA1|DPSA1|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Class [Log S (SILICOS-IT)]|Egan filter|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|pIC50
12j_a30|7.412764017000001|2|-0.1987799999999999|0.04148877|-1614.894278|5.351858133|-0.033312179|1|0|6.520746879|0.476658597|544.2686362000001|120.550211|-405.1466163|0.0|4.35|1.0|0.0|0.0009119999999999|0.00291|5.1971|4.14|-1615.096172|-1615.064152|8058.0
12c_a31|7.765993078999999|1|-0.19288|0.046986783|-1617.951882|5.733341277|-0.055520387|0|0|12.30215386|0.448512808|422.3366652|202.0036947|-230.6429907|3.1|5.64|1.0|0.0|0.00233|0.0277|3.8328|4.6|-1618.1530810000002|-1618.112841|6.4202
4e_a46|7.825245291|1|-0.21005|0.1369980459999999|-1884.324182|5.587248657999999|-0.370202917|2|0|6.145520557|0.4753010039999999|571.9794684|155.48860530000002|-447.9030518999999|2.68|3.05|1.0|1.0|0.000405|0.00191|4.2446|8.03|-1884.613031|-1884.564974|6.8125
43_a18|7.03438793|2|-0.18145|0.032999679|-1611.198355|4.844187086|-0.01369899|0|0|4.156080507|0.481954273|661.9512957999999|97.56464265|-581.4944803999999|0.0|4.5|1.0|0.0|0.00018|0.000554|3.2233|8.79|-1611.621186|-1611.598032|6.2041
12_a47|6.605297921|0|-0.2256|-0.155854903|-1488.024564|4.59511985|-0.078935336|2|1|4.886454935|0.4792593739999999|408.3591283|166.28511369999998|-188.2488142|1.67|4.19|1.0|0.0|0.0106|0.00943|4.2907|3.01|-1488.101254|-1488.064043|8.2
8_a20 (IN-1130)|6.842683282|0|-0.20636|0.063195236|-1368.180121|4.727387819|-0.124997065|2|1|6.93243166|0.4824986429999999|481.70475260000006|166.8048285|-328.593789|2.43|4.97|1.0|0.0|0.00596|0.0119|4.9797|4.53|-1368.412748|-1368.372708|7.4437
19a_a22|6.842683282|0|-0.21478|-0.000989685|-1536.823574|4.727387819|-0.144269652|2|1|13.82990734|0.4347718229999999|555.4133255|235.2620007|-275.6435167|2.27|3.08|1.0|0.0|0.0193|0.0356|5.0397|5.69|-1537.071348|-1537.0241640000002|7.3188
7a_a8|7.535296702|1|-0.20505|-0.11821781|-1291.156661|5.4161004020000005|-0.0407248439999999|1|0|12.2125771|0.477611327|421.9297638000001|156.2924154|-274.7254012|3.06|3.96|1.0|0.0|0.00522|0.00874|4.5808|5.2|-1291.313963|-1291.287017|4.6068
8c_a12|0.0|1|-0.2227699999999999|0.1948786139999999|-1022.663298|0.0|-0.055163114|2|0|5.104595615|0.472503372|428.8355831|120.19586|-269.8853937|2.24|2.81|1.0|0.0|107.0|0.0598|4.3598|2.76|-1022.77302|-1022.750382|7.3979
25_a47|6.86171134|0|-0.22919|0.037667531|-1735.279715|4.727387819|-0.1084905069999999|2|1|7.453635586|0.4760601829999999|477.748546|228.3393366|-150.4037281|3.27|3.29|1.0|0.0|0.00417|0.00626|4.8002|4.78|-1735.414386|-1735.385814|7.8
