molecula|SddssS|NaaNH|n9FaHRing|SssssC|SRW09|nAHRing|nARing|AATSC1c|MATS7i|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|RASA|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|DPSA5|GeomPetitjeanIndex|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
4_a18 (SD-208)|0.0|0|0|0.0|0.0|2|2|-0.012457606|-0.020226647|0.0|-0.498304229|-0.009648044|10.95382003|-0.056245435|-0.015153358|-0.047745689|-0.15379315|-0.3630339729999999|-0.564165402|1|0.773173718|-0.058455902|-0.098971722|0.77909674|-0.077885485|0.115284206|0.0211761979999999|-40.10670787|10.90456851|103.6318511|113.7529353|-0.034985357|-26.40375252|5.615248385|-1.2944582059999998|69.63488061|0.454067432|-666.5742296|0.397970979|11.42979655|0.831728055|204.9329964|29.9246699|1107.212786|363.2306414|0.0|1.0|1.0|1.0|2.54|22.0|-8.15|3.54|4.44|2.02|0.0|0.0|1.0|3.0|6.0|-6.31|-4.38|4.14e-05|0.0146|3.02|0.0|-0.09992|5.1755|2.58|-1542.276332|378.26|0.2761|396.17|0.4646|0.69028|-1542.15786|-0.13588|3.4629|0.0199445|-1542.207472|5.2085|0.08|7.0969|7.0969
18_a4|0.0|0|0|0.0|7.535296702|1|1|-0.004533883|0.049240675|0.0|-0.181355303|-0.200683549|10.94611841|-0.063708832|0.00042|0.108754635|0.006968314|0.015390457|-0.319213511|1|0.624748358|0.102914528|-0.105846349|0.7755960390000001|-0.094231531|0.269470313|0.017694182|-46.48874223|8.729352711|203.5264327|110.7087804|-0.03479101|-20.88721799|4.306590617|-1.287267373|50.98777224|0.405586004|-635.0681172000001|0.2305616919999999|10.31843368|0.682329162|113.7466718|22.30718562|825.3658678999999|337.0066459|0.0|1.0|1.0|1.0|2.56|17.0|-5.53|3.46|3.43|2.2|0.0|0.0|2.0|3.0|4.0|-6.58|-3.51|0.000312|0.0959|2.24|0.0|-0.03538|4.5152|3.02|-1033.454769|294.88|0.2083|404.27|0.52475|0.57777|-1033.349218|-0.17345|2.7878|0.02525528|-1033.398285|3498.0|2.62|5.5817|5.5817
14b_a23|0.0|0|1|0.0|7.423568444|0|0|-0.006248709|0.0519489729999999|0.716540473|-0.318684138|-0.0644978|10.31321824|-0.047410593|0.0075222369999999|0.121308009|-0.073945564|-0.17267308|-0.4557487779999999|2|0.616699629|-0.00399443|-0.077808321|0.8462596590000001|-0.063267638|0.228282196|0.020454632|-41.01458464|13.26014776|40.76245006|99.66542762|-0.03508139|-34.64639496|8.596171261|-1.64882535|64.97993029|0.450973737|-1068.885909|0.225640295|14.26820636|0.821406493|146.2760938|29.36910744|1380.34805|599.5697147999999|0.0|0.0|1.0|1.0|3.44|26.0|-7.67|3.78|4.58|3.4|1.0|0.0|1.0|5.0|5.0|-6.31|-5.11|7.73e-06|0.00332|3.68|0.0|-0.07803|3706.0|3.72|-1729.139722|334.55|0.3603|525.66|0.58097|0.58097|-1728.9300010000002|-0.15064|6.8752|0.02188578|-1728.9893510000002|9.7544|4.0|8.3536|8.3536
12ar_a36|0.0|1|0|0.0|7.412764017000001|2|2|-0.007046017|0.083451772|0.0|-0.40866901|-0.1073795209999999|10.95407427|-0.036002609|0.002112069|0.145909555|-0.096853381|-0.169341326|-0.4194638229999999|1|0.86559137|-0.017348015|-0.064014394|0.8365428659999999|-0.080760277|0.317338373|0.022389124|-54.80317647|15.19305207|86.85924228|110.9204982|-0.0347392029999999|-45.46486105|10.30986449|-1.875916952|82.17472548|0.4743067589999999|-1272.979877|0.294408813|16.68371115|0.902250063|199.7830951|33.4098581|1804.132337|708.5476357999999|1.0|0.0|1.0|2.0|0.0|17.0|-7.05|3.14|1.95|1.59|0.0|0.0|1.0|6.0|5.0|-7.21|-3.91|0.000122|0.0515|2.33|0.0|-0.0566|5225.0|3.23|-1364.467971|322.13|0.5586|580.53|0.41433|0.67174|-1364.235126|-0.15631|6.4688|0.04327285|-1364.2977050000002|8.7322|25.0|7.6021|7.6021
5_a4|0.0|0|0|0.0|7.535296702|1|1|-0.001215982|0.012532807|2.189593648|-0.0607990979999999|-0.050389825|10.92992834|-0.134215501|0.0111310589999999|0.0202481919999999|-0.0471580309999999|-0.076189222|-0.164263889|2|0.655087104|-0.165454845|-0.229773463|0.943148502|-0.050732198|0.431132276|0.008047242|-27.26045038|4.324106888|13.96974087|30.54859623|-0.025201292|-19.68930579|2.323516519|-1.159259431|41.76764149|0.413773331|-622.9167106000001|0.192648413|9.823391314|0.7058248159999999|103.5177395|16.77294978|771.5556899000001|518.5792364|1.0|1.0|1.0|0.0|3.08|21.0|-7.96|4.89|4.67|2.88|0.0|0.0|1.0|3.0|3.0|-5.57|-4.84|1.4499999999999998e-05|0.0049299999999999|3.95|0.0|-0.04892|4.8582|3.71|-1069.251223|308.12|0.1106|421.24|0.60407|0.6019899999999999|-1069.051141|-0.16965|2.7859|0.02251645|-1069.102899|3.1619|71.0|7.1487|7.1487
4b_a46|0.0|0|0|0.206072846|7.825245291|1|1|-0.00113356|-0.082722572|0.0|-0.058945144|-0.135121207|10.96200942|-0.111103941|0.011806162|-0.128843936|-0.079238184|-0.123416853|-0.16915334|2|0.6901151990000001|-0.263387881|-0.153841155|0.935245062|-0.0524080009999999|0.27128814|0.007568202|-28.58477842|4.127907383|7.986637869|35.31914031|-0.0229342729999999|-20.89467173|2.251475261|-1.123779397|42.65239101|0.428987199|-612.9404746|0.189531974|10.09436488|0.751274223|103.3759991|15.43427855|756.2796491|538.4165208|1.0|0.0|1.0|0.0|3.03|17.0|-7.2|4.69|4.77|2.58|0.0|0.0|1.0|2.0|3.0|-5.67|-4.63|2.35e-05|0.00782|3.74|0.0|-0.02729|4.5515|3.98|-1033.535029|272.4|0.1784|508.79|0.68682|0.68682|-1033.3243619999998|-0.19082|3127.0|0.02176759|-1033.378455|3.7571|548.0|6.2612|6.2612
18_a31|0.0|1|0|0.0|7.401841579|0|0|-0.013634202|-0.051184519|0.0|-0.640807491|-0.001973566|10.31169929|-0.096301845|-0.007811355|-0.084218532|-0.065041042|-0.107017926|-0.604728055|0|0.868704545|0.022160691|-0.1647054359999999|0.72588713|-0.11789212|0.258135789|0.014467496|-69.19879619|8.49194438|238.9516432|160.8952371|-0.040279446|-44.60622732|4.984491996|-1.81257508|85.81723707|0.4492048839999999|-1063.9219449999998|0.222523168|12.84812443|0.8155571290000001|130.6137795|30.40953623|1368.42913|477.1857166|1.0|1.0|1.0|3.0|2.85|16.0|-6.54|4.9|3.48|0.75|0.0|0.0|1.0|7.0|4.0|-6.72|-3.62|0.000241|86.0|2.47|0.0|-0.03702|5.0092|4.81|-1465.4803960000002|317.05|444.0|541.33|0.51842|0.70058|-1465.300904|-0.16212|3.0607|0.04825999|-1465.359325|4.6746|0.13|6.8861|6.8861
22_a47|0.0|0|1|0.0|6.86171134|0|0|-0.010579222|-0.029311184|1.016903613|-0.507802654|-0.075111395|10.95023117|0.002716049|-0.004332497|-0.077468004|-0.1049885469999999|-0.277479519|-0.538310301|2|0.612295986|-0.077787113|0.004104478|0.698649132|-0.080744803|0.573087958|0.022154032|-47.64347429|13.07198749|12.19999546|177.81209280000002|-0.031744149|-31.08378631|7.713126784|-1.42848671|71.28682035|0.4614909829999999|-842.8786448999999|0.390313552|12.91589555|0.8569791179999999|230.3045281|30.72175314|1382.478891|482.9384172|0.0|1.0|1.0|2.0|3.16|21.0|-7.69|3.07|4.85|2.97|0.0|0.0|1.0|5.0|6.0|-6.58|-4.38|4.16e-05|0.0164|3.0|0.0|-0.0612399999999999|4.7954|4.4|-1375.021925|308.65|0.3367|466.95|0.50316|0.68312|-1374.857521|-0.16704|4.2485|0.02840507|-1374.914437|5.7009|1.0|9.0|9.0
13k_a6|0.0|1|0|0.0|7.412764017000001|1|1|-0.014257799|0.051404465|0.0|-0.8554679409999999|0.0809333929999999|10.95129637|-0.072504783|-0.006280295|0.08217847|-0.045794891|-0.073210645|-0.5627624379999999|1|0.8694295409999999|0.1373649019999999|-0.123105035|0.641032542|-0.11937574|0.212093198|0.0296987679999999|-82.8774254|20.6185734|183.1261118|249.215618|-0.045420752|-61.29890279999999|14.31458589|-2.543562101|100.7779947|0.426031882|-1765.8854210000002|0.202868306|14.58291125|0.7422570490000001|140.8427117|39.55891914|2215.299472|741.5222707|1.0|1.0|1.0|3.0|2.8|23.0|-8.89|4.55|3.8|1.39|0.0|0.0|1.0|7.0|5.0|-6.59|-4.77|1.7100000000000002e-05|0.0075599999999999|3.39|0.0|-0.04851|5112.0|5.41|-1465.83213|349.49|0.3971|577.68|0.4547|0.70536|-1465.557346|-0.14589|8.1639|0.0308324|-1465.621288|10.5079|46.0|7.3372|7.3372
19a_a38|0.0|1|0|0.0|7.412764017000001|2|2|-0.007986407|0.054257043|0.0|-0.431265985|-0.122385526|10.96083376|-0.077535135|-0.000673716|0.116434494|-0.101303149|-0.217394466|-0.4342819429999999|1|0.724208473|0.031696119|-0.133130383|0.747152898|-0.08593151|0.298938581|0.022142322|-51.36166266|13.23456869|137.2318698|151.1278869|-0.038988111|-38.69037594|7.910363161|-1.949405536|77.20795279999999|0.465829126|-1165.168741|0.255203463|12.96056449|0.872060139|152.5362948|31.28824271|1564.412135|595.8790650000001|1.0|1.0|1.0|3.0|2.56|17.0|-6.86|3.13|2.55|2.4|0.0|0.0|1.0|5.0|4.0|-6.77|-4.17|6.77e-05|0.0272|2.78|0.0|-0.05271|3.9212|3.41|-1332.1529369999998|339.65|0.2668|466.55|0.6329100000000001|0.68835|-1331.94466|-0.15108|4.7986|0.03338983|-1332.002093|6.0223|0.01|8.0106|8.0106
