molecula|Volume|Wavelength (HOMO-LUMO transition) (nm)|SddssS|Approximated area|Highest Occupied Molecular Orbital Energy|BCUTs-1l|MATS2c|Dipole (water)|SRW07|pIC50|SaaaC|AATSC1are|n5aRing|n5aHRing|MATS1i|FNSA5|PBF|FNSA4|GeomPetitjeanIndex|FPSA1|GeomRadius|WNSA2|Hydrogen bond don0rs count (using Lipinski’s definition)|Log S (SILICOS-IT)|TPSA_y|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|pIC50
11_a1|1036.18|388.38|0.0|471.76|-0.19462|1.430935838|0.033732316|7.1743|5.351858133|6.7696|0.0|-0.0127744789999999|1|1|-0.07452948|-0.126108875|0.2027328789999999|-0.048723884|0.47723847|0.248121855|7.43666407|-745.3349875|2.0|-7.47|97.33|1.29e-05|5.26|3.1924|6.7696
21b_a23|1247.38|342.15|0.0|611.6|-0.23434|1.197963051|0.094654108|13.2567|5.4161004020000005|7.0691|0.745297595|0.01055698|2|2|-0.069382957|-0.083105261|0.224930782|-0.034219814|0.458461834|0.187665282|8.773746105|-857.6679716|1.0|-7.84|128.81|6.45e-06|3.57|3.6237|7.0691
12s_a36|1150.67|329.71|0.0|523.72|-0.20467|1.297044029|-0.057853364|8.7738|5.351858133|8.0458|0.0|0.002951176|1|1|-0.104118159|-0.1000534719999999|0.4314309979999999|-0.035868226|0.4604765839999999|0.245801617|7.545963801|-791.9759303|2.0|-6.97|69.2|4.270000000000001e-05|3.48|3.7604|8.0458
12h_a30|1132.06|353.22|0.0|518.06|-0.2023599999999999|0.604984682|0.046965756|3.4138|5.351858133|8065.0|0.0|0.001139238|1|1|-0.0541804029999999|-0.09907575|0.353607682|-0.038417127|0.468446216|0.202025127|8.066818026|-761.9955851|1.0|-6.9|81.65|5.260000000000001e-05|4.07|3.5101|8065.0
41_a47|995.43|333.8|0.0|471.9|-0.2026099999999999|1.420292383|-0.225923786|6.8546|4.727387819|8.0|1.601942802|0.003530307|1|1|-0.1430639269999999|-0.0899793719999999|0.245948366|-0.02929561|0.447046066|0.346852185|7.168742909|-401.77742|1.0|-7.47|68.52|1.17e-05|2.41|3.7144|8.0
12v_a36|1150.38|334.77|0.0|502.83|-0.20404|1.297043692|-0.077763989|7.9237|5.351858133|7.8539|0.0|0.00127667|1|1|-0.1430106119999999|-0.105200486|0.334379501|-0.033118671|0.461799225|0.372344602|8.456596706000001|-773.9771341000001|2.0|-6.69|78.43|8.340000000000001e-05|2.65|3.7035|7.8539
14c_a23|1177.63|334.81|0.0|549.86|-0.23096|1.197962449|0.06596946|10.369000000000002|5.351858133|8.6253|0.743546646|0.010682694|2|2|-0.071484865|-0.0800086929999999|0.2273163289999999|-0.034046252|0.459622824|0.2165924689999999|7.832948614|-706.6878684999999|1.0|-7.99|105.02|4.55e-06|4.1|3.7031|8.6253
3d_a32|959.11|353.18|0.0|465.41|-0.19671|0.609420786|0.0181036519999999|5.1728|5.733341277|8.0915|2.230648962|0.000655875|3|3|-0.076494363|-0.093187219|0.2214902789999999|-0.02867299|0.427813496|0.2794597139999999|6.15119195|-327.8100438|1.0|-7.29|110.94|1.75e-05|3.42|3.5105|8.0915
4p_a46|1058.54|310.28|0.0|537.47|-0.20749|1.134636977|-0.060700883|5.3996|5.587248657999999|6.4672|0.0|0.005152176|1|1|0.066453878|-0.083274013|0.3352802039999999|-0.029978645|0.423511708|0.12579435|5.828038618|-482.1236438|1.0|-7.05|61.84|3.2e-05|4.89|3.9958|6.4672
12e_a31|1308.13|322.95|0.0|640.03|-0.19379|0.610134116|0.052663358|3.4818|5.733341277|6.7696|0.0|-0.002475146|2|2|-0.08867626|-0.1099563869999999|0.2642991189999999|-0.036652129|0.474858042|0.274879568|10.24381236|-1104.858464|2.0|-9.31|117.37|2.27e-07|6.33|3.8391|6.7696
