molecula|n6aHRing|MATS1c|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|RNCS|MATS8i|FNSA2|Area (grid)|pIC50
12_a1|1|-0.487073772|0.69763|-0.12874|133.6600817|-0.0811332759999999|-1.675584287|607.42|5.5302
20_a47|2|-0.5332051720000001|0.68219|-0.16377|43.63174229999999|-0.052370531|-1.38008239|557.84|8.6
14_a1|1|-0.567791164|0.69894|-0.1336|161.1772893|-0.029658865|-2.083883365|621.08|7.0269
1j_a5|2|-0.2470489089999999|0.6449|-0.16813|73.73338699|-0.07622096|-1.117587665|572.47|7.6198
10_a32|0|-0.690879647|0.70228|-0.15088|57.97512956|-0.028431775|-1.7133436169999998|654.7|8.1427
11c_a5|2|-0.269653478|0.6267699999999999|-0.1713299999999999|31.61751609|-0.059682527|-1.484812761|636.14|7.6021
9o_a24|2|-0.38043264|0.65292|-0.17826|32.50178358|-0.097596429|-1.678495905|611.03|6.3507
1g_a5|2|-0.242737126|0.66164|-0.17042|74.51397212|-0.132678208|-1.11542677|572.15|6.9393
4_a3|1|-0.607238634|0.6896|-0.14983|235.6982345|0.057349653|-1.381735991|504.29|5.9
18_a3|3|-0.2495754869999999|0.6671699999999999|-0.1641099999999999|160.9514039|0.042606196|-1.016105994|482.41|7.5229
17a_a6|1|-0.5624663560000001|0.7024|-0.12425|157.13173490000003|0.078798543|-2.078379577|696.96|7.6198
9_a4|2|-0.172904817|0.6464|-0.16948|13.6577411|-0.091393763|-1.113067849|586.24|7.3188
8d_a12|1|-0.484923957|0.4997399999999999|-0.15306|90.34024296|-0.065870394|-1.760326118|600.2|7.6021
4e_a49|2|-0.403194204|0.68043|-0.1585099999999999|313.22432680000003|-0.053787795|-1.493733437|660.22|7.4685
3o_a32|0|-0.483580522|0.70216|-0.14652|62.67187821|-0.117781901|-1.4318674340000002|620.56|6.6198
1a_a18 (SB-431542)|1|-0.567791164|0.69868|-0.13329|160.410387|-0.029658865|-2.083447046|620.23|6.9031
12ao_a36|1|-0.435820128|0.7045|-0.14207|85.17634667|-0.113963585|-2.039033535|701.9|7.5229
12p_a30|1|-0.456474815|0.68561|-0.14823|75.21136863|0.000321545|-1.897419563|685.08|7.7721
13d_a5 (GW788388)|2|-0.3706975529999999|0.48848|-0.17299|151.3669372|-0.086484275|-1.605106706|707.09|7.7447
16c_a32|0|-0.697601261|0.70198|-0.14997|102.2022233|-0.031087095|-1.679836163|639.66|8.3468
12aj_a36|1|-0.43462267|0.70423|-0.14818|82.34300699|-0.103202936|-1.953134451|682.84|7.7696
7d_a10|2|-0.2018053139999999|0.68393|-0.1633099999999999|12.32220006|-0.071185424|-1.063525614|574.87|6.0325
3_a27|2|-0.479874452|0.6734600000000001|-0.16457|10.71226495|0.042659548|-1.292309364|547.92|8.3979
3t_a32|0|-0.496165036|0.70286|-0.14739|97.01046154|0.012069208|-1.267493496|677.16|8.0458
11d_a5|2|-0.22897714|0.6533399999999999|-0.16762|61.45330587|-0.138265707|-1.525335513|682.09|7.8239
5b_a50|1|-0.140506919|0.66968|-0.16683|6.656963127999999|-0.137595558|-0.8563096170000001|547.35|4.9126
12ag_a36|1|-0.445549431|0.7024699999999999|-0.15227|85.84609192|0.0070889269999999|-1.946854457|658.68|7.7696
17b_a6|1|-0.563310199|0.7016100000000001|-0.12545|155.8689396|-0.0385646|-2.074717455|690.98|6.8153
12x_a30|1|-0.458718546|0.68589|-0.14783|74.51844582|0.027312213|-1.926232129|703.75|7.6556
12ar_a36|1|-0.4194638229999999|0.67174|-0.15631|86.85924228|-0.1073795209999999|-1.875916952|717.19|7.6021
12f_a36|1|-0.438198895|0.70126|-0.15011|43.53853176|0.012286423|-2.00553221|699.88|7.9586
9c_a31|0|-0.546598398|0.7007399999999999|-0.15975|153.5739377|-0.1047269419999999|-1.7933667130000002|691.3|6.3768
25_a47|2|-0.545763902|0.68761|-0.16588|11.20142696|-0.035030495|-1.407553754|626.55|7.8
