molecula|molar_refractivity|WNSA4|heavy_atom_count|n5aHRing|HOMO-LUMO Energy Difference (Hartree)|BCUTs-1l|FPSA5|Mor01p|PPSA3|pIC50|Solubility [Log S (ESOL)] (mol/l)|Log S (ESOL)|Log Po/w XLOGP3|CYP3A4 inhibitor|ATSC1c|Synthetic Accessibility|MATS7i|Log S (SILICOS-IT)|pIC50
4p_a46|107.89|-9.642472876|27.0|1|-0.16819|1.134636977|0.006740305|585.8536976|4.195717966|6.4672|4.03e-06|-5.4|4.77|0.0|-0.233901882|3.89|-0.164311513|-7.05|6.4672
13_a12|84.74|-8.408963103|21.0|0|-0.16458|1.508548782|0.0074597119999999|327.9594923|4.01385817|7.0315|6.3e-05|-4.2|3.51|1.0|-0.272508888|2.7|-0.21832579|-7.14|7.0315
8c_a31|93.45|-12.06117028|24.0|2|-0.15985|0.610137334|0.021986076|423.1367008|16.3656112|6.0915|0.000237|-3.63|2.38|1.0|-0.574140137|3.51|-0.106461724|-6.13|6.0915
12g_a31|103.26|-14.73099143|27.0|2|-0.15917|0.6101363000000001|0.02515117|524.0230338|19.01411466|6.9586|0.0001629999999999|-3.79|2.52|1.0|-0.7501734859999999|3.61|0.045747231|-6.45|6.9586
14ad_a23|133.27|-15.14887177|34.0|2|-0.13734|1.197962774|0.033365494|770.8206617000001|24.18091285|8.3595|8.22e-06|-5.08|3.52|1.0|-0.4663820279999999|3.73|0.118047355|-7.6|8.3595
47a_a18|158.24|-24.3591435|39.0|0|-131.0|0.403918489|0.014835962|1225.939287|11.58086543|9.0|2.62e-06|-5.58|4.44|1.0|-0.464122017|4.97|0.043161338|-8.27|9.0
12q_a30|133.96|-21.2680622|34.0|1|-0.14792|0.60498366|0.016579022|696.6414817000001|10.07866809|7.4449|1.2e-06|-5.92|5.05|0.0|-0.873376576|4.73|-0.016509571|-7.18|7.4449
40_a47|94.28|-7.872806386000001|25.0|1|-0.15231|1.420389717|0.029785575|388.178924|11.04737121|8.4|0.000192|-3.72|2.19|1.0|-0.179798097|3.07|-0.056839794|-7.08|8.4
14y_a23|130.3|-16.40099384|32.0|2|-0.14942|1.197960595|0.016527|665.6233736|13.00274534|8.4225|7.37e-07|-6.13|4.83|1.0|-0.2996475999999999|3.41|0.041892637|-8.57|8.4225
14b_a25|130.97|-15.70265555|34.0|1|-0.16309|1.420015222|0.015746299|760.3735147000001|11.08504021|7.6576|5.86e-06|-5.23|3.88|1.0|-0.273813082|3.51|0.001683506|-9.65|7.6576
6e_a31|109.69|-17.30478148|29.0|2|-0.13418|0.61015618|0.022744048|536.6368656000001|19.89514173|6.4318|2.18e-05|-4.66|3.2|1.0|-0.784597028|3.55|0.132664341|-7.33|6.4318
12x_a30|137.21|-15.27257668|31.0|1|-0.14783|0.604984021|0.012044556|754.3941655|9.745611551|7.6556|3.48e-06|-5.46|4.6|0.0|-0.3545061539999999|4.86|-0.0606216429999999|-7.38|7.6556
7_a3|95.5|-9.030659289|23.0|1|-0.14816|0.60501656|0.0149999089999999|353.7528308|4.804535747|5.9901|1.34e-05|-4.87|3.79|1.0|-0.327648836|3.02|-0.047419994|-7.48|5.9901
15_a4|85.06|-7.065752187|22.0|1|-0.17373|1.399867493|0.009743323|324.5687005|5.223809291|6.757|5.19e-05|-4.28|3.49|0.0|-0.077474847|3.28|0.0432718859999999|-6.09|6.757
19l_a38|135.78|-15.68376675|32.0|1|-0.13977|1.297043246|0.021129331|696.3887025|14.19254029|7.8633|1.89e-05|-4.72|3.55|1.0|-0.426895387|4.94|0.103904811|-7.28|7.8633
16a_a23|125.79|-10.72715788|31.0|2|-0.07625|1.197962324|0.02809646|668.3493171|13.80568132|7.4037|4.86e-05|-4.31|2.66|0.0|-0.302174246|3.94|0.062601621|-5.27|7.4037
14a_a5|123.0|-12.42997952|32.0|1|-0.1676|1.226142247|0.024411136|723.0631751|11.74431806|6.9508|6.02e-05|-4.22|2.55|1.0|-0.316624785|3.24|-0.132625457|-8.84|6.9508
8e_a46|91.93|-5.967832774|23.0|1|-0.18835|1.160371308|0.011830243|426.71841|4.876083942|6.3915|9.15e-05|-4.04|3.01|1.0|-0.046696417|3.21|-0.126773923|-6.67|6.3915
5a_a50|101.86|-6.477439183|25.0|2|-0.16659|1.3972442980000002|0.017576522|462.1867149|5.435098605|5.3872|3.14e-05|-4.5|3.46|1.0|-0.06986407|3.5|0.017227585|-6.24|5.3872
12h_a36|130.24|-15.32224162|31.0|1|-0.14247|1.297043828|0.026971557|679.7230552999999|18.27258858|7.8539|8.499999999999999e-05|-4.07|2.65|0.0|-0.503153567|4.8|0.059920602|-6.69|7.8539
13_a10|97.14|-7.698174391|25.0|1|-0.15937|1.343837907|0.018979132|422.96706330000006|6.168030793|6.7959|7.87e-05|-4.1|2.76|1.0|-0.259721373|3.02|-0.093280469|-6.6|6.7959
12d_a31|112.97|-16.37326657|29.0|2|-0.15968|0.61013528|0.02571268|647.1500428999999|21.06095035|6.2924|4.06e-05|-4.39|3.46|1.0|-0.697102094|3.76|-0.042401695|-7.63|6.2924
12z_a36|128.47|-15.940487699999998|31.0|1|-0.1575|1.297044126|0.0225782039999999|642.3830552000001|15.50078625|8.301|0.000113|-3.95|2.4|0.0|-0.421948174|4.76|0.037307819|-6.66|8.301
8b_a8|114.18|-17.8141788|31.0|1|-0.13807|1.395658149|0.022425382|589.263087|19.87542051|5.2941|3.69e-05|-4.43|2.76|0.0|-0.733216119|3.52|0.019958073|-7.13|5.2941
14_a47|86.58|-8.892848121|24.0|1|-0.16377|1.417758105|0.028057496|310.8026328|10.1400648|8.1|7.46e-05|-4.13|2.91|1.0|-0.2306964|2.78|0.017068634|-7.79|8.1
15c_a22|128.77|-15.66586856|34.0|1|-0.15408|1.42291727|0.0248073129999999|731.8178649|17.68362419|6.1325|2.4e-05|-4.62|2.9|1.0|-0.298463715|3.49|-0.026986769|-9.28|6.1325
4n_a46|102.92|-9.374920341|26.0|1|-0.16641|1.13463699|0.0077084869999999|525.8291956999999|4.629240193|5.2845|7.95e-06|-5.1|4.41|1.0|-0.234842682|3.75|-0.2264394139999999|-6.67|5.2845
13k_a6|124.98|-21.89246528|33.0|1|-0.14589|1.42421381|0.017981419|741.5222707|20.6185734|7.3372|1.7100000000000002e-05|-4.77|3.39|1.0|-0.8554679409999999|3.68|0.051404465|-8.89|7.3372
7_a4|95.07|-6.773539148999999|25.0|1|-0.16975|1.343865525|0.016800137|407.1471338|7.402610584|6.821|3.92e-05|-4.41|3.22|1.0|-0.076100699|3.05|-0.07290303|-7.46|6.821
14a_a23|120.28|-13.66949407|30.0|2|-0.15002|1.197964042|0.016707951|601.8533922|12.33442989|8.5498|1.1e-05|-4.96|3.58|1.0|-0.289658385|3.41|0.0446402609999999|-7.41|8.5498
17_a47|119.83|-11.11708872|30.0|1|-0.17606|1.4168589319999998|0.0159160889999999|630.8611986000001|7.87914003|8.3|6.11e-06|-5.21|4.03|1.0|-0.2032813319999999|3.44|-0.105849578|-10.1|8.3
6_a15|109.7|-10.46812265|28.0|0|-0.15714|1.419941278|0.029449813|592.4420375|17.20414198|7.4559|7.32e-06|-5.14|4.64|1.0|-0.513693384|3.29|0.106485923|-7.95|7.4559
4e_a49|114.08|-11.01902676|30.0|1|-0.1585099999999999|1.343847746|0.023622273|620.5697596|10.51443916|7.4685|0.000305|-3.52|1.71|1.0|-0.3631108529999999|3.35|-0.080255074|-7.36|7.4685
12bd_a36|133.68|-15.47699253|31.0|1|-0.1459|1.297043358|0.015363883|729.1873176|11.7156452|7.7696|2.5e-05|-4.6|3.41|0.0|-0.4017244129999999|4.95|0.025649557|-7.34|7.7696
43_a18|160.76|-18.77059344|38.0|0|-0.13196|1.251175234|0.007193089|1228.492038|5.35147222|6.2041|1.09e-06|-5.96|5.1|1.0|-0.397752066|4.54|-0.05314954|-9.6|6.2041
4o_a46|103.66|-6.587059484|26.0|1|-0.18282|1.13463699|0.0108913189999999|544.7877262000001|5.332434441|6.7905|1.34e-05|-4.87|4.06|1.0|-0.032014955|3.73|-0.2363624889999999|-7.26|6.7905
17a_a25|131.06|-15.142307999999998|33.0|1|-0.16304|1.373200859|0.015373381|781.7487682|9.033070252|7.6021|7.44e-06|-5.13|3.9|1.0|-0.248224991|3.48|-0.017081614|-9.98|7.6021
11e_a5|125.71|-12.38472918|31.0|1|-0.16751|1.338814635|0.016933845|735.3048881|7.986070113999999|7.3979|1.9e-05|-4.72|3.56|1.0|-0.192538515|3.22|-0.07965|-8.95|7.3979
11b_a31|92.51|-13.83270059|25.0|2|-0.15936|0.610137403|0.0314298879999999|397.3137532|21.02499452|6.2757|0.000178|-3.75|2.46|1.0|-0.838727032|3.41|-0.078907688|-5.45|6.2757
23_a10|139.11|-13.47382337|35.0|1|-0.15858|1.34383709|0.013394095|930.6293092|6.81095873|6.1249|2e-06|-5.7|4.48|1.0|-0.17741132|3.8|-0.031558374|-9.84|6.1249
4_a18 (SD-208)|92.87|-9.276994128|25.0|0|-0.13588|1.304335262|0.035654206|363.2306414|10.90456851|7.0969|4.14e-05|-4.38|3.02|1.0|-0.498304229|2.77|-0.020226647|-8.15|7.0969
11d_a31|102.13|-15.29068277|27.0|2|-0.15822|0.610136352|0.027374162|505.4234462|21.07078977|7.5229|6.26e-05|-4.2|3.17|1.0|-0.848545873|3.6|0.016799834|-6.23|7.5229
12ap_a36|128.47|-16.13217554|31.0|1|-0.15704|1.2970441659999998|0.020575639|642.3830552000001|14.26936622|7.4949|0.000113|-3.95|2.4|0.0|-0.424579308|4.78|0.066185994|-6.66|7.4949
12ad_a36|135.03|-18.32944602|33.0|1|-0.15638|1.297042846|0.028968808|735.3783268|21.78471426|7.7696|8.36e-05|-4.08|2.53|0.0|-0.649957196|4.9|0.046496301|-6.62|7.7696
19c_a38|130.41|-15.15175311|32.0|1|-0.15612|1.297043851|0.023120664|640.025745|15.30924906|8.0348|7.55e-05|-4.12|2.5|1.0|-0.449745181|4.84|0.02192428|-6.92|8.0348
16_a4|85.02|-8.095443438|23.0|1|-0.17375|1.398650725|0.0115138339999999|322.8922084|6.761192037000001|6.4647|3.68e-05|-4.43|3.59|0.0|-0.089168424|3.26|0.007101649|-6.36|6.4647
7_a15|99.77|-8.163512395|26.0|0|-0.15605|1.419941457|0.042799094|474.9756287|20.31436245|6.644|3.2e-05|-4.49|3.84|1.0|-0.494898891|3.16|0.145944639|-7.19|6.644
1a_a5|93.49|-7.015226132|23.0|0|-0.12226|1.189701889|0.016493595|403.543273|4.047117885|6.9706|0.000365|-3.44|2.17|1.0|-0.078562954|3.54|-0.075791863|-7.15|6.9706
4j_a46|110.24|-8.652995323999999|27.0|1|-0.18387|1.134637093|0.0106831269999999|642.1335502000001|8.812983129|6.0942|4.86e-06|-5.31|4.81|1.0|-0.130235627|4.0|-0.0529855709999999|-7.69|6.0942
9i_a24|82.17|-5.506205845|22.0|2|-0.17204|1.4281889280000002|0.038195951|295.8603625|11.87389334|7.0555|0.000791|-3.1|1.48|1.0|-0.190487553|2.76|-0.076024544|-6.05|7.0555
12b_a40|101.78|-10.97726831|24.0|2|-0.14267|0.604989475|0.010309671|370.3261123|6.17734692|7.3979|7.82e-08|-7.11|6.68|0.0|-0.158107422|3.26|0.1744506639999999|-8.39|7.3979
4q_a46|102.63|-6.545879136|26.0|1|-0.1903|1.131262631|0.018430997|554.3688216|8.099124333999999|6.129|0.000129|-3.89|2.65|1.0|-0.066250447|3.95|-0.012611536|-6.94|6.129
12h_a40|96.16|-10.84365353|23.0|2|-0.1092|0.60499064|0.012453938|350.9435025|6.193088525|6.0846|2.61e-06|-5.58|4.75|1.0|-0.289603712|3.19|0.208938531|-6.84|6.0846
47t_a18|129.21|-18.17831387|33.0|0|-0.12692|1.25117758|0.016238994|747.6927426|9.415011332|6.1068|1.7100000000000002e-05|-4.77|3.57|0.0|-0.756664598|3.86|0.018018036|-7.51|6.1068
47j_a18|149.96|-20.47428768|37.0|0|-0.1285|1.251176464|0.016220875|1081.726154|12.42035127|7.4559|7.32e-06|-5.14|4.07|1.0|-0.569931053|4.54|-0.048528478|-8.79|7.4559
4S4l_a46|105.77|-8.862913904|26.0|1|-0.17632|1.134637095|0.006420439|579.2365607|3.888872426|6.5834|7.78e-06|-5.11|4.49|1.0|-0.255755434|3.92|-0.067419714|-7.0|6.5834
4_a38 (LY-2157299)|108.18|-10.56568487|28.0|1|-0.16|1.343847059|0.01379043|542.7276591|7.104736984|7.1586|0.000102|-3.99|2.39|1.0|-0.325515636|3.27|-0.0501467259999999|-7.13|7.1586
13_a15|138.24|-13.46007201|34.0|0|-0.11283|1.4356889940000002|0.01672103|830.7967967000001|10.21906987|8.2218|7.970000000000001e-07|-6.1|5.32|0.0|-0.393632585|4.13|-0.006938727|-8.9|8.2218
19j_a38|130.41|-17.86002424|32.0|1|-0.15182|1.29704352|0.023555355|640.025745|17.15233756|8.1146|7.55e-05|-4.12|2.5|1.0|-0.438688445|4.81|0.105682345|-6.92|8.1146
8c_a12|98.07|-9.958505349|24.0|0|-0.15571|1.283851303|0.018855428|390.0159026|10.00357546|7.3979|0.0001899999999999|-3.72|2.5|1.0|-0.447739674|3.91|-0.106633503|-7.14|7.3979
21b_a23|129.97|-16.81701905|33.0|2|-0.15033|1.197963051|0.013439264|712.6737861|10.15224639|7.0691|6.06e-06|-5.22|3.7|1.0|-0.326506055|3.59|0.057405955|-7.84|7.0691
2_a27|92.58|-7.415462877|24.0|1|-0.16769|1.402655014|0.022639983|373.9912084|9.972342226|7.8861|0.0002009999999999|-3.7|2.18|1.0|-0.276758209|2.9|-0.196529806|-5.84|7.8861
8_a27|87.68|-8.145716531|23.0|1|-0.16958|1.406757715|0.019394143|326.3351007|10.41179748|8.2218|0.000299|-3.52|2.0|0.0|-0.329319041|2.79|-0.14212377|-6.28|8.2218
18a_a22|131.64|-13.47750813|32.0|1|-0.1408|1.194229718|0.0193879289999999|730.9420477000001|11.62443251|7.8861|6.98e-06|-5.16|3.78|1.0|-0.19538364|3.49|0.033735832|-9.4|7.8861
12a_a50|94.69|-6.048985111|24.0|2|-0.16806|1.397770359|0.027455156|388.171611|10.58650394|7.1249|0.000144|-3.84|2.5|1.0|-0.126263256|3.3|-0.111689174|-5.49|7.1249
2_a47|96.54|-9.131190896|24.0|0|-0.15446|1.381899691|0.016376351|392.6099255|4.240150185|6.2|7.75e-06|-5.11|4.52|1.0|-0.3581612489999999|2.58|-0.004557357|-7.82|6.2
19_a31|97.25|-12.37297805|25.0|2|-0.16367|0.61013725|0.0152483439999999|460.3754405|8.596058678|5.7447|0.0001199999999999|-3.92|2.93|1.0|-0.46087445|3.44|-0.044625452|-7.39|5.7447
4k_a46|100.96|-8.94414722|25.0|1|-0.18542|1.134637098|0.006892404|519.5743695|3.801175594|7.0969|1.4800000000000002e-05|-4.83|4.05|1.0|-0.252970193|3.8|-0.104665424|-6.61|7.0969
25_a47|109.7|-11.52783528|29.0|1|-0.16588|1.30432753|0.029261935|513.2159236|12.27779881|7.8|1.52e-05|-4.82|3.53|1.0|-0.486951604|3.26|-0.055724653|-8.01|7.8
19g_a38|125.65|-15.5542928|31.0|1|-0.15269|1.297044182|0.0228937029999999|593.6088758|14.52522351|7.3778|4.67e-05|-4.33|2.88|1.0|-0.458841138|4.82|-0.037579797|-7.12|7.3778
