molecula|Wavelength (max. Transition) (nm)|Gibbs Free Energy|Log S (ESOL)|CYP2D6 inhibitor|CYP2C9 inhibitor|MATS8i|Fraction Csp3|GeomPetitjeanIndex|pIC50
2_a47|333.46|-1010.412694|-5.11|1.0|0.0|0.107297513|0.0|0.433425706|6.2
12e_a36|323.18|-1272.0579810000002|-4.3|0.0|0.0|-0.0586405829999999|0.17|0.466721981|7.8539
10_a27|298.79|-1083.008551|-3.92|0.0|1.0|0.034318674|0.16|0.477162521|7.1612
1h_a5|266.52|-990.523098|-4.45|1.0|0.0|-0.1197834419999999|0.05|0.489507204|7.5528
14a_a25|231.18|-1352.086073|-5.29|1.0|1.0|-0.046802062|0.08|0.492236681|6684.0
3k_a32|350.6|-1750.0122420000002|-5.61|1.0|1.0|-0.0902541999999999|0.32|0.472646737|8.0605
12h_a40|298.7|-2153.123274|-5.58|0.0|1.0|0.189869851|0.0|0.4958138139999999|6.0846
21_a4|240.17|-973.449892|-4.19|1.0|1.0|-0.2897937889999999|0.16|0.401240904|6.9172
36_a18|388.57|-1493.333297|-5.28|1.0|0.0|-0.0077246719999999|0.28|0.4751830729999999|7.4949
12c_a36|322.58|-1692.3713309999998|-4.59|0.0|0.0|-0.0621599059999999|0.14|0.473610011|8.0458
3m_a32|346.82|-1863.337677|-4.86|0.0|1.0|-0.084132138|0.3|0.4687361229999999|7.6383
1f_a5|261.1|-1288.263745|-4.97|1.0|0.0|-0.174016111|0.05|0.4670794829999999|6.6198
13m_a6|316.88|-1423.511471|-4.28|1.0|1.0|0.054340057|0.08|0.48094941|8.0
5g_a40|356.27|-1327.982732|-3.37|0.0|0.0|0.122088541|0.21|0.488538966|6.9101
14w_a23|338.46|-1828.222578|-5.27|0.0|1.0|-0.042151195|0.05|0.4972095239999999|8.6737
12b_a32|347.27|-1880.599158|-4.43|1.0|1.0|-0.031446256|0.26|0.430631506|7585.0
18d_a25|219.39|-1806.582751|-5.54|1.0|1.0|-0.070413428|0.11|0.476833495|6.6345
14j_a23|338.1|-1728.988797|-5.11|0.0|1.0|-0.026319216|0.05|0.497137467|8.3883
12x_a30|355.95|-1654.183467|-5.46|0.0|1.0|0.027312213|0.21|0.4490846539999999|7.6556
2_a4|210.28|-819.8174190000001|-2.77|1.0|0.0|0.090707854|0.27|0.3961813179999999|7.5086
20a_a10|259.16|-1388.957848|-5.59|0.0|1.0|-0.010695558|0.11|0.452402751|5.9208
12k_a30|238.62|-1690.094082|-4.93|0.0|1.0|0.067265077|0.17|0.47195436|7.6144
1_a6 (SB-431542)|324.5|-1292.41452|-4.25|1.0|1.0|-0.029658865|0.05|0.472445176|5.8119
18_a31|247.51|-1465.359325|-3.62|1.0|1.0|-0.001973566|0.28|0.4492048839999999|6.8861
12l_a36|321.05|-1325.0137550000002|-4.29|0.0|1.0|-0.05158636|0.13|0.4619814279999999|7699.0
1_a1 (SKF-104365)|318.72|-1279.017667|-4.02|1.0|1.0|-0.10236005|0.12|0.416807085|5.7959
6_a27|223.61|-1043.728133|-3.82|0.0|0.0|0.075248207|0.11|0.47262982|9.0
14ad_a23|366.09|-1858.733603|-5.08|0.0|1.0|-0.05348283|0.12|0.46995189|8.3595
12v_a36|319.16|-1347.260743|-4.07|0.0|0.0|-0.086194201|0.17|0.461799225|7.8539
15_a15|335.38|-1450.462493|-6.1|1.0|1.0|0.000676845|0.07|0.435723718|6.9626
7_a3|210.68|-1731.651178|-4.87|1.0|1.0|0.054347129|0.0|0.3987206729999999|5.9901
14p_a23|346.79|-1721.994023|-4.9|0.0|1.0|-0.060144819|0.04|0.464933687|8.5302
8k_a46|246.1|-1845.037411|-5.13|0.0|1.0|-0.114070359|0.24|0.4938768979999999|6.8327
12d_a31|322.23|-1657.245177|-4.39|1.0|1.0|-0.085780934|0.38|0.389382761|6.2924
40_a47|308.6|-1123.049869|-3.72|1.0|1.0|-0.038143308|0.11|0.4574577489999999|8.4
12az_a36|319.03|-1461.750394|-4.15|0.0|0.0|-0.024018255|0.21|0.462897841|7.2366
12ah_a36|237.25|-1692.369929|-4.59|0.0|0.0|-0.083956827|0.14|0.468162246|7.9586
15b_a50|305.67|-1160.330621|-3.6|1.0|1.0|-0.06083723|0.19|0.478989976|7.1024
13b_a30|245.51|-1744.281763|-4.3|0.0|0.0|0.042845487|0.13|0.454574838|7.5901
7s_a46|234.06|-974.664103|-4.24|1.0|0.0|-0.005405515|0.26|0.433822088|5.7022
4g_a46|280.74|-1492.979142|-5.38|0.0|1.0|-0.055084605|0.38|0.448462961|5.5615
4m_a46|205.21|-1030.980844|-4.57|0.0|1.0|-0.142061192|0.29|0.463006576|5.8901
9i_a24|268.3|-945.222448|-3.1|1.0|0.0|-0.087363979|0.0|0.468272544|7.0555
8b_a12|293.37|-1159.2425119999998|-4.01|1.0|1.0|-0.036536396|0.1|0.480938153|6.58
13h_a6|254.58|-1386.3651|-5.06|1.0|1.0|-0.01698365|0.12|0.461667017|7.3279
13a_a30|245.34|-1744.281248|-4.3|0.0|0.0|0.0317047379999999|0.13|0.4661332179999999|7.8665
3b_a49|265.67|-1293.106236|-3.59|1.0|1.0|-0.010613212|0.22|0.477583842|7.6021
8e_a46|274.96|-954.793305|-4.04|1.0|0.0|-0.184317354|0.32|0.444693313|6.3915
20_a31|350.43|-1880.599777|-4.44|1.0|1.0|-0.020082435|0.26|0.464597945|8.0862
18_a34|279.66|-1199.158044|-4.11|1.0|1.0|-0.141332289|0.21|0.441058733|5.6144
17_a3|386.22|-1731.663157|-4.93|1.0|1.0|-0.041723219|0.0|0.4383349039999999|7.6383
14t_a23|311.09|-1669.040656|-5.25|0.0|1.0|-0.041339801|0.09|0.465981891|8.3979
12bc_a36|237.57|-2151.971485|-5.18|0.0|1.0|-0.079009683|0.14|0.467645467|8.0969
3c_a32|352.54|-1633.348356|-4.91|1.0|1.0|-0.113334836|0.19|0.423167668|8.0458
19a_a38|316.19|-1332.002093|-4.17|1.0|1.0|-0.122385526|0.14|0.465829126|8.0106
14h_a23|306.09|-1721.99264|-4.9|0.0|1.0|-0.024318144|0.04|0.48032488|8.3468
5b_a49|240.03|-1291.929428|-3.93|1.0|1.0|-0.0695402359999999|0.22|0.475192312|7.5528
IN1166_a11|248.68|-1347.073528|-4.78|1.0|1.0|0.0266218529999999|0.08|0.463497159|7.9318
4a_a49|262.35|-1312.98289|-3.52|1.0|1.0|-0.053787795|0.22|0.4716382|7.4949
4d_a49|215.82|-1293.107454|-3.35|1.0|1.0|-0.053327669|0.22|0.470013152|7.7447
4b_a46|272.4|-1033.378455|-4.63|0.0|0.0|-0.135121207|0.38|0.428987199|6.2612
17_a47|289.79|-1254.795084|-5.21|1.0|0.0|0.075303828|0.08|0.46147021|8.3
8a_a50|220.53|-1006.557694|-4.13|1.0|0.0|-0.150515325|0.11|0.46183401|7.3279
19_a3|314.28|-929.193831|-3.58|1.0|0.0|0.156485495|0.06|0.476813896|7.6383
4k_a46|228.63|-1053.249847|-4.83|1.0|0.0|-0.1149361969999999|0.33|0.417368922|7.0969
47f_a18|400.42|-1741.802171|-5.52|1.0|0.0|0.033759227|0.34|0.483843526|8.0458
3c_a12|311.14|-1327.4004710000002|-4.0|1.0|1.0|-0.008931246|0.12|0.427357986|7699.0
3j_a32|354.42|-1671.402462|-4.8|1.0|1.0|-0.086191775|0.24|0.4482615029999999|8.0969
6e_a31|374.76|-1652.503557|-4.66|1.0|1.0|-0.008757878|0.1|0.4782688439999999|6.4318
8b_a32|349.82|-1880.602014|-4.39|1.0|1.0|-0.024375676|0.26|0.458155153|7.9208
8b_a8|270.59|-1406.887058|-4.43|0.0|1.0|-0.0422693659999999|0.09|0.4835310479999999|5.2941
18c_a22|219.25|-1783.340519|-5.1|1.0|1.0|0.009519672|0.08|0.4777430589999999|7585.0
14u_a23|306.82|-1744.2405670000005|-5.02|0.0|1.0|-0.026062012|0.09|0.47648509|8.2449
13c_a5|263.46|-1351.067237|-3.96|1.0|1.0|-0.098760742|0.17|0.46617977|6.9101
47a_a18|388.09|-2098.359766|-5.58|1.0|1.0|-0.025401815|0.28|0.483193636|9.0
9_a15|285.37|-1223.522216|-4.81|1.0|1.0|0.05688176|0.19|0.4517825079999999|6.9706
14x_a23|305.07|-1828.228912|-5.27|0.0|1.0|-0.075184011|0.05|0.468120981|8.4949
4a_a46|272.77|-994.079365|-4.31|1.0|0.0|-0.11172225|0.35|0.4289963579999999|6.7423
16i_a32|342.72|-1995.11813|-5.09|0.0|1.0|-0.104899053|0.3|0.455596751|8.2596
35_a18|385.69|-1532.627182|-5.53|1.0|0.0|0.027469086|0.3|0.465531336|7.6198
4f_a46|272.61|-1033.36869|-4.58|1.0|1.0|-0.056114865|0.38|0.424708366|6.7375
12av_a36|256.12|-1440.738332|-3.64|0.0|0.0|-0.021036176|0.17|0.491188387|7.4089
47l_a18|387.13|-1455.233431|-4.84|1.0|0.0|-0.010426981|0.25|0.4897655489999999|7.4949
12q_a36|236.72|-1692.370918|-4.59|0.0|0.0|-0.0651906459999999|0.14|0.486620426|8.2218
9b_a36|321.74|-1575.616432|-4.43|0.0|1.0|-0.077361324|0.14|0.453252346|7.6778
19c_a38|210.74|-1424.247603|-4.12|0.0|1.0|-0.0725602509999999|0.13|0.477803802|8.0348
14b_a3|403.54|-1327.398177|-3.99|1.0|1.0|-0.008040839|0.06|0.487615651|6.4202
47c_a18|398.71|-1664.277127|-5.09|1.0|0.0|-0.058748345|0.3|0.489290189|8.5229
16j_a32|341.65|-2034.408854|-5.41|0.0|1.0|-0.135618491|0.33|0.442735754|8.0315
1d_a5|254.46|-1288.253849|-4.97|1.0|0.0|-0.2261588939999999|0.05|0.471074204|5.03
17_a20|365.45|-1291.752049|-5.08|1.0|1.0|0.038629586|0.08|0.455285305|5.6478
3a_a49|240.06|-1253.8126619999998|-3.3|1.0|0.0|-0.060613765|0.18|0.474653816|7.1938
11e_a5|280.64|-1316.301553|-4.72|1.0|1.0|-0.16669151|0.24|0.483563144|7.3979
46_a18|384.45|-1532.562476|-5.47|1.0|0.0|-0.0669031009999999|0.3|0.4548138479999999|6.7305
9b_a31|224.94|-1578.665571|-3.86|1.0|1.0|0.014628521|0.32|0.469546953|7.2007
8d_a12|292.53|-1138.139635|-4.61|1.0|1.0|-0.065870394|0.1|0.465113852|7.6021
47k_a18|400.63|-1664.341238|-5.33|1.0|1.0|-0.02822032|0.3|0.467246896|7.5376
16_a15|297.1|-1770.281427|-5.21|1.0|1.0|-0.109386268|0.08|0.419910645|7.6778
12ay_a36|315.09|-1311.343228|-4.6|0.0|0.0|0.012286423|0.21|0.4530143439999999|7.7447
5_a4|255.2|-1069.102899|-4.84|1.0|1.0|-0.050389825|0.23|0.413773331|7.1487
3e_a32|348.38|-1672.62984|-5.18|1.0|1.0|-0.114649277|0.24|0.4513338939999999|8.0862
5d_a40|331.74|-1276.797751|-3.82|0.0|1.0|0.2078052269999999|0.21|0.479931934|7.7212
12a_a50|304.01|-1006.546706|-3.84|1.0|0.0|0.014596049|0.11|0.469674946|7.1249
12r_a30|244.69|-1774.070699|-5.17|0.0|1.0|-0.0682882559999999|0.14|0.464481911|7.5317
17f_a50|304.9|-1219.02507|-4.12|1.0|1.0|-0.028989535|0.26|0.472769049|6.4001
12e_a40|286.76|-2248.206714|-5.64|0.0|1.0|0.130516751|0.0|0.491465612|5.9318
4R4k_a46|234.09|-1053.254911|-4.83|1.0|0.0|-0.1149361969999999|0.33|0.465590034|7.0132
2_a20 (SB-505124)|340.58|-1089.201587|-4.91|1.0|1.0|-0.177905025|0.3|0.475937029|6.7721
13d_a6|255.64|-1389.188211|-5.27|1.0|1.0|-0.042531782|0.16|0.4128711229999999|6.4437
21_a34|288.26|-1483.12009|-4.71|0.0|1.0|-0.004734657|0.12|0.4688149339999999|5.4737
14n_a23|362.35|-1744.244532|-5.02|0.0|1.0|-0.049694913|0.09|0.469606631|9.2441
A8301_a51|||-5.93|1.0|1.0|-0.012770742|0.04|0.4799553379999999|7.9208
4r_a46|274.25|-1069.284137|-3.55|1.0|0.0|-0.1129698999999999|0.35|0.456487948|5.8499
3i_a32|340.43|-1891.790935|-5.16|0.0|1.0|-0.26785886|0.13|0.422644726|8.2366
7a_a8|270.66|-1291.156661|-4.64|0.0|1.0|0.004607684|0.05|0.477611327|4.6068
13l_a6|338.07|-1465.624566|-4.77|1.0|1.0|-0.037558466|0.16|0.4257335779999999|6.4145
8m_a46|233.66|-1013.962913|-4.56|1.0|0.0|-0.120972269|0.3|0.425802465|6.6402
9s_a24|403.51|-1270.796154|-4.06|1.0|1.0|-0.060407836|0.04|0.47085169|7.4949
14c_a23|334.81|-2089.354057|-5.55|0.0|1.0|-0.047853455|0.05|0.459622824|8.6253
9_a47|215.89|-1148.949486|-5.2|1.0|0.0|0.022031244|0.05|0.482896681|7.6
12f_a36|237.95|-1311.345557|-4.57|0.0|0.0|0.012286423|0.21|0.464240353|7.9586
14g_a23|334.71|-2042.000034|-6.0|0.0|1.0|-0.031968899|0.09|0.461846955|8.0
12be_a36|237.59|-1461.747501|-4.15|0.0|0.0|-0.08981965|0.21|0.4564615729999999|7.3565
12b_a40|363.91|-3016.980996|-7.11|0.0|1.0|0.107454819|0.0|0.494842289|7.3979
4e_a49|216.37|-1312.98289|-3.52|1.0|1.0|-0.053787795|0.22|0.471635821|7.4685
12_a3|379.97|-1272.058487|-4.84|1.0|1.0|-0.045382017|0.0|0.463780604|5.45
3b_a32|348.81|-1594.049677|-4.65|1.0|1.0|-0.1113575119999999|0.13|0.460751087|8.2366
6_a15|285.52|-1262.820532|-5.14|1.0|1.0|0.011857945|0.23|0.3902945579999999|7.4559
2_a27|297.87|-1043.715364|-3.7|0.0|1.0|0.11675125|0.11|0.4424192289999999|7.8861
12w_a30|244.87|-2494.807027|-6.04|0.0|1.0|0.028815747|0.14|0.451478593|7821.0
4o_a46|286.64|-1070.276387|-4.87|0.0|1.0|-0.203025042|0.32|0.460981009|6.7905
14b_a23|334.55|-1728.9893510000002|-5.11|0.0|1.0|-0.0644978|0.05|0.450973737|8.3536
