molecula|MATS1c|PNSA2|molecula|BIC2|Log S (Ali)|GeomDiameter|Oscillator Force (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|PNSA5|PPSA5|Log Po/w WLOGP|ATSC1c|WPSA3|Log S (SILICOS-IT)|Area (grid)|Total Energy (water) (Hartree)|AATSC1i|pIC50
3a_a32|-0.491457345|-449.2473442|3a_a32|0.844272053|-5.32|10.67859439|0.2719|-1554.7020630000002|-0.20638|-44.92473442|10.9483666|4.12|-0.250406908|4.811337463|-6.12|492.91|-1554.796165|-0.1568626659999999|8.5686
6_a1|-0.353456514|-448.9214297|6_a1|0.798346291|-3.12|9.609375529|0.3399|-935.330989|-0.1899799999999999|-37.41011914|12.20110458|3.57|-0.230035376|4.905211525|-6.02|527.41|-935.5024827|-0.3632559589999999|5.2924
11a_a31|-0.563537536|-975.2267888|11a_a31|0.8433024170000001|-4.81|10.5643234|0.2797|-1441.327731|-0.20589|-81.26889906|15.96146849|2.94|-0.8792402579999999|10.55399384|-4.65|529.63|-1441.452616|-0.1829166189999999|6.7212
14q_a23|-0.573130981|-1389.433443|14q_a23|0.808928963|-5.21|16.53853737|0.4943|-1798.3704079999998|-0.23013|-66.16349731|13.26616596|3.12|-0.5608967029999999|10.17264683|-6.96|714.22|-1798.645459|-0.033435987|7.8069
2_a27|-0.475677812|-574.4885436000001|2_a27|0.796022385|-3.19|9.527176544|0.3217|-1043.665151|-0.21702|-41.03489597|11.39718489|2.49|-0.276758209|5.020172886|-5.84|538.57|-1043.821085|-0.361571905|7.8861
41_a18|-0.5421253970000001|-1588.856592|41_a18|0.733589101|-5.56|17.13823195|0.482|-1453.980175|-0.1814599999999999|-61.10986894|4.727999916|2.7|-0.500778516|4.488448275|-8.38|736.59|-1454.374793|-0.0091068809999999|6.433
4f_a49|-0.46436755|-781.4221699|4f_a49|0.7927086309999999|-3.99|11.20071713|0.0579999999999999|-1179.029099|-0.22471|-48.83888562|11.34983222|3.8|-0.418450768|4.89045046|-6.54|575.01|-1179.23587|-0.025995042|7.3979
27c_a34|-0.543350914|-1525.30349|27c_a34|0.783333463|-4.75|15.31184469|0.0093|-1426.246896|-0.19682|-84.73908278|15.45573273|3.34|-0.80008116|13.79934071|-7.67|709.72|-1426.521813|-0.2077985889999999|6.0969
8_a4|-0.150276481|-508.5928419|8_a4|0.813333185|-4.35|9.972991122|0.0642|-1450.071352|-0.22685|-33.90618946|7.671983829|4.76|-0.056197036|2.772101712|-7.78|561.6|-1450.239105|-0.078942941|7.2676
3k_a32|-0.5265375529999999|-717.0314235000001|3k_a32|0.779649252|-7.04|11.6688363|0.3082|-1749.957584|-0.19988|-51.21653025|6.9505405620000005|5.78|-0.270019022|3.930238317|-7.23|611.65|-1750.164914|-0.090775221|8.0605
16_a31|-0.60894688|-779.0463041|16_a31|0.8318419909999999|-4.36|9.649327262|0.2534|-1308.113026|-0.1842|-70.82239128|13.04390063|2.83|-0.726543099|8.309441139|-4.94|503.18|-1308.242314|-0.09530799|7.0458
14m_a23|-0.527662006|-1366.189602|14m_a23|0.798384929|-6.38|16.42895711|0.3335|-1966.721362|-0.23555|-62.09952738|12.51739962|6.19|-0.482182526|8.703631619|-8.23|707.56|-1966.968005|-0.226146643|8.5171
12h_a40|-0.556229094|-676.8587047999999|12h_a40|0.7769829840000001|-6.25|15.84593062|0.3693|-2153.072091|-0.18432|-48.34705035|6.584127851|5.02|-0.289603712|3.274152035|-6.84|548.82|-2153.207198|0.224167029|6.0846
14y_a23|-0.4598871539999999|-1114.8134599999998|14y_a23|0.802520527|-6.77|16.00209862|444.0|-2548.8917260000003|-0.2331599999999999|-55.74067298|11.42772654|5.32|-0.2996475999999999|8.990852582999999|-8.57|713.1|-2549.104894|-0.125978901|8.4225
47s_a18|-0.46304239|-1595.466781|47s_a18|0.712629555|-5.95|18.65422248|0.5203|-1533.737579|-0.18109|-61.36410696|7.934268528|3.93|-0.394481152|4.840414512|-9.42|809.4|-1534.196027|-0.252119673|6.2104
13i_a6|-0.560601136|-1649.799665|13i_a6|0.7771558909999999|-5.03|14.54375165|19.0|-1426.269916|-0.19454|-86.83156133|13.40049533|3.54|-0.852681372|14.01186473|-8.5|703.43|-1426.549926|-0.073507141|7.6778
19h_a38|-0.420225236|-1166.336902|19h_a38|0.819222745|-4.14|12.98143834|0.088|-1331.941646|-0.20379|-64.79649453|11.90478646|2.55|-0.420209249|7.370099699|-6.86|626.65|-1332.187847|-0.217394466|8.0348
7f_a8|-0.381574707|-950.3309426|7f_a8|0.7051689170000001|-5.68|14.04331892|0.1502|-1285.017838|-0.21998|-50.01741803|5.839092213|5.49|-0.234880498|4.471132824|-8.46|584.99|-1285.196168|0.141285105|4.4479
17g_a50|-0.213708251|-1037.842058|17g_a50|0.738521694|-4.46|15.28352231|0.1795|-1335.631756|-0.19929|-47.17463902|9.106383854|4.37|-0.13328325|6.48022912|-6.96|725.92|-1335.976491|-0.323333765|6.6091
8f_a8|-0.5373378529999999|-1241.2005|8f_a8|0.6971223040000001|-5.21|13.81994609|0.1659|-1361.455053|-0.21285|-62.06002501|5.380213594|4.72|-0.485102985|4.613060521|-7.95|602.63|-1361.658484|0.254819201|4.6428
14a_a23|-0.446724057|-1015.935121|14a_a23|0.7556436440000001|-5.47|14.2658736|0.3764|-1629.690316|-0.2238099999999999|-50.79675604|10.56592489|4.02|-0.289658385|7.800158102999999|-7.41|665.5|-1629.928331|-0.137733142|8.5498
5_a27|-0.4982037479999999|-672.5307653|5_a27|0.760083119|-3.61|10.98289851|0.2448|-1082.967639|-0.21506|-44.83538435|8.684398894|2.8|-0.286030638|4.709432444|-6.22|566.68|-1083.143246|-0.341622797|8.5229
