molecula|SddssS|NaaNH|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|RASA|PBF|FPSA3|PNSA3|PPSA3|RNCS|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|WNSA2|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12bi_a36|0.0|1|0|0|7.412764017000001|2|2|1.297042566|0.0|-0.088734077|-0.043740597|2|0.03474497|0.0|-0.559678363|-0.067142264|10.95958518|0.041834838|1|1|0.002872872|0.056936052|1|0.884226781|0.0997949019999999|0.071329141|0.858971809|0.7850011179999999|0.382000949|0.034602166|-57.89562053|24.16125901|129.685076|-0.027831043|-52.46851415|16.87080604|0.0|0.4996603229999999|82.05687954|0.461975362|3044.149713|-1127.129336|-13.56944331|0.500339677|8.454426643|15.71382803|0.85865094|-787.0277122|2255.791153|1.0|0.0|0.0|1.0|2.0|17.0|-6.79|87.66|1.42|136.74|0.0|1.0|-7.13|0.0|0.0|1.75|-4.15|7.75e-05|7.13e-05|0.0315|2.62|0.0|0.0|1.6100000000000005e-07|2.68|-1461.966152|742.94|336.45|0.4214|0.68181|0.69207|-1461.69263|-0.15078|7.0514|-0.2018|-1461.75632|8.8903|14.0|7.8539|7.8539
14f_a23|0.0|0|1|2|7.423568444|0|0|1.197963246|3.366063739|-0.002304087|-0.027380305|2|0.056215377|0.745818086|-0.373510774|-0.0555907109999999|10.3132176|-0.041351617|2|2|0.010508236|0.101910723|2|0.756252127|0.070514687|-0.06885759|0.854683662|0.894162392|0.2096108239999999|0.027134452|-40.51498423|18.34483401|96.47955427|-0.031450478|-38.58595734|12.40242234|96.60179161|0.665778294|58.85981824|0.478733036|3014.916135|-1084.401604|-14.37516058|0.334221706|8.124287407|15.58565565|0.918402793|-733.1331894|1628.77284|0.0|0.0|1.0|1.0|1.0|26.0|-7.51|114.25|2.72|126.78|0.0|1.0|-6.47|0.0|0.0|3.46|-5.02|2.32e-06|9.57e-06|0.0042299999999999|3.55|0.0|0.0|3.11e-08|3.23|-1744.429532|711.98|346.78|0.2462|0.60917|0.6733399999999999|-1744.182678|-0.1458|6.3534|-0.21743|-1744.2443850000002|9.1089|2.0|8.6459|8.6459
27_a47|0.0|0|1|1|6.842683282|1|1|1.216250059|2.041063341|-0.160399235|0.006768957|3|-0.067535989|1.807806182|-0.207000956|0.0427469459999999|10.95005714|0.013336016|1|1|0.002350172|-0.137440913|2|0.6636125860000001|0.0436226579999999|0.023325573|0.8517043879999999|0.846469886|0.337815064|0.016506051|-40.35526807|10.56549582|20.73428323|-0.028494622|-32.56705871|6.762956126000001|3.180329084|0.700732763|50.9207639|0.475450742|2804.020752|-966.6860481|-11.67498331|0.299267237|7.083168776|13.50334344|0.906398657|-618.7741154|1379.535965|1.0|1.0|0.0|1.0|2.0|21.0|-8.82|67.66|3.11|125.17|0.0|1.0|-6.34|0.0|1.0|3.91|-5.05|1.5399999999999998e-05|8.89e-06|0.0038799999999999|3.7|0.0|0.0|1.5e-09|2.97|-1778.078632|673.27|325.21|0.4007|0.40976|0.69381|-1777.830739|-0.1578|4.0365|-0.21594|-1777.891054|5.2214|2512.0|5.6|5.6
8e_a46|0.0|0|0|1|7.727094485|1|1|1.160371308|2.161814059|-0.205882192|0.000950213|2|-0.126773923|0.0|-0.046696417|-0.184317354|10.96411233|-0.016857659|1|1|0.0123581919999999|-0.203086023|2|0.669602597|-0.241393458|-0.024620704|0.837678812|0.921352352|0.281227001|0.009576086|-27.16690715|4.876083942|7.389496216|-0.023017086|-17.10778729|2.482871976|53.05984592|0.7492419109999999|32.04299109|0.444693313|1982.950764|-503.9668235|-5.967832774|0.2507580889999999|5.504080656|9.911785304|0.8008066970000001|-256.61680930000006|672.6356549999999|0.0|1.0|0.0|1.0|0.0|17.0|-6.67|43.6|2.13|91.93|0.0|1.0|-6.02|1.0|1.0|3.21|-4.04|0.0002569999999999|9.15e-05|0.0279|3.01|0.0|0.0|2.16e-07|3.0|-954.9056294|552.99|274.96|0.2162|0.6967|0.6967|-954.743261|-0.18835|3.2194|-0.2201|-954.793305|3.7755|406.0|6.3915|6.3915
5b_a49|0.0|0|0|1|7.853604813|2|2|1.343848745|2.119588967|0.1108916119999999|0.006327273|2|-0.072128552|1.926253727|-0.418576471|-0.0695402359999999|10.9297646|0.059834711|1|1|0.006696215|-0.12209302|2|0.6981815290000001|-0.006962617|0.099724518|0.839963111|0.7969332440000001|0.615864196|0.020319986|-41.03213895|11.94347454|170.0796998|-0.026008|-26.42668087|7.020013952999999|69.07083505|0.608694741|52.97561349|0.475192312|2764.188493|-764.3358925|-8.985071494|0.3913052589999999|6.270195553|11.94760614|0.905459892|-449.2535747|1255.69656|0.0|1.0|1.0|1.0|1.0|21.0|-7.24|75.94|2.07|122.26|0.0|1.0|-7.24|1.0|1.0|2.58|-3.93|0.000496|0.000118|0.0468|2.08|0.0|0.0|5.79e-08|3.92|-1292.100239|633.92|316.21|0.4653|0.39241|0.65269|-1291.873941|-0.1624799999999999|4.3767|-0.20701|-1291.929428|6.1996|28.0|7.5528|7.5528
11a_a5|0.0|1|0|0|6.605297921|0|1|1.212363224|0.0|-0.165418719|0.052217882|2|-0.052944925|0.0|-0.185262487|-0.1301505359999999|10.94877942|-0.02394636|1|1|0.007955512|-0.081506|2|0.7505403709999999|-0.037220974|-0.0489811909999999|0.773417838|0.89343434|0.369563711|0.011860803|-46.13206353|8.474559367000001|61.32301293|-0.026223112|-36.51058972|6.055083705|14.47576249|0.740865275|54.60662289|0.466436596|2727.027899|-1124.186857|-13.38721623|0.259134725|9.740948724|18.25640338|0.874191508|-803.2329738|1517.39715|0.0|1.0|0.0|1.0|1.0|23.0|-9.93|63.69|3.05|128.51|0.0|1.0|-4.54|0.0|1.0|5.16|-6.4|5.63e-08|3.95e-07|0.000167|6.13|0.0|0.0|1.18e-10|4.83|-1339.802852|739.79|302.86|0.5473|0.6735|0.65363|-1339.493223|-0.16735|2.8611|-0.20429|-1339.555805|3.6525|81.0|7.0915|7.0915
14_a1|0.0|1|0|0|7.423568444|1|1|1.430935835|0.0|0.043282217|-0.175408303|1|0.1008839219999999|0.0|-0.766207981|-0.029658865|10.94959842|-0.0492229479999999|1|1|-0.008385698|0.164429684|1|0.838928085|-0.08530265|-0.083341531|0.805877431|0.593170871|0.206941175|0.033047776|-74.96297518|19.5711254|161.1772893|-0.046308519|-42.99041175|11.59015807|104.2594419|0.753357398|94.53410059|0.47517581|2678.985809|-1234.09038|-16.24082222|0.246642602|7.46120838|14.21658628|0.905399978|-730.8369997000001|1638.120743|1.0|1.0|1.0|1.0|2.0|23.0|-7.69|103.12|1.54|106.85|0.0|1.0|-6.73|0.0|1.0|2.85|-4.25|3.03e-05|5.660000000000001e-05|0.0218|2.7|0.0|0.0|2.03e-08|4.57|-1292.55322|621.08|375.01|0.4442|0.6572600000000001|0.69894|-1292.359534|-0.1336|4.1207|-0.19322|-1292.415211|5.3099|94.0|7.0269|7.0269
22_a47|0.0|0|1|1|6.86171134|0|0|1.408617385|1.202720059|0.048272293|-0.150248628|2|-0.029311184|1.016903613|-0.507802654|-0.075111395|10.95023117|0.002716049|1|1|-0.004332497|-0.077468004|2|0.612295986|-0.077787113|0.004104478|0.890264057|0.698649132|0.573087958|0.022154032|-47.64347429|13.07198749|12.19999546|-0.031744149|-31.08378631|7.713126784|54.21581266|0.6096864479999999|60.71546178|0.4614909829999999|2692.510471|-842.8786448999999|-11.05201291|0.390313552|6.9553262170000005|12.91589555|0.8569791179999999|-497.3405809|1382.478891|0.0|1.0|1.0|1.0|2.0|21.0|-7.69|84.73|2.97|104.64|0.0|1.0|-6.58|0.0|1.0|3.41|-4.38|3.6e-05|4.16e-05|0.0164|3.0|0.0|0.0|2.06e-08|4.4|-1375.021925|605.12|308.65|0.3367|0.50316|0.68312|-1374.857521|-0.16704|4.2485|-0.22828|-1374.914437|5.7009|1.0|9.0|9.0
13n_a6|0.0|1|0|0|6.842683282|0|0|1.4290206230000002|0.0|0.030890422|-0.135152403|2|0.058267173|1.628408574|-0.631323273|-0.06507689|10.95053349|-0.033224059|1|1|-0.00687003|0.100294804|2|0.870730542|-0.064779873|-0.056293641|0.832753533|0.70890216|0.307384948|0.017758385|-68.88015714|12.18768927|90.97854097|-0.038490115|-51.52585133|8.36448634|103.012404|0.748967057|81.06784641|0.47066442|2952.259627|-1426.464192|-18.12946621|0.251032943|8.872063579|16.76075427|0.889160748|-978.9911754|1904.575345|1.0|1.0|1.0|1.0|3.0|27.0|-9.67|122.47|0.81|127.2|0.0|1.0|-7.23|0.0|1.0|2.62|-4.28|2.27e-05|5.24e-05|0.0228|2.43|0.0|0.0|2.1499999999999998e-10|4.27|-1423.714738|727.69|369.99|0.9117|0.55028|0.64027|-1423.451366|-0.13863|7.1946|-0.20994|-1423.514154|10.1967|75.0|7.1249|7.1249
12_a3|0.0|0|0|0|6.823286122000001|0|0|0.605020506|0.0|0.167987916|-0.118456941|2|-0.120694579|2.07135708|-0.336455156|-0.045382017|10.31163031|-0.069857022|1|1|-0.0045709459999999|-0.218774634|2|0.899733837|-0.039834906|-0.125395523|0.784451598|0.829399708|0.101891875|0.011076075|-44.07517037|5.258353635|239.2266101|-0.039584548|-21.667278|2.496397166|76.23910943|0.830418645|49.333524|0.463780604|2056.502939|-638.9523922000001|-8.921820355|0.169581355|5.6343192|10.50748861|0.864908294|-303.3418921|769.4340634|1.0|1.0|1.0|1.0|1.0|21.0|-6.89|92.93|1.6|90.49|0.0|1.0|-5.3|0.0|1.0|3.23|-4.84|2.07e-06|1.44e-05|0.0044|4.03|0.0|0.0|1.3e-07|2.94|-1272.125792|515.23|379.97|0.5056|0.69784|0.69784|-1272.010995|-0.13153|2.3762|-0.19514|-1272.058487|3.1979|3548.0|5.45|5.45
6b_a31|0.0|1|0|0|7.773594467000001|1|1|0.610136262|0.0|0.052690797|-0.178758575|0|0.11647286|0.0|-0.787472195|-0.032090772|10.31169819|-0.053655833|2|2|-0.008439437|0.1978523089999999|0|0.838789705|-0.068433069|-0.084489161|0.841537966|0.627853074|0.146652651|0.032992761|-73.70779766|20.12924648|159.79549319999998|-0.045675611|-47.81835367|12.28107483|101.4993391|0.7459204140000001|93.83704414|0.4807018779999999|2776.92804|-1254.023695|-17.0020813|0.254079586|7.513612533|14.46878435|0.925676135|-765.0936586|1681.1762649999998|1.0|1.0|1.0|1.0|2.0|22.0|-7.33|131.36|1.36|109.69|0.0|1.0|-6.5|0.0|1.0|3.3|-4.66|2.34e-06|2.18e-05|0.00883|3.2|0.0|0.0|4.67e-08|4.61|-1652.635711|637.06|376.29|0.4967|0.7013199999999999|0.7013199999999999|-1652.44739|-0.13345|5.9085|-0.1918|-1652.505041|8.8379|54.0|7.2676|7.2676
47c_a18|0.0|0|0|0|7.03438793|1|1|1.251176227|0.0|0.02368001|-0.048726885|0|0.047739847|0.0|-0.537230966|-0.058748345|10.94702285|0.028947131|0|0|0.002674691|0.071793992|0|0.784328127|-0.027873485|0.050944273|0.7912974190000001|0.8128616409999999|0.246894346|0.015864085|-57.54296759|12.75381432|67.68084951|-0.0321917939999999|-60.75445536|10.25333491|103.416376|0.7489981509999999|70.29678191|0.489290189|3228.879782|-1889.265906|-20.80632033|0.251001849|9.566965871|18.73268473|0.958059115|-1518.861384|2522.390613|1.0|1.0|0.0|1.0|3.0|18.0|-9.18|97.76|2.41|154.77|1.0|1.0|-6.61|0.0|0.0|2.42|-5.09|1.84e-06|8.12e-06|0.00417|3.98|1.0|1.0|6.67e-10|7.72|-1664.721977|850.89|398.71|0.5869|0.6983199999999999|0.6983199999999999|-1664.201034|-0.12841|3.3075|-0.17331|-1664.277127|3.8573|3.0|8.5229|8.5229
