molecula|TASA|Num. of Rotatable bonds|NaasN|Oscillator Force (HOMO-LUMO transition)|GATS1pe|Dipole (gas phase)|Log Kp (cm/s)|heavy_atom_count|PNSA3|Mor01p|Log Po/w XLOGP3|Log Po/w MLOGP|Synthetic Accessibility|FNSA1|Fraction Csp3|Log Po/w Silicos-IT Log P|Total Energy (gas phase) (Hartree)|Area (grid)|pIC50
16_a4|389.0176968|2.0|1|0.1006|0.482473457|1.863|-5.64|23.0|-36.11951685|322.8922084|3.59|3.44|3.26|0.832461695|0.11|4.49|-1057.478071|515.68|6.4647
AKLKII_a46|397.2168972|2.0|0||0.687139108||-6.5|22.0|-34.061229|314.0966684|2.19|1.18|2.81|0.7721395329999999|0.06|3.9|||6.7423
12f_a40|502.7764322|3.0|1|0.3858|0.605644757|3.2818|-4.76|24.0|-37.02024147|384.1423925|5.4|3.99|3.24|0.7314440520000001|0.06|5.35|-2212.348599|572.63|6.4202
47s_a18|640.0051571|10.0|0|0.5203|0.716761234|2.3134|-5.96|36.0|-53.18668656|1093.725912|4.62|3.33|4.41|0.820470855|0.3|4.06|-1534.174077|809.4|6.2104
3c_a32|456.8935699|3.0|0|0.5017|0.774363061|3123.0|-5.35|22.0|-34.91603827|370.5811396|4.14|1.7|3.22|0.693952122|0.19|6.61|-1633.419633|544.22|8.0458
14x_a23|514.8229467|5.0|2|0.3057|0.558482531|5.7933|-6.35|32.0|-46.97594633|597.2903597999999|3.78|3.78|3.42|0.722211323|0.05|4.2|-1828.371718|675.21|8.4949
19g_a38|455.6240763999999|5.0|0|0.0962|0.632625562|5.0677|-6.81|31.0|-54.62049927|593.6088758|2.88|2.78|4.82|0.719941993|0.14|3.55|-1431.386981|638.82|7.3778
4i_a46|531.4066842|3.0|1|0.1421|0.7172344890000001|2.8538|-5.31|26.0|-33.08099617|579.2365607|4.38|3.06|3.88|0.763831778|0.36|4.79|-1092.70435|611.74|6.2132
9g_a40|476.5434822|3.0|1|0.3563|0.665414608|3.4787|-7.17|23.0|-33.47455057|384.6422631|1.37|0.64|2.8|0.740240206|0.06|2.91|-1332.476347|559.04|5.45
12b_a36 (EW-7197)|477.6935927||0|0.0197|0.698414933|5432.0|||-50.90136206|595.8790650000001||||0.746747352|||-1332.147999|659.48|8.1549
15d_a10|590.402322|6.0|1|0.0856|0.71456262|3.3831|-7.04|33.0|-38.80896881|825.4425942|2.75|1.54|3.71|0.471900166|0.35|4.14|-1431.051425|737.09|7.1612
6_a4|526.7333132|3.0|1|0.0772|0.664247086|2.8026|-5.42|27.0|-29.18838891|578.2065561000001|4.28|3.09|3.38|0.814470803|0.26|5.1|-1108.563418|613.83|5.8861
12c_a36|540.0159387|5.0|0|0.3927|0.8065052890000001|4.9812|-6.49|30.0|-47.12722334|629.5017194000001|3.31|2.51|4.74|0.75500974|0.14|3.35|-1692.511019|672.74|8.0458
8a_a32|510.8273411|7.0|0|0.4315|0.7507116140000001|4.8933|-5.76|27.0|-52.34893512|557.1050635|4.17|1.37|3.48|0.7490845290000001|0.26|6.49|-1880.732222|667.29|7.3468
20a_a10|594.4519837|4.0|1|107.0|0.63495222|2.9429|-5.82|33.0|-43.19189039|719.5272609|4.36|2.53|3.48|0.733451892|0.11|5.06|-1389.1321289999998|696.63|5.9208
41_a18|503.8398786|6.0|0|0.482|0.745631286|2.0934|-6.38|34.0|-69.94639412|897.5188662|3.78|2.94|4.07|0.903239484|0.25|3.26|-1454.3467460000002|736.59|6.433
7l_a46|437.65027010000006|2.0|1|0.2024|0.6539666829999999|3.3119|-6.22|22.0|-27.30136533|375.721552|2.61|1.89|3.04|0.67467081|0.28|3.59|-915.5830363|517.29|5.7122
14ac_a23|703.0989434999999|7.0|2|0.2391|0.537271445|6.3004|-5.84|38.0|-66.72452104|718.3324686000001|5.35|4.6|3.69|0.8077820920000001|0.12|5.52|-2303.9786940000004|751.54|8.3851
47r_a18|575.4901675|9.0|0|0.6007|0.7554975009999999|2.3873|-6.12|36.0|-62.75220741|1005.982493|4.59|2.23|4.55|0.688074851|0.22|0.43|-1964.813473|790.57|6.6364
8b_a8|342.0904577|4.0|1|0.1515|0.726912742|5.8389|-6.87|31.0|-79.74587194|589.263087|2.76|2.12|3.52|0.781454722|0.09|3.65|-1407.052256|640.35|5.2941
8_a1 (SB-202620)|368.1943149|4.0|0|0.5339|0.658433571|3.4563|-5.94|27.0|-66.76765693|433.2550452|3.6|2.78|2.74|0.7742395870000001|0.0|4.86|-1223.117248|586.27|6.3979
3c_a12|426.9566009|3.0|0|0.1193|0.859899236|1.6035|-6.18|23.0|-36.28720467|380.2468615|2.91|1.82|3.94|0.7055242159999999|0.12|4.01|-1327.471862|544.65|7.699
12z_a30|579.3226647000001|7.0|0|0.1441|0.794193541|7.0446|-6.39|33.0|-49.68145417|792.3440337000001|3.81|2.2|4.86|0.630839856|0.21|3.94|-1804.785911|739.33|7.3615
12aw_a36|452.6513136|5.0|0|0.3892|0.632625562|4.8181|-6.8|31.0|-56.73814908|593.6088758|2.88|2.78|4.73|0.749052287|0.14|3.55|-1431.373326|666.09|8.0458
3d_a32|483.4133562|4.0|0|0.5031|0.77923808|3.2094|-5.18|23.0|-37.19367587|421.3548777|4.5|1.94|3.34|0.720540286|0.24|6.97|-1672.733979|569.29|8.0915
12r_a30|465.8474777|5.0|0|0.1522|0.591758164|5.2021|-6.06|31.0|-58.32042638|616.2856203|4.07|3.58|4.66|0.790065337|0.14|4.67|-1774.2026670000002|679.64|7.5317
12w_a36|594.7596206000001|7.0|0|0.4508|0.624142499|5043.0|-6.4|34.0|-62.34080876|672.4630346|3.86|2.04|4.82|0.70536279|0.17|3.31|-1645.169951|712.88|7.6383
12a_a50|455.4948605000001|2.0|2|0.1807|0.660148928|5.7662|-6.44|24.0|-25.57033815|388.171611|2.5|2.02|3.3|0.575218972|0.11|2.59|-1006.632973|545.54|7.1249
12n_a36|487.397992|7.0|0|0.0155|0.750657639|10.8395|-8.03|34.0|-60.42525197|805.2286932|1.64|0.84|5.03|0.741751453|0.17|1.28|-1876.168847|714.14|7.8239
8c_a12|428.8355831|3.0|0|0.1355|0.845077891|1.7305|-6.44|24.0|-34.19075142|390.0159026|2.5|2.02|3.91|0.764449832|0.11|2.81|-1022.750382|551.66|7.3979
12bh_a36|554.7010591|5.0|0|0.011|0.857993338|5.8338|-6.38|31.0|-47.04367494|729.1873176|3.41|2.45|4.95|0.783294222|0.21|3.76|-1311.558898|715.94|7.8539
7f_a8|438.23883319999993|3.0|1|0.1502|0.507325475|8.7098|-5.27|28.0|-52.28313554|446.5544107|4.66|4.27|3.14|0.880922225|0.0|5.52|-1285.168078|584.99|4.4479
9a_a40|453.3484005|2.0|1|0.3483|0.61091688|3.8656|-4.85|21.0|-29.02567082|323.79254|4.54|3.57|3.26|0.868476591|0.06|4.58|-1217.9449|515.96|6.6696
4d_a49|463.6097566000001|6.0|1|0.0879|0.749565191|4.3005|-7.7|30.0|-55.40321178|641.1445234|1.45|1.25|3.38|0.654728051|0.22|3.16|-1293.29417|668.09|7.7447
21c _a23|561.9588018|6.0|2|0.3329999999999999|0.7301130229999999|6.0226|-7.13|34.0|-59.46209153|762.0576580000001|2.86|2.49|3.68|0.834557275|0.08|3.1|-1837.932192|747.88|7.1752
22_a20|616.3298149|4.0|1|0.0015|0.607038752|4.8308|-5.58|31.0|-39.00017609|664.4562602999999|4.47|2.61|3.36|0.77063827|0.08|5.33|-1275.816275|694.15|6.6364
