molecula|NaaNH|Wavelength (max. Transition) (nm)|Approximated area|n9FaRing|Contribuition (max. transition)|NaasN|nARing|BCUTs-1l|Gibbs Free Energy|Dipole (water)|MATS7i|SaaaC|n5aRing|n6aHRing|PPSA3|FNSA4|WNSA5|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|Num. of Aromatic heavy atoms|TPSA_y|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Total Energy (water) (Hartree)|pIC50
12av_a36|1|256.12|588.31|0|0.43212|0|2|1.297042752|-1440.738332|6.1075|0.06882889|0.0|1|1|15.09249582|-0.035197712|-51.2347934|2079.880404|0.0|0.0|17.0|98.3|0.000227|0.0997|-1440.988179|7.4089
12be_a36|1|237.59|594.44|0|0.40844|0|2|1.297042758|-1461.747501|10.3044|0.118420241|0.0|1|1|23.42501577|-0.031937334|-52.44976141|2270.314539|1.0|0.0|17.0|87.66|7.13e-05|0.0315|-1462.0007349999998|7.3565
12s_a36|1|319.95|523.72|0|0.6843600000000001|0|2|1.297044029|-1272.061111|8.7738|0.037454164|0.0|1|1|12.55883918|-0.035868226|-41.6829437|1626.909053|1.0|0.0|17.0|69.2|5.05e-05|0.02|-1272.270833|8.0458
8_a1 (SB-202620)|1|364.11|460.4|0|0.7026600000000001|0|0|1.4323973840000002|-1223.014114|5.5005|-0.0443137679999999|0.0|1|1|8.809217494|-0.041081545|-33.88588996|1234.267739|1.0|0.0|23.0|78.87|1.98e-05|0.00713|-1223.279021|6.3979
14v_a23|0|335.64|533.44|1|0.6017100000000001|2|0|1.1979575059999998|-2041.998955|6.3758|0.055572317|0.636416435|2|2|13.08518422|-0.042752869|-41.35406587|1826.768144|0.0|1.0|26.0|114.25|1e-06|0.0004969999999999|-2042.182282|8.4001
8g_a12|1|294.8|418.41|1|462.0|0|1|1.28383574|-1154.173831|4.2131|-0.038463841|1.714060666|1|1|4.915102972|-0.042752517|-31.79592789|1150.7554189999998|0.0|1.0|21.0|78.85|4.61e-05|0.0163|-1154.321531|5.43
13n_a6|1|257.31|548.09|0|0.55028|0|0|1.4290206230000002|-1423.514154|10.1967|0.058267173|1.628408574|1|2|12.18768927|-0.038490115|-51.52585133|1904.575345|1.0|1.0|27.0|122.47|5.24e-05|0.0228|-1423.765005|7.1249
16b_a32|1|342.39|567.01|1|0.70233|0|0|0.2980105389999999|-2315.819979|7.0093|-0.012739425|2.033356859|3|0|10.12961779|-0.0345657579999999|-44.4669946|1392.342653|1.0|1.0|19.0|165.49|2.84e-05|0.0123|-2315.990437|7.7696
9c_a31|1|322.12|588.58|0|0.7007399999999999|0|1|0.610135804|-1617.9568470000002|2.2323|-0.0384827639999999|0.0|2|0|19.30758668|-0.035867334|-52.02424796|1703.9715989999995|1.0|1.0|16.0|117.37|6.94e-05|0.0277|-1618.157698|6.3768
12b_a36 (EW-7197)|1|322.25|486.64|0|0.6824899999999999|0|2|1.2970445309999998|-1332.005651|7.3101|0.027495626|0.0|1|1|13.41367899|-0.039120289|-42.53627024|1638.808832|||||||-1332.180029|8.1549
12af_a36|1|236.83|589.48|0|0.50179|0|2|1.29704271|-1440.740243|9.4631|0.091263447|0.0|1|1|15.22358698|-0.035153522|-50.86129548|2076.162883|0.0|0.0|17.0|98.3|0.000227|0.0997|-1440.982935|7.8239
